,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
405,Milutin Osmajić\375ed9d7,me MNE,FWMF,Cádiz,22-201,1999,2.9,87,6,11,40,39,10,82,1,6,16.7,3,0,43,142,59,3,1,1,10,5,149,58,38.9,6,Matches
406,Jesús Owono\d6e3d7fb,gq EQG,GK,Alavés,20-347,2001,1.0,25,21,25,0,0,0,21,0,0,,0,0,12,83,74,0,0,0,0,0,4,4,100.0,0,Matches
407,Mikel Oyarzabal\8c3c640c,es ESP,FWMF,Real Sociedad,24-296,1997,14.0,683,12,81,267,392,66,594,20,36,55.6,21,2,461,2489,1391,78,30,12,26,26,582,448,77.0,94,Matches
408,Fernando Pacheco\97852360,es ESP,GK,Alavés,29-269,1992,19.9,652,570,646,5,1,0,405,0,0,,0,0,249,1325,940,0,0,0,2,1,222,219,98.6,0,Matches
409,Jon Pacheco\44150beb,es ESP,DF,Real Sociedad,21-034,2001,0.6,29,5,16,12,1,0,29,0,0,,0,0,11,53,33,0,0,0,1,0,12,10,83.3,0,Matches
410,Gavi Paez\19cae58d,es ESP,MFFW,Barcelona,17-190,2004,13.4,867,13,94,495,351,46,858,15,31,48.4,16,0,691,3432,1719,97,33,8,28,28,788,661,83.9,73,Matches
411,Helibelton Palacios\ac8b2421,co COL,DF,Elche,28-247,1993,15.8,880,61,322,440,159,5,732,16,21,76.2,17,0,483,2209,1266,46,13,2,7,10,505,461,91.3,15,Matches
412,Isaac Palazón Camacho\49dbab27,es ESP,FWMF,Rayo Vallecano,27-046,1994,16.8,848,24,119,402,387,44,831,25,55,45.5,28,3,587,2855,1191,68,23,5,43,40,773,590,76.3,104,Matches
413,Daniel Parejo\7460ca0d,es ESP,MF,Villarreal,32-301,1989,17.5,1444,41,253,881,369,16,1299,12,18,66.7,12,2,957,3861,1790,80,20,1,7,13,1084,1026,94.6,30,Matches
414,Raúl Parra\647d39d2,es ESP,DF,Cádiz,22-077,1999,0.1,9,0,4,4,1,0,8,0,0,,0,0,6,21,15,1,0,0,0,0,4,4,100.0,0,Matches
415,Javier Pastore\881ef58c,ar ARG,MF,Elche,32-236,1989,4.3,250,4,45,135,93,15,242,4,11,36.4,4,1,170,902,462,26,9,3,4,7,219,189,86.3,28,Matches
416,Gabriel Paulista\b7ca5c51,br BRA,DF,Valencia,31-077,1990,11.3,538,121,317,235,13,7,493,0,1,0.0,1,0,271,1706,1038,21,0,0,2,3,245,239,97.6,1,Matches
417,Alfonso Pedraza\63f04c6c,es ESP,DF,Villarreal,25-308,1996,10.0,659,24,143,269,292,40,556,17,28,60.7,17,5,428,2616,1564,70,27,13,20,12,443,386,87.1,44,Matches
418,Pedri\0d9b2d31,es ESP,MF,Barcelona,19-078,2002,3.4,207,4,26,109,87,5,191,4,6,66.7,5,0,158,851,372,18,4,0,4,9,183,149,81.4,12,Matches
419,Pedrosa\112521d1,es ESP,DF,Espanyol,23-274,1998,20.5,1178,98,405,512,350,44,1008,34,54,63.0,37,4,718,4421,2790,105,38,15,34,28,727,657,90.4,53,Matches
420,Facundo Pellistri\ac7e7b1c,uy URU,MFFW,Alavés,20-053,2001,6.6,235,7,47,120,96,15,232,14,29,48.3,15,2,170,1305,777,35,11,6,14,16,249,142,57.0,26,Matches
421,Rubén Peña\1f079188,es ESP,MFFW,Villarreal,30-208,1991,1.4,80,3,16,36,34,6,78,3,9,33.3,3,0,55,345,218,12,3,1,3,4,66,52,78.8,11,Matches
422,Alberto Perea\5496cc91,es ESP,MF,Cádiz,31-054,1990,8.1,458,11,57,222,218,16,434,25,46,54.3,27,7,361,1823,996,59,14,5,16,24,357,306,85.7,25,Matches
423,Victor Perea\b7de5bad,es ESP,DF,Espanyol,21-316,2000,0.0,3,0,1,2,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,1,1,100.0,0,Matches
424,Iñigo Pérez\bc61cc65,es ESP,MF,Osasuna,34-024,1988,2.0,81,2,12,38,36,2,69,0,1,0.0,1,0,48,161,109,5,1,0,2,2,73,52,71.2,3,Matches
425,Juan Pérez\8f29e08b,es ESP,GK,Osasuna,25-211,1996,1.0,27,24,27,0,0,0,19,0,0,,0,0,10,55,46,0,0,0,0,0,7,7,100.0,0,Matches
426,Lucas Pérez\a300ac7e,es ESP,FW,Cádiz,33-154,1988,1.0,40,0,3,17,21,6,36,0,1,0.0,0,0,26,137,54,2,1,0,1,5,40,28,70.0,3,Matches
427,Lucas Pérez\a300ac7e,es ESP,FW,Elche,33-154,1988,14.1,498,6,31,250,250,31,440,12,18,66.7,12,2,343,1569,746,54,17,2,34,15,566,349,61.7,59,Matches
428,Njegoš Petrović\0cb29e91,rs SRB,MF,Granada,22-208,1999,0.2,13,1,6,10,0,0,13,0,0,,0,0,10,70,49,2,0,0,0,0,10,10,100.0,0,Matches
429,Alex Petxa\97d08e60,es ESP,DFMF,Athletic Club,25-005,1997,1.0,103,0,18,61,35,0,87,0,4,0.0,0,0,67,365,177,12,8,0,1,0,68,65,95.6,1,Matches
430,Germán Pezzella\8c725b43,ar ARG,DF,Betis,30-229,1991,11.2,637,77,348,304,13,9,612,2,2,100.0,2,0,374,1466,581,14,0,0,0,1,411,402,97.8,3,Matches
431,Pablo Piatti\48e89655,ar ARG,MFFW,Elche,32-317,1989,2.1,77,4,15,34,33,2,76,3,7,42.9,3,0,55,287,186,8,3,0,4,3,73,52,71.2,7,Matches
432,Cristiano Piccini\32c0491f,it ITA,DF,Valencia,29-138,1992,3.6,185,13,71,84,43,3,151,7,8,87.5,7,0,95,553,332,13,7,1,1,3,82,74,90.2,3,Matches
433,Tomás Pina Isla\e54bd0a2,es ESP,MF,Alavés,34-120,1987,10.3,453,22,105,291,72,7,447,2,3,66.7,2,1,244,1005,288,15,5,0,2,7,289,254,87.9,8,Matches
434,Yeremi Pino\540ec57b,es ESP,MFFW,Villarreal,19-114,2002,13.5,572,15,85,213,314,72,567,20,46,43.5,21,1,409,2174,1265,68,12,15,31,23,609,397,65.2,88,Matches
435,Gerard Piqué\adfc9123,es ESP,DF,Barcelona,35-009,1987,16.4,1283,191,617,692,47,21,1245,1,1,100.0,1,0,832,4746,2625,69,12,0,3,3,904,877,97.0,2,Matches
436,Pere Pons\29b61deb,es ESP,MF,Alavés,28-356,1993,10.4,365,15,71,222,101,19,350,5,8,62.5,5,1,206,1091,596,27,10,4,20,9,311,231,74.3,36,Matches
437,Portu\1bda5842,es ESP,FWMF,Real Sociedad,29-266,1992,11.5,453,8,59,182,241,70,438,8,10,80.0,8,0,313,1524,973,64,18,15,24,19,450,318,70.7,69,Matches
438,Sergio Postigo\474ecac8,es ESP,DF,Levante,33-099,1988,4.3,235,39,127,112,7,3,231,0,2,0.0,0,0,144,726,461,12,0,0,1,1,154,153,99.4,1,Matches
439,Darío Poveda\cbdf7d5c,es ESP,FWMF,Getafe,24-335,1997,4.2,141,2,10,76,68,8,137,7,17,41.2,8,0,93,426,232,14,6,2,18,9,171,103,60.2,27,Matches
440,José Pozo\fc8b614b,es ESP,MF,Rayo Vallecano,25-333,1996,0.8,67,0,12,33,29,5,67,0,1,0.0,0,0,45,197,116,8,3,0,2,4,55,50,90.9,11,Matches
441,Abdón Prats\d1b060e2,es ESP,FW,Mallorca,29-066,1992,4.4,151,4,12,71,71,25,137,2,5,40.0,2,0,73,219,69,5,1,1,8,12,219,107,48.9,30,Matches
442,Javi Puado\2683eda7,es ESP,MFFW,Espanyol,23-262,1998,11.9,441,13,82,221,190,38,434,13,24,54.2,13,0,319,2403,1387,61,29,7,24,21,394,306,77.7,47,Matches
443,Pubill\365113c0,es ESP,DF,Levante,18-236,2003,2.8,163,1,34,74,61,3,131,0,0,,0,0,95,324,155,9,3,0,11,1,115,94,81.7,5,Matches
444,Antonio Puertas\c77a8043,es ESP,MFFW,Granada,29-355,1992,14.4,557,17,105,276,212,36,546,17,39,43.6,17,1,369,2003,976,49,15,6,32,21,527,380,72.1,58,Matches
445,Riqui Puig\f090a37a,es ESP,MF,Barcelona,22-182,1999,3.4,295,2,26,168,118,4,290,4,4,100.0,4,0,241,1028,449,21,7,0,4,6,275,254,92.4,15,Matches
446,Yacine Qasmi\3b3cbebb,ma MAR,MF,Rayo Vallecano,31-039,1991,0.0,5,0,0,2,3,0,5,0,0,,0,0,1,0,0,0,0,0,1,0,5,3,60.0,1,Matches
