,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
36,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,25-174,1996,1.2,3,2.43,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
37,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,27-294,1994,14.4,34,2.37,26,1,2,3,2,0,6,0.42,3,0,1,2,0,0,Matches
38,Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,27-002,1995,9.0,39,4.33,33,0,0,1,4,1,2,0.22,2,0,0,0,0,0,Matches
39,Kevin Behrens\30ae134d,de GER,FWMF,Union Berlin,31-008,1991,4.4,14,3.17,11,0,0,2,1,0,3,0.68,1,0,0,1,1,0,Matches
40,Ishak Belfodil\ff182fdc,dz ALG,FW,Hertha BSC,30-030,1992,10.3,23,2.23,20,0,1,1,1,0,3,0.29,2,0,0,1,0,0,Matches
41,Stefan Bell\857a5abe,de GER,DF,Mainz 05,30-171,1991,19.1,8,0.42,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Armel Bella Kotchap\a39d11bc,de GER,DF,Bochum,20-062,2001,9.9,6,0.60,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Karim Bellarabi\bee0bab1,de GER,FWMF,Leverkusen,31-309,1990,6.0,19,3.19,10,0,1,4,3,1,4,0.67,2,0,0,1,1,0,Matches
44,Jude Bellingham\57d88cf9,eng ENG,MF,Dortmund,18-227,2003,18.0,69,3.83,43,1,8,4,9,4,15,0.83,8,1,2,0,1,3,Matches
45,George Bello\aca0a525,us USA,DF,Arminia,20-020,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,24-155,1997,2.6,11,4.21,4,4,0,1,1,1,1,0.38,0,0,0,1,0,0,Matches
47,Keanan Bennetts\f4c7c708,eng ENG,FWDF,M'Gladbach,22-339,1999,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Ramy Bensebaini\378825c7,dz ALG,DF,M'Gladbach,26-301,1995,11.5,13,1.13,11,1,0,1,0,0,2,0.17,1,0,0,1,0,0,Matches
49,Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,21-268,2000,6.5,5,0.77,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Bartosz Bialek\763b8b37,pl POL,FW,Wolfsburg,20-092,2001,0.4,1,2.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Danny Blum\eb61713c,de GER,FW,Bochum,31-035,1991,2.5,13,5.13,8,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,34-342,1987,4.3,7,1.61,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Herbert Bockhorn\5ad8c360,de GER,DFMF,Bochum,27-011,1995,5.2,6,1.15,3,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
54,Jean-Paul Boëtius\635f2732,nl NED,MF,Mainz 05,27-326,1994,12.7,42,3.30,30,9,0,1,0,2,6,0.47,4,1,0,1,0,0,Matches
55,Tarsis Bonga\6ebbc28a,de GER,FW,Bochum,25-032,1997,0.0,1,30.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
56,Solomon Bonnah\dd7b6eb8,nl NED,DF,RB Leipzig,18-176,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Sebastiaan Bornauw\01834aa0,be BEL,DF,Wolfsburg,22-326,1999,12.7,3,0.24,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,26-149,1995,18.6,42,2.26,25,0,5,6,5,1,8,0.43,5,0,2,0,1,0,Matches
59,Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,31-075,1990,11.1,5,0.45,4,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
60,Julian Brandt\a167537f,de GER,MFFW,Dortmund,25-285,1996,14.1,55,3.89,32,17,4,2,0,0,10,0.71,6,3,1,0,0,0,Matches
61,Iker Bravo\db8c8860,es ESP,FW,Leverkusen,17-029,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Josip Brekalo\d4a2533d,hr CRO,MF,Wolfsburg,23-233,1998,0.2,1,4.29,1,0,0,0,0,0,1,4.29,1,0,0,0,0,0,Matches
64,Brian Brobbey\4c184730,nl NED,FW,RB Leipzig,20-010,2002,1.5,4,2.75,3,0,0,1,0,0,2,1.37,2,0,0,0,0,0,Matches
65,John Brooks\e27da244,us USA,DF,Wolfsburg,29-014,1993,16.1,8,0.50,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Daniel Brosinski\a7813ac4,de GER,DF,Mainz 05,33-209,1988,3.3,7,2.10,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Cédric Brunner\f0a37d36,ch SUI,DF,Arminia,27-359,1994,19.0,21,1.10,15,4,0,0,1,1,2,0.11,2,0,0,0,0,0,Matches
68,Jacob Bruun Larsen\4e204552,dk DEN,FWMF,Hoffenheim,23-145,1998,5.2,16,3.09,12,0,2,1,0,1,0,0.00,0,0,0,0,0,0,Matches
69,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13.0,1,0.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Delano Burgzorg\05e2d5ea,nl NED,MF,Mainz 05,23-096,1998,0.0,1,22.50,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Jonathan Burkardt\05f99a4a,de GER,FW,Mainz 05,21-215,2000,17.7,43,2.43,36,0,1,2,3,1,6,0.34,5,0,1,0,0,0,Matches
72,Daniel Caligiuri\d1273f09,it ITA,MFDF,Augsburg,34-027,1988,12.6,40,3.17,16,13,3,2,3,3,3,0.24,0,2,0,1,0,0,Matches
73,Emre Can\a65ce836,de GER,MFDF,Dortmund,28-030,1994,8.1,7,0.87,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
74,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Gonzalo Castro\68829001,de GER,MF,Arminia,34-245,1987,0.5,4,7.50,1,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Timothy Chandler\b3b7f5a6,us USA,DF,Eint Frankfurt,31-319,1990,9.8,10,1.02,7,3,0,0,0,0,1,0.10,0,1,0,0,0,0,Matches
77,Max Christiansen\e7b899b8,de GER,MF,Greuther Fürth,25-139,1996,13.5,13,0.97,11,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
78,Kingsley Coman\042e8a49,fr FRA,FWDF,Bayern Munich,25-243,1996,7.5,26,3.46,18,2,2,2,0,2,3,0.40,3,0,0,0,0,0,Matches
79,Lucas Copado\8356931a,de GER,FW,Bayern Munich,18-032,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Sergio Córdova\229cd98a,ve VEN,FWMF,Augsburg,24-186,1997,3.6,5,1.37,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
