,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
31,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,22-341,1999,13.4,20,13,16,4,0,9,12,75.0,3,102,35,34.3,48,45,9,28,9,1,19,22,42,49,1,Matches
32,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-224,1999,1.9,4,3,0,3,1,1,2,50.0,1,19,8,42.1,7,11,1,1,0,0,1,1,5,3,0,Matches
33,Matias Arezo\484ebdb0,uy URU,FW,Granada,19-082,2002,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,Matches
34,Santiago Arias\fdd60087,co COL,DF,Granada,30-029,1992,3.6,9,3,7,2,0,2,7,28.6,5,57,18,31.6,38,13,6,8,3,0,5,4,13,7,0,Matches
35,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-282,1998,3.9,8,6,6,1,1,3,11,27.3,8,75,20,26.7,32,26,17,8,0,0,8,5,13,12,0,Matches
36,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,26-021,1996,11.0,8,6,5,3,0,2,11,18.2,9,117,32,27.4,19,50,48,8,1,0,7,13,21,2,0,Matches
38,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-194,1987,19.7,8,4,1,2,5,2,13,15.4,11,242,56,23.1,28,96,118,23,3,1,20,14,22,7,0,Matches
39,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,32-238,1989,0.3,0,0,0,0,0,0,0,,0,6,1,16.7,0,3,3,5,0,0,5,0,0,0,0,Matches
40,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-296,1994,4.9,13,8,6,4,3,3,5,60.0,2,56,21,37.5,28,12,16,12,1,0,11,8,21,17,0,Matches
41,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-049,1992,4.0,13,10,8,4,1,3,4,75.0,1,41,23,56.1,21,10,10,6,2,0,4,7,20,5,0,Matches
42,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,28-005,1994,9.8,8,4,3,4,1,7,12,58.3,5,128,41,32.0,12,52,64,14,2,0,12,13,21,6,0,Matches
43,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,26-020,1996,14.6,58,41,30,26,2,15,25,60.0,10,262,91,34.7,104,140,18,22,4,0,18,24,82,28,0,Matches
44,Carlos Bacca\09a9e921,co COL,FW,Granada,35-156,1986,5.5,5,3,2,1,2,1,4,25.0,3,56,15,26.8,10,26,20,7,2,0,5,1,6,5,0,Matches
45,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,1,1,0,0,Matches
46,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,21-321,2000,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,18-116,2003,1.1,3,2,1,1,1,0,0,,0,23,7,30.4,10,7,6,2,1,0,1,0,3,0,0,Matches
48,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,32-210,1989,2.1,0,0,0,0,0,0,4,0.0,4,23,7,30.4,4,12,7,2,0,0,2,5,5,1,0,Matches
49,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,33-347,1988,18.1,42,31,19,20,3,19,33,57.6,14,207,67,32.4,70,103,34,45,4,0,41,41,83,54,0,Matches
50,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,30-041,1992,21.0,20,9,8,6,6,6,18,33.3,12,195,53,27.2,82,73,40,23,4,0,19,39,59,40,0,Matches
51,Barbero\981c1863,es ESP,FWMF,Osasuna,23-178,1998,0.2,1,1,1,0,0,0,0,,0,7,1,14.3,1,3,3,0,0,0,0,0,1,1,0,Matches
52,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,26-224,1995,10.7,21,14,7,11,3,6,20,30.0,14,206,48,23.3,47,114,45,11,1,0,10,12,33,2,0,Matches
53,Keidi Bare\03049c8c,al ALB,MF,Espanyol,24-167,1997,8.7,19,14,9,7,3,9,18,50.0,9,143,46,32.2,60,68,15,14,6,0,8,14,33,17,0,Matches
54,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,24-316,1997,7.1,11,3,3,5,3,7,19,36.8,12,105,33,31.4,17,54,34,12,2,0,10,12,23,3,0,Matches
55,Antonio Barragán\487d9b09,es ESP,DF,Elche,34-244,1987,6.5,18,6,14,4,0,9,12,75.0,3,58,16,27.6,31,23,4,14,1,0,13,13,31,14,0,Matches
56,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,20-046,2001,6.1,21,15,13,7,1,7,18,38.9,11,130,38,29.2,34,55,41,5,0,0,5,7,28,3,0,Matches
57,Marc Bartra\b742cc0d,es ESP,DF,Betis,31-027,1991,9.1,15,8,10,4,1,6,13,46.2,7,75,31,41.3,47,23,5,20,7,0,13,18,33,44,0,Matches
58,Álvaro Bastida\42a028c5,es ESP,MF,Cádiz,17-275,2004,2.2,5,2,1,4,0,2,3,66.7,1,44,8,18.2,12,31,1,0,0,0,0,4,9,0,0,Matches
59,Rodrigo Battaglia\d637fc22,ar ARG,MF,Mallorca,30-214,1991,7.5,21,16,9,12,0,8,16,50.0,8,121,44,36.4,45,68,8,16,7,1,9,9,30,17,0,Matches
