,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
132,Matheus Cunha\dc62b55d,br BRA,FW,Atlético Madrid,22-260,1999,5.7,16,12,3,8,5,3,6,50.0,3,118,34,28.8,18,44,56,9,2,0,7,3,19,5,0,Matches
133,Sergi Darder\070a3904,es ESP,MF,Espanyol,28-051,1993,19.8,20,11,6,8,6,7,25,28.0,18,288,71,24.7,91,151,46,16,1,0,15,27,47,17,1,Matches
134,Rodrigo De Paul\162efffd,ar ARG,MF,Atlético Madrid,27-263,1994,14.6,33,17,13,15,5,14,32,43.8,18,299,75,25.1,84,172,43,19,2,0,17,21,54,16,0,Matches
135,Thomas Delaney\fe641c1a,dk DEN,MF,Sevilla,30-161,1991,7.8,10,6,4,4,2,1,5,20.0,4,91,27,29.7,36,45,10,17,6,0,11,7,17,18,0,Matches
136,Ousmane Dembélé\b19db005,fr FRA,FWDF,Barcelona,24-272,1997,4.4,5,4,3,2,0,0,4,0.0,4,58,17,29.3,18,18,22,4,0,0,4,4,9,1,0,Matches
137,Yusuf Demir\fa265f6d,at AUT,FW,Barcelona,18-254,2003,2.1,2,1,2,0,0,0,4,0.0,4,39,19,48.7,17,13,9,5,0,0,5,0,2,1,0,Matches
138,Memphis Depay\8f696594,nl NED,FW,Barcelona,27-363,1994,15.3,8,4,2,1,5,1,9,11.1,8,144,43,29.9,8,57,79,9,2,0,7,2,10,1,0,Matches
139,Sergiño Dest\5976f83e,us USA,DFFW,Barcelona,21-100,2000,12.0,28,19,18,7,3,16,23,69.6,7,173,59,34.1,74,57,42,16,3,0,13,12,40,9,0,Matches
140,Boulaye Dia\244bc2c8,sn SEN,FW,Villarreal,25-087,1996,9.7,6,6,2,3,1,1,5,20.0,4,148,40,27.0,17,57,74,10,1,0,9,7,13,3,0,Matches
141,Mouctar Diakhaby\d2110326,fr FRA,DF,Valencia,25-054,1996,11.3,25,14,14,9,2,9,14,64.3,5,134,43,32.1,71,52,11,27,13,0,14,34,59,48,0,Matches
142,Javier Díaz\17a1299d,es ESP,GK,Sevilla,24-272,1997,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Víctor Díaz\3624ce4c,es ESP,DF,Granada,33-244,1988,8.7,17,8,10,6,1,8,16,50.0,8,91,27,29.7,49,37,5,16,10,0,6,14,31,44,0,Matches
144,Landry Dimata\b5f63410,be BEL,FWMF,Espanyol,24-163,1997,5.3,2,1,1,1,0,0,1,0.0,1,80,22,27.5,7,39,34,2,0,0,2,2,4,7,0,Matches
145,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,28-048,1993,18.8,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,1,Matches
146,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,34-279,1987,23.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,1,1,Matches
147,Djené\a4971d84,tg TOG,DF,Getafe,30-042,1991,20.6,33,23,17,14,2,13,18,72.2,5,191,69,36.1,101,83,7,22,3,0,19,64,97,77,2,Matches
148,Naïs Djouahra\3594a357,fr FRA,MF,Real Sociedad,22-080,1999,0.2,2,2,1,1,0,0,1,0.0,1,6,4,66.7,2,3,1,0,0,0,0,0,2,1,0,Matches
149,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,30-018,1992,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
150,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,31-098,1990,1.8,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,2,Matches
151,Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,21-041,2001,3.0,3,1,3,0,0,1,3,33.3,2,36,13,36.1,26,10,0,2,1,0,1,4,7,15,0,Matches
152,Domingos Duarte\93090f69,pt POR,DF,Granada,26-338,1995,7.6,6,2,3,3,0,1,4,25.0,3,53,14,26.4,32,19,2,16,10,1,6,10,16,47,1,Matches
153,Óscar Duarte\aa0ac32d,cr CRC,DF,Levante,32-253,1989,10.3,9,7,5,4,0,1,5,20.0,4,82,27,32.9,46,33,3,15,7,0,8,17,26,47,0,Matches
154,Rubén Duarte\1fe0492d,es ESP,DF,Alavés,26-116,1995,18.0,50,26,29,18,3,22,46,47.8,24,228,64,28.1,123,77,28,49,5,0,44,48,98,62,0,Matches
155,Unai Dufur\c261b5dd,es ESP,DF,Osasuna,23-041,1999,1.0,1,1,0,1,0,0,0,,0,7,3,42.9,4,3,0,1,0,0,1,3,4,3,0,Matches
156,Hugo Duro\37e103f8,es ESP,MFFW,Valencia,22-093,1999,13.7,20,12,8,10,2,8,25,32.0,17,323,81,25.1,58,151,114,22,2,0,20,6,26,7,0,Matches
157,Hugo Duro\37e103f8,es ESP,DFMF,Getafe,22-093,1999,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
158,Aritz Elustondo\f7dc2ae5,es ESP,DF,Real Sociedad,27-320,1994,16.6,15,10,13,2,0,4,9,44.4,5,109,44,40.4,62,39,8,21,9,0,12,34,49,74,0,Matches
159,Adri Embarba\db8f0eba,es ESP,MFFW,Espanyol,29-280,1992,17.8,25,15,10,8,7,12,40,30.0,28,245,59,24.1,68,107,70,30,2,0,28,22,47,21,0,Matches
160,Emerson\df8b52a5,br BRA,DF,Barcelona,23-028,1999,1.0,4,3,2,2,0,2,4,50.0,2,26,6,23.1,11,11,4,1,0,0,1,2,6,1,0,Matches
161,Youssef En-Nesyri\04e17fd5,ma MAR,FW,Sevilla,24-255,1997,6.1,1,1,0,1,0,0,5,0.0,5,74,13,17.6,4,36,34,4,3,0,1,2,3,10,0,Matches
162,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Alavés,28-321,1993,3.0,6,4,2,4,0,1,8,12.5,7,43,13,30.2,13,26,4,8,1,0,7,5,11,9,0,Matches
163,Aarón Escandell\67669ce7,es ESP,GK,Granada,26-137,1995,3.2,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
164,Sergio Escudero\b0616e3d,es ESP,DFMF,Granada,32-162,1989,6.2,22,14,11,9,2,9,21,42.9,12,102,34,33.3,53,34,15,10,1,0,9,12,34,9,0,Matches
165,Alfonso Espino\db001fa9,uy URU,DF,Cádiz,30-037,1992,23.0,70,47,43,21,6,27,63,42.9,36,458,137,29.9,261,148,49,56,8,0,48,62,132,68,1,Matches
166,Estanis\ace50e9f,es ESP,FW,Barcelona,18-171,2003,0.1,1,1,0,1,0,1,1,100.0,0,5,3,60.0,2,3,0,0,0,0,0,1,2,0,0,Matches
167,Pervis Estupiñán\d38fdf53,ec ECU,DF,Villarreal,24-021,1998,11.2,22,12,14,7,1,10,18,55.6,8,149,57,38.3,75,53,21,25,4,0,21,31,53,17,2,Matches
168,Abdessamad Ezzalzouli\bed68338,ma MAR,FWDF,Barcelona,20-056,2001,6.4,15,10,9,4,2,5,8,62.5,3,101,33,32.7,28,39,34,6,0,0,6,11,26,0,0,Matches
169,Radamel Falcao\66116290,co COL,FW,Rayo Vallecano,36-001,1986,6.1,3,1,1,1,1,0,1,0.0,1,95,29,30.5,6,43,46,3,0,0,3,0,3,8,0,Matches
170,Fali\72a84002,es ESP,DFMF,Cádiz,28-183,1993,13.7,26,17,20,6,0,12,26,46.2,14,168,49,29.2,109,55,4,28,9,0,19,22,48,59,0,Matches
171,Ansu Fati\0ba976e4,es ESP,FW,Barcelona,19-103,2002,2.4,3,1,0,2,1,0,0,,0,41,11,26.8,1,20,20,3,0,0,3,2,5,0,0,Matches
172,Aleix Febas\38126309,es ESP,MF,Mallorca,26-009,1996,1.3,5,4,0,5,0,2,3,66.7,1,33,12,36.4,10,20,3,1,0,0,1,0,5,0,0,Matches
173,Nabil Fekir\bece776f,fr FRA,MF,Betis,28-208,1993,19.5,28,22,3,15,10,5,14,35.7,9,372,96,25.8,58,196,118,12,1,0,11,13,41,2,0,Matches
174,Felipe\51a3c4c8,br BRA,DF,Atlético Madrid,32-271,1989,11.1,10,7,5,4,1,3,11,27.3,8,83,27,32.5,37,43,3,15,6,0,9,18,28,48,1,Matches
175,João Félix\8aafd64f,pt POR,FWMF,Atlético Madrid,22-093,1999,7.5,4,3,2,1,1,0,1,0.0,1,49,17,34.7,6,15,28,1,1,0,0,5,9,5,0,Matches
176,Aitor Fernández\a01c3d54,es ESP,GK,Levante,30-284,1991,13.0,1,1,0,1,0,1,1,100.0,0,3,1,33.3,3,0,0,0,0,0,0,0,1,0,1,Matches
177,Álex Fernández\aa677a35,es ESP,MFFW,Cádiz,29-119,1992,16.3,39,25,22,10,7,15,41,36.6,26,356,87,24.4,135,189,32,29,5,0,24,34,73,24,0,Matches
178,Fernando\41f32541,br BRA,MFDF,Sevilla,34-201,1987,18.5,27,21,17,9,1,9,35,25.7,26,187,68,36.4,92,86,9,33,12,0,21,37,64,44,0,Matches
179,Fidel\eb82b6f1,es ESP,MF,Elche,32-107,1989,16.0,22,13,8,8,6,7,33,21.2,26,227,71,31.3,84,98,45,10,0,0,10,14,36,16,0,Matches
180,José Fontán\1827a42d,es ESP,DF,Celta Vigo,22-000,2000,2.0,5,2,2,3,0,0,1,0.0,1,19,8,42.1,9,10,0,1,0,0,1,3,8,9,0,Matches
181,Dimitri Foulquier\45e17712,fr FRA,DF,Granada,28-325,1993,2.0,2,2,2,0,0,1,3,33.3,2,18,3,16.7,3,10,5,1,1,1,0,2,4,4,0,Matches
182,Dimitri Foulquier\45e17712,fr FRA,DF,Valencia,28-325,1993,15.2,29,17,14,12,3,9,15,60.0,6,241,60,24.9,104,102,35,35,5,0,30,24,53,33,0,Matches
183,Juan Foyth\6c7762c3,ar ARG,DF,Villarreal,24-030,1998,15.0,49,31,29,15,5,21,29,72.4,8,208,71,34.1,108,74,26,29,4,0,25,26,75,43,0,Matches
184,Enric Franquesa\40883e3a,es ESP,DF,Levante,24-350,1997,6.0,6,3,3,0,3,1,2,50.0,1,84,17,20.2,42,30,12,9,0,0,9,6,12,10,0,Matches
185,Jorge de Frutos\38ce1150,es ESP,MFFW,Levante,24-356,1997,14.7,31,21,12,8,11,7,35,20.0,28,278,71,25.5,91,114,73,17,1,0,16,20,51,10,0,Matches
186,Javi Galán\a4b00319,es ESP,DF,Celta Vigo,27-084,1994,22.6,89,51,45,35,9,30,61,49.2,31,412,144,35.0,175,173,64,48,6,0,42,49,138,29,0,Matches
187,Iñigo Ruiz de Galarreta\91f7631f,es ESP,MF,Mallorca,28-189,1993,13.8,37,21,13,21,3,11,27,40.7,16,205,61,29.8,54,127,24,17,2,0,15,23,60,20,0,Matches
188,Thiago Galhardo\766f48dd,br BRA,FWMF,Celta Vigo,32-206,1989,5.7,5,4,1,2,2,0,6,0.0,6,101,31,30.7,17,36,48,15,3,0,12,4,9,5,0,Matches
189,Álvaro García\90bbd822,es ESP,FWMF,Rayo Vallecano,29-107,1992,18.6,30,17,8,15,7,3,19,15.8,16,256,76,29.7,63,94,99,31,3,0,28,39,69,9,0,Matches
190,Dani García\240d3a0b,es ESP,MF,Athletic Club,31-263,1990,18.3,26,18,12,12,2,10,36,27.8,26,240,73,30.4,77,125,38,22,7,0,15,17,43,37,1,Matches
191,David García\3e42f707,es ESP,DF,Osasuna,27-362,1994,21.0,23,14,13,8,2,7,10,70.0,3,161,54,33.5,78,76,7,27,16,1,11,43,66,139,0,Matches
192,Eric García\2bed3eab,es ESP,DF,Barcelona,21-033,2001,13.8,11,5,4,7,0,3,15,20.0,12,122,42,34.4,56,60,6,26,11,0,15,28,39,23,1,Matches
193,Francisco Garcia\7226539b,es ESP,DF,Rayo Vallecano,22-181,1999,21.0,46,26,30,13,3,29,54,53.7,25,340,100,29.4,175,138,27,43,5,0,38,49,95,46,0,Matches
194,Joan García\87b498b0,es ESP,GK,Espanyol,20-283,2001,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
195,Manu García\6ed1a2a2,es ESP,MF,Alavés,24-040,1998,8.1,10,7,4,5,1,5,16,31.3,11,126,33,26.2,33,65,28,8,0,0,8,9,19,2,0,Matches
196,Raúl García\b418dbd4,es ESP,FW,Athletic Club,35-215,1986,13.2,17,12,6,10,1,3,18,16.7,15,297,77,25.9,22,145,130,25,5,0,20,15,32,12,0,Matches
197,Rubén García\5c96b017,es ESP,MFFW,Osasuna,28-212,1993,17.1,31,15,8,15,8,10,29,34.5,19,265,76,28.7,76,121,68,35,3,0,32,15,46,10,1,Matches
198,Saúl García\dafa5038,es ESP,FW,Alavés,27-094,1994,0.0,1,0,1,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,1,0,0,Matches
199,Unai García\4a633cfe,es ESP,DF,Osasuna,30-008,1992,13.1,28,13,19,7,2,17,22,77.3,5,104,27,26.0,59,39,6,21,6,0,15,28,56,68,0,Matches
200,Mario Gaspar\fb5d47b3,es ESP,DF,Villarreal,31-079,1990,4.0,6,5,3,3,0,3,6,50.0,3,44,14,31.8,18,17,9,8,2,0,6,6,12,6,0,Matches
201,Óscar Gil\6652cf96,es ESP,DF,Espanyol,24-291,1997,11.6,34,20,22,10,2,15,34,44.1,19,212,56,26.4,125,58,29,26,6,0,20,11,45,13,1,Matches
202,Dani Gómez\0e5ddc7c,es ESP,FW,Levante,23-196,1998,5.3,1,1,0,1,0,0,3,0.0,3,94,27,28.7,10,56,28,1,0,0,1,1,2,4,0,Matches
203,Maxi Gómez\4c2e9442,uy URU,FW,Valencia,25-181,1996,13.5,4,2,0,3,1,1,3,33.3,2,124,29,23.4,5,53,66,5,1,0,4,1,5,9,0,Matches
204,Moi Gómez\5a626448,es ESP,MFFW,Villarreal,27-233,1994,10.0,14,7,6,4,4,6,9,66.7,3,151,51,33.8,31,68,52,7,0,0,7,13,27,5,0,Matches
205,Papu Gómez\6e4df551,ar ARG,FWMF,Sevilla,33-361,1988,12.4,10,8,5,4,1,5,16,31.3,11,120,34,28.3,29,55,36,11,0,0,11,10,20,8,0,Matches
206,Sergi Gómez\bc6f5f06,es ESP,DF,Espanyol,29-320,1992,21.3,23,10,20,2,1,11,20,55.0,9,138,50,36.2,83,49,6,35,18,0,17,34,57,121,2,Matches
207,Maxime Gonalons\b8c1de25,fr FRA,MF,Granada,32-338,1989,13.0,39,25,19,16,4,12,37,32.4,25,274,70,25.5,100,151,23,29,11,0,18,22,61,29,0,Matches
208,Diego González\4ac7608e,es ESP,DF,Elche,27-014,1995,12.6,25,12,16,6,3,8,13,61.5,5,110,30,27.3,68,34,8,19,9,0,10,32,57,62,0,Matches
209,Édgar González\49d028db,es ESP,DF,Betis,24-316,1997,13.8,20,13,14,3,3,11,20,55.0,9,99,38,38.4,52,40,7,24,12,1,12,33,53,88,0,Matches
210,Nicolás González\2c56a792,es ESP,MF,Barcelona,20-039,2002,10.6,28,21,9,15,4,11,25,44.0,14,221,68,30.8,50,131,40,9,0,0,9,8,36,12,0,Matches
211,Peter González\1ccd3dae,do DOM,DFFW,Real Madrid,19-201,2002,0.1,1,1,0,1,0,0,0,,0,3,2,66.7,1,1,1,0,0,0,0,1,2,0,0,Matches
212,Roberto González\56545648,es ESP,FWMF,Betis,21-036,2001,1.5,4,2,2,2,0,3,6,50.0,3,47,14,29.8,15,24,8,7,0,0,7,2,6,0,0,Matches
213,Gori\f3451c66,es ESP,MF,Espanyol,19-272,2002,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,2,0,1,0,0,1,0,0,0,0,Matches
214,Andoni Gorosabel\6f5f82c0,es ESP,DF,Real Sociedad,25-191,1996,13.3,25,17,16,5,4,12,21,57.1,9,165,50,30.3,75,58,32,19,1,0,18,8,33,27,0,Matches
215,Jaume Grau\fc3d2006,es ESP,MF,Osasuna,24-282,1997,0.0,1,1,1,0,0,0,1,0.0,1,2,1,50.0,1,1,0,0,0,0,0,0,1,0,0,Matches
216,Dominik Greif\30061f53,sk SVK,GK,Mallorca,24-311,1997,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
217,Antoine Griezmann\df69b544,fr FRA,FWMF,Atlético Madrid,30-327,1991,9.7,11,6,1,8,2,3,12,25.0,9,182,53,29.1,19,100,63,12,0,0,12,9,20,8,0,Matches
218,Antoine Griezmann\df69b544,fr FRA,FW,Barcelona,30-327,1991,2.9,9,6,3,6,0,2,6,33.3,4,67,28,41.8,11,38,18,5,0,0,5,6,15,5,0,Matches
219,Arnaut Groeneveld\f08490a6,nl NED,FWMF,Villarreal,25-011,1997,9.1,3,0,2,0,1,1,3,33.3,2,56,17,30.4,7,13,36,6,1,0,5,2,5,0,0,Matches
220,Andrés Guardado\ef322658,mx MEX,MF,Betis,35-136,1986,12.0,23,17,11,11,1,12,22,54.5,10,151,40,26.5,59,78,14,19,3,0,16,20,43,29,1,Matches
221,Sergi Guardiola\32974271,es ESP,FW,Rayo Vallecano,30-258,1991,8.0,7,6,1,4,2,0,8,0.0,8,156,40,25.6,6,61,89,10,2,0,8,7,14,2,0,Matches
222,Nemanja Gudelj\0076ab7f,rs SRB,MFDF,Sevilla,30-087,1991,4.8,7,6,5,2,0,3,4,75.0,1,52,20,38.5,26,22,4,9,2,0,7,8,15,15,0,Matches
223,Gonçalo Guedes\e6bc67d7,pt POR,FWMF,Valencia,25-074,1996,19.3,25,14,6,5,14,2,18,11.1,16,237,63,26.6,28,100,109,12,0,0,12,15,40,0,0,Matches
224,Ander Guevara\8e48dc61,es ESP,MF,Real Sociedad,24-219,1997,9.0,16,8,8,6,2,8,16,50.0,8,145,47,32.4,58,70,17,22,5,0,17,11,27,11,0,Matches
225,John Guidetti\99bebd12,se SWE,FWMF,Alavés,29-302,1992,3.1,2,1,0,0,2,0,0,,0,73,17,23.3,9,22,42,4,2,0,2,3,5,0,0,Matches
226,Hugo Guillamón\f7c12fbf,es ESP,MFDF,Valencia,22-011,2000,18.5,29,21,13,13,3,12,28,42.9,16,277,74,26.7,103,146,28,27,7,0,20,37,66,45,0,Matches
227,Gerard Gumbau\ac454a4f,es ESP,MF,Elche,27-055,1994,10.9,22,9,9,13,0,8,21,38.1,13,245,46,18.8,83,135,27,16,3,0,13,9,31,14,0,Matches
228,Jon Guridi\4c0a6a48,es ESP,MF,Real Sociedad,26-348,1995,1.2,1,0,0,1,0,0,2,0.0,2,17,4,23.5,1,11,5,1,1,0,0,1,2,2,0,Matches
229,Raúl Guti\0b2c8585,es ESP,MF,Elche,25-043,1996,11.6,16,9,3,9,4,4,18,22.2,14,147,42,28.6,47,81,19,10,2,0,8,24,40,6,0,Matches
230,Marcos Mauro López Gutiérrez\b3b62f94,ar ARG,DF,Cádiz,31-033,1991,1.5,1,1,0,1,0,0,2,0.0,2,12,4,33.3,7,5,0,2,1,0,1,4,5,13,0,Matches
231,Miguel Gutiérrez\7e98cff1,es ESP,DF,Real Madrid,20-199,2001,2.9,5,4,4,0,1,2,4,50.0,2,23,7,30.4,9,9,5,1,0,0,1,5,10,4,0,Matches
232,Munir El Haddadi\8696bc90,ma MAR,FW,Sevilla,26-163,1995,2.9,3,1,0,2,1,2,4,50.0,2,43,9,20.9,9,18,16,5,0,0,5,3,6,4,0,Matches
233,Varazdat Haroyan\be32269e,am ARM,DF,Cádiz,29-171,1992,16.0,34,21,22,12,0,15,29,51.7,14,182,72,39.6,100,79,3,28,14,0,14,29,63,79,1,Matches
234,Eden Hazard\a39bb753,be BEL,FWMF,Real Madrid,31-035,1991,7.5,8,6,5,3,0,3,6,50.0,3,71,18,25.4,21,35,15,3,1,0,2,8,16,1,0,Matches
235,Kike Hermoso\dea912dc,es ESP,DF,Betis,22-185,1999,1.0,2,2,2,0,0,1,1,100.0,0,8,3,37.5,4,4,0,5,2,0,3,1,3,11,0,Matches
236,Mario Hermoso\555f3a0b,es ESP,DF,Atlético Madrid,26-238,1995,18.3,25,14,17,6,2,16,40,40.0,24,154,57,37.0,91,45,18,27,3,0,24,33,58,36,1,Matches
237,Aridane Hernández\132ac341,gq EQG,DF,Osasuna,32-325,1989,5.8,5,2,5,0,0,2,4,50.0,2,34,9,26.5,23,10,1,10,3,0,7,10,15,38,0,Matches
238,Luis Hernández\02d2c436,es ESP,DFMF,Cádiz,32-303,1989,0.2,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,2,0,0,2,0,0,0,0,Matches
239,Mario Hernández\90162357,es ESP,DF,Rayo Vallecano,23-017,1999,1.3,2,2,2,0,0,1,3,33.3,2,19,6,31.6,10,5,4,0,0,0,0,4,6,2,0,Matches
240,Héctor Herrera\a8542814,mx MEX,MF,Atlético Madrid,31-298,1990,3.6,10,7,8,2,0,3,7,42.9,4,69,28,40.6,27,29,13,6,0,0,6,3,13,10,0,Matches
241,Sergio Herrera\a4995f48,es ESP,GK,Osasuna,28-251,1993,22.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,1,0,0,1,0,0,1,0,Matches
242,Yangel Herrera\e778654a,ve VEN,MF,Espanyol,24-035,1998,6.5,18,15,8,8,2,2,5,40.0,3,134,36,26.9,55,64,15,10,2,0,8,11,29,8,0,Matches
243,Matthew Hoppe\1bc432b7,us USA,FW,Mallorca,20-335,2001,1.2,1,1,0,0,1,0,2,0.0,2,31,7,22.6,4,13,14,0,0,0,0,0,1,0,0,Matches
244,Robert Ibáñez\c7429db3,es ESP,MF,Osasuna,28-326,1993,1.0,2,0,2,0,0,0,0,,0,18,7,38.9,7,5,6,1,0,0,1,2,4,0,0,Matches
245,Vicente Iborra\ad1ffcfd,es ESP,MF,Villarreal,34-026,1988,4.9,8,5,4,3,1,6,16,37.5,10,68,18,26.5,23,39,6,8,4,0,4,6,14,10,0,Matches
246,Oussama Idrissi\34caa4b3,ma MAR,FW,Cádiz,25-350,1996,0.0,1,1,1,0,0,0,0,,0,3,1,33.3,1,0,2,0,0,0,0,0,1,0,0,Matches
247,Oussama Idrissi\34caa4b3,ma MAR,FWMF,Sevilla,25-350,1996,1.4,1,1,0,1,0,0,1,0.0,1,24,9,37.5,1,13,10,1,0,0,1,4,5,1,0,Matches
248,Iglesias\974322dc,es ESP,DF,Getafe,23-223,1998,3.8,13,11,8,5,0,4,12,33.3,8,80,26,32.5,36,30,14,12,2,0,10,10,23,7,0,Matches
249,Borja Iglesias\75645f0e,es ESP,FW,Betis,29-025,1993,8.2,2,2,0,0,2,1,4,25.0,3,96,16,16.7,8,32,56,5,1,0,4,3,5,3,0,Matches
250,Nikita Iosifov\4c2fa917,ru RUS,MF,Villarreal,20-306,2001,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
251,Alexander Isak\8e92be30,se SWE,FW,Real Sociedad,22-143,1999,13.7,6,4,2,4,0,2,8,25.0,6,127,32,25.2,9,42,76,6,0,0,6,3,9,5,0,Matches
252,Isco\a0b4bb3e,es ESP,MFFW,Real Madrid,29-296,1992,2.2,9,6,7,2,0,3,11,27.3,8,63,20,31.7,18,32,13,0,0,0,0,1,10,0,0,Matches
253,Nicolas Jackson\9c36ed83,sn SEN,FW,Villarreal,20-236,2001,0.7,1,0,0,0,1,0,1,0.0,1,20,7,35.0,2,7,11,0,0,0,0,0,1,0,0,Matches
254,Jakub Jankto\1ea5f91c,cz CZE,MFDF,Getafe,26-023,1996,3.6,7,4,4,2,1,6,10,60.0,4,56,16,28.6,16,24,16,3,0,0,3,5,12,3,0,Matches
255,Adnan Januzaj\4737cebe,be BEL,FWMF,Real Sociedad,27-006,1995,12.3,12,6,2,6,4,3,14,21.4,11,126,38,30.2,32,60,34,20,3,0,17,15,27,10,0,Matches
256,Jason\9038c2a1,es ESP,MFDF,Valencia,27-220,1994,0.8,2,1,1,0,1,0,3,0.0,3,24,3,12.5,10,10,4,2,0,0,2,2,4,2,0,Matches
257,Jason\9038c2a1,es ESP,MFFW,Alavés,27-220,1994,2.7,4,3,3,1,0,2,4,50.0,2,52,12,23.1,19,23,10,10,0,0,10,4,8,0,0,Matches
258,Luis Javier Suárez\eeba07f8,co COL,FWMF,Granada,24-071,1997,20.0,14,10,3,6,5,4,18,22.2,14,268,66,24.6,32,113,123,19,2,0,17,11,25,11,0,Matches
259,Álvaro Jiménez\5f5501ed,es ESP,MFFW,Cádiz,26-268,1995,2.6,8,3,4,4,0,3,5,60.0,2,60,15,25.0,28,21,11,3,0,0,3,2,10,3,0,Matches
260,Joaquín\4c5b14d2,es ESP,FW,Betis,40-205,1981,1.3,0,0,0,0,0,0,0,,0,9,3,33.3,5,1,3,5,1,0,4,1,1,3,0,Matches
261,Jofre\030ef8d6,es ESP,DFMF,Espanyol,20-239,2001,0.2,1,1,0,0,1,1,1,100.0,0,2,1,50.0,0,0,2,0,0,0,0,0,1,0,0,Matches
262,Frenkie de Jong\1bacc518,nl NED,MF,Barcelona,24-275,1997,16.5,23,16,6,11,6,3,16,18.8,13,178,48,27.0,42,96,40,17,3,0,14,17,40,12,0,Matches
263,Luuk de Jong\abb3bb95,nl NED,FW,Barcelona,31-168,1990,6.2,7,7,0,3,4,1,2,50.0,1,77,38,49.4,4,42,31,2,0,0,2,2,9,3,0,Matches
264,Joan Jordán\2a0c8ba4,es ESP,MF,Sevilla,27-220,1994,17.8,34,26,10,20,4,13,34,38.2,21,290,80,27.6,77,174,39,19,1,0,18,32,66,7,1,Matches
265,Josan\5b28b2f6,es ESP,DFMF,Elche,32-070,1989,6.9,14,8,7,7,0,7,17,41.2,10,81,24,29.6,30,37,14,7,1,0,6,11,25,9,0,Matches
266,Willian José\d87e2cae,br BRA,FW,Betis,30-080,1991,12.4,7,6,1,4,2,1,7,14.3,6,159,41,25.8,15,74,70,7,2,0,5,8,15,12,0,Matches
267,Joselu\6265208f,es ESP,FW,Alavés,31-321,1990,21.0,11,5,0,8,3,3,19,15.8,16,283,71,25.1,28,125,130,17,4,0,13,10,21,36,0,Matches
268,Josema\ed3f5f4c,es ESP,DF,Elche,25-250,1996,2.0,3,2,1,1,1,0,1,0.0,1,21,7,33.3,16,4,1,1,1,0,0,3,6,12,0,Matches
269,Luka Jović\4d8cd038,rs SRB,FW,Real Madrid,24-050,1997,3.1,1,0,0,1,0,0,0,,0,31,4,12.9,1,15,15,2,0,0,2,1,2,3,0,Matches
270,Miguel Juan Llambrich\d83f09ff,es ESP,DF,Espanyol,26-024,1996,0.8,3,2,2,1,0,1,1,100.0,0,9,3,33.3,3,4,2,3,0,0,3,2,5,1,0,Matches
271,José Juan Macías\1f1c8a15,mx MEX,FWMF,Getafe,22-142,1999,2.2,0,0,0,0,0,0,2,0.0,2,46,8,17.4,2,28,16,2,0,0,2,0,0,0,0,Matches
272,Juanmi\84399660,es ESP,FW,Betis,28-267,1993,14.2,30,17,5,16,9,13,28,46.4,15,272,74,27.2,55,122,95,16,1,0,15,9,39,5,0,Matches
273,Lago Junior\360d70f8,ci CIV,FWMF,Mallorca,31-042,1990,2.0,3,3,3,0,0,2,3,66.7,1,38,9,23.7,16,9,13,0,0,0,0,3,6,1,0,Matches
