,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
132,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,34-223,1987,21.0,825,698,815,15,0,0,565,0,1,0.0,0,0,374,1657,929,0,0,0,0,0,350,349,99.7,0,Matches
133,Kalifa Coulibaly\9980269a,ml MLI,FW,Nantes,30-174,1991,3.7,120,4,5,45,73,18,116,0,2,0.0,1,0,51,152,48,3,0,0,10,7,180,96,53.3,17,Matches
134,Nicolas Cozza\8f325097,fr FRA,DF,Montpellier,23-034,1999,18.7,1070,130,530,479,153,23,978,12,17,70.6,12,0,639,4172,1935,62,19,6,21,12,678,631,93.1,11,Matches
135,Wylan Cyprien\3e092724,fr FRA,MF,Nantes,27-014,1995,7.5,444,11,95,273,100,3,408,5,9,55.6,5,1,287,932,484,22,7,0,4,8,321,300,93.5,12,Matches
136,Lucas Da Cunha\007faf7a,fr FRA,MF,Nice,20-247,2001,4.4,216,3,22,93,120,16,196,8,14,57.1,8,0,160,1070,662,38,11,5,8,6,165,135,81.8,19,Matches
137,Lucas Da Cunha\007faf7a,fr FRA,FW,Clermont Foot,20-247,2001,0.8,35,3,6,18,19,1,35,6,8,75.0,7,0,39,243,107,7,4,0,3,4,31,26,83.9,3,Matches
138,Damien Da Silva\1ec7e1c5,fr FRA,DF,Lyon,33-270,1988,7.2,596,56,281,325,29,11,590,1,1,100.0,1,0,409,2196,1198,30,5,0,1,1,459,452,98.5,0,Matches
139,Colin Dagba\29c02c9f,fr FRA,DF,Paris S-G,23-155,1998,1.8,158,5,17,80,75,6,145,1,3,33.3,1,0,120,647,387,23,8,1,1,3,137,126,92.0,4,Matches
140,Flavius Daniliuc\7ef972c3,at AUT,DF,Nice,20-290,2001,7.1,459,51,232,232,19,0,431,4,7,57.1,4,0,316,1834,841,23,3,0,3,1,307,297,96.7,1,Matches
141,Kevin Danso\6e33125f,at AUT,DF,Lens,23-145,1998,18.4,1309,168,665,722,29,9,1277,4,9,44.4,6,0,858,6410,3374,50,2,0,8,8,892,881,98.8,0,Matches
142,Dante\fd2bc67d,br BRA,DF,Nice,38-116,1983,21.5,1788,205,875,966,45,17,1760,4,4,100.0,4,0,1283,6022,2824,65,7,0,5,1,1364,1356,99.4,1,Matches
143,Jonathan David\ce50fd99,ca CAN,FW,Lille,22-028,2000,19.2,613,13,60,297,290,97,595,18,29,62.1,18,0,409,1706,1055,54,11,13,53,37,749,444,59.3,142,Matches
144,Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,20-210,2001,8.7,347,4,45,93,248,54,333,18,31,58.1,19,2,278,1686,1250,71,16,16,11,28,325,251,77.2,50,Matches
145,Romain Del Castillo\0be95d34,fr FRA,FWMF,Brest,25-319,1996,3.3,190,1,21,88,95,13,186,7,14,50.0,7,2,148,532,280,18,5,7,13,14,176,138,78.4,26,Matches
146,Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,25-319,1996,0.3,21,0,1,13,9,1,18,1,3,33.3,1,0,15,123,90,6,0,0,0,0,15,12,80.0,1,Matches
147,Thomas Delaine\8332db56,fr FRA,DF,Metz,29-324,1992,15.6,851,31,247,402,276,17,701,13,33,39.4,17,1,510,3087,2159,102,38,7,24,21,583,498,85.4,35,Matches
148,Sacha Delaye\e4448c8c,fr FRA,MF,Montpellier,19-294,2002,0.3,11,1,10,1,0,0,11,0,0,,0,0,3,25,1,0,0,0,1,0,9,7,77.8,0,Matches
149,Andy Delort\d33c706e,dz ALG,FW,Nice,30-125,1991,13.8,528,7,33,209,303,68,503,12,23,52.2,12,0,321,1055,460,34,6,9,30,28,688,402,58.4,109,Matches
150,Andy Delort\d33c706e,dz ALG,FW,Montpellier,30-125,1991,3.0,135,6,14,47,77,19,126,0,0,,0,0,60,184,43,2,0,1,5,6,175,98,56.0,19,Matches
151,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,25-214,1996,11.8,407,15,46,172,212,75,389,10,20,50.0,11,0,229,975,504,30,7,12,44,30,511,288,56.4,107,Matches
152,Jason Denayer\47af88b8,be BEL,DF,Lyon,26-228,1995,10.1,768,112,443,358,10,6,747,1,3,33.3,2,0,530,2245,1026,14,0,0,1,1,592,580,98.0,0,Matches
153,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,27-310,1994,13.0,391,355,390,2,0,0,265,0,0,,0,0,181,756,421,0,0,0,0,0,163,163,100.0,0,Matches
154,Ángel Di María\19cda00b,ar ARG,FW,Paris S-G,33-362,1988,12.5,973,11,71,405,574,67,911,25,44,56.8,28,3,762,4512,2610,149,44,16,23,18,897,799,89.1,121,Matches
155,Yadaly Diaby\5630a6e0,fr FRA,FWMF,Clermont Foot,21-186,2000,0.7,32,2,7,13,15,4,31,1,1,100.0,1,0,21,88,68,3,1,1,1,4,24,21,87.5,8,Matches
156,Ibrahim Diakité\d8c19a60,fr FRA,MF,Reims,18-103,2003,0.0,3,0,2,1,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,Matches
157,Abdou Diallo\fc62f087,sn SEN,DF,Paris S-G,25-283,1996,8.5,673,46,214,351,160,8,616,13,20,65.0,14,0,490,2511,1479,56,21,3,7,11,509,492,96.7,10,Matches
158,Habib Diallo\6605d143,sn SEN,FW,Strasbourg,26-238,1995,11.1,406,21,40,195,192,65,393,16,30,53.3,18,4,259,1019,504,23,10,5,37,18,510,290,56.9,86,Matches
159,Mouhamadou Diarra\6d0fe035,fr FRA,MF,Strasbourg,18-039,2004,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,16,0,0,0,0,0,0,1,1,100.0,0,Matches
160,Stéphane Diarra\29939a1d,fr FRA,FWMF,Lorient,23-064,1998,5.2,252,1,29,113,136,26,235,15,28,53.6,16,1,183,1161,730,37,11,7,11,14,238,172,72.3,52,Matches
161,Krepin Diatta\8104e41e,sn SEN,MFDF,Monaco,22-351,1999,3.2,139,1,12,64,70,16,139,6,9,66.7,6,0,102,566,352,24,5,8,8,2,146,101,69.2,17,Matches
162,Bamba Dieng\40774c6b,sn SEN,FWMF,Marseille,21-325,2000,5.9,170,6,28,68,84,39,165,3,7,42.9,3,0,105,613,404,21,4,12,13,11,208,119,57.2,36,Matches
163,Elhadji Dieye\6a04bb7c,sn SEN,MFFW,Saint-Étienne,19-251,2002,0.4,22,1,5,10,8,4,20,1,2,50.0,1,0,10,72,48,2,1,1,1,1,17,11,64.7,2,Matches
164,Javairô Dilrosun\34a0f5ff,nl NED,FWMF,Bordeaux,23-234,1998,10.8,438,7,49,214,217,24,409,19,30,63.3,21,0,336,2316,1376,60,20,8,15,15,417,320,76.7,60,Matches
165,Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,Paris S-G,21-082,2000,2.7,206,4,47,132,37,5,205,4,7,57.1,4,0,162,580,241,11,3,2,1,10,185,170,91.9,6,Matches
166,Tristan Dingomé\92b56413,cm CMR,MFFW,Troyes,30-359,1991,8.4,467,5,50,249,186,20,441,11,13,84.6,11,1,260,965,465,25,8,1,14,11,398,328,82.4,67,Matches
167,Sinaly Diomande\6de23ab0,ci CIV,DF,Lyon,20-308,2001,6.4,537,63,288,272,14,4,528,2,3,66.7,2,0,383,1753,899,13,1,0,1,2,418,413,98.8,0,Matches
168,Sofiane Diop\19053e31,fr FRA,MFFW,Monaco,21-247,2000,17.4,1000,4,105,501,479,71,922,38,63,60.3,40,0,712,4020,2123,117,48,19,52,30,917,722,78.7,127,Matches
169,Andy Diouf\9b5237b1,fr FRA,MF,Rennes,19-270,2002,0.1,11,0,6,4,2,1,11,0,0,,0,0,8,46,27,1,0,0,1,0,5,5,100.0,1,Matches
170,Assane Dioussé\7f622eef,sn SEN,MF,Saint-Étienne,24-144,1997,0.3,39,0,9,29,3,0,36,0,0,,0,0,27,145,83,4,1,0,1,0,28,26,92.9,1,Matches
171,Axel Disasi\ad82197c,fr FRA,DF,Monaco,23-337,1998,17.3,1257,147,604,718,30,17,1236,8,9,88.9,8,0,850,5240,3248,81,6,1,5,2,908,886,97.6,1,Matches
172,Tiago Djaló\b2336681,pt POR,DF,Lille,21-308,2000,13.8,991,108,480,491,91,15,893,12,14,85.7,12,0,604,3191,1857,51,7,3,9,8,647,627,96.9,5,Matches
173,Alexander Djiku\43e7a164,gh GHA,DF,Strasbourg,27-186,1994,16.0,989,110,479,510,74,11,954,2,2,100.0,2,0,576,3191,1916,63,13,0,6,3,624,612,98.1,0,Matches
174,Bryan Djile Nokoué\75186a6a,cm CMR,DFMF,Saint-Étienne,19-264,2002,0.6,38,2,17,14,8,1,29,1,1,100.0,1,0,21,28,10,0,0,0,2,2,19,17,89.5,2,Matches
175,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,23-295,1998,10.0,325,277,324,1,0,0,222,0,0,,0,0,145,654,341,0,0,0,0,0,123,123,100.0,0,Matches
176,Jeremy Doku\fffea3e5,be BEL,MFFW,Rennes,19-260,2002,4.4,207,2,23,94,119,23,207,22,36,61.1,24,2,195,1365,1035,56,15,9,21,14,206,160,77.7,22,Matches
177,Kasper Dolberg\cc83b74d,dk DEN,FW,Nice,24-128,1997,11.0,314,15,36,145,144,45,303,9,16,56.3,10,0,192,773,361,22,6,5,34,17,434,226,52.1,69,Matches
178,Brandon Domingues\2a00c6c0,fr FRA,MFFW,Troyes,21-250,2000,2.6,133,2,22,63,66,12,128,1,4,25.0,1,0,97,620,377,18,7,1,7,5,119,96,80.7,12,Matches
179,Anastasios Donis\0f26fd24,gr GRE,FWMF,Reims,25-166,1996,3.6,136,1,19,57,83,18,133,6,15,40.0,7,0,106,868,634,29,11,7,10,10,147,100,68.0,29,Matches
180,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,22-351,1999,10.0,287,254,286,1,0,0,223,1,1,100.0,1,0,130,520,258,0,0,0,0,2,122,120,98.4,0,Matches
181,Jodel Dossou\a1dbfcb1,bj BEN,FW,Clermont Foot,29-331,1992,15.5,598,6,79,253,321,75,588,35,61,57.4,37,1,498,2983,1949,112,27,31,39,35,587,448,76.3,94,Matches
182,Lucas Douath\3cd7820a,fr FRA,MF,Saint-Étienne,18-190,2003,10.0,577,29,182,349,100,8,563,7,16,43.8,9,0,418,2813,1195,42,15,1,8,9,407,380,93.4,15,Matches
183,Cheick Doucouré\ce4f40c7,ml MLI,MF,Lens,22-034,2000,18.9,1246,31,239,891,211,12,1235,11,17,64.7,13,0,854,4792,2634,131,37,2,17,10,970,922,95.1,31,Matches
184,Fodé Doucouré\1bfe34dc,ml MLI,DF,Reims,21-008,2001,1.7,106,8,42,47,23,0,91,2,2,100.0,2,1,54,186,114,2,2,0,1,1,55,47,85.5,1,Matches
185,Kamory Doumbia\9226aa22,fr FRA,FW,Reims,18-358,2003,0.3,21,0,1,10,13,0,20,0,0,,0,0,14,80,29,4,2,0,3,0,22,17,77.3,6,Matches
186,Souleyman Doumbia\9daeac61,ci CIV,DF,Angers,25-140,1996,12.7,733,34,194,391,215,19,651,24,38,63.2,26,1,504,2836,1640,68,22,5,23,18,513,475,92.6,38,Matches
187,Julian Draxler\1a992676,de GER,FWMF,Paris S-G,28-144,1993,4.8,266,5,30,151,107,18,262,10,15,66.7,12,1,215,1079,501,26,10,4,5,8,270,226,83.7,32,Matches
188,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,32-328,1989,1.0,42,38,42,0,0,0,29,0,0,,0,0,18,112,87,0,0,0,0,0,16,16,100.0,0,Matches
189,Leo Dubois\ff0ab48c,fr FRA,DF,Lyon,27-150,1994,14.7,1193,43,307,626,332,18,1042,6,17,35.3,6,2,765,3795,2407,105,27,4,10,11,857,806,94.0,45,Matches
190,Jean-Kevin Duverne\0cbc8baa,fr FRA,DF,Brest,24-214,1997,19.7,1250,80,473,619,248,17,1087,19,33,57.6,19,1,747,4249,2629,90,36,3,16,11,743,703,94.6,19,Matches
191,Enzo Ebosse\9ba7b4fa,cm CMR,DF,Angers,22-337,1999,7.0,441,40,198,218,50,3,407,6,8,75.0,7,1,295,1533,703,22,3,0,9,1,324,306,94.4,7,Matches
192,Hugo Ekitike\5b92d896,fr FRA,FW,Reims,19-236,2002,11.6,508,20,69,245,227,60,485,21,40,52.5,24,4,354,1476,833,48,13,8,46,31,569,356,62.6,87,Matches
193,Alberth Elis\104b4ad3,hn HON,FWMF,Bordeaux,25-364,1996,12.3,448,11,65,204,218,66,430,17,40,42.5,19,0,299,1858,1270,58,21,17,39,31,486,316,65.0,90,Matches
194,Sepe Elye Wahi\0d7b6576,fr FRA,FWMF,Montpellier,19-040,2003,10.6,257,7,46,85,136,48,252,5,14,35.7,6,2,157,700,462,26,2,9,35,14,327,177,54.1,56,Matches
195,Renaud Emond\5c9ac7f0,be BEL,MFFW,Nantes,30-068,1991,2.1,48,2,7,28,13,3,47,1,1,100.0,1,0,23,66,13,0,0,0,3,0,70,29,41.4,5,Matches
196,Maxime Estève\1a066e69,fr FRA,DF,Montpellier,19-261,2002,10.5,450,90,282,188,9,4,439,2,2,100.0,2,0,267,1813,988,18,2,0,2,3,274,273,99.6,0,Matches
197,Fábio\bc7b4580,br BRA,DF,Nantes,31-217,1990,13.3,757,37,237,376,188,12,609,12,19,63.2,12,3,353,1876,1003,35,15,0,13,5,386,333,86.3,28,Matches
198,Cesc Fàbregas\33508c78,es ESP,MF,Monaco,34-283,1987,0.4,57,1,7,25,27,1,50,0,0,,0,0,34,153,99,6,0,1,1,1,47,43,91.5,3,Matches
199,Wout Faes\9c221d14,be BEL,DF,Reims,23-314,1998,22.0,1076,200,698,418,42,24,1048,4,5,80.0,4,0,618,3724,2397,35,5,0,12,2,663,650,98.0,4,Matches
200,Romain Faivre\745ca0a3,fr FRA,FW,Lyon,23-212,1998,0.5,45,1,5,20,27,1,43,4,5,80.0,4,1,40,405,240,7,4,0,2,1,38,35,92.1,2,Matches
201,Romain Faivre\745ca0a3,fr FRA,MF,Brest,23-212,1998,19.9,1136,19,166,538,560,64,1006,48,99,48.5,53,3,849,5896,3621,161,71,18,44,48,911,780,85.6,73,Matches
202,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,23-361,1998,2.5,67,60,67,0,0,0,47,0,0,,0,0,28,66,35,0,0,0,0,0,24,24,100.0,0,Matches
203,Noah Fatar\2693f6bc,fr FRA,DFMF,Angers,19-361,2002,0.0,8,0,0,5,3,0,4,0,0,,0,0,3,26,18,1,0,0,0,0,8,3,37.5,0,Matches
204,Julien Faussurier\767212e6,fr FRA,DFFW,Brest,35-028,1987,2.3,192,7,40,92,76,9,157,0,3,0.0,0,0,100,525,301,14,10,0,2,3,134,112,83.6,15,Matches
205,Jordan Ferri\375622c5,fr FRA,MF,Montpellier,29-336,1992,20.4,1671,87,589,1022,205,6,1626,19,32,59.4,20,1,1190,6566,3642,95,25,3,15,33,1290,1236,95.8,30,Matches
206,Karol Fila\50ac8941,pl POL,DF,Strasbourg,23-243,1998,5.3,366,6,67,180,140,10,309,1,6,16.7,2,0,234,893,413,18,10,1,3,2,285,243,85.3,17,Matches
207,Alexis Flips\caef7840,fr FRA,FWMF,Reims,22-024,2000,7.8,454,11,88,203,191,19,382,11,20,55.0,12,2,277,1369,787,41,10,5,15,10,305,243,79.7,37,Matches
208,Mamadou Fofana\4c4ffacc,ml MLI,DF,Metz,24-021,1998,0.4,11,4,9,2,0,0,10,0,0,,0,0,3,7,3,0,0,0,0,0,1,1,100.0,0,Matches
209,Seko Fofana\5313ed43,ci CIV,MF,Lens,26-280,1995,22.8,1404,18,196,902,460,65,1395,43,73,58.9,47,3,1099,6642,3582,149,65,15,37,39,1289,1136,88.1,138,Matches
210,Youssouf Fofana\822d51d7,fr FRA,MF,Monaco,23-032,1999,10.9,750,23,133,531,142,3,743,15,25,60.0,16,7,501,2467,1403,58,25,0,14,23,567,531,93.7,25,Matches
211,Thomas Foket\90eb507d,be BEL,DF,Reims,27-139,1994,15.5,806,53,267,353,236,26,691,9,13,69.2,9,1,496,2479,1282,58,21,2,16,14,585,496,84.8,43,Matches
212,Thomas Fontaine\9f90c06b,mg MAD,DF,Lorient,30-279,1991,1.9,70,8,38,34,1,0,68,0,0,,0,0,38,153,76,2,0,0,1,0,40,40,100.0,0,Matches
213,José Fonte\90f87966,pt POR,DF,Lille,38-051,1983,23.0,1436,212,827,647,58,28,1400,1,2,50.0,1,0,864,4364,2458,43,4,0,4,4,970,948,97.7,5,Matches
214,Steven Fortes\574aa9ec,cv CPV,DF,Lens,29-300,1992,1.0,35,5,21,17,0,0,34,1,2,50.0,1,0,24,146,77,1,0,0,0,1,24,23,95.8,0,Matches
215,Przemysław Frankowski\00a8d210,pl POL,DF,Lens,26-305,1995,19.0,1235,46,292,579,439,44,1082,17,31,54.8,19,1,738,3367,1883,97,34,8,23,17,886,783,88.4,67,Matches
216,Fransérgio\deba6b05,br BRA,MF,Bordeaux,31-116,1990,10.7,526,37,138,337,84,7,514,2,5,40.0,3,0,299,1665,728,26,13,1,14,14,367,322,87.7,23,Matches
217,Angelo Fulgini\4b96c347,fr FRA,MFFW,Angers,25-175,1996,20.3,1159,10,140,688,426,81,1098,41,87,47.1,44,6,870,4239,2373,125,39,13,43,63,1104,902,81.7,135,Matches
218,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,28-294,1993,23.0,875,801,875,3,0,0,630,1,1,100.0,1,0,425,1764,898,0,0,0,1,0,392,390,99.5,0,Matches
219,Kévin Gameiro\42276181,fr FRA,FWMF,Strasbourg,34-278,1987,13.9,579,1,32,251,320,85,551,9,18,50.0,9,1,402,1924,965,54,12,16,28,22,688,440,64.0,145,Matches
220,Idrissa Gana Gueye\72c812f3,sn SEN,MF,Paris S-G,32-138,1989,12.1,1007,22,182,663,238,13,992,15,19,78.9,16,0,770,3469,1666,69,21,0,8,17,842,786,93.3,33,Matches
221,Ignatius Ganago\23c63b7f,cm CMR,FW,Lens,22-360,1999,6.6,180,1,5,78,100,30,170,5,13,38.5,6,0,113,339,173,14,2,3,25,20,257,139,54.1,54,Matches
222,Johan Gastien\868eaba0,fr FRA,MF,Clermont Foot,34-017,1988,17.6,1719,128,650,963,196,13,1632,10,19,52.6,10,3,1189,4700,2176,53,15,0,8,17,1319,1271,96.4,13,Matches
223,Valère Germain\ea0ff634,fr FRA,FW,Montpellier,31-300,1990,13.8,395,20,60,189,152,39,368,2,6,33.3,2,0,172,575,224,11,2,0,21,11,454,257,56.6,66,Matches
224,Gerson\8827bf46,br BRA,MFDF,Marseille,24-267,1997,14.1,812,17,123,459,295,49,784,13,20,65.0,13,1,600,3034,1492,68,22,6,25,27,744,627,84.3,86,Matches
225,Willem Geubbels\9836e892,fr FRA,FWMF,Nantes,20-179,2001,2.8,103,3,15,50,48,11,101,2,6,33.3,2,0,62,358,228,13,3,4,5,5,108,76,70.4,17,Matches
226,Lamine Ghezali\ce84946a,fr FRA,DF,Saint-Étienne,22-220,1999,0.0,8,0,2,1,5,1,6,0,0,,0,0,5,6,3,0,0,0,0,1,5,5,100.0,1,Matches
227,Nicholas Gioacchini\79ab7593,us USA,MFFW,Montpellier,21-201,2000,4.3,179,6,43,77,65,18,178,4,12,33.3,4,0,104,397,211,6,1,1,18,8,181,119,65.7,23,Matches
228,Jimmy Giraudon\6ba71da5,fr FRA,DF,Troyes,30-026,1992,18.0,1005,232,678,357,16,1,941,3,3,100.0,3,0,602,2900,1298,14,2,1,1,3,623,619,99.4,1,Matches
229,Andrei Girotto\3befc2b6,br BRA,DFMF,Nantes,29-359,1992,22.4,1276,153,589,598,144,36,1250,5,7,71.4,5,1,623,2431,1105,25,9,0,12,7,756,707,93.5,7,Matches
230,Aleksandr Golovin\3708e9fa,ru RUS,FWMF,Monaco,25-257,1996,7.7,473,4,46,212,260,26,423,13,15,86.7,13,0,329,1880,951,52,23,4,9,13,398,320,80.4,63,Matches
231,Angel Gomes\645a3363,eng ENG,MF,Lille,21-164,2000,5.3,242,3,30,139,90,6,235,0,2,0.0,1,0,158,709,411,25,9,1,9,10,225,176,78.2,25,Matches
232,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,28-159,1993,18.0,576,502,573,4,0,0,438,0,0,,0,0,305,1052,578,0,0,0,1,0,264,263,99.6,0,Matches
233,Vagner Gonçalves\743fd71f,cv CPV,MFFW,Metz,26-032,1996,1.0,52,0,5,26,27,4,44,1,2,50.0,1,0,32,117,63,2,1,0,5,2,48,35,72.9,7,Matches
234,Álvaro González\42dcf26d,es ESP,DF,Marseille,32-034,1990,5.0,399,29,191,225,8,2,390,0,0,,0,0,288,1193,648,7,1,0,1,2,340,332,97.6,0,Matches
235,Amine Gouiri\aad56ca3,fr FRA,FWMF,Nice,21-360,2000,19.7,907,18,59,433,507,112,820,39,74,52.7,45,2,646,3847,2260,137,51,24,41,44,909,665,73.2,167,Matches
236,Jonathan Gradit\06c48679,fr FRA,DF,Lens,29-079,1992,21.1,1488,126,525,988,96,2,1450,9,11,81.8,9,0,1047,6237,3986,140,34,0,11,5,1079,1057,98.0,5,Matches
237,Andrew Gravillon\49136c42,fr FRA,DF,Reims,24-003,1998,19.5,995,127,476,463,117,11,883,5,12,41.7,5,0,547,2738,1733,53,13,0,14,9,585,560,95.7,6,Matches
238,Adrian Grbić\4a987ffa,at AUT,FWMF,Lorient,25-191,1996,5.8,161,9,26,76,63,19,148,1,2,50.0,1,0,74,237,123,7,1,2,9,8,199,104,52.3,24,Matches
239,Ivo Grbić\3f034750,hr CRO,GK,Lille,26-024,1996,21.0,636,578,632,5,0,0,425,1,1,100.0,1,0,249,1192,720,0,0,0,0,1,234,234,100.0,0,Matches
240,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,21-207,2000,13.3,455,404,455,0,0,0,314,0,0,,0,0,176,667,364,0,0,0,0,0,177,174,98.3,0,Matches
241,Gabriel Gudmundsson\d5d22a58,se SWE,DFMF,Lille,22-288,1999,5.3,297,13,85,132,103,10,260,6,11,54.5,6,0,174,1364,842,35,12,3,7,6,190,170,89.5,25,Matches
242,Noah Guede-Nadje\94b442c0,fr FRA,FW,Angers,18-091,2003,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,Matches
243,Mattéo Guendouzi\5ea8ef20,fr FRA,MF,Marseille,22-303,1999,20.9,1500,22,208,955,446,70,1471,19,32,59.4,22,2,1171,6317,3542,195,53,13,27,38,1341,1237,92.2,66,Matches
244,Yanis Guermouche\642f9f79,fr FRA,FW,Montpellier,20-302,2001,0.0,1,0,0,1,0,0,1,1,1,100.0,1,0,2,4,0,0,0,0,0,0,2,0,0.0,0,Matches
245,Evann Guessand\b73f17f8,fr FRA,FW,Nice,20-225,2001,2.1,69,2,7,31,35,14,65,7,9,77.8,7,0,50,221,114,5,0,3,9,3,82,42,51.2,18,Matches
246,Lamine Gueye\9d5dcc23,sn SEN,MFFW,Metz,23-335,1998,6.2,310,4,35,142,158,21,282,6,11,54.5,8,0,203,1090,594,34,11,6,18,22,311,215,69.1,37,Matches
247,Pape Gueye\7155e3e1,sn SEN,MF,Marseille,23-018,1999,7.6,584,15,129,397,97,4,581,3,4,75.0,3,0,421,1958,929,29,11,0,3,6,472,451,95.6,13,Matches
248,Josuha Guilavogui\e6c43eec,fr FRA,MF,Bordeaux,31-145,1990,1.0,67,5,29,39,5,1,67,1,1,100.0,1,0,37,150,72,2,0,0,1,3,47,43,91.5,3,Matches
249,Frederic Guilbert\5d8d7454,fr FRA,DF,Strasbourg,27-049,1994,15.8,1056,53,197,511,409,12,818,25,38,65.8,25,1,559,2555,1355,65,33,2,20,21,644,546,84.8,42,Matches
250,Bruno Guimarães\82518f62,br BRA,MF,Lyon,24-087,1997,18.2,1583,31,332,1015,363,22,1523,22,43,51.2,28,1,1199,6605,3450,157,46,8,19,26,1299,1220,93.9,41,Matches
251,Sehrou Guirassy\923f4dda,fr FRA,FW,Rennes,25-336,1996,6.4,265,5,20,134,127,43,254,7,11,63.6,7,0,178,822,339,12,3,3,17,22,330,210,63.6,67,Matches
252,Malo Gusto\d56b9520,fr FRA,DF,Lyon,18-268,2003,10.9,941,32,236,498,275,24,840,9,18,50.0,9,2,592,2551,1340,61,20,7,24,18,684,626,91.5,39,Matches
253,Massadio Haïdara\5167c97e,ml MLI,DF,Lens,29-071,1992,5.3,382,32,124,234,52,7,354,2,3,66.7,2,0,245,1107,578,28,8,3,1,3,274,253,92.3,7,Matches
254,Oualid El Hajjam\9f29c204,ma MAR,DF,Troyes,30-357,1991,10.9,630,60,331,259,82,10,572,4,7,57.1,4,0,387,2248,1144,26,7,0,5,4,377,371,98.4,1,Matches
255,Achraf Hakimi\e42d61c7,ma MAR,DF,Paris S-G,23-099,1998,16.8,1317,42,371,520,500,57,1175,17,33,51.5,18,2,919,4032,2405,108,28,12,19,19,1037,959,92.5,72,Matches
256,Pierre-Yves Hamel\a99da9ec,fr FRA,FWDF,Lorient,28-008,1994,0.3,11,0,2,3,6,0,11,0,0,,0,0,4,10,7,1,0,0,1,1,16,8,50.0,0,Matches
257,Pierre-Yves Hamel\a99da9ec,fr FRA,FW,Clermont Foot,28-008,1994,5.4,156,1,17,79,68,19,137,0,2,0.0,0,0,67,209,93,10,2,3,14,8,205,101,49.3,19,Matches
258,Romain Hamouma\0b4d8274,fr FRA,FW,Saint-Étienne,34-319,1987,7.5,345,2,23,162,183,29,317,9,21,42.9,10,0,254,1209,654,36,13,2,30,18,356,252,70.8,64,Matches
259,Amine Harit\e7d59f4f,ma MAR,FWDF,Marseille,24-238,1997,5.8,413,1,32,205,207,29,402,15,26,57.7,15,0,360,1614,853,49,14,6,20,27,392,341,87.0,49,Matches
260,Henrique\f28474a4,br BRA,DF,Lyon,27-292,1994,5.9,417,8,91,238,106,11,354,5,10,50.0,5,0,238,815,393,17,3,3,4,9,285,258,90.5,15,Matches
261,Luis Henrique\f36d5624,br BRA,FWMF,Marseille,20-059,2001,6.7,237,0,38,106,118,19,230,5,16,31.3,6,0,186,1065,488,24,6,4,14,13,269,181,67.3,38,Matches
262,Christophe Hérelle\3681cfff,mq MTQ,DF,Brest,29-173,1992,9.0,431,66,235,200,16,5,416,1,2,50.0,1,0,254,1359,783,22,5,0,1,2,252,245,97.2,1,Matches
263,Jérôme Hergault\a84f9a4b,fr FRA,DFMF,Lorient,35-312,1986,3.8,253,10,55,127,87,5,207,2,5,40.0,2,0,128,573,366,18,6,0,3,6,149,134,89.9,7,Matches
264,Ander Herrera\436a9dd0,es ESP,MF,Paris S-G,32-181,1989,11.2,1088,33,199,663,272,15,1076,5,8,62.5,5,0,774,3020,1521,73,13,1,12,8,939,890,94.8,31,Matches
265,Franck Honorat\db7849ca,fr FRA,MFFW,Brest,25-184,1996,21.0,1095,11,153,414,634,86,1007,23,53,43.4,26,4,721,4500,3148,143,63,30,47,29,1005,756,75.2,150,Matches
266,Fraser Hornby\29aee77c,sct SCO,FW,Reims,22-151,1999,0.3,10,0,0,4,6,3,10,0,0,,0,0,2,12,0,0,0,0,1,0,16,8,50.0,3,Matches
267,Cédric Hountondji\00891164,bj BEN,DF,Clermont Foot,28-023,1994,16.6,885,112,540,374,19,16,858,1,1,100.0,1,0,525,2207,1185,24,1,0,1,2,570,564,98.9,0,Matches
