,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
30,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,32-025,1990,4.3,178,17,107,62,16,2,166,1,2,50.0,1,0,116,585,286,4,2,0,2,2,121,117,96.7,2,Matches
31,Loïc Bade\114bbdee,fr FRA,DF,Rennes,21-306,2000,10.9,828,109,463,410,18,9,820,2,2,100.0,2,0,606,3960,2194,55,6,0,3,2,620,612,98.7,0,Matches
32,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,20-322,2001,8.6,808,76,307,522,19,7,799,2,3,66.7,2,0,546,2435,1374,36,3,0,0,0,620,610,98.4,2,Matches
33,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,20-053,2001,1.5,49,1,1,21,29,6,48,1,1,100.0,1,0,33,115,26,2,1,0,4,2,60,41,68.3,13,Matches
34,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,29-259,1992,6.1,147,2,8,70,77,19,142,5,8,62.5,6,0,90,408,192,10,4,3,19,11,176,97,55.1,33,Matches
35,Dénys Bain\5065d67d,fr FRA,DF,Brest,28-224,1993,1.0,36,9,26,11,1,1,36,0,0,,0,0,18,106,17,0,0,0,0,0,22,21,95.5,0,Matches
36,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,5.7,206,174,204,2,0,0,147,0,0,,0,0,92,428,231,0,0,0,0,0,72,71,98.6,0,Matches
37,Cédric Bakambu\0af4dcf0,cd COD,FWMF,Marseille,30-306,1991,0.9,24,1,2,8,15,5,24,0,0,,0,0,14,95,56,2,0,1,1,4,38,22,57.9,7,Matches
38,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,19-058,2002,2.0,120,11,75,48,3,0,117,3,3,100.0,3,0,63,297,154,2,2,0,1,4,57,55,96.5,0,Matches
39,Dilane Bakwa\2b5a35e5,fr FRA,FW,Bordeaux,19-169,2002,0.1,8,0,1,4,3,0,8,0,1,0.0,0,0,3,14,5,1,0,0,0,1,3,2,66.7,0,Matches
40,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,19-025,2003,0.6,12,0,0,8,4,1,11,0,1,0.0,0,0,7,5,3,0,0,0,2,1,18,10,55.6,3,Matches
41,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,23-016,1999,9.7,850,93,411,468,9,2,830,8,10,80.0,8,0,615,3020,1592,42,3,0,3,8,648,625,96.5,1,Matches
42,Jonathan Bamba\b2bd0f6c,fr FRA,MF,Lille,25-322,1996,14.8,836,11,126,450,351,45,786,23,49,46.9,23,1,628,3604,2163,106,38,9,39,41,778,618,79.4,99,Matches
43,Simon Banza\be47b750,fr FRA,FW,Lens,25-182,1996,1.4,54,2,4,28,29,6,52,5,6,83.3,5,0,32,132,83,7,4,0,4,2,53,36,67.9,6,Matches
44,Bradley Barcola\a0d55a09,fr FRA,MF,Lyon,19-162,2002,0.1,5,0,0,1,4,1,5,1,1,100.0,1,0,3,14,14,1,0,1,0,0,5,2,40.0,2,Matches
45,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,21-097,2000,16.8,1336,51,395,804,235,4,1164,12,20,60.0,13,1,875,4389,2322,90,27,1,17,10,861,834,96.9,20,Matches
46,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,25-078,1996,2.3,122,0,23,71,36,4,109,2,3,66.7,2,0,82,429,186,9,2,0,4,3,90,85,94.4,8,Matches
47,Amine Bassi\ced1d98f,fr FRA,MF,Metz,24-076,1997,2.0,149,1,22,81,52,1,133,2,4,50.0,2,0,99,450,200,12,5,0,4,3,120,99,82.5,11,Matches
48,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,23-252,1998,15.5,486,8,32,254,220,76,450,21,38,55.3,22,5,300,1068,586,33,6,7,25,33,631,348,55.2,120,Matches
49,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,28-014,1994,14.0,649,43,199,384,100,5,638,13,16,81.3,14,1,435,1950,853,21,3,0,6,14,430,397,92.3,19,Matches
50,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,23-229,1998,14.5,801,34,175,461,230,22,772,20,30,66.7,21,0,562,3273,1710,65,23,7,25,28,604,520,86.1,36,Matches
51,Hatem Ben Arfa\74dc806c,fr FRA,FW,Lille,34-341,1987,0.9,53,0,6,27,27,7,47,3,4,75.0,3,0,40,314,164,9,4,3,2,2,47,38,80.9,6,Matches
52,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,31-183,1990,15.2,563,3,32,223,338,106,526,16,37,43.2,20,1,377,1677,901,53,13,22,22,23,738,424,57.5,152,Matches
53,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,31-270,1990,0.6,19,0,0,11,9,4,19,0,1,0.0,0,0,12,49,11,0,1,0,3,1,24,15,62.5,2,Matches
54,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22.0,627,561,627,1,0,0,445,0,0,,0,0,296,1381,844,0,0,0,0,0,237,235,99.2,0,Matches
55,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,30-035,1992,0.7,63,4,29,35,3,0,56,0,0,,0,0,38,172,44,1,0,0,0,2,40,39,97.5,0,Matches
56,Nabil Bentaleb\3189f61a,dz ALG,MF,Angers,27-079,1994,2.4,201,4,52,119,38,1,199,6,10,60.0,7,1,130,484,194,6,0,0,9,7,148,137,92.6,7,Matches
57,Patrick Berg\e4114f5d,no NOR,MF,Lens,24-079,1997,1.2,106,4,16,82,9,1,105,0,0,,0,0,66,182,75,6,0,0,0,0,81,79,97.5,0,Matches
58,Mitchell van Bergen\0b2c9aec,nl NED,FWMF,Reims,22-168,1999,5.8,200,7,33,74,108,21,178,6,12,50.0,8,1,130,819,396,20,9,5,17,6,203,111,54.7,29,Matches
59,Valon Berisha\d5575935,xk KVX,MFFW,Reims,29-004,1993,3.8,186,3,33,99,62,10,163,0,1,0.0,0,0,100,423,192,10,3,0,8,4,137,102,74.5,15,Matches
60,Paul Bernardoni\28dabd43,fr FRA,GK,Angers,24-299,1997,13.0,364,333,363,1,0,0,240,0,0,,0,0,157,671,394,0,0,0,1,0,108,108,100.0,0,Matches
61,Paul Bernardoni\28dabd43,fr FRA,GK,Saint-Étienne,24-299,1997,4.0,131,113,130,1,0,0,95,0,0,,0,0,66,353,176,0,0,0,0,0,39,39,100.0,0,Matches
62,Juan Bernat\433dc9a2,es ESP,DF,Paris S-G,28-347,1993,5.1,347,14,108,156,101,13,313,1,2,50.0,1,0,230,853,484,17,5,1,7,5,273,251,91.9,13,Matches
63,Dimitry Bertaud\380a15e2,fr FRA,GK,Montpellier,23-250,1998,5.2,195,182,195,0,0,0,129,0,0,,0,0,77,317,187,0,0,0,0,0,73,73,100.0,0,Matches
64,Jason Berthomier\03e91055,fr FRA,MF,Clermont Foot,32-036,1990,14.9,1231,16,233,684,378,31,1113,17,24,70.8,19,1,855,3207,1575,68,22,5,21,18,1061,939,88.5,61,Matches
65,Giulian Biancone\de40e38c,fr FRA,DF,Troyes,21-317,2000,16.0,1051,69,346,490,281,42,925,6,13,46.2,9,1,567,3023,1714,70,20,6,18,10,713,613,86.0,39,Matches
66,El Bilal Touré\47c609d5,ml MLI,FW,Reims,20-131,2001,9.3,353,14,51,179,145,38,347,5,13,38.5,5,0,189,930,467,22,9,2,22,13,473,243,51.4,53,Matches
67,Jean-Claude Billong\a3e1d20d,cm CMR,DF,Clermont Foot,28-045,1993,4.7,273,38,174,99,10,8,268,1,1,100.0,1,0,162,807,380,3,0,1,0,2,188,182,96.8,1,Matches
68,Nathan Bitu Mazala\0f697e02,fr FRA,DF,Paris S-G,19-063,2002,0.1,11,0,3,5,4,0,9,1,1,100.0,1,0,9,46,7,1,0,0,0,0,8,8,100.0,1,Matches
69,Marco Bizot\3d214e5f,nl NED,GK,Brest,30-338,1991,22.0,774,696,773,2,1,0,523,0,0,,0,0,327,1546,752,0,1,0,0,0,260,260,100.0,0,Matches
70,Ludovic Blas\6191093d,fr FRA,FWMF,Nantes,24-042,1997,20.2,905,9,114,475,397,77,870,33,82,40.2,41,1,686,3442,1804,89,29,14,49,66,871,656,75.3,114,Matches
71,Myron Boadu\5b479568,nl NED,FW,Monaco,21-028,2001,7.6,203,1,14,76,121,50,189,8,10,80.0,8,0,123,411,178,8,4,3,36,14,321,144,44.9,60,Matches
72,Jérôme Boateng\2db2fd7b,de GER,DF,Lyon,33-161,1988,14.9,1082,128,544,573,28,10,1058,1,3,33.3,1,1,717,3923,2079,50,3,0,1,0,789,783,99.2,1,Matches
73,Antonin Bobichon\7d937aa1,fr FRA,MFFW,Angers,26-150,1995,0.4,27,1,5,16,6,0,26,0,1,0.0,0,0,20,92,41,2,0,0,0,1,23,20,87.0,4,Matches
74,Quentin Boisgard\f6496133,fr FRA,MF,Lorient,24-331,1997,6.5,351,4,52,161,161,12,316,14,25,56.0,16,1,220,1106,645,29,9,2,18,17,260,219,84.2,45,Matches
75,Charles Boli\bbdd999a,fr FRA,MF,Lens,23-165,1998,0.4,23,0,1,15,8,1,22,0,0,,0,0,19,112,56,5,1,0,0,0,22,19,86.4,2,Matches
76,Sven Botman\ccce7025,nl NED,DF,Lille,22-030,2000,16.0,1124,173,584,560,26,12,1095,2,2,100.0,2,0,707,3258,1734,39,4,0,5,1,796,775,97.4,0,Matches
77,Denis Bouanga\0b0cbe5b,ga GAB,FWMF,Saint-Étienne,27-092,1994,13.4,691,35,126,318,305,86,663,40,82,48.8,46,6,463,2376,1476,73,21,22,50,37,640,445,69.5,90,Matches
78,Hicham Boudaoui\f9d5908e,dz ALG,MF,Nice,22-141,1999,12.3,575,24,112,309,191,32,571,12,20,60.0,12,1,403,1821,792,42,13,4,21,25,485,400,82.5,52,Matches
79,Ryad Boudebouz\1001ae82,dz ALG,MFFW,Saint-Étienne,31-357,1990,13.5,1041,34,189,591,333,23,943,25,35,71.4,27,4,703,3624,2226,102,37,3,24,19,909,779,85.7,71,Matches
80,Sofiane Boufal\b0c71810,ma MAR,FWMF,Angers,28-147,1993,17.0,960,3,57,523,451,69,856,55,104,52.9,64,7,712,3467,2119,130,38,16,50,64,911,716,78.6,117,Matches
81,Farid Boulaya\a0791826,dz ALG,FWMF,Metz,28-351,1993,9.7,512,9,76,288,194,18,451,11,19,57.9,11,2,338,2137,1047,57,21,7,15,22,434,339,78.1,32,Matches
82,Ismaëlben Boura\62e02107,fr FRA,DF,Lens,21-181,2000,1.1,85,7,30,46,12,0,78,0,0,,0,0,49,227,129,7,2,0,0,0,57,55,96.5,1,Matches
83,Benjamin Bourigeaud\20e73fac,fr FRA,MFFW,Rennes,28-028,1994,21.3,1335,40,173,582,647,57,1164,8,19,42.1,8,4,815,3305,1777,91,30,8,27,17,1047,889,84.9,124,Matches
84,Redwan Bourles\5c7895a0,fr FRA,MFFW,Lorient,19-040,2003,0.2,7,0,1,2,6,0,5,0,0,,0,0,3,11,10,1,1,0,0,1,7,4,57.1,1,Matches
85,Domagoj Bradarić\8bbe2df5,hr CRO,DFMF,Lille,22-063,1999,1.8,116,7,41,62,22,0,96,0,1,0.0,0,0,69,406,266,10,3,0,1,1,77,69,89.6,3,Matches
86,Bilal Brahimi\02bcaf8e,fr FRA,FWDF,Angers,21-334,2000,3.8,156,0,23,72,80,17,146,10,20,50.0,10,0,124,772,499,20,8,7,9,15,191,119,62.3,28,Matches
87,Bilal Brahimi\02bcaf8e,fr FRA,MF,Nice,21-334,2000,0.2,12,1,1,6,6,0,12,1,1,100.0,1,0,11,110,77,5,1,0,0,0,13,8,61.5,1,Matches
