,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-305,1994,2.4,8,3,6,2,0,1,2,50.0,1,21,9,42.9,14,6,1,5,2,0,3,9,17,10,0,Matches
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-223,2001,0.8,0,0,0,0,0,0,0,,0,21,5,23.8,2,2,17,1,0,0,1,0,0,1,0,Matches
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-159,1993,5.1,2,1,1,1,0,1,3,33.3,2,94,32,34.0,4,41,49,6,3,0,3,3,5,8,0,Matches
34,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-309,1998,9.1,8,4,6,1,1,4,14,28.6,10,185,59,31.9,57,87,41,12,0,0,12,16,24,8,0,Matches
35,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-068,1993,1.7,1,1,0,1,0,0,1,0.0,1,15,3,20.0,1,9,5,1,0,0,1,2,3,0,0,Matches
36,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-104,1989,4.3,6,5,1,4,1,1,2,50.0,1,65,11,16.9,6,33,26,3,1,1,2,3,9,1,0,Matches
37,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-064,1997,12.4,12,5,1,7,4,1,10,10.0,9,151,49,32.5,33,62,56,13,1,0,12,4,16,4,0,Matches
38,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-105,2002,0.5,1,0,0,0,1,0,3,0.0,3,13,3,23.1,3,9,1,0,0,0,0,2,3,1,0,Matches
39,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-035,1999,4.2,5,4,4,1,0,3,4,75.0,1,34,14,41.2,19,11,4,2,2,0,0,8,13,14,0,Matches
40,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-305,1996,16.7,22,14,13,8,1,9,25,36.0,16,138,46,33.3,67,67,4,33,16,1,17,50,72,102,0,Matches
41,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-299,1997,0.3,0,0,0,0,0,0,0,,0,4,1,25.0,3,0,1,0,0,0,0,0,0,0,0,Matches
42,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-299,1997,0.8,5,3,3,2,0,1,1,100.0,0,16,6,37.5,5,6,5,2,1,0,1,2,7,2,0,Matches
43,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
44,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-185,1995,16.6,24,15,12,7,5,12,27,44.4,15,251,58,23.1,75,127,49,14,1,0,13,8,32,5,0,Matches
45,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-251,1997,0.3,1,1,0,0,1,1,3,33.3,2,6,2,33.3,1,4,1,0,0,0,0,2,3,0,0,Matches
46,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-070,1990,12.1,8,2,2,4,2,2,6,33.3,4,110,29,26.4,8,48,54,8,4,0,4,1,9,27,1,Matches
47,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-107,1990,12.2,19,9,10,7,2,9,19,47.4,10,169,44,26.0,48,69,52,18,2,0,16,17,36,21,0,Matches
48,Steven Bergwijn\a29b1131,nl NED,FW,Tottenham,24-126,1997,4.7,3,2,1,1,1,0,4,0.0,4,60,7,11.7,10,28,22,3,0,0,3,4,7,7,0,Matches
49,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-190,1989,3.7,9,4,1,7,1,4,5,80.0,1,75,25,33.3,40,24,11,11,3,0,8,3,12,7,0,Matches
50,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,20-351,2001,0.5,4,2,2,2,0,0,2,0.0,2,19,8,42.1,12,7,0,1,0,0,1,1,5,2,0,Matches
51,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-165,1996,13.4,49,31,25,21,3,13,16,81.3,3,231,81,35.1,90,116,25,19,1,0,18,29,78,24,0,Matches
52,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-053,1996,22.6,32,19,16,11,5,14,36,38.9,22,382,82,21.5,118,165,99,39,2,0,37,27,59,3,0,Matches
53,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-229,2002,1.6,3,2,3,0,0,1,4,25.0,3,15,8,53.3,10,5,0,4,1,0,3,3,6,6,0,Matches
54,Armando Broja\97220da2,al ALB,FW,Southampton,20-154,2001,11.7,10,9,3,4,3,1,9,11.1,8,208,64,30.8,21,73,114,10,1,0,9,10,20,4,0,Matches
55,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-054,1995,15.4,26,15,9,15,2,4,16,25.0,12,235,73,31.1,78,113,44,25,8,0,17,34,60,22,0,Matches
56,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-000,2001,1.0,4,3,2,0,2,3,6,50.0,3,37,11,29.7,10,5,22,2,0,0,2,0,4,0,0,Matches
57,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-048,1996,14.4,35,22,20,9,6,10,28,35.7,18,294,76,25.9,75,136,83,15,4,0,11,11,46,4,0,Matches
58,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-278,1992,11.4,24,15,12,8,4,6,18,33.3,12,141,46,32.6,61,64,16,29,11,0,18,33,57,52,2,Matches
59,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-148,1993,1.7,4,3,2,2,0,1,1,100.0,0,38,12,31.6,10,22,6,4,1,0,3,7,11,7,0,Matches
61,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
62,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,24-332,1997,5.8,4,2,1,2,1,0,1,0.0,1,49,11,22.4,5,22,22,5,2,0,3,5,9,8,0,Matches
