,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
457,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,24-280,1997,15.4,739,908,81.4,13776,3924,311,358,86.9,331,375,88.3,86,151,57.0,2,3.1,-1.1,25,80,15,1,95,Matches
458,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,24-251,1997,15.3,582,765,76.1,11063,3472,229,260,88.1,288,341,84.5,57,135,42.2,3,1.2,+1.8,16,47,16,11,47,Matches
459,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,23-098,1998,15.4,715,899,79.5,12827,4758,328,376,87.2,299,371,80.6,78,123,63.4,1,0.6,+0.4,10,58,15,12,46,Matches
460,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,32-319,1989,6.1,277,315,87.9,6708,1751,47,52,90.4,167,176,94.9,62,83,74.7,0,0.4,-0.4,2,5,0,0,9,Matches
461,Ivan Toney\e09f279b,eng ENG,FW,Brentford,25-332,1996,21.0,273,478,57.1,3982,1431,165,246,67.1,79,146,54.1,18,46,39.1,2,3.6,-1.6,22,37,16,1,48,Matches
462,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,21-347,2000,3.4,55,72,76.4,834,75,29,36,80.6,18,21,85.7,5,6,83.3,1,0.0,+1.0,1,2,1,0,2,Matches
463,Cenk Tosun\9a104dee,tr TUR,FW,Everton,30-249,1991,0.1,2,2,100.0,37,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
464,Andros Townsend\b28bbd58,eng ENG,MF,Everton,30-210,1991,15.7,327,471,69.4,5776,2035,152,180,84.4,134,171,78.4,37,95,38.9,2,2.4,-0.4,29,17,28,13,46,Matches
465,Adama Traoré\9a28eba4,es ESP,FW,Wolves,26-017,1996,11.9,245,329,74.5,4223,794,125,159,78.6,85,113,75.2,31,41,75.6,0,1.7,-1.7,19,17,15,7,23,Matches
466,Bertrand Traoré\c47541e0,bf BFA,MFFW,Aston Villa,26-158,1995,1.7,43,56,76.8,830,207,18,21,85.7,18,22,81.8,7,8,87.5,0,0.0,0.0,0,4,4,0,9,Matches
467,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,27-133,1994,0.1,6,6,100.0,97,37,5,5,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,2,1,0,1,Matches
468,Francisco Trincão\77e39b04,pt POR,FWMF,Wolves,22-044,1999,11.1,264,339,77.9,4427,941,132,152,86.8,100,121,82.6,25,42,59.5,0,0.9,-0.9,13,21,9,2,25,Matches
469,Kieran Trippier\21512407,eng ENG,DF,Newcastle Utd,31-145,1990,3.0,122,176,69.3,2705,1545,45,48,93.8,45,68,66.2,30,53,56.6,0,0.4,-0.4,6,12,4,0,13,Matches
470,William Troost-Ekong\7ed4921e,ng NGA,DF,Watford,28-163,1993,15.3,436,554,78.7,11446,3612,64,77,83.1,241,269,89.6,130,201,64.7,0,0.1,-0.1,1,29,1,0,31,Matches
471,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,27-069,1994,19.3,554,698,79.4,10110,2229,269,313,85.9,181,232,78.0,84,104,80.8,1,1.9,-0.9,28,51,37,4,82,Matches
472,Kostas Tsimikas\f315ca93,gr GRE,DF,Liverpool,25-275,1996,6.4,293,408,71.8,5545,2112,120,139,86.3,130,166,78.3,39,83,47.0,1,1.5,-0.5,16,16,9,6,29,Matches
473,Axel Tuanzebe\2baec6ce,eng ENG,DF,Aston Villa,24-089,1997,5.6,197,227,86.8,4287,1116,50,55,90.9,104,115,90.4,39,53,73.6,0,0.0,0.0,0,3,0,0,6,Matches
474,Ozan Tufan\17d45fb2,tr TUR,MF,Watford,26-325,1995,3.7,85,122,69.7,1564,425,40,48,83.3,35,44,79.5,9,21,42.9,0,0.2,-0.2,4,13,1,0,11,Matches
475,Christos Tzolis\9f333379,gr GRE,FWMF,Norwich City,20-012,2002,3.4,65,87,74.7,1115,263,33,38,86.8,23,28,82.1,7,15,46.7,0,0.9,-0.9,7,3,2,1,6,Matches
476,Yan Valery\531a4aa8,fr FRA,DF,Southampton,22-354,1999,1.0,19,26,73.1,347,88,8,10,80.0,8,11,72.7,2,4,50.0,0,0.0,0.0,0,2,0,0,1,Matches
477,Raphaël Varane\9f8e9423,fr FRA,DF,Manchester Utd,28-292,1993,12.3,604,674,89.6,13997,3724,136,144,94.4,335,361,92.8,130,161,80.7,1,0.1,+0.9,2,50,0,0,26,Matches
478,Jamie Vardy\45963054,eng ENG,FW,Leicester City,35-031,1987,14.7,138,193,71.5,2222,476,67,90,74.4,56,75,74.7,8,13,61.5,1,1.3,-0.3,16,10,15,2,21,Matches
479,Joël Veltman\dad4b285,nl NED,DF,Brighton,30-027,1992,16.1,694,909,76.3,13394,5430,247,283,87.3,368,455,80.9,70,130,53.8,1,0.9,+0.1,11,53,11,3,65,Matches
480,Jannik Vestergaard\1900032e,dk DEN,DF,Leicester City,29-192,1992,6.3,327,353,92.6,7286,2078,87,91,95.6,180,188,95.7,56,66,84.8,0,0.0,0.0,1,12,0,0,14,Matches
481,Nikola Vlašić\aa8e289e,hr CRO,FWMF,West Ham,24-130,1997,4.0,111,143,77.6,1573,274,69,75,92.0,33,43,76.7,4,14,28.6,0,0.3,-0.3,5,2,4,0,10,Matches
482,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,29-286,1992,5.0,48,72,66.7,560,113,30,44,68.2,10,14,71.4,1,2,50.0,1,0.2,+0.8,4,1,0,0,3,Matches
483,Theo Walcott\1ecb65be,eng ENG,MFFW,Southampton,32-332,1989,4.2,61,86,70.9,842,142,36,43,83.7,22,32,68.8,2,4,50.0,0,0.0,0.0,1,2,1,0,3,Matches
484,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,31-259,1990,13.5,1034,1166,88.7,20396,5635,398,422,94.3,492,537,91.6,140,190,73.7,1,0.7,+0.3,7,125,14,3,61,Matches
485,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,24-304,1997,15.0,540,677,79.8,9097,3245,275,313,87.9,219,266,82.3,42,74,56.8,2,1.9,+0.1,13,38,20,1,77,Matches
486,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,24-077,1997,14.9,711,843,84.3,10703,3467,422,457,92.3,231,267,86.5,39,75,52.0,0,0.6,-0.6,11,29,10,6,39,Matches
487,Joel Ward\8a7ff278,eng ENG,DF,Crystal Palace,32-105,1989,22.0,1084,1352,80.2,20223,7335,455,513,88.7,500,574,87.1,120,231,51.9,0,0.5,-0.5,5,70,13,4,57,Matches
