,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
417,Danilo Soares\c05f2f8c,br BRA,DF,Bochum,30-105,1991,19.5,82,49,48,26,8,36,61,59.0,25,306,111,36.3,148,115,43,54,6,2,48,82,164,58,0,Matches
418,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,33-056,1988,21.0,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,0,0,2,Matches
419,Borna Sosa\af0d79a9,hr CRO,DF,Stuttgart,24-021,1998,16.8,12,6,9,1,2,5,13,38.5,8,131,41,31.3,62,41,28,24,2,0,22,16,28,29,0,Matches
420,Djibril Sow\4c6facae,ch SUI,MF,Eint Frankfurt,25-005,1997,18.9,44,21,20,22,2,7,33,21.2,26,384,121,31.5,120,215,49,37,8,0,29,51,95,20,0,Matches
421,Jerry St. Juste\90339309,nl NED,DF,Mainz 05,25-115,1996,6.7,15,11,6,9,0,7,10,70.0,3,77,35,45.5,40,34,3,14,5,0,9,21,36,26,0,Matches
422,Anton Stach\0f59a7bf,de GER,MF,Mainz 05,23-088,1998,10.4,21,14,11,8,2,8,18,44.4,10,213,65,30.5,79,102,32,22,3,0,19,41,62,25,1,Matches
423,Kostas Stafylidis\861e0116,gr GRE,DF,Bochum,28-071,1993,10.2,37,19,21,9,7,12,20,60.0,8,111,38,34.2,55,35,21,22,6,1,16,27,64,38,0,Matches
424,Josip Stanišić\7ed08d5c,hr CRO,DF,Bayern Munich,21-315,2000,4.5,10,4,4,5,1,3,12,25.0,9,75,19,25.3,24,34,17,8,0,0,8,15,25,7,0,Matches
425,Niklas Stark\aad48be9,de GER,DF,Hertha BSC,26-303,1995,18.2,35,22,26,8,1,10,16,62.5,6,169,64,37.9,112,52,5,34,11,0,23,35,70,118,1,Matches
426,Renato Steffen\dd669209,ch SUI,FWMF,Wolfsburg,30-100,1991,9.1,16,5,9,6,1,5,16,31.3,11,162,46,28.4,46,73,43,12,0,0,12,15,31,8,0,Matches
427,Pascal Stenzel\99f7e9aa,de GER,DF,Stuttgart,25-328,1996,2.6,9,7,6,2,1,5,11,45.5,6,50,18,36.0,26,18,6,6,0,0,6,10,19,5,0,Matches
428,Angelo Stiller\3b1ed320,de GER,MF,Hoffenheim,20-313,2001,9.9,16,10,7,4,5,3,9,33.3,6,174,59,33.9,46,83,45,11,3,0,8,16,32,6,0,Matches
429,Lars Stindl\7cd6badb,de GER,MFFW,M'Gladbach,33-169,1988,14.3,18,11,5,11,2,5,21,23.8,16,305,79,25.9,39,143,123,23,3,0,20,10,28,9,0,Matches
430,Kevin Stöger\e5649a78,at AUT,MF,Mainz 05,28-168,1993,2.3,7,2,3,2,2,2,5,40.0,3,45,15,33.3,10,15,20,4,0,0,4,5,12,0,0,Matches
431,Tobias Strobl\17780d2b,de GER,MFDF,Augsburg,31-275,1990,3.6,5,2,2,3,0,1,8,12.5,7,75,28,37.3,25,45,5,11,2,0,9,8,13,5,0,Matches
432,Niklas Süle\e33c06cf,de GER,DF,Bayern Munich,26-161,1995,14.7,23,15,16,7,0,10,14,71.4,4,110,45,40.9,53,52,5,17,11,0,6,25,48,45,1,Matches
433,Ádám Szalai\53e07d0b,hu HUN,FW,Mainz 05,34-064,1987,2.8,4,3,0,3,1,1,2,50.0,1,54,19,35.2,2,24,28,4,0,0,4,0,4,0,0,Matches
434,Dominik Szoboszlai\934e1968,hu HUN,MFFW,RB Leipzig,21-109,2000,12.3,18,12,6,9,3,9,20,45.0,11,250,96,38.4,39,127,84,31,3,0,28,12,30,12,0,Matches
435,Jonathan Tah\bd142efb,de GER,DF,Leverkusen,26-000,1996,20.9,21,9,16,5,0,12,19,63.2,7,150,52,34.7,102,42,6,29,16,0,13,44,65,118,2,Matches
436,Edmond Tapsoba\a73c8f95,bf BFA,DF,Leverkusen,23-009,1999,7.7,14,6,10,3,1,8,12,66.7,4,78,25,32.1,52,22,4,15,8,0,7,24,38,28,1,Matches
437,Niklas Tauer\27270af4,de GER,MFDF,Mainz 05,20-359,2001,2.8,10,4,3,7,0,6,6,100.0,0,60,14,23.3,28,28,4,5,2,0,3,8,18,11,0,Matches
438,Robert Tesche\037130ca,de GER,MF,Bochum,34-260,1987,3.2,6,3,3,2,1,4,7,57.1,3,44,15,34.1,17,21,6,5,3,1,2,8,14,7,1,Matches
439,Cedric Teuchert\f956479d,de GER,MFFW,Union Berlin,25-028,1997,1.2,4,1,3,1,0,1,5,20.0,4,32,12,37.5,11,17,4,2,0,0,2,1,5,0,0,Matches
440,Jan Thielmann\fd53759d,de GER,MFFW,Köln,19-261,2002,8.5,26,13,10,12,4,8,17,47.1,9,190,62,32.6,38,88,64,24,2,0,22,19,45,12,0,Matches
441,Erik Thommy\df8e7b62,de GER,FWDF,Stuttgart,27-175,1994,0.9,0,0,0,0,0,0,0,,0,9,4,44.4,4,0,5,3,0,0,3,2,2,0,0,Matches
442,Marcus Thuram\6f8cd6d0,fr FRA,FWMF,M'Gladbach,24-189,1997,5.2,11,8,0,8,3,2,3,66.7,1,80,27,33.8,10,36,34,5,0,0,5,5,16,1,0,Matches
443,Alexis Tibidi\ca6f4846,fr FRA,FWMF,Stuttgart,18-100,2003,3.1,7,3,2,3,2,3,5,60.0,2,42,14,33.3,4,25,13,6,0,0,6,3,10,1,0,Matches
444,Steffen Tigges\6b8887c2,de GER,FWMF,Dortmund,23-195,1998,1.2,5,2,3,1,1,1,2,50.0,1,41,14,34.1,3,24,14,6,1,0,5,1,6,3,0,Matches
445,Malik Tillman\a5420709,de GER,FWMF,Bayern Munich,19-259,2002,1.2,2,1,0,2,0,0,2,0.0,2,39,15,38.5,12,14,13,8,1,0,7,4,6,0,0,Matches
446,Timothy Tillman\a5bea1fb,de GER,MF,Greuther Fürth,23-038,1999,11.0,23,11,12,8,3,9,24,37.5,15,223,72,32.3,71,106,46,23,2,0,21,14,37,15,0,Matches
447,Corentin Tolisso\652d4c37,fr FRA,MF,Bayern Munich,27-192,1994,6.4,12,8,1,10,1,6,12,50.0,6,142,54,38.0,34,81,27,8,1,0,7,6,18,11,0,Matches
448,Tiago Tomás\b492126a,pt POR,MF,Stuttgart,19-240,2002,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,0,1,2,0,0,0,0,0,0,0,0,Matches
449,Jordan Torunarigha\f86cabbd,de GER,DF,Hertha BSC,24-188,1997,5.4,4,2,1,3,0,2,4,50.0,2,36,15,41.7,20,14,2,5,2,0,3,20,24,30,0,Matches
450,Almamy Touré\c8c60119,ml MLI,DF,Eint Frankfurt,25-289,1996,4.5,11,6,6,4,1,4,11,36.4,7,83,28,33.7,37,29,17,12,1,0,11,7,18,11,0,Matches
451,Lucas Tousart\71ec39ef,fr FRA,MF,Hertha BSC,24-288,1997,8.8,22,14,9,12,1,3,14,21.4,11,193,63,32.6,81,97,15,16,3,0,13,19,41,28,0,Matches
452,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,31-218,1990,20.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
453,Christopher Trimmel\056d2d95,at AUT,DF,Union Berlin,34-352,1987,13.3,39,18,22,14,3,21,37,56.8,16,161,44,27.3,88,58,15,26,3,1,23,25,64,56,0,Matches
454,Tuta\35d64857,br BRA,DF,Eint Frankfurt,22-222,1999,12.6,26,14,17,8,1,11,21,52.4,10,204,73,35.8,105,84,15,30,9,2,21,30,56,48,0,Matches
455,Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,33-192,1988,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
456,Dayot Upamecano\d248cd8f,fr FRA,DF,Bayern Munich,23-107,1998,14.1,34,16,22,12,0,11,17,64.7,6,191,77,40.3,104,78,9,20,6,0,14,40,74,42,3,Matches
457,Benjamin Uphoff\a9a6fc08,de GER,GK,Freiburg,28-187,1993,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches
458,Mark Uth\a3ddb1b9,de GER,FWMF,Köln,30-171,1991,12.0,23,14,7,7,9,10,27,37.0,17,302,95,31.5,42,119,141,15,0,0,15,13,36,7,0,Matches
459,Ruben Vargas\6ecbddf6,ch SUI,MFFW,Augsburg,23-190,1998,14.9,21,12,6,10,5,7,17,41.2,10,207,67,32.4,47,104,56,11,1,0,10,24,45,9,0,Matches
460,Sebastian Vasiliadis\d3112d86,gr GRE,MF,Arminia,24-130,1997,5.9,28,17,12,13,3,8,24,33.3,16,151,46,30.5,54,82,15,11,0,0,11,23,51,19,1,Matches
461,Mickey van de Ven\8fe2a392,nl NED,DF,Wolfsburg,20-298,2001,0.4,3,1,1,1,1,0,0,,0,5,1,20.0,2,2,1,1,1,0,0,3,6,0,0,Matches
462,Nick Viergever\e38f1636,nl NED,DF,Greuther Fürth,32-192,1989,10.7,15,9,11,4,0,5,9,55.6,4,86,36,41.9,48,35,3,21,11,0,10,24,39,61,0,Matches
463,Andreas Voglsammer\daa78200,de GER,FW,Union Berlin,30-033,1992,6.1,11,5,5,4,2,3,9,33.3,6,120,30,25.0,19,53,48,11,3,0,8,0,11,5,0,Matches
464,Kevin Vogt\1d8e9add,de GER,DF,Hoffenheim,30-141,1991,18.9,17,8,13,4,0,7,16,43.8,9,180,82,45.6,78,94,8,19,3,0,16,18,35,69,0,Matches
465,Aster Vranckx\f86cd5df,be BEL,MFFW,Wolfsburg,19-130,2002,8.6,24,17,13,7,4,7,19,36.8,12,204,69,33.8,80,92,32,17,4,0,13,13,37,8,0,Matches
466,Luca Waldschmidt\e5a35ae9,de GER,MFFW,Wolfsburg,25-268,1996,7.8,9,3,4,5,0,3,10,30.0,7,97,27,27.8,30,45,22,7,0,0,7,8,17,3,0,Matches
467,Paul Wanner\cb64672e,de GER,FWMF,Bayern Munich,16-050,2005,0.4,2,2,0,2,0,1,1,100.0,0,15,6,40.0,2,6,7,1,0,0,1,0,2,0,0,Matches
468,Wout Weghorst\c4e87b8b,nl NED,FW,Wolfsburg,29-188,1992,17.3,14,7,4,7,3,3,11,27.3,8,414,119,28.7,33,176,205,16,3,0,13,3,17,10,0,Matches
469,Noah Weißhaupt\dd676a97,de GER,MFFW,Freiburg,20-144,2001,0.5,2,0,1,0,1,1,3,33.3,2,9,4,44.4,3,5,1,0,0,0,0,3,5,0,0,Matches
470,Silvan Widmer\f68b64fc,ch SUI,DF,Mainz 05,28-343,1993,20.5,49,33,26,13,10,22,39,56.4,17,329,113,34.3,146,112,71,56,12,0,44,29,78,41,2,Matches
471,Jetro Willems\9050ddc4,nl NED,DF,Greuther Fürth,27-318,1994,13.1,25,15,13,8,4,12,20,60.0,8,140,41,29.3,65,53,22,28,1,0,27,26,51,36,0,Matches
472,Patrick Wimmer\cb11b429,at AUT,FWMF,Arminia,20-257,2001,12.5,36,24,9,17,10,5,24,20.8,19,314,84,26.8,53,161,100,22,2,0,20,31,67,13,0,Matches
473,Jonas Wind\2077ae86,dk DEN,FW,Wolfsburg,23-004,1999,0.7,1,0,0,1,0,0,0,,0,9,2,22.2,0,4,5,1,0,0,1,2,3,0,0,Matches
474,Frederik Winther\a1257b5e,dk DEN,DF,Augsburg,21-038,2001,2.0,3,2,1,2,0,2,3,66.7,1,23,10,43.5,14,9,0,2,0,0,2,5,8,8,0,Matches
475,Florian Wirtz\e7fcf289,de GER,MFFW,Leverkusen,18-284,2003,16.3,26,18,10,11,5,6,25,24.0,19,348,123,35.3,72,181,95,10,1,0,9,23,49,3,0,Matches
476,Axel Witsel\5dfc6ad5,be BEL,MFDF,Dortmund,33-030,1989,11.6,20,14,6,12,2,7,18,38.9,11,144,48,33.3,51,83,10,14,5,0,9,19,39,32,0,Matches
477,Hannes Wolf\be42a291,at AUT,FWMF,M'Gladbach,22-301,1999,3.4,20,10,5,9,6,8,17,47.1,9,92,32,34.8,15,50,27,13,0,0,13,5,25,2,0,Matches
478,Marius Wolf\fa661778,de GER,DFFW,Dortmund,26-260,1995,6.4,10,2,6,3,1,2,6,33.3,4,107,30,28.0,36,51,20,12,1,0,11,11,21,2,0,Matches
479,Jeong Woo-yeong\6190474d,kr KOR,FWMF,Freiburg,22-144,1999,13.8,6,2,1,5,0,0,5,0.0,5,274,67,24.5,39,150,85,8,0,0,8,9,15,11,0,Matches
480,Joscha Wosz\80c9e555,de GER,DF,RB Leipzig,19-206,2002,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
481,Dan-Axel Zagadou\a4effc55,fr FRA,DF,Dortmund,22-253,1999,3.7,8,3,6,1,1,2,4,50.0,2,41,15,36.6,20,17,4,8,4,1,4,9,17,13,0,Matches
482,Denis Zakaria\384d58d9,ch SUI,MFDF,M'Gladbach,25-083,1996,15.5,28,18,13,13,2,11,25,44.0,14,216,75,34.7,87,102,27,37,5,0,32,37,65,22,0,Matches
483,Deyovaisio Zeefuik\58a2e9f6,nl NED,DFMF,Hertha BSC,23-337,1998,6.3,12,7,7,4,1,3,8,37.5,5,93,28,30.1,49,28,16,17,4,0,13,12,24,17,3,Matches
484,Robin Zentner\5c4bf6ba,de GER,GK,Mainz 05,27-106,1994,21.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches
485,Andi Zeqiri\d01231f0,ch SUI,FWMF,Augsburg,22-234,1999,10.1,8,4,2,4,2,1,9,11.1,8,210,53,25.2,32,114,64,15,1,0,14,10,18,10,0,Matches
486,Simon Zoller\29f7cfd9,de GER,FW,Bochum,30-230,1991,4.0,3,2,0,0,3,0,3,0.0,3,69,16,23.2,16,27,26,2,0,0,2,1,4,1,0,Matches
