,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
345,Nils Petersen\f93e6e94,de GER,FWMF,Freiburg,33-067,1988,1.5,0,0,0,0,0,0,6,0.0,6,37,12,32.4,8,14,15,4,0,0,4,3,3,6,0,Matches
346,Jens Petter Hauge\12c35abe,no NOR,FWMF,Eint Frankfurt,22-122,1999,6.5,8,4,1,6,1,3,12,25.0,9,127,46,36.2,23,65,39,9,1,0,8,1,9,1,0,Matches
347,Maximilian Philipp\061e8e23,de GER,MF,Wolfsburg,27-347,1994,7.9,9,8,2,3,4,4,14,28.6,10,127,37,29.1,19,68,40,12,2,0,10,8,17,4,0,Matches
348,Krzysztof Piątek\17f3620a,pl POL,FW,Hertha BSC,26-225,1995,3.9,2,1,0,0,2,0,1,0.0,1,85,23,27.1,5,42,38,3,0,0,3,0,2,7,0,Matches
349,Amos Pieper\526ea7cc,de GER,DF,Arminia,24-025,1998,18.9,37,20,24,13,0,15,29,51.7,14,179,74,41.3,102,68,9,39,19,0,20,48,85,133,1,Matches
350,Marvin Plattenhardt\f7aa75bd,de GER,DF,Hertha BSC,30-016,1992,12.9,27,16,19,6,2,14,25,56.0,11,147,48,32.7,83,53,11,34,3,0,31,12,39,31,0,Matches
351,Alassane Pléa\bc6bd723,fr FRA,FWMF,M'Gladbach,28-338,1993,11.8,13,11,3,8,2,2,10,20.0,8,177,62,35.0,18,79,80,4,0,0,4,6,19,7,0,Matches
352,Joel Pohjanpalo\ea003d07,fi FIN,FW,Leverkusen,27-151,1994,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
353,Sebastian Polter\3745e8bd,de GER,FW,Bochum,30-316,1991,16.3,6,5,0,4,2,3,7,42.9,4,254,66,26.0,6,106,142,11,3,0,8,5,11,13,0,Matches
354,Marin Pongračić\2a6cd437,hr CRO,DF,Dortmund,24-153,1997,5.2,13,9,7,6,0,5,7,71.4,2,58,27,46.6,32,26,0,8,4,0,4,13,26,26,1,Matches
355,Stefan Posch\7f609bfc,at AUT,DF,Hoffenheim,24-273,1997,14.9,43,26,23,17,3,21,35,60.0,14,185,71,38.4,93,77,15,39,16,0,23,26,69,52,0,Matches
356,Yussuf Poulsen\d2416c2e,dk DEN,FWMF,RB Leipzig,27-241,1994,6.8,10,7,3,3,4,3,10,30.0,7,157,53,33.8,18,79,60,8,0,0,8,4,14,7,0,Matches
357,Manuel Prietl\901c0f97,at AUT,MF,Arminia,30-192,1991,16.4,40,25,15,21,4,10,37,27.0,27,325,104,32.0,87,199,39,20,4,0,16,40,80,32,0,Matches
358,Grischa Prömel\924f9191,de GER,MF,Union Berlin,27-033,1995,15.0,23,16,10,12,1,14,32,43.8,18,232,70,30.2,68,113,51,19,3,0,16,26,49,14,0,Matches
359,Afimico Pululu\32c016f8,fr FRA,FW,Greuther Fürth,22-325,1999,0.1,1,1,1,0,0,0,0,,0,8,6,75.0,1,3,4,0,0,0,0,0,1,0,0,Matches
360,Sidney Raebiger\a8090a41,de GER,MF,RB Leipzig,16-300,2005,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,Matches
361,Diant Ramaj\b90c4a43,de GER,GK,Eint Frankfurt,20-145,2001,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
362,Guilherme Ramos\df9c3473,pt POR,DF,Arminia,24-184,1997,1.7,6,2,5,1,0,3,3,100.0,0,20,5,25.0,13,7,0,6,2,0,4,6,12,11,0,Matches
363,Tobias Raschl\bd992863,de GER,MF,Greuther Fürth,21-355,2000,0.2,1,0,0,1,0,0,0,,0,2,0,0.0,0,2,0,0,0,0,0,0,1,0,0,Matches
364,David Raum\7d450ed3,de GER,DF,Hoffenheim,23-295,1998,18.7,39,20,23,9,7,20,35,57.1,15,240,79,32.9,87,102,51,34,2,0,32,28,67,40,1,Matches
365,Reinier\6b21b7b5,br BRA,MFFW,Dortmund,20-023,2002,0.7,5,3,1,2,2,1,1,100.0,0,28,11,39.3,4,10,14,2,0,0,2,2,7,0,0,Matches
366,Panagiotis Retsos\4bd00a50,gr GRE,DFFW,Leverkusen,23-186,1998,0.4,0,0,0,0,0,0,0,,0,6,3,50.0,4,2,0,0,0,0,0,1,1,1,0,Matches
367,Marco Reus\36a3ff67,de GER,MFFW,Dortmund,32-256,1989,19.0,24,17,9,11,4,7,26,26.9,19,367,126,34.3,47,177,143,29,6,0,23,19,43,21,0,Matches
368,Elvis Rexhbeçaj\1ae836b1,de GER,MF,Bochum,24-102,1997,18.7,33,14,10,18,5,8,25,32.0,17,286,74,25.9,72,149,65,30,8,0,22,23,56,13,0,Matches
369,Gio Reyna\7fa4e703,us USA,MF,Dortmund,19-090,2002,2.8,3,1,1,2,0,1,5,20.0,4,43,15,34.9,11,19,13,3,0,0,3,1,4,1,0,Matches
370,Chris Richards\0a3d6d2b,us USA,DF,Bayern Munich,21-320,2000,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches
371,Chris Richards\0a3d6d2b,us USA,DF,Hoffenheim,21-320,2000,12.5,24,17,11,12,1,6,11,54.5,5,146,66,45.2,73,61,12,31,9,0,22,35,59,57,1,Matches
372,Omar Richards\f9b1b7bf,eng ENG,DF,Bayern Munich,23-361,1998,3.0,11,8,7,2,2,4,8,50.0,4,52,23,44.2,20,17,15,3,0,0,3,3,14,5,0,Matches
