,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
30,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,32-025,1990,4.3,0,3,3,100.0,0.70,0.70,0.00,0.00,21.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
31,Loïc Bade\114bbdee,fr FRA,DF,Rennes,21-306,2000,10.9,0,7,0,0.0,0.64,0.00,0.00,,13.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
32,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,20-322,2001,8.6,0,6,1,16.7,0.70,0.12,0.00,0.00,10.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
33,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,20-053,2001,1.5,0,2,0,0.0,1.33,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
34,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,29-259,1992,6.1,2,10,5,50.0,1.65,0.83,0.20,0.40,16.1,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches
35,Dénys Bain\5065d67d,fr FRA,DF,Brest,28-224,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,5.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Cédric Bakambu\0af4dcf0,cd COD,FWMF,Marseille,30-306,1991,0.9,1,5,3,60.0,5.63,3.38,0.20,0.33,13.1,0,0,0,0.7,0.7,0.14,+0.3,+0.3,Matches
38,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,19-058,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,Dilane Bakwa\2b5a35e5,fr FRA,FW,Bordeaux,19-169,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
