,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
124,Joris Chotard\7909ffa4,fr FRA,MF,Montpellier,20-140,2001,20.5,0,10,1,10.0,0.49,0.05,0.00,0.00,19.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
125,Alexis Claude-Maurice\741418c3,fr FRA,MF,Nice,23-250,1998,2.1,0,7,1,14.3,3.28,0.47,0.00,0.00,16.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
126,Jonathan Clauss\5219ab4a,fr FRA,DF,Lens,29-139,1992,20.5,2,17,6,35.3,0.83,0.29,0.12,0.33,21.6,5,0,0,1.4,1.4,0.08,+0.6,+0.6,Matches
127,Marcus Coco\3010aefb,fr FRA,FWMF,Nantes,25-232,1996,5.5,0,7,0,0.0,1.27,0.00,0.00,,14.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
128,Abdu Conté\cfa49cc1,pt POR,DFMF,Troyes,23-324,1998,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,12.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
129,Sébastien Corchia\0e7ccfc4,fr FRA,DF,Nantes,31-102,1990,8.2,0,9,3,33.3,1.10,0.37,0.00,0.00,26.8,4,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
130,Maxwel Cornet\beb391dd,ci CIV,DFMF,Lyon,25-137,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,David Pereira da Costa\59948ef7,pt POR,FWMF,Lens,21-037,2001,7.1,1,10,2,20.0,1.41,0.28,0.10,0.50,19.6,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
132,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,34-223,1987,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
133,Kalifa Coulibaly\9980269a,ml MLI,FW,Nantes,30-174,1991,3.7,1,6,4,66.7,1.60,1.07,0.17,0.25,7.8,0,0,0,1.3,1.3,0.22,-0.3,-0.3,Matches
134,Nicolas Cozza\8f325097,fr FRA,DF,Montpellier,23-034,1999,18.7,2,3,2,66.7,0.16,0.11,0.67,1.00,12.0,0,0,0,0.8,0.8,0.26,+1.2,+1.2,Matches
135,Wylan Cyprien\3e092724,fr FRA,MF,Nantes,27-014,1995,7.5,1,9,3,33.3,1.19,0.40,0.11,0.33,22.5,2,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
136,Lucas Da Cunha\007faf7a,fr FRA,MF,Nice,20-247,2001,4.4,0,11,3,27.3,2.52,0.69,0.00,0.00,22.5,1,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
137,Lucas Da Cunha\007faf7a,fr FRA,FW,Clermont Foot,20-247,2001,0.8,1,2,1,50.0,2.50,1.25,0.50,1.00,19.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
138,Damien Da Silva\1ec7e1c5,fr FRA,DF,Lyon,33-270,1988,7.2,0,8,1,12.5,1.11,0.14,0.00,0.00,9.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
139,Colin Dagba\29c02c9f,fr FRA,DF,Paris S-G,23-155,1998,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
140,Flavius Daniliuc\7ef972c3,at AUT,DF,Nice,20-290,2001,7.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
141,Kevin Danso\6e33125f,at AUT,DF,Lens,23-145,1998,18.4,0,5,2,40.0,0.27,0.11,0.00,0.00,8.5,0,0,0,1.0,1.0,0.21,-1.0,-1.0,Matches
142,Dante\fd2bc67d,br BRA,DF,Nice,38-116,1983,21.5,0,11,1,9.1,0.51,0.05,0.00,0.00,13.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
143,Jonathan David\ce50fd99,ca CAN,FW,Lille,22-028,2000,19.2,12,37,20,54.1,1.93,1.04,0.27,0.50,13.4,0,2,3,9.9,7.6,0.21,+2.1,+2.4,Matches
144,Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,20-210,2001,8.7,0,15,4,26.7,1.72,0.46,0.00,0.00,17.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
145,Romain Del Castillo\0be95d34,fr FRA,FWMF,Brest,25-319,1996,3.3,0,4,0,0.0,1.20,0.00,0.00,,16.4,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
146,Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,25-319,1996,0.3,0,1,0,0.0,3.21,0.00,0.00,,20.0,1,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
147,Thomas Delaine\8332db56,fr FRA,DF,Metz,29-324,1992,15.6,0,10,3,30.0,0.64,0.19,0.00,0.00,30.7,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
148,Sacha Delaye\e4448c8c,fr FRA,MF,Montpellier,19-294,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
149,Andy Delort\d33c706e,dz ALG,FW,Nice,30-125,1991,13.8,6,48,20,41.7,3.48,1.45,0.10,0.25,15.6,1,1,1,6.9,6.1,0.13,-0.9,-1.1,Matches
150,Andy Delort\d33c706e,dz ALG,FW,Montpellier,30-125,1991,3.0,2,14,5,35.7,4.68,1.67,0.14,0.40,15.9,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
151,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,25-214,1996,11.8,7,33,14,42.4,2.80,1.19,0.12,0.29,13.4,0,3,3,7.3,5.1,0.16,-0.3,-1.1,Matches
152,Jason Denayer\47af88b8,be BEL,DF,Lyon,26-228,1995,10.1,3,5,3,60.0,0.49,0.30,0.60,1.00,6.4,0,0,0,1.4,1.4,0.28,+1.6,+1.6,Matches
153,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,27-310,1994,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
154,Ángel Di María\19cda00b,ar ARG,FW,Paris S-G,33-362,1988,12.5,3,32,12,37.5,2.56,0.96,0.09,0.25,19.4,1,0,0,3.4,3.4,0.10,-0.4,-0.4,Matches
155,Yadaly Diaby\5630a6e0,fr FRA,FWMF,Clermont Foot,21-186,2000,0.7,0,2,0,0.0,2.69,0.00,0.00,,15.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
156,Ibrahim Diakité\d8c19a60,fr FRA,MF,Reims,18-103,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
157,Abdou Diallo\fc62f087,sn SEN,DF,Paris S-G,25-283,1996,8.5,0,1,1,100.0,0.12,0.12,0.00,0.00,20.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
158,Habib Diallo\6605d143,sn SEN,FW,Strasbourg,26-238,1995,11.1,8,30,13,43.3,2.71,1.17,0.23,0.54,10.9,0,1,1,6.3,5.5,0.20,+1.7,+1.5,Matches
159,Mouhamadou Diarra\6d0fe035,fr FRA,MF,Strasbourg,18-039,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
160,Stéphane Diarra\29939a1d,fr FRA,FWMF,Lorient,23-064,1998,5.2,0,11,3,27.3,2.10,0.57,0.00,0.00,16.7,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
161,Krepin Diatta\8104e41e,sn SEN,MFDF,Monaco,22-351,1999,3.2,1,3,3,100.0,0.95,0.95,0.33,0.33,18.0,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
162,Bamba Dieng\40774c6b,sn SEN,FWMF,Marseille,21-325,2000,5.9,4,21,11,52.4,3.58,1.87,0.19,0.36,13.1,0,0,0,4.2,4.2,0.20,-0.2,-0.2,Matches
163,Elhadji Dieye\6a04bb7c,sn SEN,MFFW,Saint-Étienne,19-251,2002,0.4,0,2,0,0.0,5.29,0.00,0.00,,18.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
164,Javairô Dilrosun\34a0f5ff,nl NED,FWMF,Bordeaux,23-234,1998,10.8,0,26,5,19.2,2.40,0.46,0.00,0.00,22.9,5,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches
165,Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,Paris S-G,21-082,2000,2.7,0,3,1,33.3,1.13,0.37,0.00,0.00,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
166,Tristan Dingomé\92b56413,cm CMR,MFFW,Troyes,30-359,1991,8.4,2,18,4,22.2,2.15,0.48,0.11,0.50,22.2,1,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches
167,Sinaly Diomande\6de23ab0,ci CIV,DF,Lyon,20-308,2001,6.4,0,3,0,0.0,0.47,0.00,0.00,,7.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
168,Sofiane Diop\19053e31,fr FRA,MFFW,Monaco,21-247,2000,17.4,6,31,11,35.5,1.78,0.63,0.19,0.55,16.0,1,0,0,5.0,5.0,0.16,+1.0,+1.0,Matches
169,Andy Diouf\9b5237b1,fr FRA,MF,Rennes,19-270,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
170,Assane Dioussé\7f622eef,sn SEN,MF,Saint-Étienne,24-144,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
171,Axel Disasi\ad82197c,fr FRA,DF,Monaco,23-337,1998,17.3,1,8,1,12.5,0.46,0.06,0.13,1.00,8.1,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
172,Tiago Djaló\b2336681,pt POR,DF,Lille,21-308,2000,13.8,1,9,2,22.2,0.65,0.14,0.11,0.50,10.0,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
173,Alexander Djiku\43e7a164,gh GHA,DF,Strasbourg,27-186,1994,16.0,0,7,1,14.3,0.44,0.06,0.00,0.00,10.1,0,0,0,1.5,1.5,0.21,-1.5,-1.5,Matches
174,Bryan Djile Nokoué\75186a6a,cm CMR,DFMF,Saint-Étienne,19-264,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
175,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,23-295,1998,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
176,Jeremy Doku\fffea3e5,be BEL,MFFW,Rennes,19-260,2002,4.4,1,4,2,50.0,0.92,0.46,0.25,0.50,12.8,0,0,0,0.8,0.8,0.19,+0.2,+0.2,Matches
177,Kasper Dolberg\cc83b74d,dk DEN,FW,Nice,24-128,1997,11.0,6,25,12,48.0,2.27,1.09,0.16,0.33,13.8,0,2,2,5.0,3.5,0.14,+1.0,+0.5,Matches
178,Brandon Domingues\2a00c6c0,fr FRA,MFFW,Troyes,21-250,2000,2.6,1,4,2,50.0,1.57,0.78,0.25,0.50,19.3,0,0,0,0.9,0.9,0.22,+0.1,+0.1,Matches
179,Anastasios Donis\0f26fd24,gr GRE,FWMF,Reims,25-166,1996,3.6,0,9,1,11.1,2.52,0.28,0.00,0.00,20.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
180,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,22-351,1999,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
181,Jodel Dossou\a1dbfcb1,bj BEN,FW,Clermont Foot,29-331,1992,15.5,1,39,11,28.2,2.51,0.71,0.03,0.09,17.5,0,0,0,3.5,3.5,0.09,-2.5,-2.5,Matches
182,Lucas Douath\3cd7820a,fr FRA,MF,Saint-Étienne,18-190,2003,10.0,0,8,0,0.0,0.80,0.00,0.00,,15.1,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
183,Cheick Doucouré\ce4f40c7,ml MLI,MF,Lens,22-034,2000,18.9,0,17,7,41.2,0.90,0.37,0.00,0.00,21.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
184,Fodé Doucouré\1bfe34dc,ml MLI,DF,Reims,21-008,2001,1.7,0,1,0,0.0,0.58,0.00,0.00,,22.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
185,Kamory Doumbia\9226aa22,fr FRA,FW,Reims,18-358,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
186,Souleyman Doumbia\9daeac61,ci CIV,DF,Angers,25-140,1996,12.7,0,8,3,37.5,0.63,0.24,0.00,0.00,21.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
187,Julian Draxler\1a992676,de GER,FWMF,Paris S-G,28-144,1993,4.8,2,7,2,28.6,1.46,0.42,0.29,1.00,13.5,0,0,0,1.4,1.4,0.19,+0.6,+0.6,Matches
188,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,32-328,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
189,Leo Dubois\ff0ab48c,fr FRA,DF,Lyon,27-150,1994,14.7,0,8,1,12.5,0.54,0.07,0.00,0.00,18.3,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
190,Jean-Kevin Duverne\0cbc8baa,fr FRA,DF,Brest,24-214,1997,19.7,0,5,0,0.0,0.25,0.00,0.00,,15.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
191,Enzo Ebosse\9ba7b4fa,cm CMR,DF,Angers,22-337,1999,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
192,Hugo Ekitike\5b92d896,fr FRA,FW,Reims,19-236,2002,11.6,9,25,15,60.0,2.15,1.29,0.32,0.53,14.5,0,1,2,5.8,4.0,0.17,+3.2,+4.0,Matches
193,Alberth Elis\104b4ad3,hn HON,FWMF,Bordeaux,25-364,1996,12.3,8,23,10,43.5,1.86,0.81,0.35,0.80,14.0,0,0,0,4.4,4.4,0.19,+3.6,+3.6,Matches
194,Sepe Elye Wahi\0d7b6576,fr FRA,FWMF,Montpellier,19-040,2003,10.6,6,20,10,50.0,1.89,0.95,0.30,0.60,13.5,0,0,0,3.0,3.0,0.15,+3.0,+3.0,Matches
195,Renaud Emond\5c9ac7f0,be BEL,MFFW,Nantes,30-068,1991,2.1,0,1,0,0.0,0.47,0.00,0.00,,54.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
196,Maxime Estève\1a066e69,fr FRA,DF,Montpellier,19-261,2002,10.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
197,Fábio\bc7b4580,br BRA,DF,Nantes,31-217,1990,13.3,0,7,1,14.3,0.53,0.08,0.00,0.00,15.2,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
198,Cesc Fàbregas\33508c78,es ESP,MF,Monaco,34-283,1987,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
199,Wout Faes\9c221d14,be BEL,DF,Reims,23-314,1998,22.0,3,12,4,33.3,0.55,0.18,0.25,0.75,10.3,0,0,0,1.3,1.3,0.11,+1.7,+1.7,Matches
200,Romain Faivre\745ca0a3,fr FRA,FW,Lyon,23-212,1998,0.5,0,1,0,0.0,2.00,0.00,0.00,,29.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
201,Romain Faivre\745ca0a3,fr FRA,MF,Brest,23-212,1998,19.9,7,32,13,40.6,1.60,0.65,0.06,0.15,21.8,4,5,5,6.2,2.4,0.08,+0.8,-0.4,Matches
202,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,23-361,1998,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
203,Noah Fatar\2693f6bc,fr FRA,DFMF,Angers,19-361,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
204,Julien Faussurier\767212e6,fr FRA,DFFW,Brest,35-028,1987,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
205,Jordan Ferri\375622c5,fr FRA,MF,Montpellier,29-336,1992,20.4,0,7,2,28.6,0.34,0.10,0.00,0.00,24.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
206,Karol Fila\50ac8941,pl POL,DF,Strasbourg,23-243,1998,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
207,Alexis Flips\caef7840,fr FRA,FWMF,Reims,22-024,2000,7.8,1,12,6,50.0,1.53,0.77,0.00,0.00,25.0,1,1,1,1.4,0.6,0.05,-0.4,-0.6,Matches
208,Mamadou Fofana\4c4ffacc,ml MLI,DF,Metz,24-021,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
209,Seko Fofana\5313ed43,ci CIV,MF,Lens,26-280,1995,22.8,6,60,20,33.3,2.63,0.88,0.10,0.30,19.6,0,0,0,5.3,5.3,0.09,+0.7,+0.7,Matches
210,Youssouf Fofana\822d51d7,fr FRA,MF,Monaco,23-032,1999,10.9,0,12,3,25.0,1.10,0.27,0.00,0.00,24.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
211,Thomas Foket\90eb507d,be BEL,DF,Reims,27-139,1994,15.5,1,5,1,20.0,0.32,0.06,0.20,1.00,12.2,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
212,Thomas Fontaine\9f90c06b,mg MAD,DF,Lorient,30-279,1991,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
213,José Fonte\90f87966,pt POR,DF,Lille,38-051,1983,23.0,0,10,3,30.0,0.43,0.13,0.00,0.00,10.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
214,Steven Fortes\574aa9ec,cv CPV,DF,Lens,29-300,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
215,Przemysław Frankowski\00a8d210,pl POL,DF,Lens,26-305,1995,19.0,4,23,9,39.1,1.21,0.47,0.17,0.44,17.1,0,0,0,2.0,2.0,0.09,+2.0,+2.0,Matches
216,Fransérgio\deba6b05,br BRA,MF,Bordeaux,31-116,1990,10.7,0,9,2,22.2,0.84,0.19,0.00,0.00,23.5,1,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
217,Angelo Fulgini\4b96c347,fr FRA,MFFW,Angers,25-175,1996,20.3,4,38,11,28.9,1.87,0.54,0.11,0.36,15.1,1,0,0,4.5,4.5,0.12,-0.5,-0.5,Matches
218,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,28-294,1993,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
219,Kévin Gameiro\42276181,fr FRA,FWMF,Strasbourg,34-278,1987,13.9,8,33,14,42.4,2.37,1.01,0.21,0.50,14.3,0,1,2,7.7,6.2,0.19,+0.3,+0.8,Matches
220,Idrissa Gana Gueye\72c812f3,sn SEN,MF,Paris S-G,32-138,1989,12.1,3,15,4,26.7,1.24,0.33,0.20,0.75,22.1,0,0,0,1.0,1.0,0.07,+2.0,+2.0,Matches
221,Ignatius Ganago\23c63b7f,cm CMR,FW,Lens,22-360,1999,6.6,3,17,7,41.2,2.59,1.07,0.18,0.43,14.2,0,0,0,2.3,2.3,0.14,+0.7,+0.7,Matches
222,Johan Gastien\868eaba0,fr FRA,MF,Clermont Foot,34-017,1988,17.6,0,12,4,33.3,0.68,0.23,0.00,0.00,21.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
223,Valère Germain\ea0ff634,fr FRA,FW,Montpellier,31-300,1990,13.8,4,19,12,63.2,1.38,0.87,0.21,0.33,11.6,0,0,0,2.8,2.8,0.15,+1.2,+1.2,Matches
224,Gerson\8827bf46,br BRA,MFDF,Marseille,24-267,1997,14.1,4,22,11,50.0,1.56,0.78,0.18,0.36,15.2,0,0,0,3.0,3.0,0.14,+1.0,+1.0,Matches
225,Willem Geubbels\9836e892,fr FRA,FWMF,Nantes,20-179,2001,2.8,1,5,1,20.0,1.79,0.36,0.20,1.00,14.2,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
226,Lamine Ghezali\ce84946a,fr FRA,DF,Saint-Étienne,22-220,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
227,Nicholas Gioacchini\79ab7593,us USA,MFFW,Montpellier,21-201,2000,4.3,0,7,1,14.3,1.63,0.23,0.00,0.00,7.1,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Matches
228,Jimmy Giraudon\6ba71da5,fr FRA,DF,Troyes,30-026,1992,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
229,Andrei Girotto\3befc2b6,br BRA,DFMF,Nantes,29-359,1992,22.4,5,33,5,15.2,1.48,0.22,0.15,1.00,15.5,3,0,0,1.7,1.7,0.05,+3.3,+3.3,Matches
230,Aleksandr Golovin\3708e9fa,ru RUS,FWMF,Monaco,25-257,1996,7.7,2,13,5,38.5,1.68,0.65,0.15,0.40,20.1,1,0,0,1.6,1.6,0.12,+0.4,+0.4,Matches
231,Angel Gomes\645a3363,eng ENG,MF,Lille,21-164,2000,5.3,0,4,0,0.0,0.76,0.00,0.00,,19.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
232,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,28-159,1993,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
233,Vagner Gonçalves\743fd71f,cv CPV,MFFW,Metz,26-032,1996,1.0,0,1,1,100.0,1.05,1.05,0.00,0.00,6.3,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
234,Álvaro González\42dcf26d,es ESP,DF,Marseille,32-034,1990,5.0,0,2,0,0.0,0.40,0.00,0.00,,6.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
235,Amine Gouiri\aad56ca3,fr FRA,FWMF,Nice,21-360,2000,19.7,10,44,24,54.5,2.23,1.22,0.16,0.29,17.1,2,3,5,10.7,6.9,0.16,-0.7,+0.1,Matches
236,Jonathan Gradit\06c48679,fr FRA,DF,Lens,29-079,1992,21.1,0,2,0,0.0,0.09,0.00,0.00,,32.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
237,Andrew Gravillon\49136c42,fr FRA,DF,Reims,24-003,1998,19.5,0,9,2,22.2,0.46,0.10,0.00,0.00,21.5,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
238,Adrian Grbić\4a987ffa,at AUT,FWMF,Lorient,25-191,1996,5.8,1,12,6,50.0,2.08,1.04,0.08,0.17,19.0,4,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
239,Ivo Grbić\3f034750,hr CRO,GK,Lille,26-024,1996,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
240,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,21-207,2000,13.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
241,Gabriel Gudmundsson\d5d22a58,se SWE,DFMF,Lille,22-288,1999,5.3,0,8,1,12.5,1.52,0.19,0.00,0.00,15.8,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
242,Noah Guede-Nadje\94b442c0,fr FRA,FW,Angers,18-091,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
243,Mattéo Guendouzi\5ea8ef20,fr FRA,MF,Marseille,22-303,1999,20.9,3,31,13,41.9,1.49,0.62,0.10,0.23,16.4,0,0,0,2.7,2.7,0.09,+0.3,+0.3,Matches
244,Yanis Guermouche\642f9f79,fr FRA,FW,Montpellier,20-302,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
245,Evann Guessand\b73f17f8,fr FRA,FW,Nice,20-225,2001,2.1,1,5,1,20.0,2.41,0.48,0.20,1.00,10.4,0,0,0,0.9,0.9,0.17,+0.1,+0.1,Matches
246,Lamine Gueye\9d5dcc23,sn SEN,MFFW,Metz,23-335,1998,6.2,0,14,7,50.0,2.27,1.14,0.00,0.00,17.4,1,0,0,1.6,1.6,0.11,-1.6,-1.6,Matches
247,Pape Gueye\7155e3e1,sn SEN,MF,Marseille,23-018,1999,7.6,0,13,1,7.7,1.71,0.13,0.00,0.00,22.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
248,Josuha Guilavogui\e6c43eec,fr FRA,MF,Bordeaux,31-145,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
249,Frederic Guilbert\5d8d7454,fr FRA,DF,Strasbourg,27-049,1994,15.8,0,13,2,15.4,0.82,0.13,0.00,0.00,24.8,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
250,Bruno Guimarães\82518f62,br BRA,MF,Lyon,24-087,1997,18.2,0,11,2,18.2,0.61,0.11,0.00,0.00,22.9,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
251,Sehrou Guirassy\923f4dda,fr FRA,FW,Rennes,25-336,1996,6.4,3,22,7,31.8,3.43,1.09,0.14,0.43,11.8,0,0,0,3.2,3.2,0.15,-0.2,-0.2,Matches
252,Malo Gusto\d56b9520,fr FRA,DF,Lyon,18-268,2003,10.9,0,7,0,0.0,0.64,0.00,0.00,,22.7,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
253,Massadio Haïdara\5167c97e,ml MLI,DF,Lens,29-071,1992,5.3,0,2,0,0.0,0.38,0.00,0.00,,11.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
254,Oualid El Hajjam\9f29c204,ma MAR,DF,Troyes,30-357,1991,10.9,1,11,3,27.3,1.01,0.28,0.09,0.33,18.7,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
255,Achraf Hakimi\e42d61c7,ma MAR,DF,Paris S-G,23-099,1998,16.8,3,13,5,38.5,0.77,0.30,0.23,0.60,15.8,0,0,0,1.0,1.0,0.07,+2.0,+2.0,Matches
256,Pierre-Yves Hamel\a99da9ec,fr FRA,FWDF,Lorient,28-008,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
257,Pierre-Yves Hamel\a99da9ec,fr FRA,FW,Clermont Foot,28-008,1994,5.4,0,13,4,30.8,2.41,0.74,0.00,0.00,13.7,0,0,0,2.4,2.4,0.18,-2.4,-2.4,Matches
258,Romain Hamouma\0b4d8274,fr FRA,FW,Saint-Étienne,34-319,1987,7.5,1,17,4,23.5,2.26,0.53,0.06,0.25,18.6,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
259,Amine Harit\e7d59f4f,ma MAR,FWDF,Marseille,24-238,1997,5.8,1,8,2,25.0,1.39,0.35,0.13,0.50,18.7,1,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
260,Henrique\f28474a4,br BRA,DF,Lyon,27-292,1994,5.9,0,4,0,0.0,0.68,0.00,0.00,,16.5,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
