,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
31,Keita Baldé\509a4ccb,sn SEN,FWMF,Cagliari,26-340,1995,9.8,169,160,9,1,0,52,0,7,0,0,0,0,113,31,25,32,108,12,0,4,122,0,6,5,5,Matches
32,Fodé Ballo-Touré\f449640d,sn SEN,DF,Milan,25-039,1997,4.9,270,234,36,5,0,28,3,16,0,0,0,0,188,48,34,198,26,10,31,1,228,1,1,2,11,Matches
33,Filippo Bandinelli\d44360be,it ITA,MF,Empoli,26-319,1995,11.9,412,393,19,4,2,74,15,26,5,0,1,0,285,51,76,318,69,10,8,2,315,4,9,13,21,Matches
34,Mattia Bani\0821331c,it ITA,DF,Genoa,28-063,1993,7.7,259,234,25,16,0,39,6,0,0,0,0,0,147,36,76,17,191,27,0,5,200,0,7,5,3,Matches
35,Antonín Barák\01efac19,cz CZE,FWMF,Hellas Verona,27-070,1994,18.0,794,784,10,2,2,198,10,15,0,0,0,0,600,105,89,619,111,35,2,4,645,5,14,32,24,Matches
36,Nicolò Barella\6928979a,it ITA,MF,Inter,25-004,1997,18.8,1090,1072,18,12,3,154,26,38,1,0,0,0,808,137,145,129,921,17,5,6,914,4,10,28,27,Matches
37,Musa Barrow\e5bf73f3,gm GAM,FWMF,Bologna,23-089,1998,14.4,514,457,57,16,1,97,33,24,34,20,4,1,363,58,93,59,426,6,5,6,398,1,6,16,12,Matches
38,Daniele Baselli\ea06dd97,it ITA,MFFW,Torino,29-336,1992,1.7,87,80,7,3,0,11,1,3,2,0,2,0,58,13,16,6,72,7,0,1,64,0,3,4,3,Matches
39,Daniele Baselli\ea06dd97,it ITA,FW,Cagliari,29-336,1992,0.1,6,6,0,0,1,1,0,0,0,0,0,0,4,1,1,0,6,0,0,0,5,0,0,0,1,Matches
40,Toma Bašić\80556f08,hr CRO,MF,Lazio,25-078,1996,7.1,283,277,6,6,1,37,2,6,0,0,0,0,229,27,27,224,44,10,0,1,238,0,2,10,6,Matches
41,Alessandro Bastoni\75b86fb3,it ITA,DF,Inter,22-304,1999,18.4,1301,1223,78,43,1,137,47,13,0,0,0,0,1013,109,179,1051,165,36,19,4,1165,4,13,19,22,Matches
42,Simone Bastoni\1ac232b8,it ITA,DFMF,Spezia,25-098,1996,18.1,912,754,158,38,1,140,33,38,22,9,9,0,480,202,230,645,132,18,98,3,683,4,23,33,34,Matches
43,Rodrigo Becão\19e4eab9,br BRA,DF,Udinese,26-023,1996,20.8,810,738,72,38,0,74,15,3,0,0,0,0,616,56,138,49,682,17,33,3,670,0,17,7,17,Matches
44,Valon Behrami\d3d758d8,ch SUI,MF,Genoa,36-298,1985,3.5,70,66,4,2,1,13,1,3,0,0,0,0,47,10,13,6,57,5,2,0,51,0,1,4,2,Matches
45,Vid Belec\4f8ce0e1,si SVN,GK,Salernitana,31-250,1990,20.0,541,313,228,59,0,20,6,0,0,0,0,0,175,26,340,32,386,0,1,70,336,2,11,3,3,Matches
46,Raoul Bellanova\e3756e72,it ITA,DFMF,Cagliari,21-239,2000,14.3,487,426,61,3,0,66,14,43,1,1,0,0,299,90,98,42,360,16,57,2,364,1,7,23,18,Matches
47,Andrea Belotti\d705ba44,it ITA,FW,Torino,28-053,1993,5.3,130,120,10,0,0,46,3,4,0,0,0,0,72,35,23,24,79,5,0,0,95,1,2,4,4,Matches
48,Marco Benassi\0000acda,it ITA,MF,Empoli,27-156,1994,0.4,22,22,0,0,0,2,0,2,0,0,0,0,18,1,3,10,12,0,0,0,19,0,1,0,0,Matches
49,Marco Benassi\0000acda,it ITA,DFMF,Fiorentina,27-156,1994,1.8,131,116,15,2,0,15,3,1,0,0,0,0,79,25,27,30,81,6,13,0,108,0,0,5,3,Matches
50,Ismaël Bennacer\db092d3b,dz ALG,MF,Milan,24-072,1997,9.7,725,676,49,35,3,94,36,13,13,3,4,1,547,50,128,621,75,25,1,0,628,3,12,17,2,Matches
51,Rodrigo Bentancur\3b8674e6,uy URU,MF,Juventus,24-251,1997,12.8,756,744,12,12,1,106,15,4,0,0,0,0,627,50,79,133,578,27,0,1,661,0,6,24,16,Matches
52,Domenico Berardi\53a0e358,it ITA,FW,Sassuolo,27-194,1994,20.3,912,833,79,30,1,199,52,35,37,27,1,2,575,146,191,757,96,27,12,5,638,2,14,36,57,Matches
53,Bartosz Bereszyński\61b3978f,pl POL,DF,Sampdoria,29-214,1992,19.7,920,763,157,25,0,124,16,31,0,0,0,0,542,181,197,65,658,38,132,3,697,3,16,40,37,Matches
54,Federico Bernardeschi\ee93c1a9,it ITA,FWMF,Juventus,27-360,1994,11.7,444,406,38,14,2,63,27,21,16,5,6,0,311,49,84,398,22,10,8,1,344,2,8,21,21,Matches
55,Daniel Bessa\88895312,it ITA,MFFW,Hellas Verona,29-028,1993,4.4,281,266,15,6,0,43,8,5,7,1,3,2,207,33,41,8,255,8,2,3,223,1,4,9,5,Matches
56,Beto\ed5c0319,gw GNB,FW,Udinese,24-011,1998,18.7,294,269,25,0,0,105,3,7,0,0,0,0,177,57,60,19,196,19,3,8,205,0,0,17,8,Matches
57,Luis Binks\36e88fbc,eng ENG,DF,Bologna,20-162,2001,4.8,204,194,10,10,0,21,4,0,0,0,0,0,136,24,44,163,17,18,0,1,172,0,5,3,6,Matches
58,Cristiano Biraghi\9e1577aa,it ITA,DF,Fiorentina,29-163,1992,20.7,1584,1263,321,69,0,117,65,77,56,5,37,4,977,282,325,1243,107,37,196,1,1311,3,19,42,37,Matches
59,Davide Biraschi\64cd167d,it ITA,DF,Genoa,27-224,1994,10.3,435,385,50,16,0,63,4,8,0,0,0,0,256,47,132,17,355,24,23,1,320,2,7,12,7,Matches
