,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
30,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Milan,27-178,1994,5.4,375,19,87,243,58,4,374,5,10,50.0,5,0,228,1080,424,21,5,0,2,3,257,245,95.3,5,Matches
31,Keita Baldé\509a4ccb,sn SEN,FWMF,Cagliari,26-340,1995,9.8,262,5,18,141,122,30,253,5,9,55.6,5,0,170,837,377,23,8,5,21,12,370,189,51.1,61,Matches
32,Fodé Ballo-Touré\f449640d,sn SEN,DF,Milan,25-039,1997,4.9,335,10,76,176,109,16,300,6,10,60.0,6,2,210,1368,755,28,9,1,7,7,221,199,90.0,36,Matches
33,Filippo Bandinelli\d44360be,it ITA,MF,Empoli,26-319,1995,11.9,571,30,120,264,236,33,552,8,23,34.8,9,4,380,1955,1253,58,26,7,13,24,443,375,84.7,51,Matches
34,Mattia Bani\0821331c,it ITA,DF,Genoa,28-063,1993,7.7,358,94,236,119,16,6,336,0,0,,0,0,136,739,324,6,1,0,1,0,153,149,97.4,0,Matches
35,Antonín Barák\01efac19,cz CZE,FWMF,Hellas Verona,27-070,1994,18.0,1009,31,157,554,388,77,993,21,35,60.0,23,0,733,4471,2482,131,51,13,25,35,970,753,77.6,110,Matches
36,Nicolò Barella\6928979a,it ITA,MF,Inter,25-004,1997,18.8,1304,30,253,696,484,55,1288,19,38,50.0,20,1,990,6299,3286,122,53,10,28,23,1115,1016,91.1,91,Matches
37,Musa Barrow\e5bf73f3,gm GAM,FWMF,Bologna,23-089,1998,14.4,682,5,58,311,362,59,626,19,34,55.9,21,1,466,2585,1291,71,26,12,31,28,748,519,69.4,112,Matches
38,Daniele Baselli\ea06dd97,it ITA,MFFW,Torino,29-336,1992,1.7,102,5,24,54,30,4,95,1,1,100.0,1,0,55,280,132,8,2,0,3,0,75,60,80.0,8,Matches
39,Daniele Baselli\ea06dd97,it ITA,FW,Cagliari,29-336,1992,0.1,10,0,1,3,6,0,10,2,3,66.7,2,0,9,29,3,0,0,0,1,0,15,6,40.0,0,Matches
40,Toma Bašić\80556f08,hr CRO,MF,Lazio,25-078,1996,7.1,347,16,66,208,98,13,340,4,6,66.7,4,0,235,1235,458,17,12,0,9,4,292,257,88.0,25,Matches
41,Alessandro Bastoni\75b86fb3,it ITA,DF,Inter,22-304,1999,18.4,1468,186,619,758,186,17,1402,9,13,69.2,10,3,1019,4664,2799,87,21,4,10,10,1094,1067,97.5,23,Matches
42,Simone Bastoni\1ac232b8,it ITA,DFMF,Spezia,25-098,1996,18.1,1127,57,330,556,332,23,973,27,45,60.0,27,1,685,3948,2264,92,33,4,23,24,719,655,91.1,38,Matches
43,Rodrigo Becão\19e4eab9,br BRA,DF,Udinese,26-023,1996,20.8,993,152,524,449,72,18,927,1,3,33.3,1,0,579,2997,1764,40,9,2,5,4,622,597,96.0,7,Matches
44,Valon Behrami\d3d758d8,ch SUI,MF,Genoa,36-298,1985,3.5,96,8,23,52,22,3,92,1,1,100.0,1,0,45,201,81,6,0,0,1,2,64,48,75.0,7,Matches
45,Vid Belec\4f8ce0e1,si SVN,GK,Salernitana,31-250,1990,20.0,587,537,587,0,0,0,361,0,0,,0,0,213,1236,713,0,0,0,0,0,173,172,99.4,0,Matches
46,Raoul Bellanova\e3756e72,it ITA,DFMF,Cagliari,21-239,2000,14.3,657,38,200,280,233,22,599,12,29,41.4,13,3,424,2623,1407,55,16,4,22,15,489,401,82.0,33,Matches
47,Andrea Belotti\d705ba44,it ITA,FW,Torino,28-053,1993,5.3,201,3,7,78,124,33,190,4,7,57.1,4,0,115,587,284,14,3,5,20,8,296,158,53.4,56,Matches
48,Marco Benassi\0000acda,it ITA,MF,Empoli,27-156,1994,0.4,25,1,2,13,13,1,25,0,0,,0,0,17,124,83,3,1,0,1,0,25,21,84.0,3,Matches
49,Marco Benassi\0000acda,it ITA,DFMF,Fiorentina,27-156,1994,1.8,147,6,43,74,39,4,133,1,1,100.0,1,1,97,390,150,7,3,0,1,1,109,101,92.7,3,Matches
50,Ismaël Bennacer\db092d3b,dz ALG,MF,Milan,24-072,1997,9.7,835,39,209,523,166,8,798,22,22,100.0,22,0,624,3703,1680,67,13,1,13,14,634,589,92.9,17,Matches
51,Rodrigo Bentancur\3b8674e6,uy URU,MF,Juventus,24-251,1997,12.8,890,31,175,595,177,15,879,5,7,71.4,5,0,647,2926,1335,52,20,3,12,21,671,635,94.6,31,Matches
52,Domenico Berardi\53a0e358,it ITA,FW,Sassuolo,27-194,1994,20.3,1192,17,121,574,578,91,1115,19,43,44.2,22,2,833,4511,2390,118,38,21,39,29,1031,853,82.7,149,Matches
53,Bartosz Bereszyński\61b3978f,pl POL,DF,Sampdoria,29-214,1992,19.7,1116,81,375,523,284,22,965,14,26,53.8,15,1,646,3209,1642,66,25,4,20,19,695,606,87.2,36,Matches
54,Federico Bernardeschi\ee93c1a9,it ITA,FWMF,Juventus,27-360,1994,11.7,582,18,92,272,280,42,547,20,42,47.6,26,2,443,2686,1297,70,29,16,17,17,506,417,82.4,56,Matches
55,Daniel Bessa\88895312,it ITA,MFFW,Hellas Verona,29-028,1993,4.4,328,15,66,184,112,4,313,6,7,85.7,6,0,237,1504,874,44,18,4,1,7,250,227,90.8,25,Matches
56,Beto\ed5c0319,gw GNB,FW,Udinese,24-011,1998,18.7,568,21,48,310,258,76,543,33,63,52.4,36,3,356,1574,910,48,20,8,68,45,862,387,44.9,98,Matches
57,Luis Binks\36e88fbc,eng ENG,DF,Bologna,20-162,2001,4.8,267,48,139,134,8,2,258,1,1,100.0,1,0,138,669,269,5,1,0,1,1,152,149,98.0,1,Matches
58,Cristiano Biraghi\9e1577aa,it ITA,DF,Fiorentina,29-163,1992,20.7,1720,46,562,743,509,30,1399,6,19,31.6,9,2,1094,4726,2432,96,38,6,12,3,1209,1149,95.0,44,Matches
59,Davide Biraschi\64cd167d,it ITA,DF,Genoa,27-224,1994,10.3,558,75,253,282,48,2,509,13,17,76.5,13,0,319,1565,835,24,7,1,5,5,312,299,95.8,5,Matches
60,Bjarki Bjarkason\f1d25de7,is ISL,FW,Venezia,21-276,2000,0.0,2,0,1,1,0,0,2,0,0,,0,0,2,14,12,1,0,0,0,0,5,2,40.0,0,Matches
