,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
518,Tanner Tessmann\ac277993,us USA,MF,Venezia,20-140,2001,5.9,8,4,3,4,1,3,9,33.3,6,131,32,24.4,59,60,12,16,6,0,10,12,20,14,0,Matches
519,Arthur Theate\df8d6029,be BEL,DF,Bologna,21-262,2000,16.1,27,16,21,4,2,11,24,45.8,13,209,67,32.1,113,74,22,20,6,0,14,43,70,33,0,Matches
520,Morten Thorsby\d1b49282,no NOR,MF,Sampdoria,25-282,1996,21.1,35,21,7,22,6,9,27,33.3,18,398,120,30.2,103,200,95,40,13,0,27,21,56,32,0,Matches
521,Jeremy Toljan\a96e5dc0,de GER,DF,Sassuolo,27-187,1994,15.1,16,8,11,4,1,11,17,64.7,6,121,43,35.5,51,44,26,33,6,0,27,22,38,29,1,Matches
522,Rafael Tolói\c56dc39e,it ITA,DF,Atalanta,31-124,1990,11.7,24,15,4,12,8,15,21,71.4,6,145,55,37.9,49,79,17,21,9,1,12,25,49,33,0,Matches
523,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Bologna,23-098,1998,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,1,0,0,1,1,1,0,0,Matches
524,Fikayo Tomori\7edfbb8a,eng ENG,DF,Milan,24-054,1997,16.4,40,23,20,18,2,6,14,42.9,8,212,64,30.2,98,108,6,29,15,0,14,40,80,62,0,Matches
525,Sandro Tonali\0db169ae,it ITA,MF,Milan,21-279,2000,17.1,32,24,15,12,5,10,19,52.6,9,306,96,31.4,79,166,61,25,6,0,19,32,64,14,1,Matches
526,Lorenzo Tonelli\8cc29864,it ITA,DF,Empoli,32-025,1990,9.0,16,7,10,6,0,1,7,14.3,6,92,31,33.7,55,33,4,15,8,0,7,16,32,36,1,Matches
527,Ernesto Torregrossa\bf39bdec,it ITA,FW,Sampdoria,29-228,1992,1.3,2,2,0,1,1,0,1,0.0,1,21,5,23.8,2,12,7,0,0,0,0,0,2,1,0,Matches
528,Lucas Torreira\52611641,uy URU,MF,Fiorentina,26-000,1996,17.1,41,25,12,26,3,17,34,50.0,17,265,82,30.9,61,165,39,3,0,0,3,29,70,22,0,Matches
