,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-305,1994,2.4,80,76,4,4,0,10,2,0,0,0,0,0,56,6,18,16,52,7,0,1,64,0,1,2,2,Matches
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-223,2001,0.8,8,8,0,0,0,3,0,0,0,0,0,0,4,3,1,1,6,1,0,0,4,0,0,2,0,Matches
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-159,1993,5.1,88,75,13,0,1,17,4,3,0,0,0,0,64,18,6,63,15,7,1,1,71,0,4,1,4,Matches
34,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-309,1998,9.1,252,251,1,1,0,52,2,4,0,0,0,0,190,30,32,34,200,10,0,1,207,0,5,10,4,Matches
35,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-068,1993,1.7,110,103,7,0,2,27,3,1,7,0,5,1,85,10,15,15,88,2,0,0,90,0,1,4,4,Matches
36,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-104,1989,4.3,90,87,3,0,0,43,2,1,0,0,0,0,48,25,17,9,55,6,0,3,59,3,3,2,3,Matches
37,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-064,1997,12.4,374,371,3,0,0,83,8,23,0,0,0,0,258,63,53,46,297,13,1,4,270,2,8,18,20,Matches
38,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-105,2002,0.5,19,19,0,0,0,6,0,0,0,0,0,0,11,6,2,11,6,2,0,0,15,0,0,0,0,Matches
39,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-035,1999,4.2,239,195,44,2,0,16,1,11,0,0,0,0,148,25,66,150,33,11,42,0,179,1,3,6,6,Matches
40,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-305,1996,16.7,805,755,50,29,0,101,15,3,0,0,0,0,547,68,190,117,573,61,20,1,662,1,24,9,4,Matches
