,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
125,Alexis Claude-Maurice\741418c3,fr FRA,MF,Nice,23-250,1998,2.1,3,3,2,1,0,1,5,20.0,4,26,11,42.3,5,11,10,9,0,0,9,2,5,2,0,Matches
126,Jonathan Clauss\5219ab4a,fr FRA,DF,Lens,29-139,1992,20.5,40,17,23,15,2,12,36,33.3,24,253,54,21.3,94,97,62,36,1,0,35,57,97,31,0,Matches
127,Marcus Coco\3010aefb,fr FRA,FWMF,Nantes,25-232,1996,5.5,13,9,8,3,2,3,7,42.9,4,148,38,25.7,46,67,35,7,0,0,7,9,22,4,0,Matches
128,Abdu Conté\cfa49cc1,pt POR,DFMF,Troyes,23-324,1998,3.0,8,6,6,1,1,5,6,83.3,1,34,16,47.1,17,6,11,5,0,0,5,3,11,3,0,Matches
129,Sébastien Corchia\0e7ccfc4,fr FRA,DF,Nantes,31-102,1990,8.2,23,14,14,7,2,12,22,54.5,10,122,35,28.7,58,40,24,13,0,0,13,19,42,12,0,Matches
130,Maxwel Cornet\beb391dd,ci CIV,DFMF,Lyon,25-137,1996,0.7,3,1,2,0,1,1,3,33.3,2,9,1,11.1,3,2,4,1,0,0,1,0,3,1,0,Matches
131,David Pereira da Costa\59948ef7,pt POR,FWMF,Lens,21-037,2001,7.1,11,7,3,4,4,3,8,37.5,5,159,46,28.9,23,79,57,12,0,0,12,6,17,0,0,Matches
132,Benoît Costil\2434f24a,fr FRA,GK,Bordeaux,34-223,1987,21.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,3,Matches
133,Kalifa Coulibaly\9980269a,ml MLI,FW,Nantes,30-174,1991,3.7,3,3,0,1,2,0,1,0.0,1,34,6,17.6,5,13,16,1,1,0,0,2,5,2,0,Matches
134,Nicolas Cozza\8f325097,fr FRA,DF,Montpellier,23-034,1999,18.7,46,24,30,13,3,8,33,24.2,25,228,77,33.8,122,84,22,38,15,0,23,43,89,65,1,Matches
135,Wylan Cyprien\3e092724,fr FRA,MF,Nantes,27-014,1995,7.5,18,11,6,11,1,1,11,9.1,10,136,37,27.2,32,94,10,4,1,0,3,8,26,6,0,Matches
136,Lucas Da Cunha\007faf7a,fr FRA,MF,Nice,20-247,2001,4.4,14,8,3,7,4,7,13,53.8,6,81,25,30.9,11,40,30,2,0,0,2,2,16,1,0,Matches
137,Lucas Da Cunha\007faf7a,fr FRA,FW,Clermont Foot,20-247,2001,0.8,0,0,0,0,0,0,2,0.0,2,13,4,30.8,5,5,3,2,0,0,2,2,2,0,0,Matches
138,Damien Da Silva\1ec7e1c5,fr FRA,DF,Lyon,33-270,1988,7.2,9,5,6,2,1,4,6,66.7,2,64,17,26.6,37,24,3,9,3,0,6,21,30,33,1,Matches
139,Colin Dagba\29c02c9f,fr FRA,DF,Paris S-G,23-155,1998,1.8,3,1,2,1,0,2,6,33.3,4,29,5,17.2,7,12,10,4,2,0,2,3,6,0,0,Matches
140,Flavius Daniliuc\7ef972c3,at AUT,DF,Nice,20-290,2001,7.1,18,11,16,2,0,7,13,53.8,6,96,34,35.4,61,30,5,20,7,0,13,12,30,24,0,Matches
141,Kevin Danso\6e33125f,at AUT,DF,Lens,23-145,1998,18.4,31,18,20,10,1,14,22,63.6,8,196,76,38.8,103,84,9,31,15,0,16,47,78,78,0,Matches
142,Dante\fd2bc67d,br BRA,DF,Nice,38-116,1983,21.5,33,20,23,9,1,12,19,63.2,7,148,68,45.9,85,56,7,40,19,0,21,42,75,79,0,Matches
143,Jonathan David\ce50fd99,ca CAN,FW,Lille,22-028,2000,19.2,16,11,3,6,7,5,16,31.3,11,357,96,26.9,42,153,162,9,3,0,6,6,22,7,0,Matches
144,Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,20-210,2001,8.7,8,8,5,3,0,7,9,77.8,2,128,36,28.1,24,58,46,13,0,0,13,6,14,4,0,Matches
145,Romain Del Castillo\0be95d34,fr FRA,FWMF,Brest,25-319,1996,3.3,8,6,1,5,2,2,12,16.7,10,86,29,33.7,16,43,27,4,0,0,4,2,10,2,0,Matches
146,Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,25-319,1996,0.3,2,1,0,1,1,2,2,100.0,0,9,1,11.1,1,7,1,1,0,0,1,1,3,0,0,Matches
147,Thomas Delaine\8332db56,fr FRA,DF,Metz,29-324,1992,15.6,37,21,23,10,4,14,22,63.6,8,202,58,28.7,92,69,41,18,7,1,11,25,62,18,0,Matches
148,Sacha Delaye\e4448c8c,fr FRA,MF,Montpellier,19-294,2002,0.3,1,1,1,0,0,1,2,50.0,1,14,3,21.4,7,4,3,0,0,0,0,0,1,1,0,Matches
149,Andy Delort\d33c706e,dz ALG,FW,Nice,30-125,1991,13.8,11,7,2,6,3,2,7,28.6,5,153,43,28.1,14,58,81,7,2,0,5,8,19,1,0,Matches
150,Andy Delort\d33c706e,dz ALG,FW,Montpellier,30-125,1991,3.0,2,2,1,0,1,0,1,0.0,1,26,4,15.4,6,9,11,3,0,0,3,0,2,6,0,Matches
151,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,25-214,1996,11.8,11,6,2,2,7,4,9,44.4,5,147,46,31.3,11,48,88,9,0,0,9,3,14,13,0,Matches
152,Jason Denayer\47af88b8,be BEL,DF,Lyon,26-228,1995,10.1,10,6,8,2,0,6,8,75.0,2,71,24,33.8,36,34,1,19,8,1,11,15,25,43,1,Matches
153,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,27-310,1994,13.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2,Matches
154,Ángel Di María\19cda00b,ar ARG,FW,Paris S-G,33-362,1988,12.5,10,6,4,3,3,4,24,16.7,20,170,44,25.9,26,49,95,10,0,0,10,12,22,3,0,Matches
155,Yadaly Diaby\5630a6e0,fr FRA,FWMF,Clermont Foot,21-186,2000,0.7,2,0,2,0,0,1,2,50.0,1,17,6,35.3,3,7,7,1,0,0,1,3,5,0,0,Matches
156,Ibrahim Diakité\d8c19a60,fr FRA,MF,Reims,18-103,2003,0.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,3,1,0,0,0,0,0,0,0,0,0,Matches
157,Abdou Diallo\fc62f087,sn SEN,DF,Paris S-G,25-283,1996,8.5,22,15,10,9,3,8,16,50.0,8,108,36,33.3,36,49,23,14,3,0,11,12,34,17,1,Matches
158,Habib Diallo\6605d143,sn SEN,FW,Strasbourg,26-238,1995,11.1,5,5,0,5,0,1,4,25.0,3,150,38,25.3,13,84,53,10,5,0,5,4,9,10,0,Matches
159,Mouhamadou Diarra\6d0fe035,fr FRA,MF,Strasbourg,18-039,2004,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,Matches
160,Stéphane Diarra\29939a1d,fr FRA,FWMF,Lorient,23-064,1998,5.2,12,8,6,4,2,3,10,30.0,7,90,26,28.9,21,47,22,3,0,0,3,10,22,1,0,Matches
161,Krepin Diatta\8104e41e,sn SEN,MFDF,Monaco,22-351,1999,3.2,4,4,1,1,2,1,3,33.3,2,47,16,34.0,6,22,19,4,0,0,4,3,7,0,0,Matches
162,Bamba Dieng\40774c6b,sn SEN,FWMF,Marseille,21-325,2000,5.9,12,8,6,5,1,2,6,33.3,4,84,19,22.6,17,33,34,1,0,0,1,6,18,5,0,Matches
163,Elhadji Dieye\6a04bb7c,sn SEN,MFFW,Saint-Étienne,19-251,2002,0.4,4,2,3,1,0,1,2,50.0,1,10,2,20.0,3,5,2,2,0,0,2,2,6,0,0,Matches
164,Javairô Dilrosun\34a0f5ff,nl NED,FWMF,Bordeaux,23-234,1998,10.8,10,6,2,5,3,5,20,25.0,15,127,33,26.0,31,55,41,11,1,0,10,10,20,2,0,Matches
165,Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,Paris S-G,21-082,2000,2.7,5,3,2,2,1,0,4,0.0,4,68,14,20.6,26,20,22,3,2,0,1,3,8,3,0,Matches
166,Tristan Dingomé\92b56413,cm CMR,MFFW,Troyes,30-359,1991,8.4,16,10,3,8,5,1,10,10.0,9,121,36,29.8,26,65,30,4,0,0,4,11,27,1,0,Matches
167,Sinaly Diomande\6de23ab0,ci CIV,DF,Lyon,20-308,2001,6.4,7,4,5,2,0,5,9,55.6,4,35,12,34.3,16,19,0,9,7,1,2,18,25,37,0,Matches
168,Sofiane Diop\19053e31,fr FRA,MFFW,Monaco,21-247,2000,17.4,31,19,11,14,6,11,41,26.8,30,383,111,29.0,95,175,113,13,0,0,13,26,57,3,0,Matches
169,Andy Diouf\9b5237b1,fr FRA,MF,Rennes,19-270,2002,0.1,1,1,1,0,0,1,1,100.0,0,6,1,16.7,2,3,1,1,0,0,1,0,1,1,0,Matches
170,Assane Dioussé\7f622eef,sn SEN,MF,Saint-Étienne,24-144,1997,0.3,0,0,0,0,0,0,0,,0,8,6,75.0,3,5,0,0,0,0,0,0,0,0,0,Matches
171,Axel Disasi\ad82197c,fr FRA,DF,Monaco,23-337,1998,17.3,30,20,15,14,1,14,25,56.0,11,157,68,43.3,75,77,5,27,19,0,8,35,65,66,0,Matches
172,Tiago Djaló\b2336681,pt POR,DF,Lille,21-308,2000,13.8,36,21,23,11,2,13,28,46.4,15,152,56,36.8,86,53,13,25,7,1,18,17,53,53,0,Matches
173,Alexander Djiku\43e7a164,gh GHA,DF,Strasbourg,27-186,1994,16.0,42,25,30,9,3,11,20,55.0,9,166,59,35.5,106,51,9,28,10,0,18,52,94,68,0,Matches
174,Bryan Djile Nokoué\75186a6a,cm CMR,DFMF,Saint-Étienne,19-264,2002,0.6,4,2,2,1,1,0,0,,0,12,5,41.7,8,3,1,1,0,0,1,1,5,0,0,Matches
175,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,23-295,1998,10.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,1,1,Matches
176,Jeremy Doku\fffea3e5,be BEL,MFFW,Rennes,19-260,2002,4.4,4,1,1,1,2,1,6,16.7,5,89,27,30.3,20,37,32,1,0,0,1,5,9,0,0,Matches
177,Kasper Dolberg\cc83b74d,dk DEN,FW,Nice,24-128,1997,11.0,8,3,5,3,0,3,9,33.3,6,185,44,23.8,19,85,81,10,0,0,10,5,13,14,0,Matches
178,Brandon Domingues\2a00c6c0,fr FRA,MFFW,Troyes,21-250,2000,2.6,6,2,3,3,0,1,2,50.0,1,65,20,30.8,14,39,12,4,0,0,4,3,9,0,0,Matches
179,Anastasios Donis\0f26fd24,gr GRE,FWMF,Reims,25-166,1996,3.6,9,6,4,3,2,1,3,33.3,2,62,19,30.6,15,26,21,3,0,0,3,3,12,1,0,Matches
180,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,22-351,1999,10.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Jodel Dossou\a1dbfcb1,bj BEN,FW,Clermont Foot,29-331,1992,15.5,23,19,13,6,4,7,27,25.9,20,259,80,30.9,66,111,82,16,0,0,16,6,29,4,0,Matches
182,Lucas Douath\3cd7820a,fr FRA,MF,Saint-Étienne,18-190,2003,10.0,32,22,17,15,0,8,18,44.4,10,207,64,30.9,85,99,23,8,0,0,8,13,45,9,1,Matches
183,Cheick Doucouré\ce4f40c7,ml MLI,MF,Lens,22-034,2000,18.9,49,39,23,22,4,12,36,33.3,24,312,110,35.3,109,163,40,21,4,0,17,32,81,7,0,Matches
184,Fodé Doucouré\1bfe34dc,ml MLI,DF,Reims,21-008,2001,1.7,12,6,10,2,0,3,8,37.5,5,33,14,42.4,18,12,3,4,0,0,4,5,17,4,0,Matches
185,Kamory Doumbia\9226aa22,fr FRA,FW,Reims,18-358,2003,0.3,0,0,0,0,0,0,0,,0,5,0,0.0,1,0,4,1,0,0,1,0,0,0,0,Matches
186,Souleyman Doumbia\9daeac61,ci CIV,DF,Angers,25-140,1996,12.7,16,12,6,7,3,6,15,40.0,9,118,30,25.4,35,51,32,28,2,0,26,24,40,15,1,Matches
187,Julian Draxler\1a992676,de GER,FWMF,Paris S-G,28-144,1993,4.8,3,3,0,2,1,1,5,20.0,4,42,14,33.3,8,21,13,3,0,0,3,3,6,3,0,Matches
188,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,32-328,1989,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
189,Leo Dubois\ff0ab48c,fr FRA,DF,Lyon,27-150,1994,14.7,42,28,29,10,3,28,46,60.9,18,214,65,30.4,91,79,44,28,3,2,25,20,62,23,0,Matches
190,Jean-Kevin Duverne\0cbc8baa,fr FRA,DF,Brest,24-214,1997,19.7,47,30,32,13,2,19,54,35.2,35,336,103,30.7,179,122,35,36,4,1,32,46,93,44,1,Matches
191,Enzo Ebosse\9ba7b4fa,cm CMR,DF,Angers,22-337,1999,7.0,8,2,5,1,2,2,6,33.3,4,86,22,25.6,39,37,10,12,5,0,7,10,18,9,0,Matches
192,Hugo Ekitike\5b92d896,fr FRA,FW,Reims,19-236,2002,11.6,15,11,10,3,2,1,5,20.0,4,203,48,23.6,31,92,80,12,2,0,10,14,29,12,0,Matches
193,Alberth Elis\104b4ad3,hn HON,FWMF,Bordeaux,25-364,1996,12.3,19,12,6,7,6,8,19,42.1,11,228,62,27.2,58,93,77,13,0,0,13,13,32,7,0,Matches
194,Sepe Elye Wahi\0d7b6576,fr FRA,FWMF,Montpellier,19-040,2003,10.6,15,8,6,5,4,1,11,9.1,10,177,44,24.9,36,66,75,8,0,0,8,5,20,3,0,Matches
195,Renaud Emond\5c9ac7f0,be BEL,MFFW,Nantes,30-068,1991,2.1,3,2,0,2,1,0,4,0.0,4,36,7,19.4,6,14,16,4,1,1,3,2,5,2,0,Matches
196,Maxime Estève\1a066e69,fr FRA,DF,Montpellier,19-261,2002,10.5,10,5,8,2,0,3,11,27.3,8,121,42,34.7,78,42,1,18,11,0,7,24,34,37,1,Matches
197,Fábio\bc7b4580,br BRA,DF,Nantes,31-217,1990,13.3,52,28,25,21,6,21,52,40.4,31,267,83,31.1,130,93,44,33,4,0,29,30,82,26,1,Matches
198,Cesc Fàbregas\33508c78,es ESP,MF,Monaco,34-283,1987,0.4,0,0,0,0,0,0,1,0.0,1,5,2,40.0,2,1,2,0,0,0,0,0,0,0,0,Matches
199,Wout Faes\9c221d14,be BEL,DF,Reims,23-314,1998,22.0,28,17,19,8,1,13,22,59.1,9,129,49,38.0,78,47,4,33,20,0,13,52,80,104,1,Matches
200,Romain Faivre\745ca0a3,fr FRA,FW,Lyon,23-212,1998,0.5,2,1,2,0,0,2,3,66.7,1,8,3,37.5,3,2,3,0,0,0,0,0,2,0,0,Matches
201,Romain Faivre\745ca0a3,fr FRA,MF,Brest,23-212,1998,19.9,33,25,20,8,5,12,35,34.3,23,294,89,30.3,80,140,74,12,0,0,12,25,58,14,0,Matches
202,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,23-361,1998,2.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
203,Noah Fatar\2693f6bc,fr FRA,DFMF,Angers,19-361,2002,0.0,0,0,0,0,0,0,0,,0,4,1,25.0,1,2,1,0,0,0,0,1,1,0,0,Matches
204,Julien Faussurier\767212e6,fr FRA,DFFW,Brest,35-028,1987,2.3,4,3,1,2,1,3,9,33.3,6,42,11,26.2,15,18,9,8,1,0,7,4,8,6,0,Matches
205,Jordan Ferri\375622c5,fr FRA,MF,Montpellier,29-336,1992,20.4,57,40,25,29,3,19,58,32.8,39,389,121,31.1,176,188,25,23,4,0,19,25,82,22,0,Matches
206,Karol Fila\50ac8941,pl POL,DF,Strasbourg,23-243,1998,5.3,13,11,6,4,3,5,7,71.4,2,84,28,33.3,21,37,26,7,2,0,5,6,19,7,0,Matches
207,Alexis Flips\caef7840,fr FRA,FWMF,Reims,22-024,2000,7.8,19,11,6,8,5,9,22,40.9,13,160,50,31.3,50,64,46,19,0,0,19,25,44,6,0,Matches
208,Mamadou Fofana\4c4ffacc,ml MLI,DF,Metz,24-021,1998,0.4,1,1,0,1,0,0,1,0.0,1,2,2,100.0,1,1,0,2,1,0,1,3,4,2,0,Matches
209,Seko Fofana\5313ed43,ci CIV,MF,Lens,26-280,1995,22.8,19,12,6,10,3,7,29,24.1,22,334,85,25.4,98,164,72,20,2,0,18,33,52,8,1,Matches
210,Youssouf Fofana\822d51d7,fr FRA,MF,Monaco,23-032,1999,10.9,40,26,10,24,6,14,25,56.0,11,229,78,34.1,49,150,30,17,1,0,16,21,61,12,1,Matches
211,Thomas Foket\90eb507d,be BEL,DF,Reims,27-139,1994,15.5,22,12,10,9,3,12,32,37.5,20,173,52,30.1,68,71,34,18,1,0,17,25,47,21,0,Matches
212,Thomas Fontaine\9f90c06b,mg MAD,DF,Lorient,30-279,1991,1.9,1,0,1,0,0,0,2,0.0,2,24,4,16.7,12,11,1,3,3,0,0,2,3,8,0,Matches
213,José Fonte\90f87966,pt POR,DF,Lille,38-051,1983,23.0,21,14,17,4,0,7,20,35.0,13,129,43,33.3,74,44,11,34,23,0,11,45,66,86,0,Matches
214,Steven Fortes\574aa9ec,cv CPV,DF,Lens,29-300,1992,1.0,1,0,1,0,0,0,0,,0,10,3,30.0,8,2,0,1,0,0,1,2,3,2,0,Matches
215,Przemysław Frankowski\00a8d210,pl POL,DF,Lens,26-305,1995,19.0,44,26,20,20,4,13,46,28.3,33,336,81,24.1,109,155,72,27,0,0,27,37,81,33,0,Matches
216,Fransérgio\deba6b05,br BRA,MF,Bordeaux,31-116,1990,10.7,21,13,6,8,7,4,26,15.4,22,192,50,26.0,51,105,36,24,7,0,17,14,35,19,1,Matches
217,Angelo Fulgini\4b96c347,fr FRA,MFFW,Angers,25-175,1996,20.3,20,11,7,8,5,8,24,33.3,16,262,64,24.4,52,122,88,23,3,0,20,20,40,2,0,Matches
218,Gauthier Gallon\db3164e1,fr FRA,GK,Troyes,28-294,1993,23.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,1,0,Matches
219,Kévin Gameiro\42276181,fr FRA,FWMF,Strasbourg,34-278,1987,13.9,8,6,3,4,1,0,7,0.0,7,213,55,25.8,20,98,95,8,0,0,8,8,16,1,0,Matches
220,Idrissa Gana Gueye\72c812f3,sn SEN,MF,Paris S-G,32-138,1989,12.1,42,27,19,12,11,8,33,24.2,25,285,83,29.1,104,126,55,16,4,0,12,24,66,9,1,Matches
221,Ignatius Ganago\23c63b7f,cm CMR,FW,Lens,22-360,1999,6.6,0,0,0,0,0,0,5,0.0,5,76,17,22.4,3,25,48,2,1,0,1,2,2,1,0,Matches
222,Johan Gastien\868eaba0,fr FRA,MF,Clermont Foot,34-017,1988,17.6,35,23,12,20,3,13,47,27.7,34,337,119,35.3,96,191,50,40,6,0,34,39,74,33,0,Matches
223,Valère Germain\ea0ff634,fr FRA,FW,Montpellier,31-300,1990,13.8,15,10,5,7,3,3,14,21.4,11,208,60,28.8,28,90,90,10,1,0,9,5,20,18,0,Matches
224,Gerson\8827bf46,br BRA,MFDF,Marseille,24-267,1997,14.1,25,18,11,11,3,4,16,25.0,12,271,68,25.1,57,147,67,18,4,0,14,14,39,5,1,Matches
225,Willem Geubbels\9836e892,fr FRA,FWMF,Nantes,20-179,2001,2.8,4,1,1,2,1,1,6,16.7,5,64,11,17.2,13,28,23,6,0,0,6,3,7,1,0,Matches
226,Lamine Ghezali\ce84946a,fr FRA,DF,Saint-Étienne,22-220,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches
227,Nicholas Gioacchini\79ab7593,us USA,MFFW,Montpellier,21-201,2000,4.3,7,3,5,1,1,2,4,50.0,2,78,17,21.8,25,27,26,7,0,0,7,7,14,4,0,Matches
228,Jimmy Giraudon\6ba71da5,fr FRA,DF,Troyes,30-026,1992,18.0,10,7,8,2,0,3,21,14.3,18,135,54,40.0,82,52,1,40,16,1,24,61,71,58,0,Matches
229,Andrei Girotto\3befc2b6,br BRA,DFMF,Nantes,29-359,1992,22.4,70,36,44,18,8,32,61,52.5,29,417,128,30.7,172,213,32,55,23,0,32,48,118,78,0,Matches
230,Aleksandr Golovin\3708e9fa,ru RUS,FWMF,Monaco,25-257,1996,7.7,14,7,2,9,3,5,20,25.0,15,186,45,24.2,30,99,57,11,1,0,10,9,23,2,0,Matches
231,Angel Gomes\645a3363,eng ENG,MF,Lille,21-164,2000,5.3,10,9,2,6,2,4,7,57.1,3,99,27,27.3,23,50,26,4,0,0,4,3,13,3,0,Matches
232,Alfred Gomis\cecbce23,sn SEN,GK,Rennes,28-159,1993,18.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
233,Vagner Gonçalves\743fd71f,cv CPV,MFFW,Metz,26-032,1996,1.0,2,0,0,2,0,2,2,100.0,0,13,4,30.8,0,7,6,0,0,0,0,0,2,0,0,Matches
234,Álvaro González\42dcf26d,es ESP,DF,Marseille,32-034,1990,5.0,1,0,1,0,0,1,1,100.0,0,25,7,28.0,13,10,2,1,0,0,1,3,4,12,0,Matches
235,Amine Gouiri\aad56ca3,fr FRA,FWMF,Nice,21-360,2000,19.7,19,10,1,14,4,3,13,23.1,10,255,75,29.4,25,112,118,23,5,0,18,10,29,10,0,Matches
236,Jonathan Gradit\06c48679,fr FRA,DF,Lens,29-079,1992,21.1,37,19,13,18,6,7,23,30.4,16,174,66,37.9,83,82,9,37,21,0,16,50,87,64,0,Matches
237,Andrew Gravillon\49136c42,fr FRA,DF,Reims,24-003,1998,19.5,25,18,14,11,0,11,20,55.0,9,139,48,34.5,66,63,10,31,13,0,18,41,66,77,0,Matches
238,Adrian Grbić\4a987ffa,at AUT,FWMF,Lorient,25-191,1996,5.8,3,3,0,3,0,1,5,20.0,4,106,22,20.8,11,57,38,5,1,0,4,3,6,7,0,Matches
239,Ivo Grbić\3f034750,hr CRO,GK,Lille,26-024,1996,21.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
240,Etienne Green\667b65da,eng ENG,GK,Saint-Étienne,21-207,2000,13.3,0,0,0,0,0,0,0,,0,4,1,25.0,4,0,0,0,0,0,0,0,0,0,0,Matches
241,Gabriel Gudmundsson\d5d22a58,se SWE,DFMF,Lille,22-288,1999,5.3,22,8,11,7,4,10,19,52.6,9,101,23,22.8,48,38,15,10,1,0,9,9,31,4,0,Matches
242,Noah Guede-Nadje\94b442c0,fr FRA,FW,Angers,18-091,2003,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
243,Mattéo Guendouzi\5ea8ef20,fr FRA,MF,Marseille,22-303,1999,20.9,30,22,6,19,5,8,30,26.7,22,272,87,32.0,57,146,69,17,1,0,16,14,44,14,0,Matches
244,Yanis Guermouche\642f9f79,fr FRA,FW,Montpellier,20-302,2001,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
245,Evann Guessand\b73f17f8,fr FRA,FW,Nice,20-225,2001,2.1,5,3,1,2,2,0,2,0.0,2,36,6,16.7,5,18,13,3,1,0,2,2,7,0,0,Matches
246,Lamine Gueye\9d5dcc23,sn SEN,MFFW,Metz,23-335,1998,6.2,8,8,3,1,4,3,8,37.5,5,97,33,34.0,26,43,28,5,1,0,4,10,18,1,0,Matches
247,Pape Gueye\7155e3e1,sn SEN,MF,Marseille,23-018,1999,7.6,16,9,8,8,0,7,19,36.8,12,121,40,33.1,35,67,19,9,1,0,8,20,36,12,0,Matches
248,Josuha Guilavogui\e6c43eec,fr FRA,MF,Bordeaux,31-145,1990,1.0,7,5,4,3,0,4,4,100.0,0,25,9,36.0,13,11,1,1,1,0,0,1,8,2,0,Matches
249,Frederic Guilbert\5d8d7454,fr FRA,DF,Strasbourg,27-049,1994,15.8,43,27,23,11,9,20,40,50.0,20,227,68,30.0,74,99,54,31,7,0,24,36,79,24,0,Matches
250,Bruno Guimarães\82518f62,br BRA,MF,Lyon,24-087,1997,18.2,60,44,22,33,5,21,61,34.4,40,423,135,31.9,143,208,72,25,4,1,21,33,93,21,0,Matches
251,Sehrou Guirassy\923f4dda,fr FRA,FW,Rennes,25-336,1996,6.4,4,2,1,1,2,0,3,0.0,3,62,17,27.4,5,26,31,5,2,0,3,1,5,4,0,Matches
252,Malo Gusto\d56b9520,fr FRA,DF,Lyon,18-268,2003,10.9,39,23,20,13,6,13,23,56.5,10,215,73,34.0,88,82,45,27,4,0,23,24,63,20,2,Matches
253,Massadio Haïdara\5167c97e,ml MLI,DF,Lens,29-071,1992,5.3,13,6,10,1,2,6,11,54.5,5,81,19,23.5,43,28,10,10,3,0,7,19,32,14,1,Matches
254,Oualid El Hajjam\9f29c204,ma MAR,DF,Troyes,30-357,1991,10.9,20,11,14,3,3,8,17,47.1,9,96,32,33.3,55,32,9,20,8,1,12,36,56,19,0,Matches
255,Achraf Hakimi\e42d61c7,ma MAR,DF,Paris S-G,23-099,1998,16.8,47,29,31,14,2,20,53,37.7,33,253,75,29.6,116,71,66,20,3,0,17,23,70,15,0,Matches
256,Pierre-Yves Hamel\a99da9ec,fr FRA,FWDF,Lorient,28-008,1994,0.3,0,0,0,0,0,0,1,0.0,1,5,1,20.0,2,2,1,0,0,0,0,1,1,0,0,Matches
257,Pierre-Yves Hamel\a99da9ec,fr FRA,FW,Clermont Foot,28-008,1994,5.4,10,7,1,3,6,2,4,50.0,2,129,29,22.5,9,54,66,4,1,0,3,3,13,0,0,Matches
258,Romain Hamouma\0b4d8274,fr FRA,FW,Saint-Étienne,34-319,1987,7.5,9,4,1,5,3,2,11,18.2,9,135,46,34.1,19,60,56,7,0,0,7,1,10,1,0,Matches
259,Amine Harit\e7d59f4f,ma MAR,FWDF,Marseille,24-238,1997,5.8,15,12,5,6,4,4,8,50.0,4,92,28,30.4,15,40,37,2,0,0,2,2,17,1,0,Matches
260,Henrique\f28474a4,br BRA,DF,Lyon,27-292,1994,5.9,8,3,3,3,2,1,5,20.0,4,68,20,29.4,15,32,21,11,1,0,10,8,16,12,0,Matches
261,Luis Henrique\f36d5624,br BRA,FWMF,Marseille,20-059,2001,6.7,3,2,2,0,1,1,6,16.7,5,82,22,26.8,25,39,18,5,0,0,5,10,13,0,0,Matches
262,Christophe Hérelle\3681cfff,mq MTQ,DF,Brest,29-173,1992,9.0,21,10,14,7,0,3,8,37.5,5,80,27,33.8,56,23,1,11,5,1,6,32,53,35,0,Matches
263,Jérôme Hergault\a84f9a4b,fr FRA,DFMF,Lorient,35-312,1986,3.8,4,2,1,3,0,1,3,33.3,2,37,11,29.7,18,11,8,7,1,0,6,10,14,10,0,Matches
264,Ander Herrera\436a9dd0,es ESP,MF,Paris S-G,32-181,1989,11.2,27,18,7,14,6,13,37,35.1,24,204,61,29.9,45,103,56,17,8,0,9,23,50,8,0,Matches
265,Franck Honorat\db7849ca,fr FRA,MFFW,Brest,25-184,1996,21.0,43,33,19,12,12,19,38,50.0,19,392,103,26.3,92,170,130,29,1,0,28,22,65,7,0,Matches
