,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
126,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,26-060,1995,13.0,469,621,75.5,10669,4211,122,150,81.3,247,284,87.0,93,167,55.7,0,0.9,-0.9,4,40,2,1,34,Matches
127,Jeremie Frimpong\74f2e748,nl NED,DF,Leverkusen,21-063,2000,18.8,789,974,81.0,12777,3771,392,440,89.1,327,388,84.3,55,103,53.4,6,2.8,+3.2,20,26,21,8,49,Matches
128,Chris Führich\0cf778df,de GER,FWDF,Stuttgart,24-033,1998,8.4,271,326,83.1,4308,1388,149,166,89.8,89,109,81.7,23,34,67.6,1,1.9,-0.9,18,15,16,4,28,Matches
129,Marius Funk\86314793,de GER,GK,Greuther Fürth,26-041,1996,8.0,226,362,62.4,7790,4697,34,34,100.0,89,92,96.7,102,233,43.8,0,0.1,-0.1,3,10,0,0,0,Matches
130,Stephan Fürstner\18c2e247,de GER,MF,Mainz 05,34-153,1987,0.1,1,5,20.0,12,11,1,1,100.0,0,1,0.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1,Matches
131,Mijat Gaćinović\16daec92,rs SRB,FWDF,Hoffenheim,27-003,1995,1.2,39,46,84.8,660,252,17,18,94.4,20,23,87.0,2,5,40.0,0,0.0,0.0,0,2,0,0,5,Matches
132,Cristian Gamboa\f27680d9,cr CRC,DF,Bochum,32-110,1989,8.6,289,406,71.2,6526,3589,81,91,89.0,137,185,74.1,68,117,58.1,0,0.4,-0.4,5,25,7,5,28,Matches
133,Silvère Ganvoula M'Boussy\6c731625,cg CGO,FW,Bochum,25-234,1996,1.7,34,60,56.7,612,99,16,22,72.7,14,26,53.8,3,5,60.0,0,0.0,0.0,0,2,0,0,3,Matches
134,Linus Gechter\ad2b068c,de GER,DF,Hertha BSC,17-349,2004,2.5,79,107,73.8,1685,544,22,23,95.7,47,52,90.4,10,29,34.5,0,0.0,0.0,0,2,0,0,3,Matches
135,Dennis Geiger\37f606f0,de GER,MF,Hoffenheim,23-246,1998,12.5,544,665,81.8,10945,2895,212,242,87.6,237,262,90.5,90,142,63.4,2,2.0,0.0,19,42,16,1,46,Matches
136,Yannick Gerhardt\62ab9184,de GER,MFDF,Wolfsburg,27-335,1994,10.5,394,523,75.3,6940,2450,155,192,80.7,186,227,81.9,41,70,58.6,0,0.8,-0.8,7,31,13,3,56,Matches
137,Hamadi Al Ghaddioui\5723931e,ma MAR,FW,Stuttgart,31-142,1990,5.5,73,109,67.0,974,79,45,65,69.2,20,26,76.9,4,6,66.7,2,1.1,+0.9,8,1,2,0,3,Matches
138,Niko Gießelmann\7242b495,de GER,DF,Union Berlin,30-138,1991,16.8,578,829,69.7,11849,4957,201,247,81.4,279,374,74.6,92,185,49.7,4,1.3,+2.7,24,43,19,11,77,Matches
139,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,34-108,1987,21.0,488,749,65.2,16136,10449,72,73,98.6,192,196,98.0,220,475,46.3,0,0.1,-0.1,2,15,0,0,0,Matches
140,Daniel Ginczek\e5f63987,de GER,MFFW,Wolfsburg,30-304,1991,0.1,1,4,25.0,15,0,1,1,100.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
141,Matthias Ginter\f521b80a,de GER,DF,M'Gladbach,28-023,1994,17.6,1045,1245,83.9,22146,8156,315,344,91.6,570,626,91.1,155,258,60.1,0,1.7,-1.7,13,63,13,4,106,Matches
142,Serge Gnabry\88e357ef,de GER,FWDF,Bayern Munich,26-212,1995,14.4,628,802,78.3,9827,2628,345,408,84.6,230,280,82.1,42,78,53.8,3,4.0,-1.0,25,35,38,6,69,Matches
143,Leon Goretzka\cc86b9a3,de GER,MF,Bayern Munich,27-005,1995,9.9,485,577,84.1,8412,2358,213,240,88.8,210,239,87.9,44,65,67.7,2,2.2,-0.2,20,48,10,0,58,Matches
144,Jeffrey Gouweleeuw\1025db8e,nl NED,DF,Augsburg,30-216,1991,15.9,475,641,74.1,11756,4752,108,128,84.4,231,279,82.8,131,221,59.3,0,0.5,-0.5,4,48,11,1,36,Matches
145,Julian Green\ad1d6fa4,us USA,MF,Greuther Fürth,26-250,1995,6.8,170,233,73.0,3100,811,79,91,86.8,67,75,89.3,19,57,33.3,0,0.5,-0.5,9,12,3,0,15,Matches
146,Michael Gregoritsch\8e235926,at AUT,FWMF,Augsburg,27-299,1994,6.9,108,171,63.2,1614,427,66,88,75.0,30,53,56.6,9,20,45.0,0,1.0,-1.0,5,11,3,2,13,Matches
147,Sebastian Griesbeck\a8db7ebb,de GER,DFMF,Greuther Fürth,31-131,1990,16.1,392,486,80.7,8398,2065,126,141,89.4,185,208,88.9,74,116,63.8,0,0.0,0.0,1,23,1,0,29,Matches
148,Sebastian Griesbeck\a8db7ebb,de GER,MF,Union Berlin,31-131,1990,0.1,1,1,100.0,18,16,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
149,Vincenzo Grifo\54e4866f,it ITA,MFFW,Freiburg,28-310,1993,18.4,640,873,73.3,12040,4553,309,361,85.6,211,273,77.3,110,208,52.9,6,5.0,+1.0,43,53,38,8,88,Matches
150,Lennart Grill\37998008,de GER,GK,Leverkusen,23-017,1999,1.0,31,45,68.9,772,417,9,9,100.0,13,13,100.0,9,23,39.1,0,0.0,0.0,0,0,0,0,0,Matches
151,Florian Grillitsch\ffbbc83b,at AUT,DFMF,Hoffenheim,26-188,1995,11.6,667,740,90.1,15683,4856,176,192,91.7,320,341,93.8,167,194,86.1,0,0.4,-0.4,9,74,10,1,61,Matches
152,Carlos Gruezo\f2dd9a21,ec ECU,MF,Augsburg,26-298,1995,4.2,103,126,81.7,2196,691,28,34,82.4,53,58,91.4,20,28,71.4,0,0.0,0.0,1,6,1,0,13,Matches
153,Raphaël Guerreiro\048a1cbc,pt POR,DF,Dortmund,28-051,1993,11.0,773,903,85.6,12332,5325,389,437,89.0,324,358,90.5,46,73,63.0,2,1.3,+0.7,19,60,11,3,77,Matches
154,Josuha Guilavogui\e6c43eec,fr FRA,MFDF,Wolfsburg,31-145,1990,10.5,438,527,83.1,8665,2433,142,169,84.0,222,251,88.4,62,86,72.1,0,0.1,-0.1,2,15,1,0,32,Matches
155,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31-281,1990,20.0,536,699,76.7,14633,7938,124,124,100.0,244,247,98.8,165,325,50.8,0,0.0,0.0,0,8,1,0,2,Matches
156,Manuel Gulde\25ab9c9c,de GER,DF,Freiburg,30-364,1991,9.2,316,382,82.7,7105,2345,75,90,83.3,174,194,89.7,63,88,71.6,0,0.1,-0.1,2,22,1,1,23,Matches
157,Robert Gumny\1df0c0b9,pl POL,DF,Augsburg,23-252,1998,19.2,597,783,76.2,10683,4369,293,336,87.2,225,290,77.6,74,131,56.5,0,0.3,-0.3,6,42,8,1,53,Matches
158,Christian Günter\8593f88c,de GER,DF,Freiburg,28-348,1993,21.0,757,1076,70.4,13633,6217,338,401,84.3,309,397,77.8,89,216,41.2,5,5.0,0.0,51,53,31,21,77,Matches
159,Lasse Günther\00672803,de GER,DF,Augsburg,18-327,2003,0.6,11,19,57.9,163,30,6,8,75.0,4,7,57.1,1,2,50.0,0,0.0,0.0,1,0,1,0,1,Matches
160,Joško Gvardiol\5ad50391,hr CRO,DF,RB Leipzig,20-019,2002,18.8,1154,1398,82.5,22255,9806,451,498,90.6,543,605,89.8,145,238,60.9,2,1.7,+0.3,9,112,14,0,107,Matches
161,Erling Haaland\1f44ac21,no NOR,FW,Dortmund,21-205,2000,12.7,204,291,70.1,2582,469,125,167,74.9,50,75,66.7,7,11,63.6,6,3.1,+2.9,14,4,15,0,21,Matches
162,Janik Haberer\70dcf94d,de GER,MF,Freiburg,27-315,1994,5.5,146,188,77.7,2500,485,62,81,76.5,64,72,88.9,11,16,68.8,0,0.1,-0.1,2,12,0,0,6,Matches
163,Alexander Hack\a5ec3ede,de GER,DF,Mainz 05,28-156,1993,13.5,472,611,77.3,10284,4182,139,164,84.8,216,263,82.1,105,154,68.2,0,0.4,-0.4,2,34,4,0,44,Matches
164,Robin Hack\0174ba21,de GER,MFFW,Arminia,23-168,1998,9.1,218,298,73.2,3645,1077,108,124,87.1,78,101,77.2,21,46,45.7,1,1.2,-0.2,13,16,16,3,34,Matches
165,André Hahn\cd82452e,de GER,FWMF,Augsburg,31-182,1990,14.8,147,264,55.7,2344,565,82,118,69.5,49,82,59.8,14,43,32.6,1,1.0,0.0,9,7,8,4,14,Matches
166,Amadou Haidara\92432bc6,ml MLI,MF,RB Leipzig,24-011,1998,10.0,406,505,80.4,6628,2198,209,236,88.6,152,184,82.6,34,50,68.0,0,0.2,-0.2,3,33,14,1,59,Matches
167,Genki Haraguchi\f24ea523,jp JPN,MF,Union Berlin,30-278,1991,12.9,288,385,74.8,4897,1350,135,163,82.8,119,151,78.8,25,44,56.8,4,1.9,+2.1,18,23,10,2,42,Matches
168,Makoto Hasebe\9ab16552,jp JPN,DFMF,Eint Frankfurt,38-024,1984,9.7,527,620,85.0,11502,3245,149,162,92.0,268,296,90.5,101,146,69.2,0,0.1,-0.1,2,42,3,0,39,Matches
169,Thorgan Hazard\50871bcc,be BEL,FWDF,Dortmund,28-319,1993,8.7,373,487,76.6,6128,1557,192,220,87.3,135,174,77.6,32,64,50.0,0,1.3,-1.3,13,15,10,3,34,Matches
170,Jonas Hector\c2009df3,de GER,DF,Köln,31-260,1990,18.6,782,1021,76.6,16077,5711,274,317,86.4,358,432,82.9,141,229,61.6,4,3.0,+1.0,25,42,19,10,71,Matches
171,Hwang Hee-chan\169fd162,kr KOR,FW,RB Leipzig,26-016,1996,0.5,6,8,75.0,94,0,4,4,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
172,Dominique Heintz\699fb8db,de GER,DF,Freiburg,28-180,1993,0.3,19,21,90.5,530,141,2,4,50.0,11,11,100.0,6,6,100.0,0,0.0,0.0,0,1,0,0,0,Matches
173,Dominique Heintz\699fb8db,de GER,DF,Union Berlin,28-180,1993,1.7,63,78,80.8,1244,389,25,27,92.6,28,35,80.0,10,15,66.7,0,0.0,0.0,1,5,0,0,6,Matches
174,Benjamin Henrichs\0a89e877,de GER,DFMF,RB Leipzig,24-353,1997,6.1,266,339,78.5,3966,1632,145,167,86.8,102,119,85.7,8,29,27.6,2,1.5,+0.5,5,24,4,2,36,Matches
175,Lucas Hernández\c3ee18ef,fr FRA,DF,Bayern Munich,25-362,1996,14.2,1128,1230,91.7,22720,7650,372,393,94.7,606,638,95.0,142,180,78.9,0,0.3,-0.3,4,116,6,1,93,Matches
176,Patrick Herrmann\dfb6490a,de GER,DFFW,M'Gladbach,30-364,1991,7.8,244,351,69.5,4588,1623,123,153,80.4,85,109,78.0,34,77,44.2,3,1.1,+1.9,16,9,11,3,30,Matches
177,Piero Hincapié\0c7a48f8,ec ECU,DF,Leverkusen,20-033,2002,11.4,535,641,83.5,9647,3009,218,234,93.2,255,284,89.8,50,83,60.2,2,0.3,+1.7,3,11,5,2,23,Matches
178,Martin Hinteregger\080440a4,at AUT,DF,Eint Frankfurt,29-157,1992,15.7,641,827,77.5,14095,5146,189,220,85.9,330,373,88.5,118,216,54.6,0,0.4,-0.4,3,46,5,0,41,Matches
179,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,34-146,1987,1.5,48,54,88.9,1242,633,11,11,100.0,18,19,94.7,19,24,79.2,0,0.0,0.0,0,0,0,0,0,Matches
180,Nicolas Höfler\5d8e331f,de GER,MF,Freiburg,31-339,1990,18.0,586,713,82.2,10173,2838,270,298,90.6,260,309,84.1,44,73,60.3,1,1.0,0.0,7,46,11,1,72,Matches
181,Jonas Hofmann\2903a856,de GER,MFFW,M'Gladbach,29-212,1992,14.1,633,812,78.0,11510,3126,296,334,88.6,219,257,85.2,98,172,57.0,2,4.0,-2.0,49,35,18,2,54,Matches
182,Lucas Höler\ca618d23,de GER,FWMF,Freiburg,27-216,1994,19.6,428,620,69.0,6321,1290,252,335,75.2,128,179,71.5,27,40,67.5,1,2.1,-1.1,25,24,21,2,47,Matches
183,Gerrit Holtmann\2979c05a,ph PHI,FWMF,Bochum,26-323,1995,13.3,152,228,66.7,2565,870,82,103,79.6,45,66,68.2,18,40,45.0,3,2.5,+0.5,19,5,20,10,22,Matches
184,Justin Hoogma\816192f0,nl NED,DF,Greuther Fürth,23-245,1998,3.0,143,171,83.6,3417,1175,31,34,91.2,78,85,91.8,34,51,66.7,0,0.0,0.0,1,9,0,0,4,Matches
185,Jannes Horn\2b83fa49,de GER,DF,Köln,25-005,1997,1.5,51,79,64.6,1042,497,19,23,82.6,25,33,75.8,7,20,35.0,0,0.0,0.0,0,4,1,0,7,Matches
186,Timo Horn\3cd9e95a,de GER,GK,Köln,28-275,1993,12.0,377,458,82.3,11354,6582,55,55,100.0,180,182,98.9,140,219,63.9,0,0.0,0.0,0,3,0,0,0,Matches
187,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,32-079,1989,20.0,613,811,75.6,17497,10490,112,113,99.1,274,275,99.6,223,419,53.2,0,0.0,0.0,1,6,0,0,0,Matches
188,Branimir Hrgota\710fbdd1,se SWE,FW,Greuther Fürth,29-030,1993,18.3,319,454,70.3,5098,1441,166,219,75.8,102,133,76.7,30,50,60.0,4,2.4,+1.6,23,19,16,3,45,Matches
189,Ajdin Hrustic\1f2d714c,au AUS,MF,Eint Frankfurt,25-221,1996,5.7,292,350,83.4,5585,1806,123,138,89.1,127,140,90.7,38,58,65.5,0,0.6,-0.6,5,21,5,1,28,Matches
190,Timo Hübers\94302c52,de GER,DF,Köln,25-206,1996,8.4,481,578,83.2,11191,3161,101,116,87.1,259,290,89.3,116,161,72.0,0,0.0,0.0,0,29,1,0,21,Matches
191,Benjamin Hübner\99de6b6f,de GER,DF,Hoffenheim,32-222,1989,1.4,86,104,82.7,1523,657,42,44,95.5,35,41,85.4,8,17,47.1,0,0.0,0.0,0,12,1,0,8,Matches
192,Mats Hummels\05d548d8,de GER,DF,Dortmund,33-057,1988,14.6,990,1123,88.2,22462,6590,217,241,90.0,581,628,92.5,185,236,78.4,1,0.1,+0.9,2,50,4,0,42,Matches
193,Iago\054849d2,br BRA,DF,Augsburg,24-325,1997,13.9,489,733,66.7,9207,3879,202,228,88.6,222,320,69.4,64,149,43.0,2,1.6,+0.4,18,33,22,12,50,Matches
194,Stefan Ilsanker\8494acc4,at AUT,DFMF,Eint Frankfurt,32-269,1989,1.8,50,61,82.0,922,448,21,22,95.5,22,26,84.6,5,10,50.0,0,0.0,0.0,0,2,0,0,3,Matches
195,Marcus Ingvartsen\271b8617,dk DEN,FWMF,Mainz 05,26-038,1996,3.7,71,110,64.5,1145,299,32,47,68.1,22,30,73.3,8,20,40.0,0,0.3,-0.3,3,4,3,2,8,Matches
196,Marcus Ingvartsen\271b8617,dk DEN,MF,Union Berlin,26-038,1996,1.4,25,33,75.8,394,83,14,15,93.3,9,14,64.3,2,3,66.7,0,0.0,0.0,0,1,0,0,1,Matches
197,Hiroki Ito\204dded0,jp JPN,DF,Stuttgart,22-275,1999,14.9,918,1124,81.7,20348,7729,270,295,91.5,464,504,92.1,178,310,57.4,0,0.9,-0.9,10,68,11,1,69,Matches
198,Cedric Itten\ef233486,ch SUI,FW,Greuther Fürth,25-046,1996,7.1,91,152,59.9,1192,257,59,90,65.6,22,37,59.5,3,6,50.0,0,0.1,-0.1,3,11,1,0,7,Matches
199,Gian-Luca Itter\e6c15f6e,de GER,DF,Greuther Fürth,23-037,1999,5.2,220,291,75.6,4233,1728,87,101,86.1,101,125,80.8,30,55,54.5,0,0.5,-0.5,4,19,6,4,22,Matches
200,Lee Jae-sung\34b0387f,kr KOR,MFFW,Mainz 05,29-185,1992,12.1,374,505,74.1,5789,1646,206,251,82.1,124,164,75.6,28,52,53.8,2,1.6,+0.4,17,26,17,4,40,Matches
201,Paul Jaeckel\a93b6f4e,de GER,DF,Union Berlin,23-204,1998,11.7,482,590,81.7,10661,3412,122,147,83.0,258,286,90.2,96,141,68.1,0,0.1,-0.1,2,25,2,0,26,Matches
202,Kristijan Jakić\a8ee54ad,hr CRO,MF,Eint Frankfurt,24-273,1997,11.1,299,413,72.4,5530,1629,128,164,78.0,132,165,80.0,37,63,58.7,0,0.2,-0.2,2,29,3,1,40,Matches
203,Tony Jantschke\34b54da7,de GER,DF,M'Gladbach,31-310,1990,2.5,85,118,72.0,1611,678,38,44,86.4,36,44,81.8,11,29,37.9,0,0.1,-0.1,1,5,0,0,7,Matches
204,Dennis Jastrzembski\6bba916f,pl POL,DFFW,Hertha BSC,21-356,2000,2.5,67,104,64.4,1294,459,29,39,74.4,27,45,60.0,10,17,58.8,0,0.5,-0.5,4,3,2,0,6,Matches
205,Fredrik Jensen\3eeb80e0,fi FIN,MFFW,Augsburg,24-155,1997,4.6,62,113,54.9,1087,393,37,51,72.5,12,31,38.7,11,23,47.8,1,0.6,+0.4,6,8,7,3,10,Matches
206,Marco John\d9e196bf,de GER,DF,Hoffenheim,19-315,2002,0.4,9,10,90.0,145,67,5,5,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
207,Stevan Jovetić\f36c432f,me MNE,FWMF,Hertha BSC,32-101,1989,7.3,162,236,68.6,2522,828,99,127,78.0,44,66,66.7,14,27,51.9,1,1.2,-0.2,8,23,9,1,24,Matches
208,Gideon Jung\a2e7de6f,de GER,DF,Greuther Fürth,27-152,1994,1.0,29,35,82.9,555,145,8,9,88.9,19,20,95.0,2,6,33.3,0,0.0,0.0,0,1,0,0,2,Matches
209,Pavel Kadeřábek\79c90e45,cz CZE,DF,Hoffenheim,29-292,1992,5.6,267,350,76.3,4635,1863,122,139,87.8,115,149,77.2,25,41,61.0,0,1.3,-1.3,12,19,11,6,35,Matches
210,Florian Kainz\94c18565,at AUT,MFFW,Köln,29-110,1992,16.4,407,671,60.7,8510,3160,138,183,75.4,183,254,72.0,78,197,39.6,3,4.2,-1.2,39,36,30,7,70,Matches
211,Sasa Kalajdzic\15f24fe7,at AUT,FW,Stuttgart,24-219,1997,4.2,84,109,77.1,1384,168,45,59,76.3,28,34,82.4,9,12,75.0,0,0.2,-0.2,1,3,0,0,6,Matches
212,Felix Kalu Nmecha\091c86e2,eng ENG,MFFW,Wolfsburg,21-124,2000,2.3,62,93,66.7,1073,282,31,41,75.6,22,32,68.8,8,14,57.1,0,0.0,0.0,0,4,2,0,9,Matches
213,Daichi Kamada\15b287da,jp JPN,MFFW,Eint Frankfurt,25-190,1996,15.7,426,552,77.2,7609,2076,201,242,83.1,172,214,80.4,43,72,59.7,1,2.2,-1.2,22,47,14,0,61,Matches
214,Kevin Kampl\b825a650,si SVN,MF,RB Leipzig,31-125,1990,14.6,899,992,90.6,15861,3760,371,395,93.9,415,450,92.2,86,107,80.4,1,1.2,-0.2,11,86,17,1,91,Matches
215,Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27-330,1994,1.0,20,31,64.5,738,455,0,0,,11,11,100.0,9,20,45.0,0,0.0,0.0,0,0,0,0,0,Matches
216,Atakan Karazor\5762be5c,de GER,MFDF,Stuttgart,25-121,1996,10.4,488,589,82.9,9015,2398,201,232,86.6,224,253,88.5,55,81,67.9,1,0.8,+0.2,8,37,6,1,43,Matches
217,Silas Katompa\de4cac2d,cd COD,FWMF,Stuttgart,23-128,1998,2.2,33,48,68.8,531,77,21,25,84.0,7,12,58.3,4,7,57.1,0,0.0,0.0,0,0,1,1,1,Matches
218,Noah Katterbach\e27de4fa,de GER,DF,Köln,20-304,2001,0.2,6,12,50.0,81,44,4,4,100.0,2,4,50.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
219,Yannik Keitel\d2c580ce,de GER,MF,Freiburg,21-361,2000,5.6,129,184,70.1,2547,615,50,65,76.9,60,80,75.0,18,35,51.4,0,0.0,0.0,1,13,0,0,11,Matches
220,Marc-Oliver Kempf\815c314f,de GER,DF,Stuttgart,27-014,1995,9.3,478,578,82.7,9630,3687,163,180,90.6,238,269,88.5,73,116,62.9,0,0.5,-0.5,5,47,3,0,39,Matches
221,Marc-Oliver Kempf\815c314f,de GER,DF,Hertha BSC,27-014,1995,1.0,27,40,67.5,545,241,12,13,92.3,13,13,100.0,2,12,16.7,0,0.0,0.0,0,4,0,0,4,Matches
222,Rani Khedira\59e4b92e,de GER,MF,Union Berlin,28-015,1994,19.0,429,584,73.5,7607,2299,190,244,77.9,182,229,79.5,42,78,53.8,0,0.3,-0.3,5,35,7,3,44,Matches
223,Luca Kilian\610aa1e9,de GER,DF,Köln,22-163,1999,12.6,572,669,85.5,14188,3878,95,109,87.2,321,344,93.3,149,205,72.7,0,0.1,-0.1,2,36,2,0,28,Matches
224,Luca Kilian\610aa1e9,de GER,FW,Mainz 05,22-163,1999,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
225,Joshua Kimmich\49296448,de GER,MFDF,Bayern Munich,27-003,1995,14.8,1153,1366,84.4,22694,7725,462,496,93.1,487,545,89.4,178,280,63.6,3,5.3,-2.3,44,122,27,3,144,Matches
226,Philipp Klement\0cddeaa7,de GER,MFFW,Stuttgart,29-155,1992,3.8,214,272,78.7,4259,1155,90,103,87.4,86,98,87.8,37,61,60.7,0,0.9,-0.9,7,25,5,0,25,Matches
227,Mateo Klimowicz\2b7c56b4,de GER,FWMF,Stuttgart,21-220,2000,6.6,143,191,74.9,2370,622,72,86,83.7,56,69,81.2,10,20,50.0,1,0.5,+0.5,4,13,10,0,24,Matches
228,Fabian Klos\e21042ae,de GER,FW,Arminia,34-071,1987,13.3,204,376,54.3,3224,979,125,181,69.1,53,125,42.4,20,44,45.5,1,1.4,-0.4,15,28,7,2,36,Matches
229,Lukas Klostermann\ca8033cb,de GER,DF,RB Leipzig,25-254,1996,12.0,545,639,85.3,10492,3959,205,229,89.5,272,302,90.1,64,93,68.8,1,0.7,+0.3,4,42,7,1,46,Matches
230,Lukas Klünter\92948149,de GER,DF,Hertha BSC,25-261,1996,2.2,66,99,66.7,1244,532,27,34,79.4,33,46,71.7,6,16,37.5,0,0.3,-0.3,2,5,5,2,11,Matches
231,Ansgar Knauff\19a967ab,de GER,FWMF,Dortmund,20-032,2002,1.3,23,37,62.2,302,80,14,17,82.4,5,11,45.5,2,4,50.0,0,0.1,-0.1,1,1,1,0,2,Matches
232,Ansgar Knauff\19a967ab,de GER,FW,Eint Frankfurt,20-032,2002,0.0,2,3,66.7,23,12,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
233,Robin Knoche\6bd5cd5d,de GER,DF,Union Berlin,29-265,1992,21.0,895,1077,83.1,21881,7016,151,181,83.4,502,543,92.4,230,333,69.1,0,0.1,-0.1,2,52,1,0,51,Matches
234,Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,24-067,1997,19.5,579,694,83.4,13954,6997,155,155,100.0,283,283,100.0,140,255,54.9,0,0.0,0.0,0,3,0,0,0,Matches
235,Dominik Kohr\0fbecd11,de GER,MF,Mainz 05,28-011,1994,8.7,323,432,74.8,5535,1715,146,181,80.7,145,186,78.0,24,46,52.2,1,0.8,+0.2,4,28,3,0,46,Matches
236,Kouadio Koné\86574238,fr FRA,MF,M'Gladbach,20-270,2001,13.7,589,666,88.4,9760,3066,292,314,93.0,245,271,90.4,43,57,75.4,0,0.6,-0.6,10,52,8,1,62,Matches
237,Odilon Kossonou\1f3afdcb,ci CIV,DF,Leverkusen,21-038,2001,11.4,593,676,87.7,13448,4372,155,164,94.5,306,324,94.4,130,175,74.3,1,0.6,+0.4,3,18,1,1,18,Matches
238,Filip Kostić\b1cd37e6,rs SRB,DFFW,Eint Frankfurt,29-102,1992,17.1,586,928,63.1,12756,5271,193,250,77.2,273,378,72.2,112,244,45.9,7,6.3,+0.7,54,49,39,29,76,Matches
239,Nianzou Kouassi\5853ac44,fr FRA,DFMF,Bayern Munich,19-249,2002,2.0,132,149,88.6,2486,786,46,53,86.8,72,79,91.1,13,16,81.3,1,0.3,+0.7,1,10,2,0,12,Matches
240,Andrej Kramarić\603cb947,hr CRO,FWMF,Hoffenheim,30-237,1991,18.2,525,673,78.0,8508,1901,270,323,83.6,196,241,81.3,37,68,54.4,7,5.1,+1.9,26,41,29,10,51,Matches
241,Christoph Kramer\496aeede,de GER,MF,M'Gladbach,30-357,1991,5.2,215,271,79.3,3559,1021,103,121,85.1,90,109,82.6,18,28,64.3,0,0.2,-0.2,4,13,5,1,25,Matches
242,Florian Krüger\f9f92b5f,de GER,FWMF,Arminia,22-363,1999,8.5,152,229,66.4,2407,739,88,109,80.7,48,72,66.7,12,28,42.9,2,1.3,+0.7,9,9,10,2,23,Matches
243,Max Kruse\f9446dcd,de GER,FW,Wolfsburg,33-329,1988,0.9,29,35,82.9,455,97,16,17,94.1,11,13,84.6,2,4,50.0,0,0.3,-0.3,1,2,1,1,2,Matches
244,Max Kruse\f9446dcd,de GER,FWMF,Union Berlin,33-329,1988,14.1,347,475,73.1,7024,2009,147,180,81.7,137,172,79.7,61,109,56.0,4,3.4,+0.6,24,35,25,8,50,Matches
245,Lukas Kübler\2a29eb9b,de GER,DF,Freiburg,29-165,1992,17.3,535,768,69.7,10543,3440,212,251,84.5,238,311,76.5,76,173,43.9,0,0.8,-0.8,7,42,16,7,58,Matches
246,Fabian Kunze\d25fee56,de GER,MF,Arminia,23-242,1998,8.8,206,289,71.3,3559,1092,105,126,83.3,69,99,69.7,25,47,53.2,0,0.1,-0.1,3,25,5,3,22,Matches
247,Maxence Lacroix\277c49ed,fr FRA,DF,Wolfsburg,21-311,2000,17.6,830,1017,81.6,20074,6524,170,201,84.6,462,515,89.7,197,282,69.9,0,0.2,-0.2,4,53,4,0,55,Matches
248,Konrad Laimer\c1b7847c,at AUT,MF,RB Leipzig,24-260,1997,6.1,270,341,79.2,4418,1161,142,167,85.0,90,111,81.1,27,44,61.4,2,0.4,+1.6,6,30,5,1,29,Matches
249,Stefan Lainer\4aea5077,at AUT,DF,M'Gladbach,29-168,1992,6.7,241,326,73.9,4301,2103,106,129,82.2,109,141,77.3,24,47,51.1,0,1.0,-1.0,3,25,5,2,39,Matches
250,Vassilis Lambropoulos\591477c9,gr GRE,DF,Bochum,31-317,1990,13.0,351,420,83.6,8715,2130,62,77,80.5,187,210,89.0,95,122,77.9,0,0.0,0.0,1,15,0,0,13,Matches
251,Sam Lammers\c283ddef,nl NED,FW,Eint Frankfurt,24-287,1997,4.3,66,103,64.1,959,260,35,56,62.5,25,36,69.4,2,3,66.7,0,0.1,-0.1,2,6,3,0,9,Matches
252,Bryan Lasme\ebac0ace,fr FRA,FWMF,Arminia,23-089,1998,6.9,90,150,60.0,1309,287,54,84,64.3,25,41,61.0,6,10,60.0,0,0.1,-0.1,4,6,7,3,10,Matches
253,Maxim Leitsch\7e12a98d,de GER,DF,Bochum,23-269,1998,7.1,298,350,85.1,6761,1671,74,83,89.2,155,163,95.1,65,94,69.1,0,0.3,-0.3,1,19,2,1,16,Matches
254,Tim Lemperle\792ffa71,de GER,FWMF,Köln,20-006,2002,0.8,19,26,73.1,281,53,11,16,68.8,6,6,100.0,1,2,50.0,0,0.1,-0.1,2,2,1,0,3,Matches
