,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
28,Leandro Barreiro Martins\00242b75,lu LUX,MF,Mainz 05,22-039,2000,15.2,284,398,71.4,4302,1454,152,191,79.6,107,149,71.8,15,28,53.6,2,1.6,+0.4,10,25,11,2,34,Matches
29,Jacob Barrett Laursen\c0d3bd23,dk DEN,DF,Arminia,27-086,1994,11.6,373,538,69.3,6949,3014,164,193,85.0,156,208,75.0,49,106,46.2,0,0.5,-0.5,5,24,3,1,38,Matches
30,Abdourahmane Barry\8df328f4,fr FRA,DF,Greuther Fürth,21-355,2000,2.3,88,115,76.5,1685,743,37,41,90.2,33,41,80.5,13,22,59.1,0,0.1,-0.1,2,8,2,2,10,Matches
31,Maximilian Bauer\44a20f0c,de GER,DF,Greuther Fürth,22-002,2000,13.7,483,597,80.9,11408,3436,111,132,84.1,258,281,91.8,111,172,64.5,0,0.0,0.0,1,17,0,0,15,Matches
32,Oliver Baumann\47064058,de GER,GK,Hoffenheim,31-254,1990,20.0,735,926,79.4,17787,9146,203,204,99.5,342,344,99.4,178,366,48.6,0,0.0,0.0,0,8,0,0,0,Matches
33,Timo Baumgartl\bd7d2e6d,de GER,DF,Union Berlin,25-344,1996,15.1,603,743,81.2,13557,4502,148,173,85.5,332,374,88.8,119,186,64.0,1,0.1,+0.9,2,41,1,1,38,Matches
34,Julian Baumgartlinger\69374ff5,at AUT,MF,Leverkusen,34-040,1988,0.1,7,8,87.5,170,18,1,2,50.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
35,Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,22-194,1999,10.0,263,359,73.3,4683,1255,117,137,85.4,102,136,75.0,34,61,55.7,0,0.8,-0.8,7,20,9,2,34,Matches
36,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,25-174,1996,1.2,19,25,76.0,305,120,10,12,83.3,4,6,66.7,3,3,100.0,0,0.2,-0.2,2,0,2,2,0,Matches
37,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,27-294,1994,14.4,283,396,71.5,4247,1347,157,199,78.9,89,123,72.4,19,33,57.6,2,1.1,+0.9,10,9,18,5,26,Matches
38,Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,27-002,1995,9.0,178,285,62.5,3555,1094,73,104,70.2,67,107,62.6,33,55,60.0,2,3.4,-1.4,24,9,20,14,25,Matches
39,Kevin Behrens\30ae134d,de GER,FWMF,Union Berlin,31-008,1991,4.4,101,148,68.2,1502,275,56,77,72.7,35,48,72.9,7,12,58.3,2,1.6,+0.4,5,7,2,0,9,Matches
40,Ishak Belfodil\ff182fdc,dz ALG,FW,Hertha BSC,30-030,1992,10.3,181,260,69.6,2435,474,113,149,75.8,55,79,69.6,4,12,33.3,2,1.5,+0.5,14,6,7,1,15,Matches
41,Stefan Bell\857a5abe,de GER,DF,Mainz 05,30-171,1991,19.1,665,851,78.1,13424,5462,229,255,89.8,344,403,85.4,88,174,50.6,0,1.0,-1.0,6,43,3,0,47,Matches
42,Armel Bella Kotchap\a39d11bc,de GER,DF,Bochum,20-062,2001,9.9,285,347,82.1,6675,1461,71,87,81.6,142,154,92.2,70,101,69.3,0,0.3,-0.3,3,16,0,0,13,Matches
43,Karim Bellarabi\bee0bab1,de GER,FWMF,Leverkusen,31-309,1990,6.0,157,210,74.8,2548,704,82,101,81.2,52,67,77.6,15,29,51.7,2,1.1,+0.9,5,11,5,1,18,Matches
44,Jude Bellingham\57d88cf9,eng ENG,MF,Dortmund,18-227,2003,18.0,742,871,85.2,12751,2574,352,396,88.9,302,337,89.6,70,99,70.7,6,3.2,+2.8,24,54,18,1,67,Matches
45,George Bello\aca0a525,us USA,DF,Arminia,20-020,2002,0.2,6,7,85.7,133,47,0,0,,6,7,85.7,0,0,,0,0.0,0.0,0,1,0,0,1,Matches
46,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,24-155,1997,2.6,140,185,75.7,2587,710,63,76,82.9,47,54,87.0,26,46,56.5,0,0.3,-0.3,4,19,1,0,14,Matches
47,Keanan Bennetts\f4c7c708,eng ENG,FWDF,M'Gladbach,22-339,1999,0.6,17,23,73.9,334,29,8,11,72.7,6,7,85.7,3,4,75.0,0,0.0,0.0,0,1,0,0,1,Matches
48,Ramy Bensebaini\378825c7,dz ALG,DF,M'Gladbach,26-301,1995,11.5,568,697,81.5,11332,4037,214,243,88.1,254,293,86.7,92,141,65.2,0,0.6,-0.6,7,48,5,4,45,Matches
49,Louis Beyer\9af1f9ff,de GER,DF,M'Gladbach,21-268,2000,6.5,415,457,90.8,8685,2564,124,138,89.9,225,233,96.6,65,82,79.3,0,0.1,-0.1,2,22,0,0,27,Matches
50,Bartosz Bialek\763b8b37,pl POL,FW,Wolfsburg,20-092,2001,0.4,8,12,66.7,99,7,6,7,85.7,2,2,100.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,Matches
51,Danny Blum\eb61713c,de GER,FW,Bochum,31-035,1991,2.5,77,116,66.4,1563,585,37,50,74.0,20,29,69.0,16,29,55.2,0,0.6,-0.6,10,7,3,2,12,Matches
52,Kevin-Prince Boateng\f4ec4fd0,gh GHA,MFFW,Hertha BSC,34-342,1987,4.3,154,197,78.2,3199,847,49,59,83.1,73,86,84.9,28,40,70.0,0,0.1,-0.1,3,13,1,0,14,Matches
53,Herbert Bockhorn\5ad8c360,de GER,DFMF,Bochum,27-011,1995,5.2,139,200,69.5,2757,752,53,68,77.9,61,84,72.6,23,37,62.2,0,0.1,-0.1,2,10,2,0,13,Matches
54,Jean-Paul Boëtius\635f2732,nl NED,MF,Mainz 05,27-326,1994,12.7,401,551,72.8,8273,2886,154,181,85.1,165,209,78.9,77,142,54.2,1,1.7,-0.7,23,46,17,4,70,Matches
55,Tarsis Bonga\6ebbc28a,de GER,FW,Bochum,25-032,1997,0.0,2,4,50.0,12,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
56,Solomon Bonnah\dd7b6eb8,nl NED,DF,RB Leipzig,18-176,2003,0.1,4,4,100.0,92,16,1,1,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
57,Sebastiaan Bornauw\01834aa0,be BEL,DF,Wolfsburg,22-326,1999,12.7,560,649,86.3,13627,3499,98,115,85.2,315,347,90.8,146,181,80.7,0,0.1,-0.1,3,14,0,0,14,Matches
58,Rafael Borré\c68da769,co COL,FW,Eint Frankfurt,26-149,1995,18.6,364,501,72.7,5703,865,210,253,83.0,112,161,69.6,30,46,65.2,4,2.6,+1.4,17,22,13,0,26,Matches
59,Dedryck Boyata\7c473e12,be BEL,DF,Hertha BSC,31-075,1990,11.1,397,451,88.0,8870,2544,87,95,91.6,236,251,94.0,73,102,71.6,0,0.5,-0.5,3,9,0,0,10,Matches
60,Julian Brandt\a167537f,de GER,MFFW,Dortmund,25-285,1996,14.1,653,846,77.2,11241,3207,330,389,84.8,231,281,82.2,75,134,56.0,6,3.5,+2.5,34,51,24,6,77,Matches
61,Iker Bravo\db8c8860,es ESP,FW,Leverkusen,17-029,2005,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
62,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,26-346,1995,4.0,115,127,90.6,2598,1417,37,37,100.0,57,57,100.0,20,32,62.5,0,0.0,0.0,0,2,0,0,0,Matches
63,Josip Brekalo\d4a2533d,hr CRO,MF,Wolfsburg,23-233,1998,0.2,13,18,72.2,236,32,8,10,80.0,3,5,60.0,2,3,66.7,1,0.4,+0.6,1,0,0,0,1,Matches
64,Brian Brobbey\4c184730,nl NED,FW,RB Leipzig,20-010,2002,1.5,32,38,84.2,503,151,17,19,89.5,11,13,84.6,3,3,100.0,2,0.7,+1.3,3,4,0,0,3,Matches
65,John Brooks\e27da244,us USA,DF,Wolfsburg,29-014,1993,16.1,846,991,85.4,20095,6702,170,186,91.4,496,533,93.1,175,252,69.4,1,0.5,+0.5,5,67,6,1,68,Matches
66,Daniel Brosinski\a7813ac4,de GER,DF,Mainz 05,33-209,1988,3.3,119,188,63.3,2226,1316,52,62,83.9,56,78,71.8,10,38,26.3,0,0.3,-0.3,5,13,8,2,24,Matches
67,Cédric Brunner\f0a37d36,ch SUI,DF,Arminia,27-359,1994,19.0,550,860,64.0,11458,5541,190,225,84.4,249,339,73.5,103,262,39.3,1,1.2,-0.2,12,45,17,10,58,Matches
68,Jacob Bruun Larsen\4e204552,dk DEN,FWMF,Hoffenheim,23-145,1998,5.2,130,175,74.3,2091,455,64,79,81.0,53,69,76.8,9,15,60.0,0,0.6,-0.6,6,6,7,1,15,Matches
69,Sascha Burchert\25bdea4b,de GER,GK,Greuther Fürth,32-104,1989,13.0,307,506,60.7,11527,7738,27,27,100.0,113,114,99.1,167,365,45.8,0,0.1,-0.1,1,10,0,0,1,Matches
70,Delano Burgzorg\05e2d5ea,nl NED,MF,Mainz 05,23-096,1998,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
71,Jonathan Burkardt\05f99a4a,de GER,FW,Mainz 05,21-215,2000,17.7,260,363,71.6,4001,814,133,174,76.4,97,122,79.5,17,32,53.1,3,2.1,+0.9,20,21,10,1,34,Matches
72,Daniel Caligiuri\d1273f09,it ITA,MFDF,Augsburg,34-027,1988,12.6,312,482,64.7,5990,2521,140,180,77.8,113,158,71.5,55,122,45.1,2,1.4,+0.6,15,39,12,3,42,Matches
73,Emre Can\a65ce836,de GER,MFDF,Dortmund,28-030,1994,8.1,556,638,87.1,11693,2833,186,198,93.9,268,294,91.2,98,130,75.4,0,0.2,-0.2,3,48,3,0,44,Matches
74,Koen Casteels\db401046,be BEL,GK,Wolfsburg,29-231,1992,19.0,603,760,79.3,18107,10094,91,91,100.0,285,288,99.0,226,379,59.6,0,0.0,0.0,0,6,0,0,0,Matches
75,Gonzalo Castro\68829001,de GER,MF,Arminia,34-245,1987,0.5,12,25,48.0,266,87,4,6,66.7,2,2,100.0,4,8,50.0,0,0.1,-0.1,1,2,0,0,1,Matches
76,Timothy Chandler\b3b7f5a6,us USA,DF,Eint Frankfurt,31-319,1990,9.8,258,387,66.7,5045,2334,91,124,73.4,132,180,73.3,32,66,48.5,0,0.6,-0.6,7,21,8,4,29,Matches
77,Max Christiansen\e7b899b8,de GER,MF,Greuther Fürth,25-139,1996,13.5,440,538,81.8,8184,1808,177,207,85.5,207,233,88.8,50,74,67.6,0,0.0,0.0,2,37,3,0,42,Matches
78,Kingsley Coman\042e8a49,fr FRA,FWDF,Bayern Munich,25-243,1996,7.5,292,375,77.9,4887,1156,143,166,86.1,117,148,79.1,26,42,61.9,1,1.1,-0.1,13,7,23,10,31,Matches
79,Lucas Copado\8356931a,de GER,FW,Bayern Munich,18-032,2004,0.2,4,6,66.7,34,16,3,5,60.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
80,Sergio Córdova\229cd98a,ve VEN,FWMF,Augsburg,24-186,1997,3.6,36,56,64.3,573,134,23,30,76.7,9,19,47.4,3,5,60.0,0,0.1,-0.1,2,4,1,0,5,Matches
81,Danny da Costa\5ddb8f9f,de GER,DF,Eint Frankfurt,28-213,1993,5.3,134,207,64.7,2665,1386,45,59,76.3,66,96,68.8,22,43,51.2,0,0.1,-0.1,2,12,3,0,25,Matches
82,Tanguy Coulibaly\05ba9d7c,fr FRA,DFFW,Stuttgart,20-358,2001,10.9,238,311,76.5,3498,762,142,166,85.5,80,107,74.8,11,20,55.0,1,0.4,+0.6,6,10,5,1,15,Matches
83,Mickaël Cuisance\5722eced,fr FRA,MF,Bayern Munich,22-179,1999,0.1,10,11,90.9,215,62,4,4,100.0,1,1,100.0,4,5,80.0,0,0.1,-0.1,1,3,0,0,3,Matches
84,Matheus Cunha\dc62b55d,br BRA,FW,Hertha BSC,22-260,1999,0.7,12,13,92.3,166,38,6,6,100.0,3,4,75.0,1,1,100.0,1,0.0,+1.0,0,0,0,0,2,Matches
85,Rafael Czichos\b0a0698b,de GER,DF,Köln,31-273,1990,15.6,875,1044,83.8,22219,8360,133,163,81.6,472,513,92.0,266,351,75.8,1,0.4,+0.6,2,69,4,0,80,Matches
86,Lennart-Marten Czyborra\7ba1f1ef,de GER,DF,Arminia,22-284,1999,1.5,29,57,50.9,524,218,14,18,77.8,10,22,45.5,5,12,41.7,0,0.0,0.0,0,3,1,1,3,Matches
87,Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,29-273,1992,8.9,228,295,77.3,3314,806,128,156,82.1,78,94,83.0,10,19,52.6,3,2.0,+1.0,13,15,5,1,23,Matches
88,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,26-041,1996,13.3,601,773,77.7,11563,3368,225,267,84.3,288,333,86.5,76,134,56.7,1,2.4,-1.4,18,66,16,2,75,Matches
89,Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,19-364,2002,7.0,238,322,73.9,6255,2636,29,36,80.6,129,151,85.4,77,128,60.2,1,0.1,+0.9,2,22,0,0,19,Matches
90,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,31-187,1990,12.0,460,613,75.0,8767,2585,187,224,83.5,200,242,82.6,64,119,53.8,4,2.2,+1.8,22,34,14,3,48,Matches
91,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,21-101,2000,14.1,805,954,84.4,13250,3783,396,442,89.6,350,408,85.8,50,76,65.8,3,3.2,-0.2,23,38,29,11,78,Matches
92,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,30-007,1992,0.1,6,6,100.0,145,14,1,1,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,Matches
93,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,30-161,1991,0.2,11,15,73.3,129,31,7,8,87.5,3,5,60.0,0,1,0.0,0,0.0,0.0,0,1,0,0,2,Matches
94,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,28-223,1993,16.2,752,992,75.8,16612,5681,267,317,84.2,290,348,83.3,174,282,61.7,1,2.6,-1.6,35,85,18,3,90,Matches
95,Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,23-323,1998,5.0,59,89,66.3,730,190,42,57,73.7,10,18,55.6,4,6,66.7,2,0.7,+1.3,4,2,3,1,4,Matches
96,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,29-119,1992,0.2,3,4,75.0,72,9,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
97,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,22-219,1999,17.9,394,533,73.9,7269,2006,166,217,76.5,172,211,81.5,49,71,69.0,6,5.2,+0.8,29,35,35,8,66,Matches
98,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,31-355,1990,3.1,80,114,70.2,1387,296,35,45,77.8,36,46,78.3,7,13,53.8,1,0.8,+0.2,6,4,5,0,9,Matches
