,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
129,Marius Funk\86314793,de GER,GK,Greuther Fürth,26-041,1996,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
130,Stephan Fürstner\18c2e247,de GER,MF,Mainz 05,34-153,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,Mijat Gaćinović\16daec92,rs SRB,FWDF,Hoffenheim,27-003,1995,1.2,0,1,0,0.0,0.82,0.00,0.00,,11.2,0,0,0,0.3,0.3,0.26,-0.3,-0.3,Matches
132,Cristian Gamboa\f27680d9,cr CRC,DF,Bochum,32-110,1989,8.6,0,1,0,0.0,0.12,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
133,Silvère Ganvoula M'Boussy\6c731625,cg CGO,FW,Bochum,25-234,1996,1.7,0,5,2,40.0,2.94,1.18,0.00,0.00,10.6,0,0,0,1.3,1.3,0.26,-1.3,-1.3,Matches
134,Linus Gechter\ad2b068c,de GER,DF,Hertha BSC,17-349,2004,2.5,0,1,0,0.0,0.39,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
135,Dennis Geiger\37f606f0,de GER,MF,Hoffenheim,23-246,1998,12.5,2,13,2,15.4,1.04,0.16,0.15,1.00,18.1,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
136,Yannick Gerhardt\62ab9184,de GER,MFDF,Wolfsburg,27-335,1994,10.5,0,11,2,18.2,1.05,0.19,0.00,0.00,16.8,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
137,Hamadi Al Ghaddioui\5723931e,ma MAR,FW,Stuttgart,31-142,1990,5.5,2,12,4,33.3,2.17,0.72,0.17,0.50,11.3,0,0,0,1.5,1.5,0.13,+0.5,+0.5,Matches
138,Niko Gießelmann\7242b495,de GER,DF,Union Berlin,30-138,1991,16.8,3,19,10,52.6,1.13,0.59,0.16,0.30,13.9,0,0,0,2.3,2.3,0.12,+0.7,+0.7,Matches
139,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,34-108,1987,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
140,Daniel Ginczek\e5f63987,de GER,MFFW,Wolfsburg,30-304,1991,0.1,0,1,1,100.0,6.92,6.92,0.00,0.00,17.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
141,Matthias Ginter\f521b80a,de GER,DF,M'Gladbach,28-023,1994,17.6,0,23,10,43.5,1.30,0.57,0.00,0.00,14.5,1,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
142,Serge Gnabry\88e357ef,de GER,FWDF,Bayern Munich,26-212,1995,14.4,10,46,20,43.5,3.19,1.39,0.22,0.50,15.4,0,0,0,6.2,6.2,0.14,+3.8,+3.8,Matches
143,Leon Goretzka\cc86b9a3,de GER,MF,Bayern Munich,27-005,1995,9.9,2,31,7,22.6,3.12,0.71,0.06,0.29,17.8,0,0,0,2.9,2.9,0.09,-0.9,-0.9,Matches
144,Jeffrey Gouweleeuw\1025db8e,nl NED,DF,Augsburg,30-216,1991,15.9,1,5,2,40.0,0.31,0.13,0.20,0.50,26.0,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
145,Julian Green\ad1d6fa4,us USA,MF,Greuther Fürth,26-250,1995,6.8,0,10,4,40.0,1.47,0.59,0.00,0.00,25.8,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
146,Michael Gregoritsch\8e235926,at AUT,FWMF,Augsburg,27-299,1994,6.9,5,16,9,56.3,2.33,1.31,0.31,0.56,16.0,1,0,0,2.1,2.1,0.13,+2.9,+2.9,Matches
147,Sebastian Griesbeck\a8db7ebb,de GER,DFMF,Greuther Fürth,31-131,1990,16.1,0,5,1,20.0,0.31,0.06,0.00,0.00,13.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
148,Sebastian Griesbeck\a8db7ebb,de GER,MF,Union Berlin,31-131,1990,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
149,Vincenzo Grifo\54e4866f,it ITA,MFFW,Freiburg,28-310,1993,18.4,4,35,7,20.0,1.90,0.38,0.03,0.14,21.2,8,3,4,6.0,2.9,0.08,-2.0,-1.9,Matches
150,Lennart Grill\37998008,de GER,GK,Leverkusen,23-017,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
151,Florian Grillitsch\ffbbc83b,at AUT,DFMF,Hoffenheim,26-188,1995,11.6,0,6,1,16.7,0.52,0.09,0.00,0.00,25.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
152,Carlos Gruezo\f2dd9a21,ec ECU,MF,Augsburg,26-298,1995,4.2,0,2,0,0.0,0.48,0.00,0.00,,27.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
153,Raphaël Guerreiro\048a1cbc,pt POR,DF,Dortmund,28-051,1993,11.0,3,13,3,23.1,1.18,0.27,0.15,0.67,25.2,3,1,1,1.3,0.5,0.04,+1.7,+1.5,Matches
154,Josuha Guilavogui\e6c43eec,fr FRA,MFDF,Wolfsburg,31-145,1990,10.5,0,8,2,25.0,0.76,0.19,0.00,0.00,16.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
155,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31-281,1990,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
156,Manuel Gulde\25ab9c9c,de GER,DF,Freiburg,30-364,1991,9.2,0,1,0,0.0,0.11,0.00,0.00,,14.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
157,Robert Gumny\1df0c0b9,pl POL,DF,Augsburg,23-252,1998,19.2,0,6,0,0.0,0.31,0.00,0.00,,12.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
158,Christian Günter\8593f88c,de GER,DF,Freiburg,28-348,1993,21.0,0,14,3,21.4,0.67,0.14,0.00,0.00,21.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
159,Lasse Günther\00672803,de GER,DF,Augsburg,18-327,2003,0.6,0,1,0,0.0,1.80,0.00,0.00,,10.6,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
160,Joško Gvardiol\5ad50391,hr CRO,DF,RB Leipzig,20-019,2002,18.8,2,18,6,33.3,0.96,0.32,0.11,0.33,15.3,0,0,0,2.3,2.3,0.13,-0.3,-0.3,Matches
161,Erling Haaland\1f44ac21,no NOR,FW,Dortmund,21-205,2000,12.7,16,55,23,41.8,4.33,1.81,0.24,0.57,13.0,0,3,3,11.3,9.1,0.16,+4.7,+3.9,Matches
162,Janik Haberer\70dcf94d,de GER,MF,Freiburg,27-315,1994,5.5,2,6,2,33.3,1.09,0.36,0.33,1.00,19.9,0,0,0,0.5,0.5,0.09,+1.5,+1.5,Matches
163,Alexander Hack\a5ec3ede,de GER,DF,Mainz 05,28-156,1993,13.5,2,10,3,30.0,0.74,0.22,0.20,0.67,22.5,1,0,0,0.5,0.5,0.05,+1.5,+1.5,Matches
164,Robin Hack\0174ba21,de GER,MFFW,Arminia,23-168,1998,9.1,0,22,3,13.6,2.42,0.33,0.00,0.00,21.3,1,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches
165,André Hahn\cd82452e,de GER,FWMF,Augsburg,31-182,1990,14.8,3,28,14,50.0,1.89,0.94,0.11,0.21,16.4,0,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches
166,Amadou Haidara\92432bc6,ml MLI,MF,RB Leipzig,24-011,1998,10.0,2,12,4,33.3,1.20,0.40,0.17,0.50,21.2,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
167,Genki Haraguchi\f24ea523,jp JPN,MF,Union Berlin,30-278,1991,12.9,0,19,2,10.5,1.48,0.16,0.00,0.00,19.5,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
168,Makoto Hasebe\9ab16552,jp JPN,DFMF,Eint Frankfurt,38-024,1984,9.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
169,Thorgan Hazard\50871bcc,be BEL,FWDF,Dortmund,28-319,1993,8.7,3,16,4,25.0,1.83,0.46,0.19,0.75,17.5,1,0,0,2.1,2.1,0.13,+0.9,+0.9,Matches
170,Jonas Hector\c2009df3,de GER,DF,Köln,31-260,1990,18.6,0,10,3,30.0,0.54,0.16,0.00,0.00,17.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
171,Hwang Hee-chan\169fd162,kr KOR,FW,RB Leipzig,26-016,1996,0.5,0,1,0,0.0,1.84,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.20,-0.2,-0.2,Matches
172,Dominique Heintz\699fb8db,de GER,DF,Freiburg,28-180,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
173,Dominique Heintz\699fb8db,de GER,DF,Union Berlin,28-180,1993,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
174,Benjamin Henrichs\0a89e877,de GER,DFMF,RB Leipzig,24-353,1997,6.1,1,5,1,20.0,0.82,0.16,0.20,1.00,13.6,0,0,0,0.8,0.8,0.17,+0.2,+0.2,Matches
175,Lucas Hernández\c3ee18ef,fr FRA,DF,Bayern Munich,25-362,1996,14.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
176,Patrick Herrmann\dfb6490a,de GER,DFFW,M'Gladbach,30-364,1991,7.8,0,14,4,28.6,1.78,0.51,0.00,0.00,15.7,1,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
177,Piero Hincapié\0c7a48f8,ec ECU,DF,Leverkusen,20-033,2002,11.4,1,7,1,14.3,0.62,0.09,0.14,1.00,14.8,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
178,Martin Hinteregger\080440a4,at AUT,DF,Eint Frankfurt,29-157,1992,15.7,1,12,2,16.7,0.76,0.13,0.08,0.50,24.3,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
179,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,34-146,1987,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
180,Nicolas Höfler\5d8e331f,de GER,MF,Freiburg,31-339,1990,18.0,2,22,9,40.9,1.22,0.50,0.09,0.22,15.2,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
181,Jonas Hofmann\2903a856,de GER,MFFW,M'Gladbach,29-212,1992,14.1,7,38,13,34.2,2.69,0.92,0.18,0.54,17.0,4,0,0,5.2,5.2,0.14,+1.8,+1.8,Matches
182,Lucas Höler\ca618d23,de GER,FWMF,Freiburg,27-216,1994,19.6,4,39,18,46.2,1.99,0.92,0.10,0.22,15.0,0,0,0,4.9,4.9,0.13,-0.9,-0.9,Matches
183,Gerrit Holtmann\2979c05a,ph PHI,FWMF,Bochum,26-323,1995,13.3,3,28,10,35.7,2.11,0.75,0.11,0.30,20.6,0,0,0,2.6,2.6,0.09,+0.4,+0.4,Matches
184,Justin Hoogma\816192f0,nl NED,DF,Greuther Fürth,23-245,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
185,Jannes Horn\2b83fa49,de GER,DF,Köln,25-005,1997,1.5,0,1,0,0.0,0.66,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
186,Timo Horn\3cd9e95a,de GER,GK,Köln,28-275,1993,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
187,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,32-079,1989,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
188,Branimir Hrgota\710fbdd1,se SWE,FW,Greuther Fürth,29-030,1993,18.3,5,37,14,37.8,2.03,0.77,0.03,0.07,19.1,3,4,4,6.1,3.1,0.08,-1.1,-2.1,Matches
189,Ajdin Hrustic\1f2d714c,au AUS,MF,Eint Frankfurt,25-221,1996,5.7,2,18,6,33.3,3.17,1.06,0.11,0.33,24.0,0,0,0,0.6,0.6,0.03,+1.4,+1.4,Matches
190,Timo Hübers\94302c52,de GER,DF,Köln,25-206,1996,8.4,1,5,2,40.0,0.59,0.24,0.20,0.50,10.3,0,0,0,0.7,0.7,0.15,+0.3,+0.3,Matches
191,Benjamin Hübner\99de6b6f,de GER,DF,Hoffenheim,32-222,1989,1.4,0,1,0,0.0,0.74,0.00,0.00,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
192,Mats Hummels\05d548d8,de GER,DF,Dortmund,33-057,1988,14.6,1,8,3,37.5,0.55,0.21,0.13,0.33,9.0,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
193,Iago\054849d2,br BRA,DF,Augsburg,24-325,1997,13.9,0,6,3,50.0,0.43,0.22,0.00,0.00,20.1,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
194,Stefan Ilsanker\8494acc4,at AUT,DFMF,Eint Frankfurt,32-269,1989,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
195,Marcus Ingvartsen\271b8617,dk DEN,FWMF,Mainz 05,26-038,1996,3.7,2,10,5,50.0,2.73,1.36,0.20,0.40,17.7,1,0,0,1.2,1.2,0.12,+0.8,+0.8,Matches
196,Marcus Ingvartsen\271b8617,dk DEN,MF,Union Berlin,26-038,1996,1.4,0,1,1,100.0,0.74,0.74,0.00,0.00,17.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
197,Hiroki Ito\204dded0,jp JPN,DF,Stuttgart,22-275,1999,14.9,1,9,2,22.2,0.60,0.13,0.11,0.50,21.0,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
198,Cedric Itten\ef233486,ch SUI,FW,Greuther Fürth,25-046,1996,7.1,2,16,9,56.3,2.27,1.28,0.13,0.22,13.9,0,0,0,2.7,2.7,0.17,-0.7,-0.7,Matches
199,Gian-Luca Itter\e6c15f6e,de GER,DF,Greuther Fürth,23-037,1999,5.2,0,3,0,0.0,0.57,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
200,Lee Jae-sung\34b0387f,kr KOR,MFFW,Mainz 05,29-185,1992,12.1,4,16,8,50.0,1.32,0.66,0.25,0.50,14.6,0,0,0,2.8,2.8,0.18,+1.2,+1.2,Matches
201,Paul Jaeckel\a93b6f4e,de GER,DF,Union Berlin,23-204,1998,11.7,0,1,0,0.0,0.09,0.00,0.00,,21.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
202,Kristijan Jakić\a8ee54ad,hr CRO,MF,Eint Frankfurt,24-273,1997,11.1,1,19,6,31.6,1.72,0.54,0.05,0.17,18.6,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
203,Tony Jantschke\34b54da7,de GER,DF,M'Gladbach,31-310,1990,2.5,0,1,0,0.0,0.40,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
204,Dennis Jastrzembski\6bba916f,pl POL,DFFW,Hertha BSC,21-356,2000,2.5,0,1,0,0.0,0.40,0.00,0.00,,16.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
205,Fredrik Jensen\3eeb80e0,fi FIN,MFFW,Augsburg,24-155,1997,4.6,0,6,1,16.7,1.29,0.22,0.00,0.00,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
206,Marco John\d9e196bf,de GER,DF,Hoffenheim,19-315,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
207,Stevan Jovetić\f36c432f,me MNE,FWMF,Hertha BSC,32-101,1989,7.3,5,24,13,54.2,3.30,1.79,0.21,0.38,19.5,2,0,0,2.6,2.6,0.11,+2.4,+2.4,Matches
208,Gideon Jung\a2e7de6f,de GER,DF,Greuther Fürth,27-152,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
209,Pavel Kadeřábek\79c90e45,cz CZE,DF,Hoffenheim,29-292,1992,5.6,1,8,2,25.0,1.42,0.36,0.13,0.50,11.0,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches
210,Florian Kainz\94c18565,at AUT,MFFW,Köln,29-110,1992,16.4,2,29,8,27.6,1.76,0.49,0.07,0.25,19.3,3,0,0,2.5,2.5,0.09,-0.5,-0.5,Matches
211,Sasa Kalajdzic\15f24fe7,at AUT,FW,Stuttgart,24-219,1997,4.2,1,17,5,29.4,4.05,1.19,0.06,0.20,10.5,0,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches
212,Felix Kalu Nmecha\091c86e2,eng ENG,MFFW,Wolfsburg,21-124,2000,2.3,0,7,4,57.1,3.01,1.72,0.00,0.00,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
213,Daichi Kamada\15b287da,jp JPN,MFFW,Eint Frankfurt,25-190,1996,15.7,2,25,5,20.0,1.59,0.32,0.08,0.40,16.6,0,0,0,3.4,3.4,0.14,-1.4,-1.4,Matches
214,Kevin Kampl\b825a650,si SVN,MF,RB Leipzig,31-125,1990,14.6,0,7,1,14.3,0.48,0.07,0.00,0.00,19.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
215,Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27-330,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
216,Atakan Karazor\5762be5c,de GER,MFDF,Stuttgart,25-121,1996,10.4,0,3,1,33.3,0.29,0.10,0.00,0.00,33.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
217,Silas Katompa\de4cac2d,cd COD,FWMF,Stuttgart,23-128,1998,2.2,0,2,0,0.0,0.91,0.00,0.00,,12.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
218,Noah Katterbach\e27de4fa,de GER,DF,Köln,20-304,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
219,Yannik Keitel\d2c580ce,de GER,MF,Freiburg,21-361,2000,5.6,0,11,2,18.2,1.96,0.36,0.00,0.00,16.5,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
220,Marc-Oliver Kempf\815c314f,de GER,DF,Stuttgart,27-014,1995,9.3,3,13,6,46.2,1.39,0.64,0.23,0.50,12.7,0,0,0,1.0,1.0,0.08,+2.0,+2.0,Matches
221,Marc-Oliver Kempf\815c314f,de GER,DF,Hertha BSC,27-014,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
222,Rani Khedira\59e4b92e,de GER,MF,Union Berlin,28-015,1994,19.0,0,5,1,20.0,0.26,0.05,0.00,0.00,15.0,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
223,Luca Kilian\610aa1e9,de GER,DF,Köln,22-163,1999,12.6,0,4,1,25.0,0.32,0.08,0.00,0.00,7.0,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
224,Luca Kilian\610aa1e9,de GER,FW,Mainz 05,22-163,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
225,Joshua Kimmich\49296448,de GER,MFDF,Bayern Munich,27-003,1995,14.8,3,14,5,35.7,0.95,0.34,0.21,0.60,19.1,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches
226,Philipp Klement\0cddeaa7,de GER,MFFW,Stuttgart,29-155,1992,3.8,1,6,2,33.3,1.60,0.53,0.17,0.50,21.7,2,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
227,Mateo Klimowicz\2b7c56b4,de GER,FWMF,Stuttgart,21-220,2000,6.6,0,11,3,27.3,1.66,0.45,0.00,0.00,18.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
228,Fabian Klos\e21042ae,de GER,FW,Arminia,34-071,1987,13.3,3,35,12,34.3,2.62,0.90,0.03,0.08,16.2,0,2,2,4.8,3.3,0.09,-1.8,-2.3,Matches
229,Lukas Klostermann\ca8033cb,de GER,DF,RB Leipzig,25-254,1996,12.0,0,5,1,20.0,0.42,0.08,0.00,0.00,15.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
230,Lukas Klünter\92948149,de GER,DF,Hertha BSC,25-261,1996,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
231,Ansgar Knauff\19a967ab,de GER,FWMF,Dortmund,20-032,2002,1.3,0,1,0,0.0,0.79,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
232,Ansgar Knauff\19a967ab,de GER,FW,Eint Frankfurt,20-032,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
233,Robin Knoche\6bd5cd5d,de GER,DF,Union Berlin,29-265,1992,21.0,0,4,0,0.0,0.19,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
234,Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,24-067,1997,19.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
235,Dominik Kohr\0fbecd11,de GER,MF,Mainz 05,28-011,1994,8.7,0,9,1,11.1,1.03,0.11,0.00,0.00,21.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
236,Kouadio Koné\86574238,fr FRA,MF,M'Gladbach,20-270,2001,13.7,1,16,6,37.5,1.17,0.44,0.06,0.17,22.1,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
237,Odilon Kossonou\1f3afdcb,ci CIV,DF,Leverkusen,21-038,2001,11.4,0,2,1,50.0,0.18,0.09,0.00,0.00,13.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
238,Filip Kostić\b1cd37e6,rs SRB,DFFW,Eint Frankfurt,29-102,1992,17.1,3,35,14,40.0,2.05,0.82,0.09,0.21,23.8,6,0,0,1.4,1.4,0.04,+1.6,+1.6,Matches
239,Nianzou Kouassi\5853ac44,fr FRA,DFMF,Bayern Munich,19-249,2002,2.0,0,1,0,0.0,0.50,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
240,Andrej Kramarić\603cb947,hr CRO,FWMF,Hoffenheim,30-237,1991,18.2,3,55,19,34.5,3.02,1.04,0.05,0.16,15.9,6,0,0,5.8,5.8,0.11,-2.8,-2.8,Matches
241,Christoph Kramer\496aeede,de GER,MF,M'Gladbach,30-357,1991,5.2,0,3,1,33.3,0.58,0.19,0.00,0.00,14.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
242,Florian Krüger\f9f92b5f,de GER,FWMF,Arminia,22-363,1999,8.5,0,12,4,33.3,1.41,0.47,0.00,0.00,17.4,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
243,Max Kruse\f9446dcd,de GER,FW,Wolfsburg,33-329,1988,0.9,0,1,0,0.0,1.10,0.00,0.00,,8.0,0,0,0,0.4,0.4,0.44,-0.4,-0.4,Matches
244,Max Kruse\f9446dcd,de GER,FWMF,Union Berlin,33-329,1988,14.1,5,27,8,29.6,1.91,0.57,0.07,0.25,19.5,3,3,3,4.9,2.6,0.10,+0.1,-0.6,Matches
245,Lukas Kübler\2a29eb9b,de GER,DF,Freiburg,29-165,1992,17.3,1,9,5,55.6,0.52,0.29,0.11,0.20,13.7,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches
246,Fabian Kunze\d25fee56,de GER,MF,Arminia,23-242,1998,8.8,0,6,1,16.7,0.68,0.11,0.00,0.00,25.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
247,Maxence Lacroix\277c49ed,fr FRA,DF,Wolfsburg,21-311,2000,17.6,0,11,2,18.2,0.62,0.11,0.00,0.00,12.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
248,Konrad Laimer\c1b7847c,at AUT,MF,RB Leipzig,24-260,1997,6.1,1,8,3,37.5,1.30,0.49,0.13,0.33,16.2,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
249,Stefan Lainer\4aea5077,at AUT,DF,M'Gladbach,29-168,1992,6.7,1,6,1,16.7,0.90,0.15,0.17,1.00,12.5,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
250,Vassilis Lambropoulos\591477c9,gr GRE,DF,Bochum,31-317,1990,13.0,0,4,1,25.0,0.31,0.08,0.00,0.00,11.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
251,Sam Lammers\c283ddef,nl NED,FW,Eint Frankfurt,24-287,1997,4.3,1,12,4,33.3,2.81,0.94,0.08,0.25,12.5,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
252,Bryan Lasme\ebac0ace,fr FRA,FWMF,Arminia,23-089,1998,6.9,2,9,4,44.4,1.30,0.58,0.22,0.50,16.0,0,0,0,0.5,0.5,0.06,+1.5,+1.5,Matches
253,Maxim Leitsch\7e12a98d,de GER,DF,Bochum,23-269,1998,7.1,0,1,0,0.0,0.14,0.00,0.00,,8.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
254,Tim Lemperle\792ffa71,de GER,FWMF,Köln,20-006,2002,0.8,1,1,1,100.0,1.30,1.30,1.00,1.00,7.0,0,0,0,0.4,0.4,0.42,+0.6,+0.6,Matches
255,Christopher Lenz\bbd86530,de GER,DF,Eint Frankfurt,27-142,1994,4.9,0,1,0,0.0,0.20,0.00,0.00,,27.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
256,Robert Lewandowski\8d78e732,pl POL,FW,Bayern Munich,33-174,1988,20.1,24,101,51,50.5,5.03,2.54,0.21,0.41,12.5,1,3,3,21.4,19.2,0.19,+2.6,+1.8,Matches
257,Jamie Leweling\13fe7b69,de GER,FWMF,Greuther Fürth,20-350,2001,12.5,4,23,10,43.5,1.84,0.80,0.17,0.40,16.7,0,0,0,2.8,2.8,0.12,+1.2,+1.2,Matches
258,Philipp Lienhart\302527b2,at AUT,DF,Freiburg,25-215,1996,20.9,4,14,6,42.9,0.67,0.29,0.29,0.67,8.8,0,0,0,2.0,2.0,0.16,+2.0,+2.0,Matches
259,Jesper Lindstrøm\37dc1a48,dk DEN,MFFW,Eint Frankfurt,21-347,2000,13.6,4,34,13,38.2,2.51,0.96,0.12,0.31,16.6,3,0,0,5.1,5.1,0.15,-1.1,-1.1,Matches
260,Dejan Ljubicic\c455a2b2,at AUT,MFFW,Köln,24-126,1997,14.2,1,11,3,27.3,0.78,0.21,0.09,0.33,20.6,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
261,Jürgen Locadia\6cc47ae1,nl NED,FW,Bochum,28-096,1993,1.7,0,8,5,62.5,4.71,2.94,0.00,0.00,16.7,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
262,Anthony Losilla\07c7eb0c,fr FRA,MF,Bochum,35-338,1986,19.6,1,20,7,35.0,1.02,0.36,0.05,0.14,19.6,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
