,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
29,Jacob Barrett Laursen\c0d3bd23,dk DEN,DF,Arminia,27-086,1994,11.6,2,8,4,50.0,0.69,0.34,0.25,0.50,24.0,0,0,0,0.3,0.3,0.03,+1.7,+1.7,Matches
30,Abdourahmane Barry\8df328f4,fr FRA,DF,Greuther Fürth,21-355,2000,2.3,0,1,0,0.0,0.43,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
31,Maximilian Bauer\44a20f0c,de GER,DF,Greuther Fürth,22-002,2000,13.7,0,6,1,16.7,0.44,0.07,0.00,0.00,10.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
32,Oliver Baumann\47064058,de GER,GK,Hoffenheim,31-254,1990,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,Timo Baumgartl\bd7d2e6d,de GER,DF,Union Berlin,25-344,1996,15.1,1,10,2,20.0,0.66,0.13,0.10,0.50,8.5,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
34,Julian Baumgartlinger\69374ff5,at AUT,MF,Leverkusen,34-040,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,22-194,1999,10.0,3,22,9,40.9,2.21,0.90,0.14,0.33,12.5,0,0,0,3.9,3.9,0.18,-0.9,-0.9,Matches
36,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,25-174,1996,1.2,0,4,2,50.0,3.24,1.62,0.00,0.00,16.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
37,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,27-294,1994,14.4,7,27,10,37.0,1.88,0.70,0.26,0.70,11.6,0,0,0,5.9,5.9,0.22,+1.1,+1.1,Matches
38,Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,27-002,1995,9.0,1,19,9,47.4,2.11,1.00,0.05,0.11,21.8,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
39,Kevin Behrens\30ae134d,de GER,FWMF,Union Berlin,31-008,1991,4.4,1,9,5,55.6,2.04,1.13,0.11,0.20,11.2,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches
40,Ishak Belfodil\ff182fdc,dz ALG,FW,Hertha BSC,30-030,1992,10.3,2,20,10,50.0,1.94,0.97,0.10,0.20,12.3,0,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
41,Stefan Bell\857a5abe,de GER,DF,Mainz 05,30-171,1991,19.1,1,16,4,25.0,0.84,0.21,0.06,0.25,9.4,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
42,Armel Bella Kotchap\a39d11bc,de GER,DF,Bochum,20-062,2001,9.9,0,6,2,33.3,0.60,0.20,0.00,0.00,16.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
43,Karim Bellarabi\bee0bab1,de GER,FWMF,Leverkusen,31-309,1990,6.0,2,23,9,39.1,3.86,1.51,0.09,0.22,17.2,0,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches
44,Jude Bellingham\57d88cf9,eng ENG,MF,Dortmund,18-227,2003,18.0,3,31,11,35.5,1.72,0.61,0.10,0.27,16.3,0,0,0,3.5,3.5,0.11,-0.5,-0.5,Matches
45,George Bello\aca0a525,us USA,DF,Arminia,20-020,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,24-155,1997,2.6,0,6,4,66.7,2.30,1.53,0.00,0.00,20.4,1,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
47,Keanan Bennetts\f4c7c708,eng ENG,FWDF,M'Gladbach,22-339,1999,0.6,0,1,0,0.0,1.80,0.00,0.00,,19.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
