,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
24,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,23-226,1998,21,20,1683,18.7,3,2,3,0,0,0,0,0.16,0.11,0.27,0.16,0.27,5.7,5.7,3.6,9.3,0.30,0.19,0.50,0.30,0.50,Matches
25,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,19-211,2002,21,8,704,7.8,0,4,0,0,0,2,0,0.00,0.51,0.51,0.00,0.51,0.6,0.6,0.6,1.2,0.07,0.08,0.15,0.07,0.15,Matches
26,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,29-247,1992,18,12,1147,12.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches
27,Lorenz Assignon\b026bbf6,tg TOG,DF,Rennes,21-234,2000,13,5,551,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,1.1,0.10,0.08,0.18,0.10,0.18,Matches
28,Youcef Atal\6a827d8e,dz ALG,DF,Nice,25-270,1996,14,11,987,11.0,2,0,2,0,0,4,0,0.18,0.00,0.18,0.18,0.18,0.9,0.9,1.3,2.2,0.08,0.12,0.20,0.08,0.20,Matches
29,Jean-Kévin Augustin\97bfa797,fr FRA,FWMF,Nantes,24-240,1997,3,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.36,0.00,0.36,0.36,0.36,Matches
30,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,32-025,1990,7,4,388,4.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
31,Loïc Bade\114bbdee,fr FRA,DF,Rennes,21-306,2000,14,11,985,10.9,0,1,0,0,0,3,1,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
32,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,20-322,2001,12,9,771,8.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.04,0.00,0.04,0.04,0.04,Matches
33,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,20-053,2001,9,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.07,0.12,0.19,0.07,0.19,Matches
34,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,29-259,1992,17,5,545,6.1,2,0,2,0,0,0,0,0.33,0.00,0.33,0.33,0.33,1.6,1.6,0.1,1.7,0.27,0.01,0.28,0.27,0.28,Matches
35,Dénys Bain\5065d67d,fr FRA,DF,Brest,28-224,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
