,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
327,Filippo Melegoni\6604165d,it ITA,MFFW,Genoa,22-358,1999,11,3,285,3.2,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,0.1,0.1,0.2,0.3,0.04,0.05,0.10,0.04,0.10,Matches
328,Arthur Melo\48b3dd60,br BRA,MF,Juventus,25-183,1996,10,5,433,4.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
329,Alex Meret\9413b19f,it ITA,GK,Napoli,24-326,1997,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
330,Yıldırım Mert Çetin\c730da00,tr TUR,DF,Hellas Verona,25-041,1997,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
331,Dries Mertens\89b2c8a9,be BEL,FWMF,Napoli,34-281,1987,18,10,768,8.5,7,0,6,1,1,1,0,0.82,0.00,0.82,0.70,0.70,3.6,2.9,0.8,3.6,0.42,0.09,0.51,0.33,0.43,Matches
332,Junior Messias\f49c4ae9,br BRA,FWMF,Milan,30-274,1991,13,5,708,7.9,3,0,3,0,0,2,0,0.38,0.00,0.38,0.38,0.38,1.4,1.4,0.6,2.0,0.18,0.07,0.25,0.18,0.25,Matches
333,Kingsley Michael\e63e122d,ng NGA,MF,Bologna,22-169,1999,2,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
334,Valentin Mihaila\81a4c239,ro ROU,MF,Atalanta,22-009,2000,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
335,Mikael\33502726,br BRA,FW,Salernitana,22-259,1999,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
336,Nikola Milenković\bee704fc,rs SRB,DF,Fiorentina,24-122,1997,20,20,1737,19.3,1,0,1,0,0,6,1,0.05,0.00,0.05,0.05,0.05,1.8,1.8,0.0,1.8,0.09,0.00,0.09,0.09,0.09,Matches
337,Sergej Milinković-Savić\4e6dbac4,rs SRB,MF,Lazio,26-349,1995,23,22,1855,20.6,8,6,8,0,0,5,1,0.39,0.29,0.68,0.39,0.68,4.5,4.5,3.5,8.0,0.22,0.17,0.39,0.22,0.39,Matches
338,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,24-356,1997,22,22,1980,22.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
339,Aleksei Miranchuk\a9aa0d1d,ru RUS,MFFW,Atalanta,26-117,1995,13,5,467,5.2,1,1,1,0,0,0,0,0.19,0.19,0.39,0.19,0.39,1.1,1.1,1.8,2.9,0.21,0.35,0.56,0.21,0.56,Matches
340,Henrikh Mkhitaryan\dd0daf32,am ARM,MFFW,Roma,33-021,1989,23,22,1822,20.2,3,4,3,0,0,1,0,0.15,0.20,0.35,0.15,0.35,2.8,2.8,3.6,6.4,0.14,0.18,0.32,0.14,0.32,Matches
341,Marco Modolo\fdcdb521,it ITA,DFFW,Venezia,32-325,1989,4,2,212,2.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
342,Nahuel Molina\23610943,ar ARG,DFMF,Udinese,24-071,1997,21,17,1472,16.4,4,1,4,0,0,5,1,0.24,0.06,0.31,0.24,0.31,1.6,1.6,1.8,3.5,0.11,0.12,0.22,0.11,0.22,Matches
343,Cristian Molinaro\1c8c5aed,it ITA,DF,Venezia,38-196,1983,8,6,548,6.1,0,1,0,0,0,0,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,0.4,0.4,0.00,0.06,0.06,0.00,0.06,Matches
344,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,25-356,1996,21,21,1890,21.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
345,Álvaro Morata\129af0db,es ESP,FW,Juventus,29-111,1992,23,17,1511,16.8,5,1,5,0,0,4,0,0.30,0.06,0.36,0.30,0.36,4.6,4.6,3.9,8.5,0.28,0.23,0.51,0.28,0.51,Matches
346,Raúl Moro\919dd4b1,es ESP,FW,Lazio,19-068,2002,10,1,187,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,0.3,0.3,0.2,0.5,0.15,0.08,0.23,0.15,0.23,Matches
347,Andrei Motoc\b64073a0,ro ROU,DF,Salernitana,20-041,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
348,Lys Mousset\d9cfca3d,fr FRA,FW,Salernitana,26-003,1996,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.08,0.00,0.08,0.08,0.08,Matches
