,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
24,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,29-162,1992,21.0,32,3,1,5,1,25.9,0.26,-5.1,-0.24,127,317,40.1,496,78,47.0,39.6,166,50.6,42.1,164,9,5.5,16,0.76,14.2,Matches
25,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,32-070,1989,15.0,21,0,0,6,0,20.8,0.35,-0.2,-0.02,72,241,29.9,341,61,46.3,39.9,109,76.1,56.8,135,17,12.6,3,0.20,12.4,Matches
26,Edouard Mendy\33887998,sn SEN,GK,Chelsea,29-347,1992,20.0,16,4,0,1,1,15.7,0.20,+0.7,+0.04,68,155,43.9,453,80,26.0,29.6,101,36.6,32.3,158,14,8.9,14,0.70,14.0,Matches
27,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,21-346,2000,22.0,43,3,2,7,1,36.1,0.31,-5.9,-0.27,86,273,31.5,663,141,31.2,31.2,183,36.1,34.8,134,13,9.7,23,1.05,15.2,Matches
28,Jordan Pickford\4806ec67,eng ENG,GK,Everton,27-341,1994,20.0,35,1,1,8,2,29.9,0.31,-3.1,-0.16,143,436,32.8,475,71,65.9,50.6,148,83.1,65.3,172,14,8.1,15,0.75,15.5,Matches
29,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29-298,1992,18.0,22,0,1,4,0,22.3,0.29,+0.3,+0.02,162,416,38.9,375,63,74.7,53.8,148,91.9,64.9,178,18,10.1,27,1.50,18.0,Matches
30,Aaron Ramsdale\466fb2c5,eng ENG,GK,Arsenal,23-273,1998,19.0,16,3,0,0,0,16.7,0.20,+0.7,+0.04,115,324,35.5,547,97,41.9,37.9,122,77.9,59.7,162,15,9.3,12,0.63,14.8,Matches
31,David Raya\98ea5115,es ESP,GK,Brentford,26-149,1995,10.0,11,1,0,1,0,10.0,0.26,-1.0,-0.10,95,256,37.1,372,48,51.9,42.7,85,74.1,54.3,83,9,10.8,15,1.50,15.4,Matches
32,José Sá\903b6e8b,pt POR,GK,Wolves,29-025,1993,22.0,17,4,1,1,0,23.4,0.24,+6.4,+0.29,93,292,31.8,462,125,46.3,41.4,147,53.1,44.6,200,21,10.5,23,1.05,15.3,Matches
33,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-085,1997,21.0,21,2,0,4,0,21.6,0.25,+0.6,+0.03,115,341,33.7,768,93,33.3,36.4,134,63.4,51.4,183,25,13.7,24,1.14,15.4,Matches
34,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-098,1986,21.0,39,5,1,10,1,35.2,0.28,-2.8,-0.14,159,390,40.8,588,89,48.1,40.2,186,57.5,46.6,191,15,7.9,9,0.43,12.3,Matches
35,Jason Steele\28300a16,eng ENG,GK,Brighton,31-177,1990,1.0,2,0,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50.0,43.8,11,1,9.1,0,0.00,13.0,Matches
36,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-141,1992,1.0,3,0,0,0,0,1.8,0.45,-1.2,-1.20,5,13,38.5,30,6,30.0,34.4,6,66.7,53.8,8,1,12.5,1,1.00,14.3,Matches
37,Zack Steffen\42130443,us USA,GK,Manchester City,26-315,1995,1.0,0,0,0,0,0,0.3,0.16,+0.3,+0.31,4,9,44.4,31,6,22.6,26.0,7,28.6,25.3,7,0,0.0,2,2.00,17.5,Matches
38,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24-344,1997,4.0,12,2,0,0,0,8.7,0.35,-3.3,-0.83,22,71,31.0,80,11,53.8,43.3,43,65.1,52.0,33,2,6.1,0,0.00,11.6,Matches
