,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
13,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,27-351,1994,18.9,599,588,11,0,1,176,11,12,0,0,0,0,327,173,99,345,116,42,1,16,436,0,10,32,20,Matches
14,Maghnes Akliouche\b625b241,fr FRA,FWMF,Monaco,19-351,2002,0.2,9,9,0,0,0,2,0,0,0,0,0,0,9,0,0,7,2,0,0,0,9,0,0,0,0,Matches
15,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,23-197,1998,1.8,103,90,13,1,0,8,1,1,0,0,0,0,78,16,9,6,83,1,12,0,85,0,0,4,6,Matches
16,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,30-021,1992,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,1,0,0,4,0,0,0,0,Matches
17,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4.0,100,73,27,6,0,12,1,0,0,0,0,0,50,5,45,6,80,0,0,14,74,0,3,1,0,Matches
18,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,18-023,2004,13.1,173,168,5,1,0,47,6,16,0,0,0,0,125,31,17,113,43,4,1,7,127,1,7,9,4,Matches
19,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,26-349,1995,10.2,311,298,13,3,0,76,15,19,7,4,1,0,232,39,40,58,227,18,3,1,239,2,5,10,14,Matches
20,Ibrahim Amadou\9260926b,fr FRA,DF,Metz,28-311,1993,2.0,149,146,3,3,0,7,6,0,0,0,0,0,130,7,12,13,131,4,0,0,137,0,0,2,1,Matches
21,Jordan Amavi\22721b88,fr FRA,DF,Nice,27-339,1994,1.8,114,96,18,1,0,10,2,1,0,0,0,0,88,12,14,77,18,1,17,0,101,0,0,2,4,Matches
22,Jordan Amavi\22721b88,fr FRA,DF,Marseille,27-339,1994,1.4,88,71,17,2,1,8,3,2,0,0,0,0,60,19,9,53,17,0,15,0,76,0,2,6,2,Matches
23,Benjamin André\ef9c1c95,fr FRA,MF,Lille,31-192,1990,19.5,1156,1123,33,26,2,225,37,10,0,0,0,0,814,173,169,152,885,54,6,7,940,4,16,55,20,Matches
24,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,23-226,1998,18.7,843,815,28,13,5,134,13,7,2,0,1,1,699,91,53,89,728,6,6,8,729,1,6,32,22,Matches
25,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,19-211,2002,7.8,412,369,43,12,0,79,31,13,26,9,11,1,298,34,80,63,322,12,3,4,312,1,10,22,11,Matches
26,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,29-247,1992,12.7,560,453,107,6,0,55,6,15,0,0,0,0,320,100,140,44,378,27,101,2,415,0,17,29,24,Matches
27,Lorenz Assignon\b026bbf6,tg TOG,DF,Rennes,21-234,2000,6.1,355,277,78,4,1,36,8,15,0,0,0,0,217,90,48,22,240,12,74,1,284,1,13,14,15,Matches
28,Youcef Atal\6a827d8e,dz ALG,DF,Nice,25-270,1996,11.0,630,526,104,7,2,68,10,41,2,0,0,0,380,119,131,28,466,22,95,2,484,1,14,27,20,Matches
29,Jean-Kévin Augustin\97bfa797,fr FRA,FWMF,Nantes,24-240,1997,0.2,9,8,1,0,0,2,0,0,0,0,0,0,6,2,1,1,6,0,0,0,7,0,0,1,0,Matches
30,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,32-025,1990,4.3,145,134,11,5,0,19,3,0,0,0,0,0,95,21,29,10,120,5,6,0,108,0,6,10,2,Matches
31,Loïc Bade\114bbdee,fr FRA,DF,Rennes,21-306,2000,10.9,708,699,9,9,0,49,18,2,0,0,0,0,626,18,64,80,590,24,0,0,652,1,9,7,2,Matches
32,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,20-322,2001,8.6,725,716,9,8,0,48,27,0,0,0,0,0,589,60,76,588,97,27,1,1,648,1,9,17,4,Matches
33,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,20-053,2001,1.5,39,38,1,0,0,18,0,1,0,0,0,0,21,6,12,2,27,3,0,0,27,0,0,1,1,Matches
34,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,29-259,1992,6.1,75,70,5,0,0,31,0,3,0,0,0,0,52,12,11,3,59,4,0,1,54,0,1,3,5,Matches
35,Dénys Bain\5065d67d,fr FRA,DF,Brest,28-224,1993,1.0,26,26,0,0,0,2,1,0,0,0,0,0,20,3,3,18,7,0,0,0,25,0,0,0,0,Matches
36,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,5.7,185,126,59,15,0,12,3,0,0,0,0,0,96,4,85,9,133,0,0,39,130,1,7,0,0,Matches
37,Cédric Bakambu\0af4dcf0,cd COD,FWMF,Marseille,30-306,1991,0.9,11,11,0,0,0,4,0,0,0,0,0,0,9,1,1,0,9,1,0,0,10,0,0,0,0,Matches
38,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,19-058,2002,2.0,81,78,3,3,0,6,0,0,0,0,0,0,56,7,18,17,58,5,0,0,61,0,5,0,2,Matches
39,Dilane Bakwa\2b5a35e5,fr FRA,FW,Bordeaux,19-169,2002,0.1,5,5,0,0,0,2,0,0,0,0,0,0,2,1,2,3,0,1,0,0,3,0,0,1,0,Matches
40,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,19-025,2003,0.6,8,7,1,0,0,0,0,0,0,0,0,0,6,2,0,0,7,0,0,1,6,0,0,0,0,Matches
41,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,23-016,1999,9.7,749,728,21,21,0,74,22,0,0,0,0,0,618,49,82,91,626,20,0,1,692,0,7,14,5,Matches
42,Jonathan Bamba\b2bd0f6c,fr FRA,MF,Lille,25-322,1996,14.8,636,582,54,13,0,101,23,26,22,4,9,4,480,77,79,60,539,10,19,6,490,5,9,39,27,Matches
43,Simon Banza\be47b750,fr FRA,FW,Lens,25-182,1996,1.4,29,27,2,0,0,9,2,0,0,0,0,0,20,3,6,7,16,1,0,1,20,1,0,1,1,Matches
44,Bradley Barcola\a0d55a09,fr FRA,MF,Lyon,19-162,2002,0.1,4,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,Matches
45,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,21-097,2000,16.8,1160,976,184,25,1,102,9,34,0,0,0,0,755,196,209,890,74,28,159,0,961,2,29,38,24,Matches
46,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,25-078,1996,2.3,101,89,12,3,0,16,5,7,9,5,3,1,61,14,26,89,9,3,0,0,74,0,2,4,3,Matches
47,Amine Bassi\ced1d98f,fr FRA,MF,Metz,24-076,1997,2.0,117,99,18,9,0,9,4,5,8,3,2,1,73,19,25,16,98,2,1,0,84,0,0,6,6,Matches
48,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,23-252,1998,15.5,326,291,35,0,0,98,3,4,0,0,0,0,232,56,38,39,258,6,0,2,246,3,7,20,13,Matches
49,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,28-014,1994,14.0,527,514,13,8,0,106,11,7,0,0,0,0,388,59,80,97,395,14,3,5,429,2,9,19,10,Matches
50,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,23-229,1998,14.5,602,568,34,14,1,73,17,17,19,8,7,2,453,57,92,109,453,23,1,7,491,2,12,16,13,Matches
51,Hatem Ben Arfa\74dc806c,fr FRA,FW,Lille,34-341,1987,0.9,44,37,7,1,0,2,2,2,2,1,1,0,36,6,2,33,10,1,0,0,39,0,0,1,1,Matches
52,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,31-183,1990,15.2,413,381,32,1,3,105,3,10,0,0,0,0,274,82,57,186,192,20,1,6,307,3,8,17,16,Matches
53,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,31-270,1990,0.6,11,11,0,0,0,3,0,0,0,0,0,0,8,2,1,4,5,0,0,1,10,0,0,0,0,Matches
54,Walter Benítez\8a2248b4,ar ARG,GK,Nice,28-329,1993,22.0,586,404,182,29,0,34,7,0,0,0,0,0,297,33,256,69,394,1,0,91,425,1,9,4,0,Matches
55,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,30-035,1992,0.7,53,46,7,1,0,6,0,0,0,0,0,0,32,12,9,39,3,5,6,0,42,0,4,2,1,Matches
