,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
25,Neto\a9dc785c,br BRA,GK,Barcelona,32-207,1989,2.0,3,0,1,1,0,3.0,0.33,0.0,-0.01,19,36,52.8,81,11,42.0,36.2,16,12.5,28.4,21,1,4.8,2,1.00,13.9,Matches
26,Jan Oblak\ee8508c0,si SVN,GK,Atlético Madrid,29-035,1993,22.0,30,3,1,3,2,18.3,0.31,-9.7,-0.44,108,291,37.1,447,93,46.1,39.4,143,59.4,46.6,147,11,7.5,8,0.36,14.0,Matches
27,Jesús Owono\d6e3d7fb,gq EQG,GK,Alavés,20-347,2001,1.0,1,0,0,0,0,0.7,0.16,-0.3,-0.35,9,21,42.9,20,2,90.0,60.0,3,100.0,75.0,4,0,0.0,2,2.00,15.7,Matches
28,Fernando Pacheco\97852360,es ESP,GK,Alavés,29-269,1992,19.9,34,1,0,5,0,29.9,0.35,-4.1,-0.21,227,420,54.0,424,41,68.6,48.6,182,70.9,50.6,214,15,7.0,19,0.95,15.2,Matches
29,Juan Pérez\8f29e08b,es ESP,GK,Osasuna,25-211,1996,1.0,2,0,0,1,0,0.9,0.23,-1.1,-1.08,3,18,16.7,19,4,68.4,46.5,5,100.0,64.2,8,1,12.5,2,2.00,16.9,Matches
30,Manolo Reina\605eb473,es ESP,GK,Mallorca,36-316,1985,18.0,25,2,0,1,1,21.6,0.30,-2.4,-0.13,107,299,35.8,393,66,54.2,44.2,152,56.6,43.5,161,10,6.2,11,0.61,15.0,Matches
31,Álex Remiro\374ee424,es ESP,GK,Real Sociedad,26-324,1995,19.0,16,2,1,1,0,16.1,0.26,+0.1,+0.01,132,268,49.3,501,70,40.1,35.5,123,54.5,45.6,143,15,10.5,23,1.21,16.8,Matches
32,Sergio Rico\5f0241b2,es ESP,GK,Mallorca,28-163,1993,1.0,1,0,0,0,0,1.7,0.42,+0.7,+0.73,3,10,30.0,12,6,50.0,45.9,4,100.0,65.5,12,0,0.0,0,0.00,11.0,Matches
33,Leonardo Román\924ff27e,es ESP,GK,Mallorca,21-220,2000,2.0,5,1,0,0,1,3.1,0.19,-0.9,-0.43,12,32,37.5,53,6,47.2,39.7,16,43.8,38.8,20,1,5.0,4,2.00,18.6,Matches
34,Gerónimo Rulli\625c144a,ar ARG,GK,Villarreal,29-267,1992,21.0,19,3,0,0,1,18.0,0.25,0.0,0.00,101,237,42.6,707,107,24.9,32.6,138,44.2,40.6,187,21,11.2,20,0.95,15.6,Matches
35,Mathew Ryan\4535e4bb,au AUS,GK,Real Sociedad,29-309,1992,3.0,5,1,0,3,0,5.0,0.28,0.0,+0.01,20,58,34.5,88,14,51.1,42.2,19,68.4,49.3,36,4,11.1,1,0.33,14.2,Matches
36,Rui Silva\ea83bfa6,pt POR,GK,Betis,28-004,1994,14.0,15,2,0,3,0,16.4,0.31,+1.4,+0.10,76,189,40.2,332,62,39.5,36.3,102,56.9,46.6,122,8,6.6,11,0.79,13.9,Matches
37,Unai Simón\5dcf3e90,es ESP,GK,Athletic Club,24-245,1997,19.0,13,2,0,0,0,14.0,0.23,+1.0,+0.05,102,232,44.0,383,103,41.8,37.1,142,50.7,44.6,212,15,7.1,13,0.68,15.3,Matches
38,Antonio Sivera\9970da54,es ESP,GK,Alavés,25-184,1996,2.1,3,1,0,1,0,2.1,0.13,-0.9,-0.44,22,56,39.3,44,4,77.3,54.6,28,78.6,58.2,31,6,19.4,1,0.48,11.2,Matches
39,David Soria\8f8c6934,es ESP,GK,Getafe,28-313,1993,22.9,23,2,0,4,0,21.1,0.26,-1.9,-0.08,239,557,42.9,545,48,75.4,52.4,173,84.4,58.1,210,25,11.9,22,0.96,14.7,Matches
40,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,29-287,1992,20.0,22,0,0,6,0,19.8,0.34,-2.2,-0.11,117,209,56.0,648,81,25.2,29.2,129,35.7,34.5,142,10,7.0,6,0.30,12.7,Matches
41,Rúben Vezo\c67cd65c,pt POR,DF,Levante,27-292,1994,19.1,0,0,0,0,0,0.0,,0.0,0.00,2,4,50.0,3,0,100.0,61.7,1,100.0,64.0,2,0,0.0,0,0.00,,Matches
42,Luca Zidane\c818c4d9,fr FRA,GKMF,Rayo Vallecano,23-274,1998,3.2,4,0,0,0,0,3.6,0.28,-0.4,-0.12,24,49,49.0,86,23,37.2,35.3,28,60.7,47.9,21,2,9.5,2,0.63,12.3,Matches
