,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
93,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,30-161,1991,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
94,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,28-223,1993,20,16,1456,16.2,1,1,0,1,2,5,0,0.06,0.06,0.12,0.00,0.06,2.9,1.4,2.6,3.9,0.18,0.16,0.34,0.08,0.24,Matches
95,Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,23-323,1998,19,4,450,5.0,1,2,1,0,0,3,0,0.20,0.40,0.60,0.20,0.60,1.0,1.0,0.7,1.7,0.20,0.14,0.34,0.20,0.34,Matches
96,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,29-119,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
97,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,22-219,1999,19,19,1614,17.9,9,6,9,0,0,9,1,0.50,0.33,0.84,0.50,0.84,4.9,4.9,5.2,10.1,0.27,0.29,0.56,0.27,0.56,Matches
98,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,31-355,1990,10,2,277,3.1,0,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,1.0,1.0,0.8,1.7,0.32,0.25,0.57,0.32,0.57,Matches
99,Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,23-234,1998,2,1,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
100,Lee Dongjun\96d0b6f0,kr KOR,MF,Hertha BSC,25-010,1997,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
101,Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,24-027,1998,18,16,1458,16.2,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.2,0.2,0.1,0.3,0.01,0.01,0.02,0.01,0.02,Matches
102,Ondrej Duda\79ca3e23,sk SVK,MF,Köln,27-068,1994,21,16,1300,14.4,2,0,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,3.1,3.1,1.3,4.4,0.21,0.09,0.31,0.21,0.31,Matches
103,Jeremy Dudziak\5a8d6540,tn TUN,MFFW,Greuther Fürth,26-167,1995,16,11,884,9.8,2,0,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,1.7,1.7,1.4,3.1,0.17,0.14,0.32,0.17,0.32,Matches
104,Erik Durm\cf623c78,de GER,DF,Eint Frankfurt,29-275,1992,7,7,474,5.3,0,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,0.0,0.0,0.6,0.6,0.00,0.12,0.12,0.00,0.12,Matches
105,Maximilian Eggestein\beb882a8,de GER,MF,Freiburg,25-065,1996,19,14,1168,13.0,1,1,1,0,0,0,0,0.08,0.08,0.15,0.08,0.15,0.7,0.7,1.1,1.9,0.06,0.09,0.14,0.06,0.14,Matches
106,Lilian Egloff\2f7fec15,de GER,FWMF,Stuttgart,19-175,2002,3,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.62,0.62,0.00,0.62,Matches
107,Kingsley Ehizibue\76b2817e,nl NED,DF,Köln,26-262,1995,10,2,305,3.4,0,1,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,0.2,0.2,0.6,0.8,0.06,0.18,0.24,0.06,0.24,Matches
108,Jurgen Ekkelenkamp\73d6a176,nl NED,MFFW,Hertha BSC,21-312,2000,16,5,615,6.8,3,0,3,0,0,1,0,0.44,0.00,0.44,0.44,0.44,1.9,1.9,0.7,2.6,0.27,0.11,0.38,0.27,0.38,Matches
109,Nico Elvedi\48035304,ch SUI,DF,M'Gladbach,25-134,1996,18,18,1557,17.3,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.0,1.3,0.07,0.00,0.08,0.07,0.08,Matches
110,Breel Embolo\0b4f388a,ch SUI,FW,M'Gladbach,24-362,1997,16,13,1185,13.2,2,2,2,0,0,2,0,0.15,0.15,0.30,0.15,0.30,4.4,4.4,2.8,7.1,0.33,0.21,0.54,0.33,0.54,Matches
111,Keita Endo\1a83027b,jp JPN,MF,Union Berlin,24-081,1997,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.14,0.00,0.14,0.14,0.14,Matches
112,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,29-002,1993,21,21,1871,20.8,1,2,1,0,0,1,0,0.05,0.10,0.14,0.05,0.14,1.6,1.4,0.6,2.0,0.08,0.03,0.11,0.07,0.10,Matches
113,Michael Esser\83e0eeb4,de GER,GK,Bochum,34-081,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
114,Wahidullah Faghir\93c9e7d9,dk DEN,FW,Stuttgart,18-197,2003,6,0,123,1.4,1,0,1,0,0,0,0,0.73,0.00,0.73,0.73,0.73,0.4,0.4,0.0,0.4,0.31,0.00,0.31,0.31,0.31,Matches
115,Ömer Faruk Beyaz\8307b663,tr TUR,FWDF,Stuttgart,18-166,2003,4,0,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.23,0.00,0.23,0.23,0.23,Matches
116,Adrian Fein\60097ff6,de GER,MF,Greuther Fürth,22-330,1999,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.06,0.09,0.15,0.06,0.15,Matches
117,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,24-155,1997,7,5,506,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.03,0.02,0.03,Matches
118,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,25-302,1996,7,2,283,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.07,0.09,0.16,0.07,0.16,Matches
119,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,33-010,1989,4,2,148,1.6,1,1,1,0,0,0,0,0.61,0.61,1.22,0.61,1.22,0.4,0.4,0.7,1.2,0.27,0.43,0.70,0.27,0.70,Matches
120,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,28-243,1993,19,19,1710,19.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
121,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,30-111,1991,18,11,956,10.6,4,0,1,3,3,1,0,0.38,0.00,0.38,0.09,0.09,5.8,3.5,1.8,5.3,0.54,0.17,0.72,0.33,0.50,Matches
122,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,27-007,1995,14,11,856,9.5,2,1,2,0,0,3,0,0.21,0.11,0.32,0.21,0.32,2.3,2.3,0.7,3.0,0.24,0.07,0.31,0.24,0.31,Matches
123,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Leverkusen,24-040,1998,3,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
124,Raphael Framberger\626fab5f,de GER,DFMF,Augsburg,26-158,1995,14,7,558,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,Matches
125,Marvin Friedrich\b77f44a4,de GER,DF,M'Gladbach,26-060,1995,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
126,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,26-060,1995,13,13,1169,13.0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.9,2.1,0.09,0.07,0.16,0.09,0.16,Matches
127,Jeremie Frimpong\74f2e748,nl NED,DF,Leverkusen,21-063,2000,20,20,1696,18.8,1,6,1,0,0,6,0,0.05,0.32,0.37,0.05,0.37,0.4,0.4,2.8,3.2,0.02,0.15,0.17,0.02,0.17,Matches
128,Chris Führich\0cf778df,de GER,FWDF,Stuttgart,24-033,1998,12,9,758,8.4,1,1,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,0.4,0.4,1.9,2.3,0.05,0.22,0.27,0.05,0.27,Matches
129,Marius Funk\86314793,de GER,GK,Greuther Fürth,26-041,1996,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
130,Stephan Fürstner\18c2e247,de GER,MF,Mainz 05,34-153,1987,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
131,Mijat Gaćinović\16daec92,rs SRB,FWDF,Hoffenheim,27-003,1995,4,1,110,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.21,0.00,0.21,0.21,0.21,Matches
132,Cristian Gamboa\f27680d9,cr CRC,DF,Bochum,32-110,1989,12,9,771,8.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.04,0.04,0.00,0.04,Matches
133,Silvère Ganvoula M'Boussy\6c731625,cg CGO,FW,Bochum,25-234,1996,9,0,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.0,1.3,0.75,0.00,0.75,0.75,0.75,Matches
134,Linus Gechter\ad2b068c,de GER,DF,Hertha BSC,17-349,2004,5,1,229,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
135,Dennis Geiger\37f606f0,de GER,MF,Hoffenheim,23-246,1998,15,14,1126,12.5,2,2,2,0,0,4,0,0.16,0.16,0.32,0.16,0.32,0.8,0.8,2.0,2.9,0.07,0.16,0.23,0.07,0.23,Matches
136,Yannick Gerhardt\62ab9184,de GER,MFDF,Wolfsburg,27-335,1994,15,11,941,10.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.8,1.8,0.10,0.07,0.17,0.10,0.17,Matches
137,Hamadi Al Ghaddioui\5723931e,ma MAR,FW,Stuttgart,31-142,1990,10,7,498,5.5,2,2,2,0,0,2,0,0.36,0.36,0.72,0.36,0.72,1.5,1.5,1.1,2.6,0.28,0.19,0.47,0.28,0.47,Matches
138,Niko Gießelmann\7242b495,de GER,DF,Union Berlin,30-138,1991,19,18,1514,16.8,3,4,3,0,0,2,0,0.18,0.24,0.42,0.18,0.42,2.3,2.3,1.3,3.6,0.13,0.08,0.21,0.13,0.21,Matches
139,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,34-108,1987,21,21,1890,21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
140,Daniel Ginczek\e5f63987,de GER,MFFW,Wolfsburg,30-304,1991,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.73,0.00,0.73,0.73,0.73,Matches
141,Matthias Ginter\f521b80a,de GER,DF,M'Gladbach,28-023,1994,18,18,1588,17.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,1.7,3.3,0.09,0.10,0.19,0.09,0.19,Matches
142,Serge Gnabry\88e357ef,de GER,FWDF,Bayern Munich,26-212,1995,21,15,1299,14.4,10,3,10,0,0,0,0,0.69,0.21,0.90,0.69,0.90,6.2,6.2,4.0,10.2,0.43,0.28,0.71,0.43,0.71,Matches
143,Leon Goretzka\cc86b9a3,de GER,MF,Bayern Munich,27-005,1995,12,12,893,9.9,2,2,2,0,0,0,0,0.20,0.20,0.40,0.20,0.40,2.9,2.9,2.2,5.1,0.29,0.22,0.51,0.29,0.51,Matches
144,Jeffrey Gouweleeuw\1025db8e,nl NED,DF,Augsburg,30-216,1991,16,16,1432,15.9,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.5,1.0,0.03,0.03,0.06,0.03,0.06,Matches
145,Julian Green\ad1d6fa4,us USA,MF,Greuther Fürth,26-250,1995,12,8,613,6.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.03,0.07,0.10,0.03,0.10,Matches
146,Michael Gregoritsch\8e235926,at AUT,FWMF,Augsburg,27-299,1994,14,6,618,6.9,5,0,5,0,0,2,0,0.73,0.00,0.73,0.73,0.73,2.1,2.1,1.0,3.0,0.30,0.14,0.44,0.30,0.44,Matches
147,Sebastian Griesbeck\a8db7ebb,de GER,DFMF,Greuther Fürth,31-131,1990,18,17,1449,16.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.02,0.00,0.03,0.02,0.03,Matches
148,Sebastian Griesbeck\a8db7ebb,de GER,MF,Union Berlin,31-131,1990,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
149,Vincenzo Grifo\54e4866f,it ITA,MFFW,Freiburg,28-310,1993,21,20,1654,18.4,4,6,1,3,4,0,0,0.22,0.33,0.54,0.05,0.38,6.0,2.9,5.0,7.9,0.33,0.27,0.60,0.16,0.43,Matches
150,Lennart Grill\37998008,de GER,GK,Leverkusen,23-017,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
151,Florian Grillitsch\ffbbc83b,at AUT,DFMF,Hoffenheim,26-188,1995,13,11,1046,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07,Matches
152,Carlos Gruezo\f2dd9a21,ec ECU,MF,Augsburg,26-298,1995,7,3,377,4.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
153,Raphaël Guerreiro\048a1cbc,pt POR,DF,Dortmund,28-051,1993,13,11,990,11.0,3,2,2,1,1,1,0,0.27,0.18,0.45,0.18,0.36,1.3,0.5,1.3,1.8,0.12,0.12,0.24,0.05,0.17,Matches
154,Josuha Guilavogui\e6c43eec,fr FRA,MFDF,Wolfsburg,31-145,1990,15,10,942,10.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.04,0.00,0.05,0.04,0.05,Matches
155,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31-281,1990,20,20,1800,20.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
156,Manuel Gulde\25ab9c9c,de GER,DF,Freiburg,30-364,1991,14,9,826,9.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.01,0.02,0.00,0.02,Matches
157,Robert Gumny\1df0c0b9,pl POL,DF,Augsburg,23-252,1998,20,20,1731,19.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.01,0.02,0.03,0.01,0.03,Matches
158,Christian Günter\8593f88c,de GER,DF,Freiburg,28-348,1993,21,21,1890,21.0,0,5,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.5,0.5,5.0,5.5,0.03,0.24,0.26,0.03,0.26,Matches
159,Lasse Günther\00672803,de GER,DF,Augsburg,18-327,2003,2,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.16,0.08,0.24,0.16,0.24,Matches
160,Joško Gvardiol\5ad50391,hr CRO,DF,RB Leipzig,20-019,2002,20,19,1689,18.8,2,2,2,0,0,3,0,0.11,0.11,0.21,0.11,0.21,2.3,2.3,1.7,4.1,0.12,0.09,0.22,0.12,0.22,Matches
161,Erling Haaland\1f44ac21,no NOR,FW,Dortmund,21-205,2000,14,13,1143,12.7,16,6,13,3,3,3,0,1.26,0.47,1.73,1.02,1.50,11.3,9.1,3.1,12.2,0.89,0.24,1.13,0.71,0.96,Matches
162,Janik Haberer\70dcf94d,de GER,MF,Freiburg,27-315,1994,17,4,495,5.5,2,0,2,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.5,0.5,0.1,0.6,0.09,0.01,0.11,0.09,0.11,Matches
163,Alexander Hack\a5ec3ede,de GER,DF,Mainz 05,28-156,1993,17,14,1216,13.5,2,0,2,0,0,4,1,0.15,0.00,0.15,0.15,0.15,0.5,0.5,0.4,1.0,0.04,0.03,0.07,0.04,0.07,Matches
164,Robin Hack\0174ba21,de GER,MFFW,Arminia,23-168,1998,18,8,817,9.1,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.4,1.4,1.2,2.5,0.15,0.13,0.28,0.15,0.28,Matches
165,André Hahn\cd82452e,de GER,FWMF,Augsburg,31-182,1990,20,16,1335,14.8,3,1,3,0,0,4,0,0.20,0.07,0.27,0.20,0.27,2.0,2.0,1.0,3.0,0.13,0.07,0.20,0.13,0.20,Matches
166,Amadou Haidara\92432bc6,ml MLI,MF,RB Leipzig,24-011,1998,14,10,901,10.0,2,0,2,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.9,0.9,0.2,1.0,0.09,0.02,0.10,0.09,0.10,Matches
167,Genki Haraguchi\f24ea523,jp JPN,MF,Union Berlin,30-278,1991,21,14,1159,12.9,0,4,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,1.6,1.6,1.9,3.4,0.12,0.14,0.27,0.12,0.27,Matches
168,Makoto Hasebe\9ab16552,jp JPN,DFMF,Eint Frankfurt,38-024,1984,13,9,870,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
169,Thorgan Hazard\50871bcc,be BEL,FWDF,Dortmund,28-319,1993,16,7,785,8.7,3,0,3,0,0,1,0,0.34,0.00,0.34,0.34,0.34,2.1,2.1,1.3,3.4,0.24,0.15,0.39,0.24,0.39,Matches
170,Jonas Hector\c2009df3,de GER,DF,Köln,31-260,1990,19,19,1670,18.6,0,4,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,0.7,0.7,3.0,3.7,0.04,0.16,0.20,0.04,0.20,Matches
171,Hwang Hee-chan\169fd162,kr KOR,FW,RB Leipzig,26-016,1996,2,0,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.36,0.00,0.36,0.36,0.36,Matches
172,Dominique Heintz\699fb8db,de GER,DF,Freiburg,28-180,1993,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
173,Dominique Heintz\699fb8db,de GER,DF,Union Berlin,28-180,1993,2,2,152,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
174,Benjamin Henrichs\0a89e877,de GER,DFMF,RB Leipzig,24-353,1997,12,6,547,6.1,1,2,1,0,0,2,0,0.16,0.33,0.49,0.16,0.49,0.8,0.8,1.5,2.3,0.14,0.24,0.38,0.14,0.38,Matches
175,Lucas Hernández\c3ee18ef,fr FRA,DF,Bayern Munich,25-362,1996,16,16,1282,14.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,Matches
176,Patrick Herrmann\dfb6490a,de GER,DFFW,M'Gladbach,30-364,1991,17,5,706,7.8,0,3,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,1.2,1.2,1.1,2.3,0.16,0.14,0.29,0.16,0.29,Matches
177,Piero Hincapié\0c7a48f8,ec ECU,DF,Leverkusen,20-033,2002,15,12,1023,11.4,1,2,1,0,0,3,0,0.09,0.18,0.26,0.09,0.26,0.5,0.5,0.3,0.8,0.04,0.03,0.07,0.04,0.07,Matches
178,Martin Hinteregger\080440a4,at AUT,DF,Eint Frankfurt,29-157,1992,18,16,1412,15.7,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.4,1.2,0.06,0.02,0.08,0.06,0.08,Matches
179,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,34-146,1987,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
180,Nicolas Höfler\5d8e331f,de GER,MF,Freiburg,31-339,1990,19,19,1619,18.0,2,1,2,0,0,4,0,0.11,0.06,0.17,0.11,0.17,1.3,1.3,1.0,2.3,0.07,0.06,0.13,0.07,0.13,Matches
181,Jonas Hofmann\2903a856,de GER,MFFW,M'Gladbach,29-212,1992,16,15,1270,14.1,7,2,7,0,0,0,0,0.50,0.14,0.64,0.50,0.64,5.2,5.2,4.0,9.2,0.37,0.28,0.65,0.37,0.65,Matches
182,Lucas Höler\ca618d23,de GER,FWMF,Freiburg,27-216,1994,21,21,1764,19.6,4,1,4,0,0,2,0,0.20,0.05,0.26,0.20,0.26,4.9,4.9,2.1,7.1,0.25,0.11,0.36,0.25,0.36,Matches
183,Gerrit Holtmann\2979c05a,ph PHI,FWMF,Bochum,26-323,1995,17,15,1197,13.3,3,3,3,0,0,0,0,0.23,0.23,0.45,0.23,0.45,2.6,2.6,2.5,5.0,0.19,0.19,0.38,0.19,0.38,Matches
184,Justin Hoogma\816192f0,nl NED,DF,Greuther Fürth,23-245,1998,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
185,Jannes Horn\2b83fa49,de GER,DF,Köln,25-005,1997,5,0,137,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
186,Timo Horn\3cd9e95a,de GER,GK,Köln,28-275,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
187,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,32-079,1989,20,20,1800,20.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
188,Branimir Hrgota\710fbdd1,se SWE,FW,Greuther Fürth,29-030,1993,21,20,1643,18.3,5,4,1,4,4,2,0,0.27,0.22,0.49,0.05,0.27,6.1,3.1,2.4,5.4,0.33,0.13,0.46,0.17,0.30,Matches
189,Ajdin Hrustic\1f2d714c,au AUS,MF,Eint Frankfurt,25-221,1996,12,5,511,5.7,2,0,2,0,0,1,0,0.35,0.00,0.35,0.35,0.35,0.6,0.6,0.6,1.2,0.10,0.10,0.20,0.10,0.20,Matches
190,Timo Hübers\94302c52,de GER,DF,Köln,25-206,1996,9,9,758,8.4,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.7,0.7,0.0,0.7,0.09,0.00,0.09,0.09,0.09,Matches
191,Benjamin Hübner\99de6b6f,de GER,DF,Hoffenheim,32-222,1989,2,2,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
192,Mats Hummels\05d548d8,de GER,DF,Dortmund,33-057,1988,17,15,1315,14.6,1,1,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,0.7,0.7,0.1,0.8,0.05,0.01,0.05,0.05,0.05,Matches
193,Iago\054849d2,br BRA,DF,Augsburg,24-325,1997,16,15,1250,13.9,0,2,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.8,0.8,1.6,2.4,0.06,0.11,0.17,0.06,0.17,Matches
194,Stefan Ilsanker\8494acc4,at AUT,DFMF,Eint Frankfurt,32-269,1989,8,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
195,Marcus Ingvartsen\271b8617,dk DEN,FWMF,Mainz 05,26-038,1996,13,2,330,3.7,2,0,2,0,0,1,0,0.55,0.00,0.55,0.55,0.55,1.2,1.2,0.3,1.6,0.34,0.09,0.43,0.34,0.43,Matches
196,Marcus Ingvartsen\271b8617,dk DEN,MF,Union Berlin,26-038,1996,2,2,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches
197,Hiroki Ito\204dded0,jp JPN,DF,Stuttgart,22-275,1999,17,15,1340,14.9,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.5,0.5,0.9,1.3,0.03,0.06,0.09,0.03,0.09,Matches
198,Cedric Itten\ef233486,ch SUI,FW,Greuther Fürth,25-046,1996,12,7,635,7.1,2,0,2,0,0,1,0,0.28,0.00,0.28,0.28,0.28,2.7,2.7,0.1,2.8,0.38,0.02,0.40,0.38,0.40,Matches
199,Gian-Luca Itter\e6c15f6e,de GER,DF,Greuther Fürth,23-037,1999,12,5,470,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.5,0.02,0.09,0.10,0.02,0.10,Matches
200,Lee Jae-sung\34b0387f,kr KOR,MFFW,Mainz 05,29-185,1992,19,14,1093,12.1,4,2,4,0,0,3,0,0.33,0.16,0.49,0.33,0.49,2.8,2.8,1.6,4.4,0.23,0.13,0.36,0.23,0.36,Matches
201,Paul Jaeckel\a93b6f4e,de GER,DF,Union Berlin,23-204,1998,13,11,1057,11.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
