,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
23,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,21-017,2001,5,3,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
24,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,24-183,1997,18,17,1260,14.0,9,0,9,0,0,0,0,0.64,0.00,0.64,0.64,0.64,8.3,8.3,0.7,9.0,0.59,0.05,0.64,0.59,0.64,Matches
25,Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,21-236,2000,14,12,1114,12.4,0,3,0,0,0,4,0,0.00,0.24,0.24,0.00,0.24,0.4,0.4,0.6,1.0,0.03,0.05,0.08,0.03,0.08,Matches
26,Ridle Baku\442b56fa,de GER,DFFW,Wolfsburg,23-309,1998,21,18,1562,17.4,2,2,2,0,0,2,0,0.12,0.12,0.23,0.12,0.23,1.9,1.9,2.1,3.9,0.11,0.12,0.23,0.11,0.23,Matches
27,Aymen Barkok\a2a85828,ma MAR,FWMF,Eint Frankfurt,23-266,1998,4,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Leandro Barreiro Martins\00242b75,lu LUX,MF,Mainz 05,22-039,2000,21,16,1369,15.2,0,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,1.4,1.4,1.6,3.1,0.10,0.11,0.20,0.10,0.20,Matches
29,Jacob Barrett Laursen\c0d3bd23,dk DEN,DF,Arminia,27-086,1994,15,13,1048,11.6,2,0,2,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.5,0.7,0.02,0.04,0.06,0.02,0.06,Matches
30,Abdourahmane Barry\8df328f4,fr FRA,DF,Greuther Fürth,21-355,2000,8,1,210,2.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.05,0.07,0.02,0.07,Matches
31,Maximilian Bauer\44a20f0c,de GER,DF,Greuther Fürth,22-002,2000,17,13,1232,13.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
32,Oliver Baumann\47064058,de GER,GK,Hoffenheim,31-254,1990,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
33,Timo Baumgartl\bd7d2e6d,de GER,DF,Union Berlin,25-344,1996,16,16,1356,15.1,1,1,1,0,0,1,0,0.07,0.07,0.13,0.07,0.13,1.2,1.2,0.1,1.3,0.08,0.01,0.09,0.08,0.09,Matches
