,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
10,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,25-107,1996,4.1,279,1,57,156,89,9,269,7,14,50.0,7,1,206,1324,671,31,13,1,6,8,244,210,86.1,23,Matches
11,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,30-211,1991,9.3,303,9,19,123,170,57,296,3,10,30.0,4,0,163,625,252,14,4,3,35,18,455,228,50.1,71,Matches
12,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,23-118,1998,7.7,444,46,167,199,100,15,372,7,11,63.6,8,2,218,1261,776,33,8,4,6,13,205,184,89.8,6,Matches
13,Fredrik André Bjørkan\3724baa1,no NOR,DFMF,Hertha BSC,23-174,1998,0.5,26,1,11,10,6,0,23,0,1,0.0,0,0,14,80,54,1,1,0,1,1,17,15,88.2,1,Matches
14,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,27-142,1994,12.5,709,58,231,406,107,23,692,4,5,80.0,4,0,370,1859,869,29,12,1,6,3,445,407,91.5,14,Matches
15,Angeliño\30941e96,es ESP,DF,RB Leipzig,25-038,1997,16.4,1143,34,250,468,462,45,955,8,14,57.1,8,1,647,2343,1145,54,12,6,18,13,802,696,86.8,67,Matches
16,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,25-206,1996,17.8,1402,247,812,615,74,24,1345,12,19,63.2,14,2,897,5596,2896,70,14,0,9,8,943,928,98.4,6,Matches
17,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,28-004,1994,8.1,323,2,45,138,172,40,308,8,23,34.8,9,2,202,1321,719,30,8,9,29,25,370,209,56.5,50,Matches
18,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,32-300,1989,8.6,578,15,182,361,59,6,564,7,9,77.8,7,0,355,1234,523,16,4,0,4,6,418,386,92.3,5,Matches
19,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,27-260,1994,20.5,1363,68,353,807,279,2,1218,4,6,66.7,4,0,803,3765,1663,52,15,0,12,17,890,836,93.9,17,Matches
20,Takuma Asano\13ddc856,jp JPN,FW,Bochum,27-093,1994,9.6,319,5,53,139,156,28,317,6,19,31.6,8,0,228,1345,749,28,12,6,25,21,381,219,57.5,58,Matches
21,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,24-351,1997,17.1,1053,75,381,585,123,10,1006,4,7,57.1,4,0,473,1907,868,31,5,4,9,9,629,580,92.2,14,Matches
22,Fisnik Asllani\35f67a30,xk KVX,MFFW,Hoffenheim,19-187,2002,0.1,9,0,0,4,5,0,9,0,0,,0,0,5,12,1,0,0,0,1,1,10,9,90.0,2,Matches
23,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,21-017,2001,2.9,186,15,78,68,49,2,150,0,1,0.0,1,0,95,483,320,7,3,2,1,3,100,90,90.0,2,Matches
24,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,24-183,1997,14.0,476,19,39,241,228,83,473,19,38,50.0,23,1,325,1306,729,39,13,13,62,36,695,357,51.4,116,Matches
25,Mitchel Bakker\a8567629,nl NED,DF,Leverkusen,21-236,2000,12.4,888,54,320,452,174,23,783,19,37,51.4,22,2,550,2325,1312,54,16,6,14,15,599,551,92.0,20,Matches
26,Ridle Baku\442b56fa,de GER,DFFW,Wolfsburg,23-309,1998,17.4,1034,27,274,476,345,43,893,22,47,46.8,23,4,659,3218,1862,111,22,12,20,27,769,626,81.4,79,Matches
27,Aymen Barkok\a2a85828,ma MAR,FWMF,Eint Frankfurt,23-266,1998,1.1,69,6,23,37,17,0,58,3,5,60.0,3,0,36,176,136,5,3,0,4,6,35,25,71.4,4,Matches
28,Leandro Barreiro Martins\00242b75,lu LUX,MF,Mainz 05,22-039,2000,15.2,602,23,150,274,198,36,599,1,9,11.1,2,0,315,1305,645,27,12,0,26,12,413,309,74.8,52,Matches
29,Jacob Barrett Laursen\c0d3bd23,dk DEN,DF,Arminia,27-086,1994,11.6,654,43,207,277,197,8,504,11,20,55.0,12,0,303,1465,722,24,7,2,6,7,308,265,86.0,10,Matches
30,Abdourahmane Barry\8df328f4,fr FRA,DF,Greuther Fürth,21-355,2000,2.3,142,11,48,59,41,3,124,1,4,25.0,1,0,77,355,179,9,2,0,3,4,79,70,88.6,6,Matches
31,Maximilian Bauer\44a20f0c,de GER,DF,Greuther Fürth,22-002,2000,13.7,755,116,468,302,19,13,727,0,0,,0,0,409,1993,841,12,0,1,2,1,444,432,97.3,1,Matches
32,Oliver Baumann\47064058,de GER,GK,Hoffenheim,31-254,1990,20.0,974,815,965,13,0,0,811,0,0,,0,0,583,2162,978,0,0,0,0,0,578,574,99.3,0,Matches
33,Timo Baumgartl\bd7d2e6d,de GER,DF,Union Berlin,25-344,1996,15.1,915,106,517,410,46,21,885,1,1,100.0,1,0,529,2624,1307,28,3,0,3,4,587,556,94.7,4,Matches
34,Julian Baumgartlinger\69374ff5,at AUT,MF,Leverkusen,34-040,1988,0.1,9,0,3,6,1,0,9,0,0,,0,0,4,24,16,0,0,0,0,0,7,6,85.7,0,Matches
35,Christoph Baumgartner\437f2b00,at AUT,MFFW,Hoffenheim,22-194,1999,10.0,494,15,85,226,219,49,486,10,16,62.5,10,2,306,1508,866,40,12,5,31,22,458,355,77.5,60,Matches
36,Noah Joel Sarenren Bazee\fbbc8e15,ng NGA,MFFW,Augsburg,25-174,1996,1.2,67,5,15,21,35,10,63,1,7,14.3,2,0,36,131,60,3,1,2,9,6,53,34,64.2,15,Matches
37,Ihlas Bebou\a53b661f,tg TOG,FWDF,Hoffenheim,27-294,1994,14.4,575,15,69,231,308,58,530,10,26,38.5,14,1,352,1473,764,44,17,8,38,28,648,396,61.1,87,Matches
38,Sheraldo Becker\8eb55dbb,sr SUR,FWMF,Union Berlin,27-002,1995,9.0,381,2,40,173,213,35,377,10,19,52.6,13,2,284,2292,1416,72,28,15,24,9,450,281,62.4,76,Matches
