,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
125,Marvin Friedrich\b77f44a4,de GER,DF,M'Gladbach,26-060,1995,3.0,250,17,131,128,11,5,243,0,1,0.0,0,0,164,686,308,7,1,0,2,0,177,172,97.2,2,Matches
126,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,26-060,1995,13.0,775,107,436,330,49,21,757,4,6,66.7,4,0,453,2263,1263,22,5,1,13,4,487,464,95.3,5,Matches
127,Jeremie Frimpong\74f2e748,nl NED,DF,Leverkusen,21-063,2000,18.8,1206,63,409,605,330,42,1022,39,66,59.1,43,3,798,5307,3637,156,66,20,20,28,795,728,91.6,42,Matches
128,Chris Führich\0cf778df,de GER,FWDF,Stuttgart,24-033,1998,8.4,421,5,60,189,217,21,377,19,29,65.5,20,3,297,1686,965,45,18,6,16,14,368,270,73.4,39,Matches
129,Marius Funk\86314793,de GER,GK,Greuther Fürth,26-041,1996,8.0,389,336,387,2,0,0,294,0,0,,0,0,202,967,465,0,0,0,0,0,206,205,99.5,0,Matches
130,Stephan Fürstner\18c2e247,de GER,MF,Mainz 05,34-153,1987,0.1,6,0,1,5,0,0,6,0,0,,0,0,2,9,6,1,0,0,0,0,3,3,100.0,0,Matches
131,Mijat Gaćinović\16daec92,rs SRB,FWDF,Hoffenheim,27-003,1995,1.2,65,2,13,37,18,1,59,4,4,100.0,4,1,36,162,91,3,1,0,2,4,53,39,73.6,4,Matches
132,Cristian Gamboa\f27680d9,cr CRC,DF,Bochum,32-110,1989,8.6,521,38,229,227,90,1,410,7,7,100.0,7,0,232,1325,793,26,6,1,5,6,235,216,91.9,1,Matches
133,Silvère Ganvoula M'Boussy\6c731625,cg CGO,FW,Bochum,25-234,1996,1.7,79,2,3,31,49,11,73,2,3,66.7,2,0,37,212,98,4,2,2,6,5,102,63,61.8,10,Matches
134,Linus Gechter\ad2b068c,de GER,DF,Hertha BSC,17-349,2004,2.5,145,30,102,50,6,2,143,0,1,0.0,0,0,79,397,158,3,2,0,0,0,85,82,96.5,0,Matches
135,Dennis Geiger\37f606f0,de GER,MF,Hoffenheim,23-246,1998,12.5,776,32,186,446,186,12,708,2,5,40.0,2,1,458,2388,899,41,17,2,5,12,553,501,90.6,11,Matches
136,Yannick Gerhardt\62ab9184,de GER,MFDF,Wolfsburg,27-335,1994,10.5,657,19,149,386,168,24,614,10,14,71.4,12,3,384,2035,1157,51,20,1,20,14,467,402,86.1,45,Matches
137,Hamadi Al Ghaddioui\5723931e,ma MAR,FW,Stuttgart,31-142,1990,5.5,174,6,15,86,79,23,161,0,4,0.0,1,0,99,286,112,8,2,2,22,7,228,123,53.9,39,Matches
138,Niko Gießelmann\7242b495,de GER,DF,Union Berlin,30-138,1991,16.8,985,46,263,458,314,25,766,5,14,35.7,5,1,499,2041,1087,52,21,0,18,7,617,545,88.3,22,Matches
139,Rafał Gikiewicz\17376543,pl POL,GK,Augsburg,34-108,1987,21.0,814,692,806,9,1,0,583,0,0,,0,0,388,2054,1206,0,0,0,1,0,353,351,99.4,0,Matches
140,Daniel Ginczek\e5f63987,de GER,MFFW,Wolfsburg,30-304,1991,0.1,6,0,0,3,3,1,6,0,0,,0,0,2,6,0,0,0,0,1,0,5,3,60.0,2,Matches
141,Matthias Ginter\f521b80a,de GER,DF,M'Gladbach,28-023,1994,17.6,1447,128,716,749,120,28,1404,5,8,62.5,5,2,972,5500,3491,106,27,1,7,5,1071,1050,98.0,17,Matches
142,Serge Gnabry\88e357ef,de GER,FWDF,Bayern Munich,26-212,1995,14.4,1003,7,109,457,515,93,950,47,76,61.8,50,1,762,4027,2249,128,45,20,42,24,949,762,80.3,130,Matches
143,Leon Goretzka\cc86b9a3,de GER,MF,Bayern Munich,27-005,1995,9.9,699,25,146,390,200,42,690,5,11,45.5,6,0,456,1886,985,36,18,2,14,12,574,506,88.2,51,Matches
144,Jeffrey Gouweleeuw\1025db8e,nl NED,DF,Augsburg,30-216,1991,15.9,838,135,511,353,41,15,805,9,13,69.2,10,1,448,3372,1731,27,5,0,1,6,446,427,95.7,5,Matches
145,Julian Green\ad1d6fa4,us USA,MF,Greuther Fürth,26-250,1995,6.8,314,4,41,173,125,8,272,1,6,16.7,1,0,187,1049,466,29,13,1,13,8,227,178,78.4,27,Matches
146,Michael Gregoritsch\8e235926,at AUT,FWMF,Augsburg,27-299,1994,6.9,255,11,27,128,109,29,243,2,10,20.0,3,1,99,333,152,10,3,0,11,12,282,170,60.3,50,Matches
147,Sebastian Griesbeck\a8db7ebb,de GER,DFMF,Greuther Fürth,31-131,1990,16.1,652,81,340,299,42,12,643,3,4,75.0,3,0,337,1701,420,9,2,0,6,8,358,322,89.9,5,Matches
148,Sebastian Griesbeck\a8db7ebb,de GER,MF,Union Berlin,31-131,1990,0.1,2,0,0,2,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
149,Vincenzo Grifo\54e4866f,it ITA,MFFW,Freiburg,28-310,1993,18.4,1053,28,147,494,478,48,925,22,43,51.2,22,4,670,3406,1888,95,31,10,29,22,847,700,82.6,73,Matches
150,Lennart Grill\37998008,de GER,GK,Leverkusen,23-017,1999,1.0,48,45,48,0,0,0,35,0,0,,0,0,17,104,18,0,0,0,0,0,23,23,100.0,0,Matches
151,Florian Grillitsch\ffbbc83b,at AUT,DFMF,Hoffenheim,26-188,1995,11.6,867,71,359,501,72,5,826,5,9,55.6,5,0,565,3489,1624,53,13,1,3,3,573,558,97.4,7,Matches
152,Carlos Gruezo\f2dd9a21,ec ECU,MF,Augsburg,26-298,1995,4.2,168,15,52,96,26,1,165,2,2,100.0,2,1,102,354,147,3,1,0,10,2,103,89,86.4,2,Matches
153,Raphaël Guerreiro\048a1cbc,pt POR,DF,Dortmund,28-051,1993,11.0,1011,29,294,500,292,22,894,9,22,40.9,9,1,659,3024,1873,79,25,2,9,9,763,709,92.9,32,Matches
154,Josuha Guilavogui\e6c43eec,fr FRA,MFDF,Wolfsburg,31-145,1990,10.5,668,65,274,350,72,10,658,3,4,75.0,3,0,357,1331,615,17,12,1,8,10,376,356,94.7,4,Matches
155,Péter Gulácsi\bcb2ccd8,hu HUN,GK,RB Leipzig,31-281,1990,20.0,743,621,730,16,0,0,576,0,0,,0,0,388,1679,707,0,0,0,0,1,375,373,99.5,0,Matches
156,Manuel Gulde\25ab9c9c,de GER,DF,Freiburg,30-364,1991,9.2,458,50,232,236,14,4,437,2,2,100.0,2,0,244,1103,541,12,0,0,4,1,284,276,97.2,2,Matches
157,Robert Gumny\1df0c0b9,pl POL,DF,Augsburg,23-252,1998,19.2,975,79,381,442,211,21,834,11,25,44.0,11,1,483,2848,1530,51,19,3,5,10,502,459,91.4,23,Matches
158,Christian Günter\8593f88c,de GER,DF,Freiburg,28-348,1993,21.0,1250,50,283,548,497,41,969,8,19,42.1,9,1,651,2821,1595,76,41,7,23,16,840,715,85.1,61,Matches
159,Lasse Günther\00672803,de GER,DF,Augsburg,18-327,2003,0.6,24,1,8,12,7,2,23,1,1,100.0,1,1,13,120,49,2,0,1,0,0,15,14,93.3,2,Matches
160,Joško Gvardiol\5ad50391,hr CRO,DF,RB Leipzig,20-019,2002,18.8,1620,131,667,903,172,24,1538,18,28,64.3,19,0,1092,5362,2959,94,31,1,12,16,1132,1105,97.6,11,Matches
161,Erling Haaland\1f44ac21,no NOR,FW,Dortmund,21-205,2000,12.7,455,18,24,193,254,116,426,9,16,56.3,11,2,234,1025,576,43,12,23,38,12,591,339,57.4,122,Matches
162,Janik Haberer\70dcf94d,de GER,MF,Freiburg,27-315,1994,5.5,258,16,77,135,60,5,255,2,4,50.0,2,0,119,563,242,8,6,0,6,5,140,124,88.6,6,Matches
163,Alexander Hack\a5ec3ede,de GER,DF,Mainz 05,28-156,1993,13.5,793,116,427,361,36,13,756,5,6,83.3,6,0,402,1728,948,18,1,1,6,2,412,396,96.1,4,Matches
164,Robin Hack\0174ba21,de GER,MFFW,Arminia,23-168,1998,9.1,433,5,53,204,210,31,410,20,39,51.3,21,3,334,1814,833,48,14,7,22,22,411,302,73.5,62,Matches
165,André Hahn\cd82452e,de GER,FWMF,Augsburg,31-182,1990,14.8,457,25,83,189,203,51,451,9,21,42.9,10,2,223,1188,557,20,8,2,38,19,553,281,50.8,52,Matches
166,Amadou Haidara\92432bc6,ml MLI,MF,RB Leipzig,24-011,1998,10.0,606,9,110,393,142,16,597,16,21,76.2,16,1,417,1667,931,41,12,1,9,12,443,404,91.2,16,Matches
167,Genki Haraguchi\f24ea523,jp JPN,MF,Union Berlin,30-278,1991,12.9,535,22,106,288,164,29,534,5,9,55.6,5,0,285,1714,953,45,11,8,14,12,385,306,79.5,42,Matches
168,Makoto Hasebe\9ab16552,jp JPN,DFMF,Eint Frankfurt,38-024,1984,9.7,720,95,382,369,18,0,700,2,3,66.7,2,0,446,2587,1519,35,4,0,1,3,457,450,98.5,2,Matches
169,Thorgan Hazard\50871bcc,be BEL,FWDF,Dortmund,28-319,1993,8.7,599,13,90,274,266,37,532,10,23,43.5,10,0,386,1673,869,47,15,6,14,18,499,415,83.2,59,Matches
170,Jonas Hector\c2009df3,de GER,DF,Köln,31-260,1990,18.6,1243,64,390,595,322,42,1088,6,11,54.5,6,0,689,3898,2094,95,25,9,12,11,780,706,90.5,48,Matches
171,Hwang Hee-chan\169fd162,kr KOR,FW,RB Leipzig,26-016,1996,0.5,17,0,1,8,9,2,17,2,3,66.7,2,0,13,52,30,3,1,1,2,2,16,13,81.3,3,Matches
172,Dominique Heintz\699fb8db,de GER,DF,Freiburg,28-180,1993,0.3,22,1,17,5,1,0,22,0,0,,0,0,12,55,38,0,0,0,0,0,18,18,100.0,0,Matches
173,Dominique Heintz\699fb8db,de GER,DF,Union Berlin,28-180,1993,1.7,97,12,43,57,2,0,93,2,3,66.7,2,0,50,305,139,4,0,0,0,1,59,54,91.5,0,Matches
174,Benjamin Henrichs\0a89e877,de GER,DFMF,RB Leipzig,24-353,1997,6.1,409,18,98,201,134,15,365,4,8,50.0,5,1,246,1143,637,22,9,0,5,3,278,252,90.6,14,Matches
175,Lucas Hernández\c3ee18ef,fr FRA,DF,Bayern Munich,25-362,1996,14.2,1364,87,532,817,115,4,1330,9,12,75.0,9,1,997,5313,2872,97,29,0,2,8,1048,1032,98.5,3,Matches
176,Patrick Herrmann\dfb6490a,de GER,DFFW,M'Gladbach,30-364,1991,7.8,433,14,76,158,226,29,356,8,10,80.0,8,0,251,1254,698,37,11,7,13,12,311,252,81.0,47,Matches
177,Piero Hincapié\0c7a48f8,ec ECU,DF,Leverkusen,20-033,2002,11.4,797,99,388,394,76,10,711,11,19,57.9,11,2,466,2809,1492,34,12,1,11,9,482,448,92.9,10,Matches
178,Martin Hinteregger\080440a4,at AUT,DF,Eint Frankfurt,29-157,1992,15.7,1038,116,566,493,28,13,996,1,3,33.3,1,0,530,3076,1166,13,2,0,4,1,574,558,97.2,4,Matches
179,Marwin Hitz\2e7ff968,ch SUI,GK,Dortmund,34-146,1987,1.5,59,54,59,1,0,0,50,0,0,,0,0,26,138,74,0,0,0,0,0,29,29,100.0,0,Matches
180,Nicolas Höfler\5d8e331f,de GER,MF,Freiburg,31-339,1990,18.0,911,75,256,536,165,26,891,15,21,71.4,16,0,500,2145,907,36,11,2,16,9,510,475,93.1,9,Matches
181,Jonas Hofmann\2903a856,de GER,MFFW,M'Gladbach,29-212,1992,14.1,986,13,130,523,391,66,852,11,30,36.7,13,1,635,3355,1749,98,27,19,27,23,811,679,83.7,107,Matches
182,Lucas Höler\ca618d23,de GER,FWMF,Freiburg,27-216,1994,19.6,885,21,91,370,472,87,853,14,32,43.8,17,2,496,2224,962,45,16,7,58,38,1098,657,59.8,159,Matches
183,Gerrit Holtmann\2979c05a,ph PHI,FWMF,Bochum,26-323,1995,13.3,396,6,47,161,242,40,393,31,63,49.2,33,6,306,2065,1375,71,25,19,31,27,467,275,58.9,56,Matches
184,Justin Hoogma\816192f0,nl NED,DF,Greuther Fürth,23-245,1998,3.0,196,21,115,86,4,0,188,0,0,,0,0,141,648,309,4,0,0,0,0,146,142,97.3,0,Matches
185,Jannes Horn\2b83fa49,de GER,DF,Köln,25-005,1997,1.5,96,6,30,51,22,0,79,0,2,0.0,1,0,44,289,191,7,4,0,1,0,53,49,92.5,3,Matches
186,Timo Horn\3cd9e95a,de GER,GK,Köln,28-275,1993,12.0,489,426,487,2,0,0,384,1,1,100.0,1,0,283,968,449,0,0,0,0,0,275,273,99.3,0,Matches
187,Lukáš Hrádecký\ad3389d5,fi FIN,GK,Leverkusen,32-079,1989,20.0,865,744,862,5,0,0,679,0,0,,0,0,483,2232,1180,0,0,0,0,0,450,449,99.8,0,Matches
188,Branimir Hrgota\710fbdd1,se SWE,FW,Greuther Fürth,29-030,1993,18.3,695,10,63,318,369,66,636,29,59,49.2,32,5,452,2128,1155,66,24,13,40,34,751,437,58.2,108,Matches
189,Ajdin Hrustic\1f2d714c,au AUS,MF,Eint Frankfurt,25-221,1996,5.7,430,13,99,262,98,10,415,2,4,50.0,3,0,312,1271,587,25,10,0,7,11,328,304,92.7,12,Matches
190,Timo Hübers\94302c52,de GER,DF,Köln,25-206,1996,8.4,691,116,437,296,18,11,653,8,9,88.9,8,0,426,2598,1476,31,4,0,5,3,413,404,97.8,1,Matches
191,Benjamin Hübner\99de6b6f,de GER,DF,Hoffenheim,32-222,1989,1.4,117,5,39,81,14,2,114,1,1,100.0,1,0,72,363,218,5,4,1,0,3,95,92,96.8,1,Matches
192,Mats Hummels\05d548d8,de GER,DF,Dortmund,33-057,1988,14.6,1274,158,676,639,42,10,1247,3,5,60.0,3,0,829,4502,2562,63,8,0,5,2,900,878,97.6,5,Matches
193,Iago\054849d2,br BRA,DF,Augsburg,24-325,1997,13.9,899,59,317,407,241,27,726,7,14,50.0,7,0,446,2952,1513,64,17,7,15,9,482,448,92.9,34,Matches
194,Stefan Ilsanker\8494acc4,at AUT,DFMF,Eint Frankfurt,32-269,1989,1.8,93,20,68,24,4,0,89,0,0,,0,0,25,93,48,1,1,0,1,0,30,27,90.0,0,Matches
195,Marcus Ingvartsen\271b8617,dk DEN,FWMF,Mainz 05,26-038,1996,3.7,169,2,21,72,81,21,160,2,10,20.0,2,1,105,356,140,7,3,2,18,7,192,118,61.5,25,Matches
196,Marcus Ingvartsen\271b8617,dk DEN,MF,Union Berlin,26-038,1996,1.4,47,2,11,28,10,3,47,1,2,50.0,1,0,30,102,14,1,0,0,6,2,55,37,67.3,3,Matches
197,Hiroki Ito\204dded0,jp JPN,DF,Stuttgart,22-275,1999,14.9,1302,173,701,614,89,11,1258,3,6,50.0,3,0,857,4357,2119,42,18,0,3,1,911,892,97.9,8,Matches
198,Cedric Itten\ef233486,ch SUI,FW,Greuther Fürth,25-046,1996,7.1,242,6,16,114,121,36,236,3,7,42.9,4,0,115,406,197,12,3,3,28,17,325,175,53.8,50,Matches
199,Gian-Luca Itter\e6c15f6e,de GER,DF,Greuther Fürth,23-037,1999,5.2,344,20,121,155,88,2,278,4,5,80.0,4,0,160,948,633,21,11,1,1,3,197,179,90.9,7,Matches
200,Lee Jae-sung\34b0387f,kr KOR,MFFW,Mainz 05,29-185,1992,12.1,671,19,104,362,241,31,662,5,12,41.7,5,0,385,1743,835,36,18,3,28,24,561,429,76.5,73,Matches
201,Paul Jaeckel\a93b6f4e,de GER,DF,Union Berlin,23-204,1998,11.7,721,82,405,333,29,6,703,6,9,66.7,7,0,464,2215,1079,21,3,2,4,7,440,433,98.4,3,Matches
202,Kristijan Jakić\a8ee54ad,hr CRO,MF,Eint Frankfurt,24-273,1997,11.1,542,29,128,330,121,17,535,8,16,50.0,9,1,277,1594,904,41,22,1,7,12,331,278,84.0,20,Matches
203,Tony Jantschke\34b54da7,de GER,DF,M'Gladbach,31-310,1990,2.5,141,10,71,79,5,2,138,0,0,,0,0,94,357,121,0,1,0,0,0,97,96,99.0,1,Matches
204,Dennis Jastrzembski\6bba916f,pl POL,DFFW,Hertha BSC,21-356,2000,2.5,131,4,38,56,51,7,102,5,11,45.5,5,0,77,404,174,9,2,6,4,6,94,71,75.5,14,Matches
205,Fredrik Jensen\3eeb80e0,fi FIN,MFFW,Augsburg,24-155,1997,4.6,160,5,25,62,81,16,152,2,3,66.7,2,0,84,555,332,17,6,1,7,3,167,88,52.7,19,Matches
206,Marco John\d9e196bf,de GER,DF,Hoffenheim,19-315,2002,0.4,13,0,4,9,1,0,11,0,0,,0,0,5,39,30,0,0,0,0,0,6,5,83.3,0,Matches
207,Stevan Jovetić\f36c432f,me MNE,FWMF,Hertha BSC,32-101,1989,7.3,329,7,40,173,147,30,323,11,26,42.3,16,4,213,1170,727,37,17,4,8,17,394,264,67.0,52,Matches
208,Gideon Jung\a2e7de6f,de GER,DF,Greuther Fürth,27-152,1994,1.0,45,5,27,18,1,1,43,0,0,,0,0,25,151,99,4,0,0,1,1,33,32,97.0,0,Matches
209,Pavel Kadeřábek\79c90e45,cz CZE,DF,Hoffenheim,29-292,1992,5.6,406,13,80,178,170,27,339,0,1,0.0,0,0,211,1237,807,34,11,3,5,1,289,254,87.9,35,Matches
210,Florian Kainz\94c18565,at AUT,MFFW,Köln,29-110,1992,16.4,870,14,149,370,425,41,776,25,48,52.1,25,1,573,3536,1741,76,26,6,24,17,661,527,79.7,69,Matches
211,Sasa Kalajdzic\15f24fe7,at AUT,FW,Stuttgart,24-219,1997,4.2,172,1,5,93,77,27,159,1,4,25.0,1,0,81,233,83,3,2,1,20,2,235,127,54.0,38,Matches
212,Felix Kalu Nmecha\091c86e2,eng ENG,MFFW,Wolfsburg,21-124,2000,2.3,134,2,18,81,46,8,131,4,9,44.4,4,0,94,542,350,17,5,2,6,5,137,104,75.9,12,Matches
213,Daichi Kamada\15b287da,jp JPN,MFFW,Eint Frankfurt,25-190,1996,15.7,725,17,97,411,272,53,698,23,35,65.7,25,1,514,2771,1519,79,30,8,40,23,728,507,69.6,109,Matches
214,Kevin Kampl\b825a650,si SVN,MF,RB Leipzig,31-125,1990,14.6,1111,27,237,736,226,13,1073,10,17,58.8,11,1,837,4190,1884,70,27,5,9,15,875,821,93.8,21,Matches
215,Stefanos Kapino\62ba5881,gr GRE,GK,Arminia,27-330,1994,1.0,34,31,34,0,0,0,23,0,0,,0,0,17,137,88,0,0,0,0,0,11,11,100.0,0,Matches
216,Atakan Karazor\5762be5c,de GER,MFDF,Stuttgart,25-121,1996,10.4,719,67,253,418,74,6,694,7,12,58.3,7,0,437,1619,768,24,6,1,8,8,479,449,93.7,9,Matches
217,Silas Katompa\de4cac2d,cd COD,FWMF,Stuttgart,23-128,1998,2.2,100,2,18,40,51,7,98,5,13,38.5,7,0,79,290,128,7,2,1,11,15,96,64,66.7,19,Matches
218,Noah Katterbach\e27de4fa,de GER,DF,Köln,20-304,2001,0.2,15,1,4,5,6,0,11,1,2,50.0,1,0,10,21,8,0,0,0,0,0,8,6,75.0,0,Matches
219,Yannik Keitel\d2c580ce,de GER,MF,Freiburg,21-361,2000,5.6,246,14,63,135,54,13,241,0,1,0.0,0,0,135,567,242,8,2,0,5,6,148,127,85.8,4,Matches
220,Marc-Oliver Kempf\815c314f,de GER,DF,Stuttgart,27-014,1995,9.3,699,92,279,383,70,17,672,4,5,80.0,4,0,413,2090,1166,37,12,1,8,3,445,431,96.9,4,Matches
221,Marc-Oliver Kempf\815c314f,de GER,DF,Hertha BSC,27-014,1995,1.0,49,6,31,23,3,0,43,0,0,,0,0,28,241,97,3,1,0,0,1,20,20,100.0,0,Matches
222,Rani Khedira\59e4b92e,de GER,MF,Union Berlin,28-015,1994,19.0,768,31,200,467,124,17,754,10,12,83.3,11,0,384,1401,581,27,7,1,15,14,485,408,84.1,27,Matches
223,Luca Kilian\610aa1e9,de GER,DF,Köln,22-163,1999,12.6,818,147,555,299,19,9,787,0,0,,0,0,464,2829,1464,18,5,0,4,2,532,523,98.3,4,Matches
224,Luca Kilian\610aa1e9,de GER,FW,Mainz 05,22-163,1999,0.0,1,0,0,0,1,0,1,0,0,,0,0,1,5,3,0,0,0,0,0,1,0,0.0,0,Matches
225,Joshua Kimmich\49296448,de GER,MFDF,Bayern Munich,27-003,1995,14.8,1528,50,364,856,411,26,1370,9,16,56.3,9,3,946,4821,2376,80,26,2,15,13,1128,1062,94.1,41,Matches
226,Philipp Klement\0cddeaa7,de GER,MFFW,Stuttgart,29-155,1992,3.8,308,8,64,176,93,7,273,6,9,66.7,6,1,201,1235,498,18,9,0,5,3,246,212,86.2,16,Matches
227,Mateo Klimowicz\2b7c56b4,de GER,FWMF,Stuttgart,21-220,2000,6.6,257,3,35,131,110,16,249,8,22,36.4,10,0,190,1108,670,31,13,3,12,5,276,189,68.5,36,Matches
228,Fabian Klos\e21042ae,de GER,FW,Arminia,34-071,1987,13.3,526,24,57,261,225,66,510,8,12,66.7,8,0,225,796,336,20,4,5,37,15,691,393,56.9,69,Matches
229,Lukas Klostermann\ca8033cb,de GER,DF,RB Leipzig,25-254,1996,12.0,760,85,337,355,105,14,704,3,5,60.0,4,0,409,1876,834,23,7,0,1,2,481,457,95.0,9,Matches
230,Lukas Klünter\92948149,de GER,DF,Hertha BSC,25-261,1996,2.2,113,4,35,65,20,2,92,4,6,66.7,4,1,66,323,174,6,2,0,2,4,63,61,96.8,3,Matches
231,Ansgar Knauff\19a967ab,de GER,FWMF,Dortmund,20-032,2002,1.3,65,2,15,23,31,6,65,4,11,36.4,5,0,40,169,82,6,1,2,4,1,60,43,71.7,10,Matches
232,Ansgar Knauff\19a967ab,de GER,FW,Eint Frankfurt,20-032,2002,0.0,3,0,0,1,2,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,4,2,50.0,0,Matches
233,Robin Knoche\6bd5cd5d,de GER,DF,Union Berlin,29-265,1992,21.0,1316,179,852,527,29,8,1296,8,10,80.0,9,0,791,4185,2142,29,4,0,4,8,809,795,98.3,1,Matches
234,Gregor Kobel\cd59b9df,ch SUI,GK,Dortmund,24-067,1997,19.5,761,664,758,3,0,0,618,0,0,,0,0,427,1569,655,0,0,0,2,0,402,401,99.8,0,Matches
235,Dominik Kohr\0fbecd11,de GER,MF,Mainz 05,28-011,1994,8.7,519,23,124,319,102,13,508,3,4,75.0,3,0,267,1130,599,20,8,1,6,3,328,292,89.0,15,Matches
236,Kouadio Koné\86574238,fr FRA,MF,M'Gladbach,20-270,2001,13.7,897,29,219,572,172,15,881,34,43,79.1,34,1,663,2924,1652,69,15,6,27,39,644,596,92.5,26,Matches
237,Odilon Kossonou\1f3afdcb,ci CIV,DF,Leverkusen,21-038,2001,11.4,780,108,480,340,24,5,757,7,11,63.6,7,0,529,2973,1560,21,4,0,6,7,555,547,98.6,0,Matches
238,Filip Kostić\b1cd37e6,rs SRB,DFFW,Eint Frankfurt,29-102,1992,17.1,1109,20,168,479,541,55,894,26,54,48.1,30,2,686,4061,2608,133,32,26,37,26,825,675,81.8,94,Matches
239,Nianzou Kouassi\5853ac44,fr FRA,DFMF,Bayern Munich,19-249,2002,2.0,184,11,69,108,20,1,182,1,2,50.0,1,0,117,586,359,7,2,0,2,3,133,129,97.0,0,Matches
240,Andrej Kramarić\603cb947,hr CRO,FWMF,Hoffenheim,30-237,1991,18.2,856,6,69,392,454,100,804,17,36,47.2,18,1,627,3428,1899,103,35,19,36,32,929,682,73.4,176,Matches
241,Christoph Kramer\496aeede,de GER,MF,M'Gladbach,30-357,1991,5.2,330,17,91,185,64,6,317,4,7,57.1,6,0,181,701,345,14,2,2,5,2,214,203,94.9,5,Matches
242,Florian Krüger\f9f92b5f,de GER,FWMF,Arminia,22-363,1999,8.5,304,13,48,112,163,27,294,6,14,42.9,7,0,185,1005,573,32,11,8,9,8,352,207,58.8,44,Matches
243,Max Kruse\f9446dcd,de GER,FW,Wolfsburg,33-329,1988,0.9,41,0,5,22,19,2,41,1,1,100.0,1,0,26,135,65,5,3,0,3,2,40,35,87.5,8,Matches
244,Max Kruse\f9446dcd,de GER,FWMF,Union Berlin,33-329,1988,14.1,595,3,48,296,279,36,528,16,21,76.2,17,1,368,1692,827,50,12,4,29,15,594,415,69.9,83,Matches
245,Lukas Kübler\2a29eb9b,de GER,DF,Freiburg,29-165,1992,17.3,955,63,304,447,253,22,811,10,14,71.4,11,0,458,2626,1160,43,15,4,10,4,520,461,88.7,35,Matches
246,Fabian Kunze\d25fee56,de GER,MF,Arminia,23-242,1998,8.8,402,22,109,241,69,3,397,10,13,76.9,10,1,206,821,407,17,5,1,4,14,216,183,84.7,8,Matches
247,Maxence Lacroix\277c49ed,fr FRA,DF,Wolfsburg,21-311,2000,17.6,1255,194,738,552,54,17,1232,19,25,76.0,19,0,796,4804,2656,47,5,0,6,7,785,769,98.0,6,Matches
248,Konrad Laimer\c1b7847c,at AUT,MF,RB Leipzig,24-260,1997,6.1,421,13,81,263,109,12,406,8,12,66.7,8,0,282,1499,887,38,13,0,11,9,304,281,92.4,17,Matches
249,Stefan Lainer\4aea5077,at AUT,DF,M'Gladbach,29-168,1992,6.7,410,23,118,207,103,15,348,2,8,25.0,3,1,208,869,517,27,6,2,6,6,254,226,89.0,18,Matches
250,Vassilis Lambropoulos\591477c9,gr GRE,DF,Bochum,31-317,1990,13.0,594,115,376,223,23,9,587,1,2,50.0,1,0,297,1701,544,12,3,1,3,5,318,310,97.5,3,Matches
251,Sam Lammers\c283ddef,nl NED,FW,Eint Frankfurt,24-287,1997,4.3,161,5,11,68,85,20,155,6,13,46.2,7,0,83,266,118,7,1,3,17,8,248,126,50.8,32,Matches
252,Bryan Lasme\ebac0ace,fr FRA,FWMF,Arminia,23-089,1998,6.9,235,8,19,108,118,39,231,7,20,35.0,9,1,138,548,293,18,2,8,20,10,337,164,48.7,49,Matches
253,Maxim Leitsch\7e12a98d,de GER,DF,Bochum,23-269,1998,7.1,435,60,267,178,15,3,431,0,1,0.0,0,0,248,1552,599,15,1,0,3,1,249,248,99.6,0,Matches
254,Tim Lemperle\792ffa71,de GER,FWMF,Köln,20-006,2002,0.8,34,0,2,16,20,5,33,1,4,25.0,1,0,19,116,76,3,2,2,1,1,47,25,53.2,7,Matches
255,Christopher Lenz\bbd86530,de GER,DF,Eint Frankfurt,27-142,1994,4.9,435,21,128,205,122,7,358,0,1,0.0,0,0,205,829,484,23,7,0,5,5,244,227,93.0,14,Matches
256,Robert Lewandowski\8d78e732,pl POL,FW,Bayern Munich,33-174,1988,20.1,722,11,41,281,434,166,708,22,40,55.0,24,2,499,2297,1078,70,17,20,45,31,918,571,62.2,186,Matches
257,Jamie Leweling\13fe7b69,de GER,FWMF,Greuther Fürth,20-350,2001,12.5,432,4,37,188,238,50,424,29,51,56.9,31,3,360,1994,1292,64,11,18,52,63,521,314,60.3,75,Matches
258,Philipp Lienhart\302527b2,at AUT,DF,Freiburg,25-215,1996,20.9,1287,203,810,579,40,19,1243,3,4,75.0,4,0,748,5828,3030,36,8,1,5,1,800,782,97.8,2,Matches
259,Jesper Lindstrøm\37dc1a48,dk DEN,MFFW,Eint Frankfurt,21-347,2000,13.6,564,10,73,246,281,59,531,19,48,39.6,24,4,357,1871,1160,66,17,17,46,31,540,352,65.2,88,Matches
