,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
24,Harrison Ashby\b391383a,sct SCO,DF,West Ham,20-089,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
25,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,32-238,1989,14,12,1037,11.5,4,1,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43,5.8,4.1,0.8,5.0,0.50,0.07,0.57,0.36,0.43,Matches
26,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,30-153,1991,21,16,1353,15.0,1,2,1,0,0,1,0,0.07,0.13,0.20,0.07,0.20,2.2,2.2,2.1,4.3,0.15,0.14,0.29,0.15,0.29,Matches
27,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,30-170,1991,13,13,1168,13.0,1,2,1,0,0,0,0,0.08,0.15,0.23,0.08,0.23,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
28,César Azpilicueta\53cad200,es ESP,DF,Chelsea,32-167,1989,17,16,1390,15.4,0,2,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.8,2.5,0.04,0.12,0.16,0.04,0.16,Matches
29,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,27-217,1994,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-186,1997,9,4,424,4.7,1,2,1,0,0,1,0,0.21,0.42,0.64,0.21,0.64,1.1,1.1,0.3,1.4,0.24,0.06,0.30,0.24,0.30,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-305,1994,4,3,217,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-223,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.35,0.00,0.35,0.35,0.35,Matches
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-159,1993,6,5,459,5.1,2,2,2,0,0,2,0,0.39,0.39,0.78,0.39,0.78,3.2,3.2,0.6,3.8,0.63,0.11,0.74,0.63,0.74,Matches
