,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
12,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,27-328,1994,6.5,9,1.38,8,0,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches
13,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,27-351,1994,18.9,49,2.60,36,0,2,6,4,1,7,0.37,4,0,0,2,1,0,Matches
14,Maghnes Akliouche\b625b241,fr FRA,FWMF,Monaco,19-351,2002,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,23-197,1998,1.8,1,0.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Josué Albert\3d738df0,gf GUF,DF,Clermont Foot,30-021,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Doğan Alemdar\9e17ccff,tr TUR,GK,Rennes,19-105,2002,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Mohamed Ali Cho\f8405304,fr FRA,FW,Angers,18-023,2004,13.1,27,2.06,14,0,4,2,5,2,5,0.38,3,0,0,2,0,0,Matches
19,Jim Allevinah\1956b948,ga GAB,FW,Clermont Foot,26-349,1995,10.2,33,3.23,22,1,5,1,2,2,2,0.20,2,0,0,0,0,0,Matches
20,Ibrahim Amadou\9260926b,fr FRA,DF,Metz,28-311,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Jordan Amavi\22721b88,fr FRA,DF,Nice,27-339,1994,1.8,1,0.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Jordan Amavi\22721b88,fr FRA,DF,Marseille,27-339,1994,1.4,1,0.70,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Benjamin André\ef9c1c95,fr FRA,MF,Lille,31-192,1990,19.5,22,1.13,20,0,1,0,0,1,3,0.15,3,0,0,0,0,0,Matches
24,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,23-226,1998,18.7,58,3.10,41,0,6,6,3,2,3,0.16,3,0,0,0,0,0,Matches
25,Adil Aouchiche\b94b8be1,fr FRA,MFFW,Saint-Étienne,19-211,2002,7.8,25,3.20,13,5,2,0,5,0,6,0.77,4,1,0,0,1,0,Matches
26,Dennis Appiah\feb5d3ab,fr FRA,DF,Nantes,29-247,1992,12.7,11,0.86,9,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Lorenz Assignon\b026bbf6,tg TOG,DF,Rennes,21-234,2000,6.1,14,2.29,9,0,1,3,1,0,0,0.00,0,0,0,0,0,0,Matches
28,Youcef Atal\6a827d8e,dz ALG,DF,Nice,25-270,1996,11.0,24,2.19,16,0,2,1,2,3,2,0.18,1,0,0,0,1,0,Matches
29,Jean-Kévin Augustin\97bfa797,fr FRA,FWMF,Nantes,24-240,1997,0.2,1,4.29,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,32-025,1990,4.3,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Loïc Bade\114bbdee,fr FRA,DF,Rennes,21-306,2000,10.9,3,0.27,1,0,0,2,0,0,1,0.09,0,0,0,1,0,0,Matches
32,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,20-322,2001,8.6,6,0.70,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
33,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,20-053,2001,1.5,3,2.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,29-259,1992,6.1,5,0.83,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
35,Dénys Bain\5065d67d,fr FRA,DF,Brest,28-224,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Stefan Bajic\be13e5a8,fr FRA,GK,Saint-Étienne,20-050,2001,5.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Cédric Bakambu\0af4dcf0,cd COD,FWMF,Marseille,30-306,1991,0.9,3,3.38,3,0,0,0,0,0,1,1.13,1,0,0,0,0,0,Matches
38,Abdoulaye Bakayoko\ee95585f,fr FRA,DF,Saint-Étienne,19-058,2002,2.0,1,0.50,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
39,Dilane Bakwa\2b5a35e5,fr FRA,FW,Bordeaux,19-169,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Ibrahima Baldé\a30cb0d4,fr FRA,FWMF,Lens,19-025,2003,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Leonardo Balerdi\7c3ed041,ar ARG,DF,Marseille,23-016,1999,9.7,4,0.41,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Jonathan Bamba\b2bd0f6c,fr FRA,MF,Lille,25-322,1996,14.8,42,2.85,22,11,3,0,4,2,3,0.20,2,0,0,0,1,0,Matches
43,Simon Banza\be47b750,fr FRA,FW,Lens,25-182,1996,1.4,4,2.90,3,0,0,0,0,1,2,1.45,1,0,0,0,0,1,Matches
44,Bradley Barcola\a0d55a09,fr FRA,MF,Lyon,19-162,2002,0.1,2,18.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
45,Melvin Bard\1ddbc7ca,fr FRA,DF,Nice,21-097,2000,16.8,22,1.31,20,1,0,0,0,1,4,0.24,4,0,0,0,0,0,Matches
46,Toma Bašić\80556f08,hr CRO,MF,Bordeaux,25-078,1996,2.3,6,2.58,2,3,1,0,0,0,1,0.43,0,1,0,0,0,0,Matches
47,Amine Bassi\ced1d98f,fr FRA,MF,Metz,24-076,1997,2.0,11,5.38,4,5,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
48,Mohamed Bayo\01870104,gn GUI,FW,Clermont Foot,23-252,1998,15.5,36,2.32,27,0,5,3,1,0,5,0.32,4,0,1,0,0,0,Matches
49,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,28-014,1994,14.0,18,1.20,18,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,23-229,1998,14.5,17,1.17,11,2,0,1,2,1,2,0.14,1,0,0,1,0,0,Matches
51,Hatem Ben Arfa\74dc806c,fr FRA,FW,Lille,34-341,1987,0.9,5,5.36,2,1,1,1,0,0,2,2.14,1,0,1,0,0,0,Matches
52,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,31-183,1990,15.2,42,2.76,32,0,4,2,4,0,7,0.46,5,0,1,0,1,0,Matches
53,Darío Benedetto\bef0a7ac,ar ARG,FWMF,Marseille,31-270,1990,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
