,,,,,,,,,,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
24,Anthony Lopes\f00de885,pt POR,GK,Lyon,31-133,1990,21.8,29,3,1,4,3,28.8,0.27,+2.8,+0.13,96,196,49.0,556,102,26.3,31.0,152,32.9,33.4,172,7,4.1,17,0.78,15.3,Matches
25,Pau López\20b9f052,es ESP,GK,Marseille,27-060,1994,19.0,15,3,0,1,0,17.6,0.29,+2.6,+0.14,97,230,42.2,750,95,25.3,30.2,106,37.7,35.4,107,17,15.9,17,0.89,16.2,Matches
26,Steve Mandanda\1d2d5cc8,fr FRA,GK,Marseille,36-320,1985,4.0,5,0,0,3,1,3.0,0.21,-1.0,-0.26,15,25,60.0,87,15,21.8,29.6,30,20.0,30.3,36,3,8.3,5,1.25,17.8,Matches
27,Paul Nardi\2d70dbe5,fr FRA,GK,Lorient,27-269,1994,22.0,38,4,4,3,2,31.4,0.32,-4.6,-0.21,81,317,25.6,361,75,51.0,43.3,176,75.6,58.9,209,6,2.9,7,0.32,13.0,Matches
28,Keylor Navas\ecada4fc,cr CRC,GK,Paris S-G,35-058,1986,12.7,11,0,0,2,0,10.8,0.21,-0.2,-0.02,31,58,53.4,259,60,17.0,27.7,87,16.1,24.6,94,5,5.3,10,0.79,13.7,Matches
29,Alexander Nübel\afb0c500,de GER,GK,Monaco,25-134,1996,23.0,26,6,0,3,2,27.6,0.29,+3.6,+0.16,106,271,39.1,538,93,36.2,35.5,151,50.3,43.3,153,6,3.9,12,0.52,15.5,Matches
30,Jonas Omlin\c631f952,ch SUI,GK,Montpellier,28-032,1994,17.8,21,0,0,2,0,20.4,0.22,-0.6,-0.03,111,251,44.2,522,111,33.5,33.9,176,43.2,39.3,188,17,9.0,6,0.34,12.6,Matches
31,Alexandre Oukidja\ae7d0ecd,dz ALG,GK,Metz,33-207,1988,18.0,36,3,1,2,2,29.9,0.35,-4.1,-0.23,132,312,42.3,360,107,54.4,45.2,139,83.5,60.2,154,24,15.6,19,1.06,15.4,Matches
32,Danijel Petković\b98cea65,me MNE,GK,Angers,28-262,1993,10.0,15,2,0,0,1,13.8,0.26,-0.2,-0.02,32,108,29.6,232,56,32.8,33.7,76,42.1,38.2,86,8,9.3,8,0.80,13.3,Matches
33,Julian Pollersbeck\d6f6ce93,de GER,GK,Lyon,27-179,1994,1.2,1,1,0,0,0,1.4,0.07,+0.4,+0.30,5,11,45.5,28,7,35.7,35.1,6,16.7,24.8,6,0,0.0,0,0.00,13.0,Matches
34,Gaëtan Poussin\c252c705,fr FRA,GK,Bordeaux,23-029,1999,2.0,8,0,0,2,0,4.8,0.33,-3.2,-1.59,12,35,34.3,51,10,37.3,38.0,26,61.5,45.8,28,0,0.0,0,0.00,9.2,Matches
35,Predrag Rajković\58ad9383,rs SRB,GK,Reims,26-103,1995,23.0,27,4,1,6,0,25.7,0.28,-1.3,-0.06,113,309,36.6,549,119,42.3,39.3,156,49.4,41.3,207,18,8.7,29,1.26,16.6,Matches
36,Sergio Rico\5f0241b2,es ESP,GK,Paris S-G,28-163,1993,0.3,1,0,0,0,0,1.1,0.41,+0.1,+0.52,2,3,66.7,8,1,37.5,32.3,0,,,4,0,0.0,1,3.91,18.3,Matches
37,Romain Salin\74733221,fr FRA,GK,Rennes,37-197,1984,1.0,2,0,0,0,0,1.0,0.32,-1.0,-1.04,6,9,66.7,29,8,31.0,35.3,3,0.0,13.3,6,1,16.7,1,1.00,14.5,Matches
38,Matz Sels\834b5c4c,be BEL,GK,Strasbourg,29-350,1992,22.0,29,3,0,4,1,27.0,0.31,-1.0,-0.04,114,267,42.7,428,79,46.3,38.1,142,48.6,43.2,161,15,9.3,12,0.55,14.2,Matches
