,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
542,Manu Trigueros\963829d0,es ESP,MFFW,Villarreal,30-117,1991,21,17,1328,14.8,5,3,5,0,0,2,0,0.34,0.20,0.54,0.34,0.54,3.2,3.2,1.9,5.2,0.22,0.13,0.35,0.22,0.35,Matches
543,Kieran Trippier\21512407,eng ENG,DF,Atlético Madrid,31-145,1990,15,12,976,10.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.01,0.02,0.03,0.01,0.03,Matches
544,Beñat Turrientes\068f4dec,es ESP,MF,Real Sociedad,20-011,2002,8,1,207,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.19,0.08,0.27,0.19,0.27,Matches
545,Samuel Umtiti\3eed9821,fr FRA,DF,Barcelona,28-089,1993,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
546,Enes Ünal\f8eca1b6,tr TUR,FW,Getafe,24-277,1997,22,18,1500,16.7,9,0,9,0,1,5,0,0.54,0.00,0.54,0.54,0.54,4.9,4.1,0.6,4.8,0.29,0.04,0.33,0.25,0.29,Matches
547,Myrto Uzuni\01da7812,al ALB,MF,Granada,26-256,1995,1,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.40,0.00,0.40,0.40,0.40,Matches
548,Álvaro Vadillo\61b62b33,es ESP,MFDF,Espanyol,27-152,1994,3,0,7,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
549,Óscar Valentín\592f3158,es ESP,MF,Rayo Vallecano,27-175,1994,19,14,1302,14.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.4,1.4,0.07,0.03,0.09,0.07,0.09,Matches
550,Germán Valera\84f55b4a,es ESP,FWMF,Real Sociedad,19-332,2002,3,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
551,Martin Valjent\f2c6ac01,sk SVK,DF,Mallorca,26-062,1995,21,21,1831,20.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.01,0.02,0.03,0.01,0.03,Matches
