,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-232,1992,21,21,1882,20.9,1,3,1,0,0,2,0,0.05,0.14,0.19,0.05,0.19,0.6,0.6,2.1,2.7,0.03,0.10,0.13,0.03,0.13,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,23-023,1999,18,14,1247,13.9,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.1,2.1,0.07,0.08,0.15,0.07,0.15,Matches
13,Jordi Alba\4601e194,es ESP,DF,Barcelona,32-327,1989,16,16,1420,15.8,1,4,1,0,0,4,0,0.06,0.25,0.32,0.06,0.32,0.8,0.8,2.4,3.2,0.05,0.15,0.20,0.05,0.20,Matches
14,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,36-160,1985,18,18,1620,18.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matches
15,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,28-165,1993,10,6,470,5.2,0,2,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,1.6,1.6,1.6,3.2,0.31,0.30,0.61,0.31,0.61,Matches
16,Rubén Alcaraz\036bba5f,es ESP,MF,Cádiz,30-286,1991,2,1,120,1.3,1,0,1,0,0,0,0,0.75,0.00,0.75,0.75,0.75,0.3,0.3,0.1,0.4,0.22,0.06,0.28,0.22,0.28,Matches
17,Omar Alderete\bb08bce9,py PAR,DF,Valencia,25-047,1996,19,18,1532,17.0,2,0,2,0,0,9,0,0.12,0.00,0.12,0.12,0.12,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches
18,Iván Alejo\3d7e48ce,es ESP,MF,Cádiz,27-001,1995,9,4,446,5.0,1,2,1,0,0,4,0,0.20,0.40,0.61,0.20,0.61,0.3,0.3,0.9,1.1,0.05,0.17,0.22,0.05,0.22,Matches
19,Carles Aleñá\6c811eb7,es ESP,MF,Getafe,24-037,1998,22,22,1738,19.3,1,2,1,0,0,4,1,0.05,0.10,0.16,0.05,0.16,1.3,1.3,1.2,2.5,0.07,0.06,0.13,0.07,0.13,Matches
20,Mircea Alexandru Tirlea\683a1d81,ro ROU,DF,Alavés,21-320,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,36-235,1985,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.91,0.00,1.91,1.91,1.91,Matches
22,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,27-018,1995,12,12,1080,12.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.03,0.00,0.03,0.03,0.03,Matches
23,Dani Alves\c9e99e49,br BRA,DF,Barcelona,38-281,1983,2,2,158,1.8,1,2,1,0,0,0,1,0.57,1.14,1.71,0.57,1.71,0.1,0.1,0.3,0.4,0.05,0.17,0.22,0.05,0.22,Matches
24,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,20-083,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.0,0.1,0.04,0.05,0.08,0.04,0.08,Matches
25,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,25-210,1996,14,7,677,7.5,0,1,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,1.1,1.1,0.2,1.3,0.14,0.03,0.17,0.14,0.17,Matches
26,Florin Andone\dc008610,ro ROU,FW,Cádiz,28-306,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.02,0.15,0.13,0.15,Matches
27,José Ángel\3024e383,es ESP,DF,Osasuna,32-159,1989,15,7,659,7.3,1,1,1,0,0,0,1,0.14,0.14,0.27,0.14,0.27,0.2,0.2,1.0,1.2,0.02,0.14,0.16,0.02,0.16,Matches
28,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,21-219,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
29,Mauro Arambarri\58afe001,uy URU,MF,Getafe,26-134,1995,19,19,1614,17.9,0,4,0,0,0,7,0,0.00,0.22,0.22,0.00,0.22,0.8,0.8,1.2,2.1,0.05,0.07,0.11,0.05,0.11,Matches
30,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,30-166,1991,20,15,1422,15.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
31,Ronald Araújo\2bef2bca,uy URU,DF,Barcelona,22-341,1999,17,12,1206,13.4,3,0,3,0,0,2,0,0.22,0.00,0.22,0.22,0.22,0.9,0.9,0.4,1.3,0.07,0.03,0.09,0.07,0.09,Matches
32,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-224,1999,2,2,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
33,Matias Arezo\484ebdb0,uy URU,FW,Granada,19-082,2002,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
34,Santiago Arias\fdd60087,co COL,DF,Granada,30-029,1992,8,3,327,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,0.6,0.6,0.2,0.8,0.17,0.05,0.22,0.17,0.22,Matches
35,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-282,1998,10,4,351,3.9,1,0,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches
36,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,26-021,1996,18,11,994,11.0,6,0,6,0,0,1,0,0.54,0.00,0.54,0.54,0.54,5.0,5.0,1.4,6.4,0.46,0.12,0.58,0.46,0.58,Matches
38,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-194,1987,22,21,1776,19.7,11,3,9,2,4,7,0,0.56,0.15,0.71,0.46,0.61,8.4,5.2,3.9,9.1,0.42,0.20,0.62,0.26,0.46,Matches
39,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,32-238,1989,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
40,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-296,1994,10,5,443,4.9,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,0.2,0.2,0.01,0.04,0.04,0.01,0.04,Matches
41,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-049,1992,7,3,361,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.3,0.3,0.8,1.1,0.08,0.21,0.29,0.08,0.29,Matches
42,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,28-005,1994,22,9,881,9.8,3,0,3,0,0,5,1,0.31,0.00,0.31,0.31,0.31,2.0,2.0,0.6,2.6,0.20,0.06,0.26,0.20,0.26,Matches
43,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,26-020,1996,17,15,1314,14.6,2,0,2,0,0,7,0,0.14,0.00,0.14,0.14,0.14,1.3,1.3,0.2,1.5,0.09,0.01,0.10,0.09,0.10,Matches
44,Carlos Bacca\09a9e921,co COL,FW,Granada,35-156,1986,15,4,492,5.5,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.7,0.7,0.5,1.2,0.13,0.08,0.21,0.13,0.21,Matches
45,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
46,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,21-321,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
47,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,18-116,2003,4,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
48,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,32-210,1989,3,3,190,2.1,1,0,1,0,0,1,0,0.47,0.00,0.47,0.47,0.47,0.4,0.4,0.0,0.4,0.17,0.02,0.19,0.17,0.19,Matches
49,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,33-347,1988,19,19,1630,18.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.5,0.01,0.02,0.03,0.01,0.03,Matches
50,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,30-041,1992,21,21,1890,21.0,1,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,0.4,0.4,1.9,2.3,0.02,0.09,0.11,0.02,0.11,Matches
51,Barbero\981c1863,es ESP,FWMF,Osasuna,23-178,1998,4,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
52,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,26-224,1995,16,11,965,10.7,3,2,1,2,2,3,0,0.28,0.19,0.47,0.09,0.28,3.1,1.5,1.5,3.0,0.28,0.14,0.42,0.14,0.28,Matches
53,Keidi Bare\03049c8c,al ALB,MF,Espanyol,24-167,1997,15,8,781,8.7,0,1,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.9,1.0,0.02,0.10,0.12,0.02,0.12,Matches
54,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,24-316,1997,12,8,636,7.1,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,1.0,1.0,0.6,1.6,0.14,0.09,0.22,0.14,0.22,Matches
55,Antonio Barragán\487d9b09,es ESP,DF,Elche,34-244,1987,9,7,586,6.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
56,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,20-046,2001,11,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.4,0.4,1.0,1.4,0.06,0.17,0.23,0.06,0.23,Matches
57,Marc Bartra\b742cc0d,es ESP,DF,Betis,31-027,1991,10,10,823,9.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.5,0.05,0.01,0.06,0.05,0.06,Matches
58,Álvaro Bastida\42a028c5,es ESP,MF,Cádiz,17-275,2004,6,2,197,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
59,Rodrigo Battaglia\d637fc22,ar ARG,MF,Mallorca,30-214,1991,16,7,674,7.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
60,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,26-223,1995,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
61,Bebé\d8712bf9,pt POR,FWMF,Rayo Vallecano,31-214,1990,17,1,360,4.0,0,2,0,0,0,1,0,0.00,0.50,0.50,0.00,0.50,0.6,0.6,1.6,2.2,0.16,0.40,0.56,0.16,0.56,Matches
62,Héctor Bellerín\f874dd44,es ESP,DF,Betis,26-329,1995,15,15,1326,14.7,0,2,0,0,0,0,1,0.00,0.14,0.14,0.00,0.14,0.2,0.2,1.7,1.9,0.01,0.11,0.13,0.01,0.13,Matches
63,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,23-008,1999,23,17,1473,16.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.03,0.04,0.01,0.04,Matches
64,Darío Benedetto\bef0a7ac,ar ARG,FW,Elche,31-270,1990,14,6,590,6.6,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,2.7,2.7,0.9,3.6,0.41,0.14,0.56,0.41,0.56,Matches
65,Iker Benito\50cbc806,es ESP,MFFW,Osasuna,19-185,2002,2,0,29,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
66,Pedro Benito\a7416105,es ESP,FW,Cádiz,21-321,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
67,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,34-054,1987,21,21,1703,18.9,17,7,15,2,3,0,0,0.90,0.37,1.27,0.79,1.16,11.8,9.6,5.7,15.3,0.63,0.30,0.93,0.51,0.81,Matches
68,Yuri Berchiche\b6e50615,es ESP,MF,Athletic Club,32-001,1990,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
69,Álex Berenguer\dc1c2fce,es ESP,MF,Athletic Club,26-222,1995,21,15,1248,13.9,0,2,0,0,1,3,0,0.00,0.14,0.14,0.00,0.14,2.9,2.1,2.3,4.4,0.21,0.16,0.37,0.15,0.32,Matches
70,Pedro Bigas\697295b1,es ESP,DF,Elche,31-149,1990,11,11,907,10.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
71,Blanco\506daeac,es ESP,MF,Real Madrid,21-203,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
72,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-312,1991,18,18,1620,18.0,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.5,0.5,0.00,0.03,0.03,0.00,0.03,Matches
73,Lucas Boyé\d49f3e6b,ar ARG,FW,Elche,25-348,1996,18,16,1360,15.1,7,3,7,0,0,2,0,0.46,0.20,0.66,0.46,0.66,4.4,4.4,1.7,6.1,0.29,0.11,0.40,0.29,0.40,Matches
74,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,30-251,1991,3,3,224,2.5,2,1,2,0,0,0,0,0.80,0.40,1.21,0.80,1.21,1.0,1.0,1.3,2.3,0.42,0.50,0.92,0.42,0.92,Matches
75,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,29-364,1992,21,17,1549,17.2,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,1.1,2.0,0.05,0.07,0.12,0.05,0.12,Matches
76,Claudio Bravo\10072610,cl CHI,GK,Betis,38-304,1983,9,9,810,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,Matches
77,Yan Brice Eteki\3d688b46,cm CMR,MF,Granada,24-169,1997,6,1,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
78,Bryan\7b5ab7f2,es ESP,FWMF,Valencia,21-000,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.21,0.25,0.47,0.21,0.47,Matches
79,Ante Budimir\8f3565b3,hr CRO,FW,Osasuna,30-204,1991,13,8,656,7.3,2,0,1,1,1,1,0,0.27,0.00,0.27,0.14,0.14,2.9,2.3,0.3,2.7,0.40,0.05,0.45,0.32,0.37,Matches
80,Sergio Busquets\5ab0ea87,es ESP,MF,Barcelona,33-210,1988,21,21,1852,20.6,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.3,0.3,0.9,1.2,0.01,0.04,0.06,0.01,0.06,Matches
81,Adrián Butzke\505dce2b,es ESP,FW,Granada,22-318,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
82,Erick Cabaco\e7ab4179,uy URU,DF,Getafe,26-298,1995,6,3,239,2.7,0,1,0,0,0,3,1,0.00,0.38,0.38,0.00,0.38,0.0,0.0,0.4,0.4,0.00,0.13,0.13,0.00,0.13,Matches
83,Leandro Cabrera\69cbc8b6,uy URU,DF,Espanyol,30-239,1991,22,22,1980,22.0,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.1,1.0,0.04,0.01,0.05,0.04,0.05,Matches
84,Martín Cáceres\e94d79e3,uy URU,DF,Levante,34-310,1987,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.15,0.15,0.00,0.15,Matches
85,Cala\fe05804b,es ESP,DF,Cádiz,32-077,1989,12,10,904,10.0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06,Matches
86,Calderón\da4e70e5,es ESP,DF,Betis,22-035,2000,1,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.19,0.19,0.00,0.19,Matches
87,Fernando Calero\41b3069f,es ESP,DF,Espanyol,26-150,1995,4,3,209,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
88,Víctor Camarasa\b2d03887,es ESP,MFFW,Betis,27-259,1994,7,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
89,Eduardo Camavinga\7b9c2d84,fr FRA,MF,Real Madrid,19-093,2002,14,5,516,5.7,1,0,1,0,0,4,0,0.17,0.00,0.17,0.17,0.17,0.8,0.8,0.5,1.3,0.14,0.07,0.21,0.14,0.21,Matches
90,José Campaña\61220da2,es ESP,MF,Levante,28-256,1993,13,12,1030,11.4,2,0,2,0,1,3,1,0.17,0.00,0.17,0.17,0.17,1.2,0.4,0.5,0.9,0.11,0.04,0.15,0.03,0.08,Matches
91,Sergio Canales\a6de370d,es ESP,FWMF,Betis,30-360,1991,22,21,1738,19.3,3,5,3,0,0,3,0,0.16,0.26,0.41,0.16,0.41,3.6,3.6,3.3,6.9,0.19,0.17,0.36,0.19,0.36,Matches
92,Álex Cantero\4aa253fd,es ESP,FWMF,Levante,21-248,2000,15,2,315,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.0,1.7,0.47,0.00,0.47,0.47,0.47,Matches
93,Étienne Capoue\5acc4a10,fr FRA,MF,Villarreal,33-215,1988,19,18,1536,17.1,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.2,0.5,0.02,0.01,0.03,0.02,0.03,Matches
94,Isaac Carcelen\c4b888df,es ESP,DFMF,Cádiz,28-294,1993,19,16,1378,15.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matches
95,Cárdenas\e1846dde,es ESP,GK,Levante,24-320,1997,9,9,810,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
96,Carlo\8249ff06,es ESP,MF,Villarreal,20-364,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
97,Diego Carlos\b4a014b1,br BRA,DF,Sevilla,28-333,1993,22,22,1979,22.0,2,0,2,0,0,3,1,0.09,0.00,0.09,0.09,0.09,1.9,1.9,0.3,2.3,0.09,0.01,0.10,0.09,0.10,Matches
98,Yannick Carrasco\de39485a,be BEL,DFMF,Atlético Madrid,28-160,1993,21,19,1664,18.5,3,5,3,0,0,3,0,0.16,0.27,0.43,0.16,0.43,2.7,2.7,3.9,6.6,0.15,0.21,0.36,0.15,0.36,Matches
99,Guido Carrillo\8f898ba8,ar ARG,FWMF,Elche,30-262,1991,16,4,530,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.1,1.7,0.27,0.02,0.28,0.27,0.28,Matches
100,Dani Carvajal\4958bfb2,es ESP,DF,Real Madrid,30-031,1992,13,10,854,9.5,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.8,1.2,0.04,0.08,0.12,0.04,0.12,Matches
101,William Carvalho\dee86451,pt POR,MF,Betis,29-310,1992,20,11,1033,11.5,0,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,1.6,1.6,1.3,2.9,0.14,0.11,0.25,0.14,0.25,Matches
102,Casemiro\4d224fe8,br BRA,MF,Real Madrid,29-353,1992,20,19,1670,18.6,0,3,0,0,0,7,0,0.00,0.16,0.16,0.00,0.16,1.6,1.6,1.7,3.2,0.08,0.09,0.17,0.08,0.17,Matches
103,Kiko Casilla\58bc7d18,es ESP,GK,Elche,35-132,1986,12,12,1080,12.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
104,Catena\274ab13c,es ESP,DF,Rayo Vallecano,27-106,1994,21,21,1890,21.0,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,1.2,1.2,0.6,1.8,0.06,0.03,0.08,0.06,0.08,Matches
105,Dani Ceballos\c0617e2b,es ESP,MF,Real Madrid,25-188,1996,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches
106,Franco Cervi\5e1028e5,ar ARG,MF,Celta Vigo,27-261,1994,22,11,1069,11.9,2,2,2,0,0,2,0,0.17,0.17,0.34,0.17,0.34,1.1,1.1,1.1,2.2,0.09,0.09,0.19,0.09,0.19,Matches
107,Chapela\9ed40a69,es ESP,MFFW,Cádiz,22-266,1999,9,4,398,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.02,0.03,0.05,0.02,0.05,Matches
108,Chema\7f203b54,es ESP,MF,Getafe,29-345,1992,1,1,45,0.5,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
109,Denis Cheryshev\0ac94a23,ru RUS,MF,Valencia,31-047,1990,10,5,423,4.7,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,0.8,0.8,0.3,1.1,0.16,0.07,0.23,0.16,0.23,Matches
110,Samuel Chukwueze\b8a642fc,ng NGA,MF,Villarreal,22-265,1999,13,3,509,5.7,2,1,2,0,0,2,0,0.35,0.18,0.53,0.35,0.53,1.5,1.5,1.1,2.5,0.26,0.19,0.45,0.26,0.45,Matches
111,Víctor Chust\ec1a731e,es ESP,DF,Cádiz,21-343,2000,13,10,926,10.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.05,0.00,0.05,0.05,0.05,Matches
112,Jasper Cillessen\04ac8285,nl NED,GK,Valencia,32-295,1989,15,15,1277,14.2,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
113,Pathé Ciss\9a0408b6,sn SEN,MF,Rayo Vallecano,27-332,1994,17,8,653,7.3,1,1,1,0,0,4,0,0.14,0.14,0.28,0.14,0.28,0.9,0.9,0.3,1.3,0.13,0.05,0.17,0.13,0.17,Matches
114,Carlos Clerc\33a61a52,es ESP,DF,Levante,29-355,1992,18,18,1508,16.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.0,0.02,0.05,0.06,0.02,0.06,Matches
115,Coke\6d8f8441,es ESP,DF,Levante,34-291,1987,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
116,Álex Collado\85dace26,es ESP,MFFW,Granada,22-295,1999,4,2,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Matches
117,Eray Cömert\15937e17,ch SUI,DF,Valencia,24-007,1998,1,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
118,Santi Comesaña\5ae499d0,es ESP,MF,Rayo Vallecano,25-129,1996,21,19,1645,18.3,1,2,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,2.8,2.8,1.6,4.3,0.15,0.09,0.24,0.15,0.24,Matches
119,Diego Conde\4eae5bc4,es ESP,GK,Getafe,23-106,1998,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
120,Francis Coquelin\a6951bf8,fr FRA,MF,Villarreal,30-274,1991,13,6,567,6.3,1,1,1,0,0,2,0,0.16,0.16,0.32,0.16,0.32,0.2,0.2,0.5,0.7,0.04,0.08,0.12,0.04,0.12,Matches
121,Jesús Corona\fb938d24,mx MEX,FWDF,Sevilla,29-036,1993,3,1,172,1.9,0,1,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,0.4,0.4,0.3,0.7,0.22,0.15,0.38,0.22,0.38,Matches
