,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
30,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,24-186,1997,4.7,1,13,5,38.5,2.76,1.06,0.08,0.20,17.8,4,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
31,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,27-305,1994,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Folarin Balogun\31822f8c,eng ENG,FW,Arsenal,20-223,2001,0.8,0,3,0,0.0,3.86,0.00,0.00,,14.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
33,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,28-159,1993,5.1,2,16,5,31.3,3.14,0.98,0.13,0.40,13.0,0,0,0,3.2,3.2,0.20,-1.2,-1.2,Matches
34,Shandon Baptiste\2886c9b5,gd GRN,MF,Brentford,23-309,1998,9.1,1,11,4,36.4,1.21,0.44,0.09,0.25,20.0,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
35,Ross Barkley\3a24769f,eng ENG,MF,Chelsea,28-068,1993,1.7,0,6,1,16.7,3.51,0.58,0.00,0.00,22.1,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Matches
36,Ashley Barnes\2691c772,eng ENG,FW,Burnley,32-104,1989,4.3,0,8,3,37.5,1.87,0.70,0.00,0.00,12.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
37,Harvey Barnes\3ea50f67,eng ENG,FWMF,Leicester City,24-064,1997,12.4,2,30,13,43.3,2.42,1.05,0.07,0.15,15.4,0,0,0,3.4,3.4,0.12,-1.4,-1.4,Matches
38,Lewis Bate\cd4256d3,eng ENG,MF,Leeds United,19-105,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,Mads Bech Sørensen\30db8574,dk DEN,DF,Brentford,23-035,1999,4.2,0,1,0,0.0,0.24,0.00,0.00,,8.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
40,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,25-305,1996,16.7,3,11,5,45.5,0.66,0.30,0.27,0.60,6.4,0,0,0,1.4,1.4,0.13,+1.6,+1.6,Matches
41,Donny van de Beek\50dc94ce,nl NED,MF,Everton,24-299,1997,0.3,0,1,0,0.0,2.90,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
42,Donny van de Beek\50dc94ce,nl NED,MF,Manchester Utd,24-299,1997,0.8,1,2,1,50.0,2.40,1.20,0.50,1.00,9.3,0,0,0,0.7,0.7,0.36,+0.3,+0.3,Matches
43,Asmir Begović\7b4de647,ba BIH,GK,Everton,34-236,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Saïd Benrahma\5a04fd92,dz ALG,FWMF,West Ham,26-185,1995,16.6,5,46,15,32.6,2.77,0.90,0.11,0.33,18.5,3,0,0,3.7,3.7,0.08,+1.3,+1.3,Matches
45,Rodrigo Bentancur\3b8674e6,uy URU,MF,Tottenham,24-251,1997,0.3,0,1,0,0.0,2.90,0.00,0.00,,20.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
46,Christian Benteke\ab070c55,be BEL,FW,Crystal Palace,31-070,1990,12.1,4,39,13,33.3,3.21,1.07,0.10,0.31,11.4,0,0,0,5.4,5.4,0.14,-1.4,-1.4,Matches
47,Jóhann Berg Guðmundsson\f72293fc,is ISL,MF,Burnley,31-107,1990,12.2,0,19,4,21.1,1.55,0.33,0.00,0.00,19.7,2,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
48,Steven Bergwijn\a29b1131,nl NED,FW,Tottenham,24-126,1997,4.7,2,13,7,53.8,2.77,1.49,0.15,0.29,16.6,0,0,0,1.9,1.9,0.15,+0.1,+0.1,Matches
49,Ryan Bertrand\01226327,eng ENG,DF,Leicester City,32-190,1989,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
50,Mads Bidstrup\407db0d5,dk DEN,MF,Brentford,20-351,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
51,Yves Bissouma\6c203af0,ml MLI,MF,Brighton,25-165,1996,13.4,0,13,3,23.1,0.97,0.22,0.00,0.00,23.0,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
52,Jarrod Bowen\79c84d1c,eng ENG,FW,West Ham,25-053,1996,22.6,7,59,23,39.0,2.61,1.02,0.12,0.30,15.8,0,0,0,8.1,8.1,0.14,-1.1,-1.1,Matches
53,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,19-229,2002,1.6,1,2,2,100.0,1.23,1.23,0.50,0.50,14.0,0,0,0,0.4,0.4,0.21,+0.6,+0.6,Matches
54,Armando Broja\97220da2,al ALB,FW,Southampton,20-154,2001,11.7,6,28,13,46.4,2.39,1.11,0.21,0.46,11.7,0,0,0,5.1,5.1,0.18,+0.9,+0.9,Matches
55,Josh Brownhill\47369df8,eng ENG,MF,Burnley,26-054,1995,15.4,0,11,2,18.2,0.72,0.13,0.00,0.00,22.0,2,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
56,Bryan\7b5ab7f2,es ESP,FWMF,Tottenham,21-000,2001,1.0,0,1,1,100.0,0.96,0.96,0.00,0.00,16.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
57,Emi Buendía\66b76d44,ar ARG,FWMF,Aston Villa,25-048,1996,14.4,2,26,8,30.8,1.81,0.56,0.08,0.25,17.7,0,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches
58,Dan Burn\b2d31e83,eng ENG,DF,Brighton,29-278,1992,11.4,1,7,3,42.9,0.62,0.26,0.14,0.33,7.4,0,0,0,1.2,1.2,0.18,-0.2,-0.2,Matches
59,Jack Butland\cc70a1d5,eng ENG,GK,Crystal Palace,28-338,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Sam Byram\1bf811d4,eng ENG,DFMF,Norwich City,28-148,1993,1.7,0,1,0,0.0,0.58,0.00,0.00,,3.0,0,0,0,0.3,0.3,0.29,-0.3,-0.3,Matches
61,Willy Caballero\a179d516,ar ARG,GK,Southampton,40-136,1981,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Dominic Calvert-Lewin\59e6e5bf,eng ENG,FW,Everton,24-332,1997,5.8,3,15,7,46.7,2.61,1.22,0.07,0.14,11.0,0,2,3,5.3,3.1,0.20,-2.3,-2.1,Matches
63,João Cancelo\bd6351cd,pt POR,DF,Manchester City,27-260,1994,22.9,1,52,17,32.7,2.28,0.74,0.02,0.06,22.2,1,0,0,2.6,2.6,0.05,-1.6,-1.6,Matches
64,Sergi Canós\1137759d,es ESP,DF,Brentford,25-009,1997,19.0,2,26,8,30.8,1.37,0.42,0.08,0.25,16.0,1,0,0,2.5,2.5,0.10,-0.5,-0.5,Matches
65,Todd Cantwell\f63d8a4b,eng ENG,FWMF,Norwich City,23-349,1998,4.9,0,4,0,0.0,0.82,0.00,0.00,,28.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
66,Matty Cash\2389cdc2,pl POL,DF,Aston Villa,24-188,1997,21.8,1,19,4,21.1,0.87,0.18,0.05,0.25,18.5,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
67,Timothy Castagne\197640fd,be BEL,DF,Leicester City,26-068,1995,14.1,0,1,0,0.0,0.07,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
