,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
131,Ederson\3bb7b8b4,br BRA,GK,Manchester City,28-178,1993,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
132,Odsonne Édouard\0562b7f1,fr FRA,FW,Crystal Palace,24-026,1998,13.0,6,33,14,42.4,2.53,1.07,0.15,0.36,12.9,0,1,1,6.3,5.6,0.17,-0.3,-0.6,Matches
133,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,19-290,2002,2.8,1,7,2,28.6,2.46,0.70,0.14,0.50,14.5,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
134,Harvey Elliott\c8387671,eng ENG,MF,Liverpool,18-313,2003,3.1,0,7,1,14.3,2.23,0.32,0.00,0.00,16.3,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
135,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,29-215,1992,2.0,0,1,0,0.0,0.51,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
136,Mohamed Elyounoussi\68dc0dac,no NOR,MF,Southampton,27-191,1994,11.6,3,27,10,37.0,2.34,0.87,0.11,0.30,14.8,0,0,0,3.4,3.4,0.14,-0.4,-0.4,Matches
137,Emerson\df8b52a5,br BRA,DF,Tottenham,23-028,1999,14.8,0,5,1,20.0,0.34,0.07,0.00,0.00,11.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
138,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,26-094,1995,4.1,0,3,0,0.0,0.73,0.00,0.00,,30.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
139,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,34-039,1988,8.4,1,3,2,66.7,0.36,0.24,0.33,0.50,5.7,0,0,0,0.7,0.7,0.25,+0.3,+0.3,Matches
140,Eberechi Eze\ae4fc6a4,eng ENG,MFFW,Crystal Palace,23-227,1998,1.5,0,2,0,0.0,1.32,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
141,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,36-299,1985,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
142,Fabinho\7f3b388c,br BRA,MF,Liverpool,28-111,1993,15.9,3,12,5,41.7,0.75,0.31,0.17,0.40,18.8,0,1,1,1.7,0.9,0.08,+1.3,+1.1,Matches
143,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,31-009,1991,12.5,0,2,0,0.0,0.16,0.00,0.00,,21.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
144,Nathan Ferguson\2f8d27bc,eng ENG,DF,Crystal Palace,21-128,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
145,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,27-156,1994,20.6,7,48,14,29.2,2.33,0.68,0.15,0.50,21.8,4,0,1,4.8,4.1,0.08,+2.2,+2.9,Matches
146,Álvaro Fernández\f127d782,es ESP,GK,Brentford,23-304,1998,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
147,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,32-355,1989,5.8,0,6,1,16.7,1.03,0.17,0.00,0.00,9.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
148,Fernandinho\101da2b5,br BRA,MF,Manchester City,36-283,1985,5.8,1,9,1,11.1,1.56,0.17,0.11,1.00,18.0,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
149,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,30-132,1991,7.4,4,19,9,47.4,2.57,1.22,0.21,0.44,14.1,0,0,0,4.5,4.5,0.23,-0.5,-0.5,Matches
150,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,25-173,1996,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,12.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
151,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,26-132,1995,0.3,0,2,1,50.0,6.00,3.00,0.00,0.00,19.9,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
152,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,21-259,2000,13.0,5,33,14,42.4,2.54,1.08,0.15,0.36,14.5,0,0,0,5.4,5.4,0.16,-0.4,-0.4,Matches
153,Pablo Fornals\82927de4,es ESP,MFFW,West Ham,25-354,1996,18.8,5,28,9,32.1,1.49,0.48,0.18,0.56,18.4,0,0,0,3.2,3.2,0.11,+1.8,+1.8,Matches
154,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,30-126,1991,9.5,0,7,2,28.6,0.73,0.21,0.00,0.00,28.9,1,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
155,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,22-238,1999,2.3,0,5,0,0.0,2.15,0.00,0.00,,14.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
156,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,33-331,1988,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
157,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,38-314,1983,11.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
158,Ryan Fraser\d56543a0,sct SCO,MFFW,Newcastle Utd,27-352,1994,9.4,1,14,2,14.3,1.49,0.21,0.07,0.50,16.8,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
159,Fred\b853e0ad,br BRA,MF,Manchester Utd,28-343,1993,15.9,2,10,6,60.0,0.63,0.38,0.20,0.33,22.6,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
160,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,29-124,1992,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
161,Leo Fuhr Hjelde\d102b8a2,no NOR,DF,Leeds United,18-169,2003,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
162,Conor Gallagher\c2731c10,eng ENG,MF,Crystal Palace,22-005,2000,19.4,7,38,17,44.7,1.95,0.87,0.18,0.41,15.9,4,0,0,4.4,4.4,0.12,+2.6,+2.6,Matches
163,Dwight Gayle\e58a03c6,eng ENG,FW,Newcastle Utd,31-117,1990,0.3,0,1,0,0.0,2.90,0.00,0.00,,9.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
164,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,26-139,1995,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
165,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,31-096,1990,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
166,Joe Gelhardt\01962d0d,eng ENG,FW,Leeds United,19-283,2002,3.5,1,9,4,44.4,2.55,1.13,0.11,0.25,14.9,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
167,Anwar El Ghazi\ffa90327,nl NED,FWMF,Aston Villa,26-284,1995,4.3,1,7,2,28.6,1.63,0.47,0.00,0.00,21.3,0,1,1,1.1,0.3,0.04,-0.1,-0.3,Matches
168,Saman Ghoddos\f7b1d4e0,ir IRN,MFDF,Brentford,28-158,1993,4.6,1,7,2,28.6,1.51,0.43,0.14,0.50,19.3,1,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
169,Dimitris Giannoulis\112c495e,gr GRE,DF,Norwich City,26-117,1995,6.1,0,2,1,50.0,0.33,0.16,0.00,0.00,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
170,Morgan Gibbs-White\32f60ed8,eng ENG,FWMF,Wolves,22-015,2000,0.1,0,2,0,0.0,20.00,0.00,0.00,,16.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
171,Ben Gibson\bcfb0142,eng ENG,DF,Norwich City,29-027,1993,18.7,0,7,3,42.9,0.37,0.16,0.00,0.00,10.2,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Matches
172,Billy Gilmour\df10e27c,sct SCO,MF,Norwich City,20-245,2001,12.0,0,8,1,12.5,0.67,0.08,0.00,0.00,24.6,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
173,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,24-027,1998,16.5,0,15,5,33.3,0.91,0.30,0.00,0.00,17.1,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
174,André Gomes\1961b2aa,pt POR,MF,Everton,28-196,1993,5.1,0,11,2,18.2,2.18,0.40,0.00,0.00,20.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
175,Toti Gomes\f0caab96,pt POR,DF,Wolves,23-026,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
176,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,24-264,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
177,Charlie Goode\7aee4dd3,eng ENG,DF,Brentford,26-192,1995,5.0,0,2,0,0.0,0.40,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
178,Anthony Gordon\2bd83368,eng ENG,MFFW,Everton,20-352,2001,11.2,2,20,8,40.0,1.79,0.72,0.10,0.25,16.2,1,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
179,Kaide Gordon\19a9cb70,eng ENG,FW,Liverpool,17-129,2004,0.1,0,1,1,100.0,10.00,10.00,0.00,0.00,19.0,0,0,0,0.4,0.4,0.45,-0.4,-0.4,Matches
180,Dan Gosling\7fec31a0,eng ENG,MF,Watford,32-010,1990,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
181,Demarai Gray\4468ec10,eng ENG,MFFW,Everton,25-228,1996,17.0,5,42,12,28.6,2.47,0.71,0.12,0.42,20.5,3,0,0,2.9,2.9,0.07,+2.1,+2.1,Matches
182,Jack Grealish\b0b4fd3e,eng ENG,FW,Manchester City,26-154,1995,14.1,2,31,14,45.2,2.20,1.00,0.06,0.14,14.2,0,0,0,4.0,4.0,0.13,-2.0,-2.0,Matches
183,Mason Greenwood\58eee997,eng ENG,FWMF,Manchester Utd,20-133,2001,14.1,5,48,18,37.5,3.40,1.27,0.10,0.28,18.6,0,0,0,4.6,4.6,0.09,+0.4,+0.4,Matches
184,Sam Greenwood\f3354c07,eng ENG,MF,Leeds United,20-016,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
185,Pascal Groß\8aec0537,de GER,MFDF,Brighton,30-241,1991,11.7,0,13,3,23.1,1.12,0.26,0.00,0.00,19.1,1,0,1,1.7,1.0,0.07,-1.7,-1.0,Matches
186,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,35-032,1987,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
187,Marc Guéhi\d0706b27,eng ENG,DF,Crystal Palace,21-213,2000,22.0,2,11,4,36.4,0.50,0.18,0.18,0.50,11.4,0,0,0,1.5,1.5,0.14,+0.5,+0.5,Matches
188,Bruno Guimarães\82518f62,br BRA,MF,Newcastle Utd,24-087,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
189,İlkay Gündoğan\819b3158,de GER,MF,Manchester City,31-110,1990,12.0,4,31,10,32.3,2.58,0.83,0.13,0.40,13.4,2,0,0,5.2,5.2,0.17,-1.2,-1.2,Matches
190,Angus Gunn\e082af5b,eng ENG,GK,Norwich City,26-020,1996,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
191,Grant Hanley\e9254eec,sct SCO,DF,Norwich City,30-083,1991,18.2,1,10,2,20.0,0.55,0.11,0.10,0.50,7.8,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
192,Jack Harrison\aa849a12,eng ENG,MFFW,Leeds United,25-083,1996,16.0,4,23,9,39.1,1.44,0.56,0.17,0.44,15.3,0,0,0,2.2,2.2,0.10,+1.8,+1.8,Matches
193,Kortney Hause\bf8fad51,eng ENG,DF,Aston Villa,26-210,1995,4.4,1,2,2,100.0,0.45,0.45,0.50,0.50,10.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
194,Kai Havertz\fed7cb61,de GER,FWMF,Chelsea,22-245,1999,10.5,2,27,8,29.6,2.57,0.76,0.07,0.25,14.4,0,0,0,3.1,3.1,0.11,-1.1,-1.1,Matches
195,Isaac Hayden\c951a6df,eng ENG,MFDF,Newcastle Utd,26-326,1995,11.1,1,6,1,16.7,0.54,0.09,0.17,1.00,12.8,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
196,Hwang Hee-chan\169fd162,kr KOR,FWMF,Wolves,26-016,1996,10.9,4,10,5,50.0,0.92,0.46,0.40,0.80,13.0,0,0,0,2.2,2.2,0.22,+1.8,+1.8,Matches
197,Jordan Henderson\935e6b8f,eng ENG,MF,Liverpool,31-239,1990,17.4,2,22,5,22.7,1.26,0.29,0.09,0.40,23.0,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
198,Jeff Hendrick\989d5705,ie IRL,MF,Newcastle Utd,30-011,1992,0.8,1,1,1,100.0,1.25,1.25,1.00,1.00,27.0,0,0,0,0.0,0.0,0.03,+1.0,+1.0,Matches
199,Wayne Hennessey\76eca7e2,wls WAL,GK,Burnley,35-018,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
200,Rico Henry\8a3c1dc7,eng ENG,DF,Brentford,24-218,1997,17.4,2,8,2,25.0,0.46,0.12,0.25,1.00,14.0,0,0,0,1.4,1.4,0.18,+0.6,+0.6,Matches
201,Son Heung-min\92e7e919,kr KOR,FWMF,Tottenham,29-218,1992,17.5,9,45,20,44.4,2.57,1.14,0.20,0.45,15.9,1,0,0,7.4,7.4,0.16,+1.6,+1.6,Matches
202,Ki-Jana Hoever\9a71e978,nl NED,DF,Wolves,20-024,2002,2.2,0,1,0,0.0,0.46,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
203,Rob Holding\d79a8c87,eng ENG,DF,Arsenal,26-144,1995,4.8,0,3,0,0.0,0.63,0.00,0.00,,6.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
204,Mason Holgate\d0042ab9,eng ENG,DF,Everton,25-112,1996,8.8,0,2,0,0.0,0.23,0.00,0.00,,7.5,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
205,Callum Hudson-Odoi\15f3ec41,eng ENG,FWMF,Chelsea,21-096,2000,10.7,1,17,7,41.2,1.59,0.65,0.06,0.14,13.2,0,0,0,2.1,2.1,0.12,-1.1,-1.1,Matches
206,Will Hughes\a0666d3e,eng ENG,MF,Crystal Palace,26-300,1995,7.4,0,5,0,0.0,0.68,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
207,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Tottenham,26-190,1995,19.5,2,20,9,45.0,1.03,0.46,0.10,0.22,21.3,1,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
208,Adam Idah\291e3ec3,ie IRL,FWMF,Norwich City,20-337,2001,6.9,1,14,4,28.6,2.02,0.58,0.07,0.25,12.3,0,0,0,2.0,2.0,0.15,-1.0,-1.0,Matches
209,Kelechi Iheanacho\c92e1a31,ng NGA,FWMF,Leicester City,25-131,1996,6.9,2,16,6,37.5,2.31,0.87,0.13,0.33,16.8,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Matches
210,Danny Ings\07802f7f,eng ENG,FW,Aston Villa,29-203,1992,12.4,4,20,8,40.0,1.61,0.64,0.15,0.38,13.9,0,1,1,3.2,2.5,0.12,+0.8,+0.5,Matches
211,Alex Iwobi\6ca5ec4b,ng NGA,MFFW,Everton,25-284,1996,7.9,1,14,5,35.7,1.76,0.63,0.07,0.20,15.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
212,Daniel James\c931d9f9,wls WAL,FWMF,Leeds United,24-093,1997,14.8,4,38,11,28.9,2.56,0.74,0.11,0.36,15.8,0,0,0,3.7,3.7,0.10,+0.3,+0.3,Matches
213,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,24-093,1997,1.4,0,4,1,25.0,2.86,0.71,0.00,0.00,17.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
214,Reece James\1265a93a,eng ENG,DF,Chelsea,22-065,1999,12.4,4,21,7,33.3,1.70,0.57,0.19,0.57,20.0,4,0,0,1.7,1.7,0.08,+2.3,+2.3,Matches
215,Vitaly Janelt\8449d35e,de GER,MF,Brentford,23-277,1998,15.0,2,15,8,53.3,1.00,0.53,0.13,0.25,18.1,0,0,0,1.5,1.5,0.10,+0.5,+0.5,Matches
216,Pontus Jansson\172e52d8,se SWE,DF,Brentford,30-363,1991,23.9,1,12,5,41.7,0.50,0.21,0.08,0.20,7.8,0,0,0,1.5,1.5,0.13,-0.5,-0.5,Matches
217,Mathias Jensen\0f134faf,dk DEN,MF,Brentford,26-041,1996,10.4,0,10,4,40.0,0.96,0.38,0.00,0.00,27.2,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches
218,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,24-314,1997,14.7,2,41,13,31.7,2.79,0.88,0.05,0.15,13.1,0,0,0,5.3,5.3,0.13,-3.3,-3.3,Matches
219,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,30-282,1991,18.3,4,37,9,24.3,2.03,0.49,0.08,0.33,16.0,1,1,1,4.3,3.8,0.10,-0.3,-0.8,Matches
220,Joelinton\c17bfb65,br BRA,MFFW,Newcastle Utd,25-181,1996,15.9,1,29,8,27.6,1.82,0.50,0.03,0.13,16.8,0,0,0,2.4,2.4,0.08,-1.4,-1.4,Matches
221,Ben Johnson\9319781b,eng ENG,DF,West Ham,22-018,2000,8.9,1,3,1,33.3,0.34,0.11,0.33,1.00,24.4,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Matches
222,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,21-012,2001,6.2,1,8,3,37.5,1.28,0.48,0.13,0.33,22.2,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
223,Phil Jones\def899bd,eng ENG,DF,Manchester Utd,29-355,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
224,Jorginho\45db685d,it ITA,MF,Chelsea,30-053,1991,16.9,6,7,2,28.6,0.41,0.12,0.00,0.00,29.6,0,6,6,4.9,0.3,0.05,+1.1,-0.3,Matches
225,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,25-069,1996,18.1,12,63,24,38.1,3.47,1.32,0.19,0.50,10.8,0,0,0,12.7,12.7,0.20,-0.7,-0.7,Matches
226,James Justin\fb614c44,eng ENG,DF,Leicester City,23-353,1998,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
227,Mathias Jørgensen\0db5d2c8,dk DEN,DF,Brentford,31-294,1990,4.8,1,2,1,50.0,0.42,0.21,0.50,1.00,6.9,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches
228,Ozan Kabak\2d61d13a,tr TUR,DF,Norwich City,21-323,2000,8.2,0,4,2,50.0,0.49,0.24,0.00,0.00,15.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
229,Christian Kabasele\914ab9a1,be BEL,DF,Watford,30-352,1991,3.3,0,1,0,0.0,0.31,0.00,0.00,,6.0,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
230,Hassane Kamara\19a12bed,ci CIV,DF,Watford,27-145,1994,3.9,0,1,0,0.0,0.25,0.00,0.00,,37.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
231,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,28-198,1993,18.9,5,63,25,39.7,3.33,1.32,0.06,0.16,17.0,6,1,1,9.1,8.4,0.13,-4.1,-4.4,Matches
232,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,30-319,1991,10.7,2,9,4,44.4,0.84,0.38,0.22,0.50,17.7,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Matches
233,Edo Kayembe\f99b71de,cd COD,MF,Watford,23-192,1998,3.6,0,2,0,0.0,0.55,0.00,0.00,,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
234,Moise Kean\3d50bcdb,it ITA,FW,Everton,21-348,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
235,Michael Keane\c5b7c315,eng ENG,DF,Everton,29-031,1993,20.0,1,14,3,21.4,0.70,0.15,0.07,0.33,12.9,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
236,Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,27-001,1995,5.9,2,15,5,33.3,2.56,0.85,0.13,0.40,22.3,0,0,0,1.1,1.1,0.07,+0.9,+0.9,Matches
237,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-080,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
238,Jonjoe Kenny\099e666f,eng ENG,DF,Everton,24-333,1997,3.0,0,1,0,0.0,0.34,0.00,0.00,,24.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
239,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,24-264,1997,22.0,1,10,3,30.0,0.45,0.14,0.10,0.33,8.1,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
240,Joshua King\43458538,no NOR,FW,Watford,30-027,1992,18.1,5,40,16,40.0,2.21,0.89,0.10,0.25,14.7,0,1,1,7.1,6.4,0.16,-2.1,-2.4,Matches
241,Mateusz Klich\282679b4,pl POL,MF,Leeds United,31-243,1990,13.3,1,27,12,44.4,2.03,0.90,0.04,0.08,20.0,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
242,Robin Koch\ea6bc03a,de GER,MFDF,Leeds United,25-209,1996,6.0,0,3,1,33.3,0.50,0.17,0.00,0.00,13.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
243,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,28-236,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
244,Ibrahima Konaté\5ed9b537,fr FRA,DF,Liverpool,22-262,1999,7.0,0,2,0,0.0,0.29,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
245,Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,24-111,1997,20.0,2,13,6,46.2,0.65,0.30,0.15,0.33,6.9,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
246,Cheikhou Kouyaté\8d3c902d,sn SEN,MF,Crystal Palace,32-052,1989,14.7,0,4,0,0.0,0.27,0.00,0.00,,20.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
247,Mateo Kovačić\79c0821a,hr CRO,MF,Chelsea,27-281,1994,12.5,2,16,4,25.0,1.28,0.32,0.13,0.50,19.9,1,0,0,1.2,1.2,0.08,+0.8,+0.8,Matches
248,Emil Krafth\77cf6852,se SWE,DF,Newcastle Utd,27-193,1994,6.0,0,2,0,0.0,0.33,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
249,Alex Král\e717705a,cz CZE,MF,West Ham,23-268,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
250,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-314,1988,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
251,Juraj Kucka\5aaef9ef,sk SVK,MF,Watford,34-350,1987,16.0,1,30,7,23.3,1.87,0.44,0.03,0.14,21.2,3,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
252,Dejan Kulusevski\df3cda47,se SWE,FWMF,Tottenham,21-292,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
253,Alexandre Lacazette\9dbb75ca,fr FRA,FWMF,Arsenal,30-259,1991,11.5,3,19,9,47.4,1.65,0.78,0.11,0.22,13.8,0,1,2,5.2,3.6,0.19,-2.2,-1.6,Matches
254,Adam Lallana\99813635,eng ENG,MF,Brighton,33-277,1988,15.2,0,19,4,21.1,1.25,0.26,0.00,0.00,19.1,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
255,Tariq Lamptey\f4e433d4,eng ENG,DFFW,Brighton,21-134,2000,9.1,0,9,2,22.2,0.99,0.22,0.00,0.00,15.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
256,Manuel Lanzini\26f6dca8,ar ARG,MF,West Ham,28-361,1993,9.9,4,8,3,37.5,0.81,0.30,0.25,0.67,25.0,1,2,2,2.0,0.4,0.06,+2.0,+1.6,Matches
257,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,27-260,1994,19.1,3,27,5,18.5,1.41,0.26,0.11,0.60,10.5,0,0,0,3.0,3.0,0.11,0.0,0.0,Matches
258,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,28-092,1993,17.7,1,13,2,15.4,0.73,0.11,0.08,0.50,8.7,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
259,Pierre Lees-Melou\f5044e54,fr FRA,MF,Norwich City,28-262,1993,14.7,0,22,6,27.3,1.49,0.41,0.00,0.00,22.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
260,Aaron Lennon\2ff964a0,eng ENG,MFFW,Burnley,34-301,1987,4.9,1,4,1,25.0,0.81,0.20,0.25,1.00,26.4,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
261,Bernd Leno\2628fd2b,de GER,GK,Arsenal,29-344,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
262,Jamal Lewis\efb9215a,nir NIR,DF,Newcastle Utd,24-017,1998,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
263,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,27-209,1994,14.1,0,2,1,50.0,0.14,0.07,0.00,0.00,7.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
264,Jesse Lingard\810e3c74,eng ENG,FW,Manchester Utd,29-058,1992,1.2,2,5,4,80.0,4.17,3.33,0.40,0.50,17.9,0,0,0,0.3,0.3,0.07,+1.7,+1.7,Matches
265,Valentino Livramento\afed6722,eng ENG,DF,Southampton,19-091,2002,17.9,1,8,2,25.0,0.45,0.11,0.13,0.50,17.3,0,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
266,Diego Llorente\bba30585,es ESP,DF,Leeds United,28-179,1993,15.1,2,6,2,33.3,0.40,0.13,0.33,1.00,8.2,0,0,0,0.8,0.8,0.14,+1.2,+1.2,Matches
