,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
32,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,22-224,1999,1.9,2,1.05,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Matias Arezo\484ebdb0,uy URU,FW,Granada,19-082,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Santiago Arias\fdd60087,co COL,DF,Granada,30-029,1992,3.6,5,1.38,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
35,Santiago Arzamendia\759d8dd7,py PAR,MF,Cádiz,23-282,1998,3.9,1,0.26,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,32-228,1989,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,26-021,1996,11.0,36,3.26,20,5,2,7,2,0,5,0.45,2,0,1,2,0,0,Matches
38,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,34-194,1987,19.7,67,3.40,52,7,2,3,3,0,8,0.41,5,0,1,2,0,0,Matches
39,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,32-238,1989,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,27-296,1994,4.9,9,1.83,4,4,0,0,0,1,1,0.20,0,1,0,0,0,0,Matches
41,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,29-049,1992,4.0,6,1.50,6,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
42,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,28-005,1994,9.8,14,1.43,9,0,0,0,3,2,3,0.31,1,0,0,0,1,1,Matches
43,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,26-020,1996,14.6,9,0.62,6,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
44,Carlos Bacca\09a9e921,co COL,FW,Granada,35-156,1986,5.5,12,2.20,8,0,0,2,2,0,2,0.37,1,0,0,0,1,0,Matches
45,Édgar Badía\e4346678,es ESP,GK,Elche,29-364,1992,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,21-321,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
47,Alejandro Balde\5ccc9672,es ESP,FWDF,Barcelona,18-116,2003,1.1,2,1.82,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Gareth Bale\a58bb1e1,wls WAL,FW,Real Madrid,32-210,1989,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Mikel Balenziaga\1fe67e86,es ESP,DF,Athletic Club,33-347,1988,18.1,14,0.77,10,2,0,1,1,0,1,0.06,0,0,0,0,1,0,Matches
50,Iván Balliu\cee88597,al ALB,DF,Rayo Vallecano,30-041,1992,21.0,43,2.05,27,10,1,1,2,2,4,0.19,4,0,0,0,0,0,Matches
51,Barbero\981c1863,es ESP,FWMF,Osasuna,23-178,1998,0.2,1,6.43,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Enis Bardhi\cac2537b,mk MKD,MFFW,Levante,26-224,1995,10.7,40,3.73,20,11,0,4,5,0,2,0.19,1,1,0,0,0,0,Matches
53,Keidi Bare\03049c8c,al ALB,MF,Espanyol,24-167,1997,8.7,12,1.38,11,0,0,0,1,0,2,0.23,1,0,0,0,1,0,Matches
54,Kike Barja\aad53e64,es ESP,MFFW,Osasuna,24-316,1997,7.1,15,2.12,9,0,0,2,2,2,3,0.42,1,0,0,1,1,0,Matches
55,Antonio Barragán\487d9b09,es ESP,DF,Elche,34-244,1987,6.5,5,0.77,4,1,0,0,0,0,2,0.31,2,0,0,0,0,0,Matches
56,Ander Barrenetxea\200e89e1,es ESP,FWMF,Real Sociedad,20-046,2001,6.1,16,2.63,12,0,3,0,1,0,3,0.49,2,0,1,0,0,0,Matches
57,Marc Bartra\b742cc0d,es ESP,DF,Betis,31-027,1991,9.1,5,0.55,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Álvaro Bastida\42a028c5,es ESP,MF,Cádiz,17-275,2004,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Rodrigo Battaglia\d637fc22,ar ARG,MF,Mallorca,30-214,1991,7.5,7,0.93,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
60,Jon Bautista\debc6b55,es ESP,FWMF,Real Sociedad,26-223,1995,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Bebé\d8712bf9,pt POR,FWMF,Rayo Vallecano,31-214,1990,4.0,23,5.75,12,4,4,1,2,0,3,0.75,1,1,1,0,0,0,Matches
62,Héctor Bellerín\f874dd44,es ESP,DF,Betis,26-329,1995,14.7,30,2.04,26,3,1,0,0,0,5,0.34,5,0,0,0,0,0,Matches
63,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,23-008,1999,16.4,20,1.22,15,0,1,1,1,2,2,0.12,0,0,0,1,0,1,Matches
64,Darío Benedetto\bef0a7ac,ar ARG,FW,Elche,31-270,1990,6.6,11,1.68,7,0,3,1,0,0,2,0.31,1,0,0,1,0,0,Matches
65,Iker Benito\50cbc806,es ESP,MFFW,Osasuna,19-185,2002,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
66,Pedro Benito\a7416105,es ESP,FW,Cádiz,21-321,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Karim Benzema\70d74ece,fr FRA,FW,Real Madrid,34-054,1987,18.9,83,4.39,68,0,10,3,2,0,13,0.69,9,0,3,1,0,0,Matches
68,Yuri Berchiche\b6e50615,es ESP,MF,Athletic Club,32-001,1990,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Álex Berenguer\dc1c2fce,es ESP,MF,Athletic Club,26-222,1995,13.9,35,2.52,21,9,1,2,1,1,4,0.29,2,1,0,1,0,0,Matches
70,Pedro Bigas\697295b1,es ESP,DF,Elche,31-149,1990,10.1,4,0.40,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
71,Blanco\506daeac,es ESP,MF,Real Madrid,21-203,2000,0.3,1,2.90,1,0,0,0,0,0,1,2.90,1,0,0,0,0,0,Matches
72,Yassine Bounou\f6798fc3,ma MAR,GK,Sevilla,30-312,1991,18.0,2,0.11,2,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
