,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
489,Taylor Richards\e0243d23,eng ENG,MFFW,Brighton,21-069,2000,2,25,13,1.3,0.3,0,,0,2,13,14,0.00,0,0,0,0.00,0.00,0.3,0.4,0.0,-0.09,-0.03,Matches
490,Lewis Richardson\4fa62ae4,eng ENG,FW,Burnley,19-004,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
491,Richarlison\fa031b34,br BRA,FWMF,Everton,24-277,1997,14,1103,79,58.4,12.3,12,86,9,2,34,0,1.00,17,23,-6,-0.49,+0.31,14.6,18.2,-3.6,-0.29,-0.10,Matches
492,Jaïro Riedewald\7a1f2c08,nl NED,MF,Crystal Palace,25-155,1996,3,118,39,5.7,1.3,1,76,0,2,21,13,0.00,2,5,-3,-2.29,-2.29,1.2,1.3,-0.1,-0.07,-0.12,Matches
493,Matt Ritchie\71ef519e,sct SCO,DF,Newcastle Utd,32-154,1989,16,1318,82,66.6,14.6,14,88,13,2,41,2,0.38,15,36,-21,-1.43,-1.57,12.6,28.3,-15.8,-1.08,-1.06,Matches
494,Connor Roberts\24fae784,wls WAL,DF,Burnley,26-141,1995,4,286,72,15.9,3.2,3,90,3,1,16,3,0.75,1,1,0,0.00,+0.65,2.1,4.5,-2.4,-0.77,-0.24,Matches
495,Haydon Roberts\a731e8a0,eng ENG,DF,Brighton,19-277,2002,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
496,Tyler Roberts\6c17e046,wls WAL,MFFW,Leeds United,23-030,1999,20,882,44,44.5,9.8,7,84,4,13,23,1,0.95,9,22,-13,-1.33,-1.08,13.6,19.9,-6.3,-0.64,-0.34,Matches
497,Andrew Robertson\2e4f5f03,sct SCO,DF,Liverpool,27-337,1994,17,1484,87,71.7,16.5,17,87,14,0,,2,2.24,45,16,+29,+1.76,-0.08,39.9,17.6,+22.3,+1.35,-0.39,Matches
498,Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,24-112,1997,1,79,79,4.2,0.9,0,,0,1,79,14,0.00,0,3,-3,-3.42,-3.62,0.1,2.4,-2.3,-2.66,-3.23,Matches
499,Rodri\6434f10d,es ESP,MF,Manchester City,25-234,1996,20,1742,87,80.6,19.4,20,87,18,0,,1,2.65,46,10,+36,+1.86,+0.35,44.4,12.1,+32.2,+1.67,+0.69,Matches
500,Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,30-342,1991,15,1103,74,55.7,12.3,13,79,8,2,36,2,1.20,11,14,-3,-0.24,+1.09,16.4,19.3,-2.9,-0.24,+0.49,Matches
501,Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,32-197,1989,16,566,35,31.4,6.3,4,82,1,12,20,2,0.56,3,2,+1,+0.16,+1.03,6.1,6.4,-0.4,-0.06,+0.74,Matches
502,Mads Roerslev\57c94db2,dk DEN,DF,Brentford,22-232,1999,14,905,65,41.9,10.1,9,89,8,5,21,8,1.00,12,22,-10,-0.99,-0.71,9.6,14.8,-5.2,-0.52,-0.65,Matches
503,Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,23-290,1998,8,623,78,33.0,6.9,7,89,6,1,1,2,1.25,7,12,-5,-0.72,-1.15,7.7,8.5,-0.8,-0.11,-0.82,Matches
504,Oriol Romeu\4b511457,es ESP,MF,Southampton,30-140,1991,21,1818,87,87.8,20.2,21,87,15,0,,1,1.29,27,29,-2,-0.10,+1.69,27.0,27.2,-0.2,-0.01,+1.10,Matches
505,Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,37-006,1985,19,1480,78,71.5,16.4,16,87,12,3,28,0,1.63,23,25,-2,-0.12,-1.34,26.3,25.1,+1.2,+0.07,+0.20,Matches
506,Salomón Rondón\b318a643,ve VEN,FW,Everton,32-148,1989,13,710,55,37.6,7.9,8,78,5,5,17,2,0.54,7,15,-8,-1.01,-0.63,10.1,11.2,-1.1,-0.14,+0.18,Matches
507,Danny Rose\89d10e53,eng ENG,DF,Watford,31-224,1990,8,689,86,34.8,7.7,7,87,6,1,79,7,0.50,5,16,-11,-1.44,-0.95,5.7,17.4,-11.7,-1.53,-1.26,Matches
508,Jon Rowe\8c12f884,eng ENG,MFFW,Norwich City,18-287,2003,3,46,15,2.2,0.5,0,,0,3,15,3,0.33,0,1,-1,-1.96,-0.58,0.2,1.3,-1.1,-2.17,-1.36,Matches
509,John Ruddy\da8b19e2,eng ENG,GK,Wolves,35-110,1986,0,,,,,0,,0,0,,22,,,,,,,,,,,,Matches
510,Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,28-345,1993,23,2070,90,95.8,23.0,23,90,23,0,,0,1.91,47,18,+29,+1.26,+0.26,40.6,20.6,+20.0,+0.87,+2.19,Matches
511,Lukas Rupp\3faa1780,de GER,MF,Norwich City,31-034,1991,10,477,48,23.0,5.3,5,76,2,5,20,6,0.70,1,9,-8,-1.51,-0.15,5.7,8.5,-2.8,-0.52,+0.41,Matches
512,José Sá\903b6e8b,pt POR,GK,Wolves,29-025,1993,22,1980,90,100.0,22.0,22,90,22,0,,0,1.55,19,17,+2,+0.09,,21.9,28.9,-7.0,-0.32,,Matches
513,Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,24-336,1997,22,1885,86,95.2,20.9,21,88,15,1,45,0,0.82,24,39,-15,-0.72,+4.02,21.0,35.6,-14.7,-0.70,+0.45,Matches
514,Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,31-322,1990,20,1748,87,88.3,19.4,20,87,18,0,,0,1.40,14,15,-1,-0.05,-1.22,19.0,25.9,-6.9,-0.35,-0.31,Matches
515,Bukayo Saka\bc7dc64d,eng ENG,FWMF,Arsenal,20-159,2001,22,1641,75,82.9,18.2,20,79,8,2,27,0,1.77,27,16,+11,+0.60,+1.13,27.2,23.0,+4.2,+0.23,+0.55,Matches
516,Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,29-241,1992,21,1813,86,87.6,20.1,20,89,18,1,31,0,2.14,51,18,+33,+1.64,-1.16,50.6,20.3,+30.3,+1.50,+0.33,Matches
517,Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,22-300,1999,22,1892,86,91.4,21.0,21,88,20,1,54,0,1.27,29,32,-3,-0.14,+1.88,29.0,29.5,-0.5,-0.02,+1.39,Matches
518,Albert Sambi Lokonga\1b4f1169,be BEL,MF,Arsenal,22-112,1999,14,909,65,45.9,10.1,10,82,7,4,24,7,1.93,9,8,+1,+0.10,-0.57,13.5,12.6,+0.9,+0.09,-0.09,Matches
519,Davinson Sánchez\da7b447d,co COL,DF,Tottenham,25-244,1996,15,1201,80,63.5,13.3,13,90,13,2,16,5,1.93,22,14,+8,+0.60,+1.51,25.6,14.8,+10.8,+0.81,+1.02,Matches
520,Robert Sánchez\6a713852,es ESP,GK,Brighton,24-085,1997,21,1889,90,95.4,21.0,21,90,20,0,,0,1.43,23,21,+2,+0.10,+2.07,25.3,26.3,-1.1,-0.05,+0.16,Matches
521,Jadon Sancho\dbf053da,eng ENG,FWMF,Manchester Utd,21-323,2000,18,1027,57,49.6,11.4,11,75,3,7,29,3,1.67,14,10,+4,+0.35,+0.18,15.1,15.3,-0.2,-0.02,-0.07,Matches
522,Dion Sanderson\b3fa76c5,eng ENG,DF,Wolves,22-058,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
523,Morgan Sanson\6e7f1353,fr FRA,MF,Aston Villa,27-177,1994,6,226,38,11.4,2.5,2,71,0,4,21,7,0.67,1,6,-5,-1.99,-2.04,2.3,4.2,-1.9,-0.78,-0.52,Matches
524,Samir Santos\92b4758e,br BRA,DF,Watford,27-068,1994,4,360,90,18.2,4.0,4,90,4,0,,0,0.50,1,5,-4,-1.00,-0.22,3.8,3.6,+0.3,+0.07,+0.95,Matches
525,Josh Sargent\a8d4428b,us USA,FWMF,Norwich City,21-356,2000,19,1073,56,51.8,11.9,12,78,3,7,19,0,0.84,8,20,-12,-1.01,+0.80,9.9,14.6,-4.8,-0.40,+0.92,Matches
526,Jeremy Sarmiento\ac0d576d,ec ECU,FW,Brighton,19-240,2002,2,21,11,1.1,0.2,1,12,0,1,9,4,1.00,0,1,-1,-4.29,-4.33,0.3,0.9,-0.7,-2.95,-2.92,Matches
527,Ismaila Sarr\bfdb33aa,sn SEN,MFFW,Watford,23-351,1998,12,1030,86,52.0,11.4,12,86,10,0,,0,1.08,10,20,-10,-0.87,-0.12,11.6,21.8,-10.2,-0.89,-0.38,Matches
528,Malang Sarr\4315f30d,fr FRA,DF,Chelsea,23-019,1999,3,270,90,12.5,3.0,3,90,3,0,,12,2.00,3,1,+2,+0.67,-0.67,1.7,2.8,-1.0,-0.35,-1.29,Matches
529,Dane Scarlett\21945a9e,eng ENG,FW,Tottenham,17-324,2004,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
530,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,30-053,1991,12,1060,88,53.5,11.8,12,88,11,0,,10,1.17,13,20,-7,-0.59,+0.68,13.0,18.8,-5.8,-0.49,+0.49,Matches
531,Kjell Scherpen\f0e4c69e,nl NED,GK,Brighton,22-019,2000,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
532,Jeffrey Schlupp\3312f911,gh GHA,MFFW,Crystal Palace,29-050,1992,18,849,47,41.0,9.4,9,81,5,9,13,3,1.11,11,12,-1,-0.11,+0.04,12.3,13.3,-1.0,-0.11,-0.26,Matches
533,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,35-098,1986,21,1890,90,100.0,21.0,21,90,21,0,,0,1.24,34,39,-5,-0.24,,31.4,39.2,-7.8,-0.37,,Matches
534,Ken Sema\1770bd68,se SWE,MFFW,Watford,28-134,1993,11,519,47,26.2,5.8,4,87,2,7,25,6,0.64,4,9,-5,-0.87,-0.07,5.2,9.5,-4.3,-0.75,-0.05,Matches
535,Nélson Semedo\d04b94db,pt POR,DF,Wolves,28-087,1993,20,1749,87,88.3,19.4,20,87,16,0,,2,1.65,19,15,+4,+0.21,+0.99,19.8,25.7,-5.9,-0.30,+0.13,Matches
536,Ryan Sessegnon\6aa3e78b,eng ENG,DFMF,Tottenham,21-269,2000,4,221,55,11.7,2.5,2,70,0,2,41,5,1.75,4,4,0,0.00,-0.05,5.0,3.8,+1.2,+0.50,+0.07,Matches
537,Jamie Shackleton\8d03ca5a,eng ENG,DF,Leeds United,22-126,1999,11,628,57,31.7,7.0,7,75,3,4,26,5,1.00,8,10,-2,-0.29,+0.65,9.3,10.7,-1.4,-0.20,+0.37,Matches
538,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,26-214,1995,15,1269,85,61.3,14.1,15,85,12,0,,2,1.40,24,21,+3,+0.21,-0.12,20.2,20.0,+0.2,+0.01,-0.01,Matches
539,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,29-349,1992,14,1083,77,54.7,12.0,12,88,9,2,17,0,1.00,15,21,-6,-0.50,+0.91,12.3,17.7,-5.4,-0.45,+0.60,Matches
540,Francisco Sierralta\0f933743,cl CHI,DF,Watford,24-281,1997,5,427,85,21.6,4.7,5,85,4,0,,5,0.00,1,9,-8,-1.69,-1.11,2.4,9.6,-7.3,-1.53,-1.05,Matches
541,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,27-185,1994,23,1972,86,91.3,21.9,23,86,19,0,,1,2.61,52,13,+39,+1.78,-0.13,47.7,15.0,+32.7,+1.49,-0.46,Matches
542,Fábio Silva\e7aa9d7c,pt POR,FWMF,Wolves,19-207,2002,12,146,12,7.4,1.6,1,74,0,11,7,9,1.50,6,2,+4,+2.47,+2.56,3.4,1.9,+1.5,+0.91,+1.32,Matches
543,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,37-142,1984,20,1643,82,76.1,18.3,17,88,16,3,51,2,1.85,37,15,+22,+1.21,-0.19,32.2,16.8,+15.5,+0.85,+0.28,Matches
544,Dynel Simeu\6df49f02,eng ENG,DF,Southampton,19-335,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
545,Ellis Simms\26d3b5be,eng ENG,FW,Everton,21-037,2001,1,61,61,3.2,0.7,1,61,0,0,,6,1.00,0,0,0,0.00,+0.64,0.1,2.1,-2.0,-2.90,-2.74,Matches
546,Viljami Sinisalo\a48635b8,fi FIN,GK,Aston Villa,20-123,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
547,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,32-179,1989,20,1780,89,89.9,19.8,20,89,19,0,,0,0.60,20,37,-17,-0.86,-0.41,22.0,36.9,-14.9,-0.75,-0.47,Matches
548,Moussa Sissoko\2acd49b9,fr FRA,MF,Tottenham,32-179,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
549,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,21-148,2000,18,1350,75,71.4,15.0,14,87,12,4,34,1,1.78,21,13,+8,+0.53,+1.70,22.6,16.4,+6.2,+0.41,-0.08,Matches
550,Cieran Slicker\02aed921,sct SCO,GK,Manchester City,19-149,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
551,Thierry Small\6f487e5d,eng ENG,DF,Southampton,17-194,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
552,William Smallbone\5e105217,ie IRL,MF,Southampton,21-355,2000,1,69,69,3.3,0.8,1,69,0,0,,6,1.00,2,2,0,0.00,+0.31,0.4,1.2,-0.8,-1.02,-0.91,Matches
553,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,21-198,2000,20,1305,65,65.9,14.5,14,85,8,6,20,1,1.80,21,21,0,0.00,-1.20,20.3,23.4,-3.1,-0.21,-1.02,Matches
554,Cédric Soares\839c14e1,pt POR,DF,Arsenal,30-164,1991,5,307,61,15.5,3.4,3,90,3,2,19,12,1.80,2,8,-6,-1.76,-2.57,3.3,9.1,-5.7,-1.69,-2.16,Matches
555,Tomáš Souček\6613c819,cz CZE,MF,West Ham,26-349,1995,22,1968,89,91.1,21.9,22,89,21,0,,0,1.68,38,28,+10,+0.46,-0.01,29.7,26.9,+2.8,+0.13,-0.55,Matches
556,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,22-349,1999,17,1024,60,54.2,11.4,11,78,6,6,29,4,1.35,19,24,-5,-0.44,-0.44,16.6,19.8,-3.2,-0.28,+0.20,Matches
557,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,25-264,1996,18,1597,89,84.5,17.7,18,89,17,0,,1,1.28,29,31,-2,-0.11,+0.81,26.8,30.3,-3.5,-0.19,+1.15,Matches
558,Jason Steele\28300a16,eng ENG,GK,Brighton,31-177,1990,1,90,90,4.5,1.0,1,90,1,0,,16,0.00,0,2,-2,-2.00,-2.10,0.4,0.6,-0.2,-0.21,-0.16,Matches
559,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-141,1992,1,90,90,4.5,1.0,1,90,1,0,,18,0.00,0,3,-3,-3.00,-2.95,1.5,1.1,+0.4,+0.39,+0.74,Matches
560,Zack Steffen\42130443,us USA,GK,Manchester City,26-315,1995,1,90,90,4.2,1.0,1,90,1,0,,20,3.00,2,0,+2,+2.00,+0.22,1.9,1.0,+0.9,+0.91,-0.65,Matches
561,Dale Stephens\653ee42d,eng ENG,MF,Burnley,32-244,1989,2,123,62,6.8,1.4,1,90,1,1,33,3,0.50,0,0,0,0.00,+0.59,1.1,1.2,0.0,-0.02,+0.58,Matches
562,Jack Stephens\6adbc307,eng ENG,DF,Southampton,28-015,1994,6,486,81,23.5,5.4,6,81,5,0,,5,0.67,4,9,-5,-0.93,-0.81,6.6,7.7,-1.2,-0.22,-0.10,Matches
563,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,27-065,1994,20,1336,67,61.9,14.8,14,86,11,6,22,3,2.40,33,10,+23,+1.55,-0.64,33.4,12.1,+21.3,+1.43,-0.26,Matches
564,Finley Stevens\7e003182,wls WAL,DF,Brentford,18-307,2003,1,15,15,0.7,0.2,0,,0,1,15,14,0.00,0,0,0,0.00,+0.59,0.6,0.0,+0.5,+3.28,+3.44,Matches
565,John Stones\5eecec3d,eng ENG,DF,Manchester City,27-259,1994,8,593,74,27.5,6.6,6,90,6,2,27,10,2.63,18,1,+17,+2.58,+1.09,13.7,4.2,+9.5,+1.44,-0.13,Matches
566,James Storer\257b20e1,,GK,Wolves,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
567,Robert Street\b4390912,eng ENG,FW,Crystal Palace,20-138,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
568,Pascal Struijk\f4d296e4,nl NED,DFMF,Leeds United,22-184,1999,15,1108,74,56.0,12.3,12,86,11,3,24,0,1.20,15,21,-6,-0.49,+0.54,15.8,19.9,-4.1,-0.33,+0.28,Matches
569,Crysencio Summerville\df04eb4b,nl NED,MFFW,Leeds United,20-104,2001,5,122,24,6.2,1.4,0,,0,5,24,11,0.40,2,1,+1,+0.74,+1.56,3.4,1.6,+1.9,+1.38,+1.95,Matches
570,Jakob Sørensen\953c30b0,dk DEN,DFMF,Norwich City,23-345,1998,6,370,62,17.9,4.1,4,73,3,2,40,8,1.00,2,7,-5,-1.22,+0.21,3.8,6.5,-2.6,-0.64,+0.24,Matches
571,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,22-317,1999,11,735,67,38.9,8.2,10,73,4,1,8,7,2.18,11,8,+3,+0.37,+0.52,12.6,11.6,+1.0,+0.12,-0.51,Matches
572,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,26-146,1995,17,1431,84,72.3,15.9,17,84,14,0,,3,0.94,16,28,-12,-0.75,-2.07,14.0,23.8,-9.8,-0.62,-1.07,Matches
573,Matt Targett\e514ab62,eng ENG,DF,Newcastle Utd,26-146,1995,1,90,90,4.5,1.0,1,90,1,0,,0,3.00,3,1,+2,+2.00,+3.05,2.3,0.6,+1.7,+1.65,+2.49,Matches
574,James Tarkowski\15ea812b,eng ENG,DF,Burnley,29-084,1992,19,1710,90,95.0,19.0,19,90,19,0,,0,0.68,17,28,-11,-0.58,-0.58,18.5,29.3,-10.8,-0.57,-0.05,Matches
575,Nuno Tavares\a65c844b,pt POR,DF,Arsenal,22-016,2000,13,625,48,31.6,6.9,6,90,6,7,12,9,1.85,10,10,0,0.00,-0.60,11.0,11.3,-0.3,-0.05,-0.27,Matches
576,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,28-146,1993,16,1440,90,80.0,16.0,16,90,16,0,,0,0.69,16,25,-9,-0.56,-0.06,15.9,23.8,-8.0,-0.50,+0.33,Matches
577,Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,22-221,1999,10,586,59,28.3,6.5,7,76,1,3,19,10,0.90,10,13,-3,-0.46,-0.22,7.9,9.6,-1.7,-0.26,-0.16,Matches
578,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,29-058,1992,9,738,82,35.7,8.2,8,90,8,1,18,5,2.00,13,7,+6,+0.73,+0.73,12.0,12.5,-0.5,-0.06,-0.12,Matches
579,Bobby Thomas\6a471ee8,eng ENG,DF,Burnley,,,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
580,Luke Thomas\fc027d02,eng ENG,DF,Leicester City,20-246,2001,13,1132,87,59.9,12.6,13,87,12,0,,1,1.31,21,23,-2,-0.16,+0.20,18.1,25.2,-7.2,-0.57,-0.49,Matches
581,Dominic Thompson\235a62f8,eng ENG,DF,Brentford,21-200,2000,2,146,73,6.8,1.6,2,73,0,0,,11,0.00,0,3,-3,-1.85,-1.36,0.8,1.5,-0.7,-0.46,-0.34,Matches
582,Youri Tielemans\56f7a928,be BEL,MF,Leicester City,24-280,1997,17,1382,81,73.1,15.4,15,88,13,2,33,0,1.29,27,28,-1,-0.07,+0.64,24.4,26.5,-2.1,-0.14,+0.87,Matches
583,Kieran Tierney\fce2302c,sct SCO,DF,Arsenal,24-251,1997,16,1376,86,69.5,15.3,16,86,13,0,,4,1.69,24,15,+9,+0.59,+0.59,22.4,18.5,+3.9,+0.26,+0.39,Matches
584,Takehiro Tomiyasu\b3af9be1,jp JPN,DF,Arsenal,23-098,1998,16,1383,86,69.8,15.4,16,86,14,0,,0,2.00,26,15,+11,+0.72,+1.02,23.2,18.7,+4.5,+0.29,+0.52,Matches
585,James Tomkins\e7ca0439,eng ENG,DF,Crystal Palace,32-319,1989,8,547,68,26.4,6.1,6,88,5,2,9,11,1.00,6,11,-5,-0.82,-0.94,6.0,8.2,-2.2,-0.37,-0.56,Matches
586,Jonathan Tomkinson\4ba27cea,us USA,DF,Norwich City,19-306,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
587,Ivan Toney\e09f279b,eng ENG,FW,Brentford,25-332,1996,21,1890,90,87.5,21.0,21,90,21,0,,0,0.90,22,35,-13,-0.62,-0.29,24.3,27.5,-3.2,-0.15,-0.12,Matches
588,Ferrán Torres\9e1035f8,es ESP,FW,Manchester City,21-347,2000,4,303,76,14.0,3.4,4,76,2,0,,3,2.25,8,1,+7,+2.08,+0.33,9.1,1.7,+7.4,+2.20,+0.78,Matches
589,Cenk Tosun\9a104dee,tr TUR,FW,Everton,30-249,1991,1,7,7,0.4,0.1,0,,0,1,7,5,0.00,0,0,0,0.00,+0.62,0.0,0.0,0.0,+0.23,+0.48,Matches
590,Andros Townsend\b28bbd58,eng ENG,MF,Everton,30-210,1991,18,1411,78,74.7,15.7,17,82,11,1,16,1,1.00,14,29,-15,-0.96,-1.33,16.6,23.1,-6.5,-0.41,-0.66,Matches
591,Adama Traoré\9a28eba4,es ESP,FW,Wolves,26-017,1996,20,1067,53,53.9,11.9,10,85,5,10,22,1,1.55,9,10,-1,-0.08,-0.38,12.8,16.0,-3.2,-0.27,+0.11,Matches
592,Bertrand Traoré\c47541e0,bf BFA,MFFW,Aston Villa,26-158,1995,6,154,26,7.8,1.7,1,79,0,5,15,1,0.50,2,3,-1,-0.58,-0.44,1.8,2.8,-0.9,-0.55,-0.26,Matches
593,Trézéguet\3ae14ed1,eg EGY,FW,Aston Villa,27-133,1994,1,11,11,0.6,0.1,0,,0,1,11,3,0.00,0,1,-1,-8.18,-8.04,0.6,0.2,+0.4,+3.31,+3.65,Matches
594,Francisco Trincão\77e39b04,pt POR,FWMF,Wolves,22-044,1999,18,999,56,50.5,11.1,13,75,1,5,4,3,1.33,7,9,-2,-0.18,-0.55,12.4,13.7,-1.3,-0.12,+0.41,Matches
595,Kieran Trippier\21512407,eng ENG,DF,Newcastle Utd,31-145,1990,3,269,90,13.6,3.0,3,90,2,0,,0,2.33,5,2,+3,+1.00,+2.21,4.5,3.1,+1.5,+0.49,+1.41,Matches
596,William Troost-Ekong\7ed4921e,ng NGA,DF,Watford,28-163,1993,16,1377,86,69.5,15.3,15,90,15,1,27,2,0.81,19,30,-11,-0.72,+0.33,16.7,30.1,-13.4,-0.87,-0.55,Matches
597,Leandro Trossard\38ceb24a,be BEL,FWMF,Brighton,27-069,1994,21,1740,83,87.9,19.3,20,86,16,1,29,0,1.38,20,21,-1,-0.05,-0.43,23.2,23.9,-0.6,-0.03,+0.21,Matches
598,Kostas Tsimikas\f315ca93,gr GRE,DF,Liverpool,25-275,1996,9,580,64,28.0,6.4,6,90,5,3,14,14,2.00,15,3,+12,+1.86,+0.11,17.0,5.4,+11.7,+1.81,+0.48,Matches
599,Axel Tuanzebe\2baec6ce,eng ENG,DF,Aston Villa,24-089,1997,9,508,56,25.7,5.6,6,83,5,3,4,8,1.44,6,10,-4,-0.71,-0.71,5.3,8.3,-3.0,-0.53,-0.28,Matches
600,Ozan Tufan\17d45fb2,tr TUR,MF,Watford,26-325,1995,7,334,48,16.9,3.7,4,61,0,3,30,9,0.57,4,9,-5,-1.35,-0.64,4.0,10.0,-6.1,-1.63,-1.11,Matches
601,Ed Turns\9bbef03e,eng ENG,DF,Brighton,19-116,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
602,Harry Tyrer\af49fb14,eng ENG,GK,Everton,20-067,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
603,Christos Tzolis\9f333379,gr GRE,FWMF,Norwich City,20-012,2002,11,308,28,14.9,3.4,3,60,0,8,16,9,0.73,0,9,-9,-2.63,-1.46,3.9,8.7,-4.7,-1.38,-0.63,Matches
604,Harvey Vale\a70182a5,eng ENG,MF,Chelsea,18-153,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
605,Yan Valery\531a4aa8,fr FRA,DF,Southampton,22-354,1999,1,90,90,4.3,1.0,1,90,1,0,,18,1.00,1,1,0,0.00,+0.32,0.4,2.4,-2.1,-2.07,-2.02,Matches
606,Raphaël Varane\9f8e9423,fr FRA,DF,Manchester Utd,28-292,1993,13,1105,85,53.4,12.3,12,90,12,1,25,1,1.92,19,10,+9,+0.73,+1.01,18.4,14.4,+3.9,+0.32,+0.65,Matches
607,Jamie Vardy\45963054,eng ENG,FW,Leicester City,35-031,1987,16,1321,83,69.9,14.7,15,86,13,1,26,2,1.38,22,23,-1,-0.07,+0.56,19.8,25.6,-5.8,-0.40,-0.08,Matches
608,Joël Veltman\dad4b285,nl NED,DF,Brighton,30-027,1992,18,1447,80,73.1,16.1,17,82,11,1,45,1,1.17,12,18,-6,-0.37,-1.39,19.8,21.4,-1.5,-0.10,-0.14,Matches
609,Jannik Vestergaard\1900032e,dk DEN,DF,Leicester City,29-192,1992,9,565,63,29.9,6.3,6,85,5,3,18,9,1.22,12,15,-3,-0.48,-0.34,11.9,13.3,-1.4,-0.22,+0.22,Matches
610,Nikola Vlašić\aa8e289e,hr CRO,FWMF,West Ham,24-130,1997,11,358,33,16.6,4.0,4,62,0,7,16,9,1.55,6,7,-1,-0.25,-0.85,5.3,6.4,-1.0,-0.26,-0.52,Matches
611,Matěj Vydra\0d4ceb32,cz CZE,FW,Burnley,29-286,1992,16,449,28,24.9,5.0,3,66,1,13,19,0,0.75,3,5,-2,-0.40,+0.20,5.0,7.2,-2.3,-0.46,+0.14,Matches
612,Theo Walcott\1ecb65be,eng ENG,MFFW,Southampton,32-332,1989,9,379,42,18.3,4.2,5,66,0,4,12,8,1.33,7,8,-1,-0.24,+0.08,4.2,6.4,-2.2,-0.51,-0.45,Matches
613,Kyle Walker\86dd77d1,eng ENG,DF,Manchester City,31-259,1990,14,1215,87,56.3,13.5,14,87,13,0,,5,2.36,28,8,+20,+1.48,-0.71,28.5,8.5,+20.1,+1.49,-0.11,Matches
614,Kyle Walker-Peters\984a5a64,eng ENG,DF,Southampton,24-304,1997,17,1348,79,65.1,15.0,15,89,14,2,8,5,1.18,19,22,-3,-0.20,+0.30,19.6,22.0,-2.5,-0.17,-0.07,Matches
615,Aaron Wan-Bissaka\9e525177,eng ENG,DF,Manchester Utd,24-077,1997,15,1343,90,64.9,14.9,15,90,14,0,,3,1.40,24,24,0,0.00,-0.74,20.5,23.9,-3.4,-0.23,-0.71,Matches
616,Danny Ward\d3ce0e89,wls WAL,GK,Leicester City,28-234,1993,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
