,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
416,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,23-032,1999,21,1438,68,66.6,16.0,16,85,13,5,16,1,1.95,34,13,+21,+1.31,+0.19,28.2,14.6,+13.5,+0.85,+0.21,Matches
417,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,29-182,1992,20,1409,70,74.6,15.7,16,82,6,4,24,0,1.80,23,15,+8,+0.51,+1.82,25.9,16.4,+9.5,+0.61,+0.67,Matches
418,João Moutinho\f5a00fa4,pt POR,MF,Wolves,35-156,1986,21,1749,83,88.3,19.4,20,87,16,1,12,0,1.62,16,15,+1,+0.05,-0.34,18.4,23.9,-5.4,-0.28,+0.34,Matches
419,Bali Mumba\2d760d7b,eng ENG,DF,Norwich City,20-126,2001,1,45,45,2.2,0.5,0,,0,1,45,5,0.00,0,3,-3,-6.00,-4.71,0.1,1.7,-1.7,-3.34,-2.55,Matches
420,Jacob Murphy\de112b84,eng ENG,DFMF,Newcastle Utd,26-352,1995,18,818,45,41.3,9.1,7,90,7,11,17,4,0.72,10,25,-15,-1.65,-1.26,8.7,17.3,-8.5,-0.94,-0.37,Matches
421,Enock Mwepu\1d5cab82,zm ZAM,MF,Brighton,24-041,1998,11,639,58,32.3,7.1,7,76,4,4,27,4,1.73,11,8,+3,+0.42,+0.62,8.9,10.2,-1.3,-0.19,-0.19,Matches
422,Vitaliy Mykolenko\30d4a2e5,ua UKR,DF,Everton,22-258,1999,1,90,90,4.8,1.0,1,90,1,0,,0,0.00,1,2,-1,-1.00,-0.40,0.8,0.6,+0.2,+0.25,+0.52,Matches
423,Marvelous Nakamba\de5b5570,zw ZIM,MF,Aston Villa,28-023,1994,12,758,63,38.3,8.4,8,81,5,4,29,4,1.08,14,16,-2,-0.24,-0.09,7.5,11.1,-3.6,-0.43,-0.18,Matches
424,Wilfred Ndidi\6b47c5db,ng NGA,MFDF,Leicester City,25-057,1996,14,1260,90,66.7,14.0,14,90,14,0,,2,1.29,20,22,-2,-0.14,+0.29,17.8,26.0,-8.2,-0.59,-0.64,Matches
425,Tanguy Ndombele\5cdddffa,fr FRA,MF,Tottenham,25-045,1996,9,484,54,25.6,5.4,6,74,1,3,14,6,1.22,6,11,-5,-0.93,-1.31,8.0,5.4,+2.7,+0.50,+0.08,Matches
426,Benjamin Nelson\7be10897,sct SCO,DF,Leicester City,17-330,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
427,Reiss Nelson\c5bdb6e3,eng ENG,FW,Arsenal,22-063,1999,1,20,20,1.0,0.2,0,,0,1,20,1,0.00,0,1,-1,-4.50,-4.96,0.7,0.7,+0.1,+0.27,+0.14,Matches
428,Rúben Neves\44bfb6c5,pt POR,MF,Wolves,24-335,1997,20,1616,81,81.6,18.0,18,90,17,2,3,0,1.50,14,16,-2,-0.11,-1.10,17.2,24.6,-7.4,-0.41,-0.52,Matches
429,Jeremy Ngakia\3631ad41,eng ENG,DF,Watford,21-157,2000,12,571,48,28.8,6.3,5,80,2,7,24,9,0.67,6,9,-3,-0.47,+0.49,6.7,13.0,-6.3,-0.99,-0.40,Matches
430,Saúl Ñíguez\c14bc029,es ESP,MFFW,Chelsea,27-082,1994,6,165,28,7.6,1.8,2,45,0,4,19,14,2.33,3,2,+1,+0.55,-0.76,2.7,2.3,+0.4,+0.24,-0.59,Matches
431,Eddie Nketiah\a53649b7,eng ENG,MFFW,Arsenal,22-257,1999,5,65,13,3.3,0.7,0,,0,5,13,5,1.40,1,2,-1,-1.38,-1.85,1.2,1.5,-0.3,-0.44,-0.59,Matches
432,Nicolas Nkoulou\93cf32a8,cm CMR,DF,Watford,31-321,1990,3,168,56,8.5,1.9,2,77,1,1,15,1,2.00,6,2,+4,+2.14,+3.24,4.1,3.1,+0.9,+0.50,+1.32,Matches
433,Niels Nkounkou\f5b281e7,fr FRA,DF,Everton,21-102,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
434,Mark Noble\ff527768,eng ENG,MF,West Ham,34-279,1987,4,96,24,4.4,1.1,1,90,1,3,2,16,2.25,4,2,+2,+1.87,+1.48,3.7,1.2,+2.5,+2.31,+2.23,Matches
435,Mathias Normann\8996350d,no NOR,MF,Norwich City,25-259,1996,10,720,72,34.8,8.0,9,78,5,1,17,1,1.00,6,14,-8,-1.00,+0.60,6.0,11.2,-5.2,-0.65,+0.29,Matches
436,Will Norris\c73ada83,eng ENG,GK,Burnley,28-183,1993,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
437,Christian Nørgaard\df0a4c90,dk DEN,MF,Brentford,27-338,1994,23,2036,89,94.3,22.6,23,89,21,0,,0,1.00,25,39,-14,-0.62,-0.62,27.2,30.3,-3.1,-0.14,0.00,Matches
438,Angelo Ogbonna\74b2cd7e,it ITA,DF,West Ham,33-264,1988,11,921,84,42.6,10.2,11,84,10,0,,0,2.09,21,11,+10,+0.98,+0.90,16.4,10.2,+6.2,+0.60,+0.75,Matches
439,Armstrong Okoflex\ab77d10d,ie IRL,MF,West Ham,19-346,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
440,Arthur Okonkwo\75834acc,eng ENG,GK,Arsenal,20-155,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
441,Michael Olise\c4486bac,fr FRA,FWMF,Crystal Palace,20-061,2001,16,560,35,27.1,6.2,5,78,1,11,15,2,1.00,11,10,+1,+0.16,+0.40,7.6,7.6,-0.1,-0.01,-0.08,Matches
442,Robin Olsen\e7ee38c3,se SWE,GK,Aston Villa,32-034,1990,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
443,Andrew Omobamidele\c393a6c4,ie IRL,DF,Norwich City,19-233,2002,5,382,76,18.5,4.2,4,90,4,1,22,9,0.60,3,9,-6,-1.41,-0.03,4.5,9.6,-5.1,-1.21,-0.45,Matches
444,Tobi Omole\296904e8,eng ENG,DF,Tottenham,22-056,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
445,Tyler Onyango\d86a1f3e,eng ENG,MFFW,Everton,18-344,2003,3,28,9,1.5,0.3,0,,0,3,9,2,0.33,0,0,0,0.00,+0.63,0.7,0.0,+0.7,+2.13,+2.42,Matches
446,Frank Onyeka\2944f86f,ng NGA,MF,Brentford,24-041,1998,18,1012,56,46.9,11.2,12,72,1,6,25,1,1.22,11,18,-7,-0.62,-0.07,11.7,15.1,-3.4,-0.30,-0.31,Matches
447,Divock Origi\43a166b4,be BEL,FW,Liverpool,26-299,1995,3,41,14,2.0,0.5,0,,0,3,14,7,2.00,3,0,+3,+6.59,+4.90,1.5,0.0,+1.5,+3.27,+1.84,Matches
448,Salah Oulad M'Hand\b85c3273,nl NED,MF,Arsenal,18-175,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
449,Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,Liverpool,28-180,1993,16,724,45,35.0,8.0,8,65,0,8,26,6,2.38,15,6,+9,+1.12,-1.02,17.5,7.3,+10.2,+1.27,-0.30,Matches
450,Cole Palmer\dc7f8a28,eng ENG,FWMF,Manchester City,19-281,2002,4,123,31,5.7,1.4,1,86,0,3,12,14,3.00,6,0,+6,+4.39,+2.76,4.3,0.5,+3.8,+2.80,+1.35,Matches
451,Emerson Palmieri\e0bc6fdc,it ITA,DF,Chelsea,27-192,1994,1,5,5,0.2,0.1,0,,0,1,5,0,3.00,0,0,0,0.00,-1.25,0.0,0.0,0.0,-0.87,-1.65,Matches
452,Thomas Partey\529f49ab,gh GHA,MF,Arsenal,28-243,1993,17,1414,83,71.4,15.7,16,87,11,1,29,0,2.06,30,16,+14,+0.89,+1.69,24.7,19.9,+4.8,+0.31,+0.59,Matches
453,Charlie Patino\e71aac2c,eng ENG,FW,Arsenal,18-117,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
454,Nathan Patterson\230f0471,sct SCO,DF,Everton,20-118,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
455,Myles Peart-Harris\ea1a5662,eng ENG,MF,Brentford,19-146,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
456,João Pedro\e8832875,br BRA,MFFW,Watford,20-138,2001,17,820,48,41.4,9.1,6,81,4,11,30,0,0.53,11,17,-6,-0.66,+0.27,12.2,18.6,-6.4,-0.70,+0.01,Matches
