,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
330,Mario Lemina\2b471f99,ga GAB,MF,Nice,28-163,1993,14.9,760,856,88.8,14797,3670,272,295,92.2,371,395,93.9,107,148,72.3,0,0.1,-0.1,1,60,6,0,54,Matches
331,Fabien Lemoine\54d51e22,fr FRA,MF,Lorient,34-332,1987,9.5,565,642,88.0,10848,2673,207,232,89.2,263,284,92.6,79,102,77.5,1,0.8,+0.2,6,37,3,1,42,Matches
332,Léo Leroy\fcc84a07,fr FRA,MF,Montpellier,21-362,2000,2.1,83,99,83.8,1553,334,31,38,81.6,34,37,91.9,14,15,93.3,0,0.0,0.0,1,4,0,0,5,Matches
333,Yanis Lhery\cc972842,fr FRA,FWMF,Saint-Étienne,18-280,2003,0.8,11,15,73.3,106,19,9,10,90.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
334,Dimitri Liénard\f7691f63,fr FRA,DFMF,Strasbourg,33-363,1988,13.3,633,867,73.0,12785,3946,247,279,88.5,280,336,83.3,96,221,43.4,2,1.9,+0.1,27,54,25,13,71,Matches
335,Isaac Lihadji\57a46f3f,fr FRA,MFDF,Lille,19-307,2002,1.8,47,66,71.2,775,260,25,28,89.3,14,19,73.7,6,10,60.0,2,0.6,+1.4,8,5,2,1,6,Matches
336,Pol Lirola\ff800ed8,es ESP,DFMF,Marseille,24-182,1997,13.3,597,739,80.8,9859,2587,320,363,88.2,218,261,83.5,52,85,61.2,2,2.4,-0.4,20,36,22,15,36,Matches
337,Banzouzi Locko\6bf7cabe,fr FRA,DFMF,Reims,19-281,2002,5.5,199,266,74.8,3410,1613,96,111,86.5,81,107,75.7,18,37,48.6,0,0.2,-0.2,4,18,7,2,29,Matches
338,Anthony Lopes\f00de885,pt POR,GK,Lyon,31-133,1990,21.8,599,708,84.6,16251,9616,108,108,100.0,290,291,99.7,200,307,65.1,0,0.0,0.0,0,3,0,0,0,Matches
339,Pau López\20b9f052,es ESP,GK,Marseille,27-060,1994,19.0,708,856,82.7,18026,8865,124,125,99.2,373,378,98.7,205,346,59.2,0,0.0,0.0,0,6,0,0,2,Matches
