,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
421,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,26-214,1995,14.1,1064,47,246,514,389,13,883,6,17,35.3,8,1,645,3412,2087,81,43,1,8,10,746,675,90.5,29,Matches
422,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,29-349,1992,12.0,635,27,203,338,127,0,574,6,8,75.0,8,0,362,1655,681,19,7,0,6,5,371,351,94.6,3,Matches
423,Francisco Sierralta\0f933743,cl CHI,DF,Watford,24-281,1997,4.7,246,68,193,62,2,2,241,1,1,100.0,1,0,122,524,250,1,0,0,2,1,136,133,97.8,0,Matches
424,Bernardo Silva\3eb22ec9,pt POR,MFFW,Manchester City,27-185,1994,21.9,1551,35,201,758,712,138,1505,41,65,63.1,46,2,1194,7028,4011,233,69,28,27,24,1389,1213,87.3,148,Matches
425,Fábio Silva\e7aa9d7c,pt POR,FWMF,Wolves,19-207,2002,1.6,62,1,5,25,37,12,59,1,2,50.0,1,0,34,229,133,7,2,1,5,3,99,46,46.5,13,Matches
426,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,37-142,1984,18.3,1645,245,806,907,57,19,1614,4,5,80.0,4,1,1103,6181,3822,120,19,1,5,2,1223,1205,98.5,3,Matches
427,Ellis Simms\26d3b5be,eng ENG,FW,Everton,21-037,2001,0.7,20,2,4,13,3,1,19,0,0,,0,0,8,6,1,1,0,1,0,1,30,13,43.3,0,Matches
428,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,32-179,1989,19.8,852,82,253,485,175,20,834,24,32,75.0,25,2,469,2846,1499,49,18,3,16,18,512,444,86.7,30,Matches
429,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,21-148,2000,15.0,952,30,192,654,156,10,936,2,3,66.7,2,0,646,3134,1730,88,27,5,9,12,731,692,94.7,13,Matches
430,William Smallbone\5e105217,ie IRL,MF,Southampton,21-355,2000,0.8,28,2,6,10,12,4,27,0,1,0.0,0,0,14,67,38,2,0,1,2,0,18,13,72.2,4,Matches
431,Emile Smith Rowe\17695062,eng ENG,MFFW,Arsenal,21-198,2000,14.5,690,14,105,337,316,44,661,25,39,64.1,26,0,500,2874,1882,93,40,12,25,24,606,504,83.2,55,Matches
432,Cédric Soares\839c14e1,pt POR,DF,Arsenal,30-164,1991,3.4,156,15,51,70,39,1,130,0,1,0.0,0,0,78,358,169,6,3,0,0,1,92,77,83.7,1,Matches
433,Tomáš Souček\6613c819,cz CZE,MF,West Ham,26-349,1995,21.9,1201,101,328,654,282,67,1190,7,14,50.0,8,1,617,2857,1330,59,22,2,21,12,880,728,82.7,40,Matches
434,Boubakary Soumaré\ae59b359,fr FRA,MF,Leicester City,22-349,1999,11.4,625,28,168,373,115,6,623,8,16,50.0,9,1,408,1801,748,34,5,1,15,16,495,444,89.7,20,Matches
435,Çağlar Söyüncü\21166ff4,tr TUR,DF,Leicester City,25-264,1996,17.7,1289,191,744,587,37,8,1259,5,6,83.3,5,0,806,4178,1895,36,11,0,4,3,871,856,98.3,1,Matches
436,Jason Steele\28300a16,eng ENG,GK,Brighton,31-177,1990,1.0,42,37,42,0,0,0,36,0,0,,0,0,28,90,36,0,0,0,0,0,28,28,100.0,0,Matches
437,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-141,1992,1.0,37,33,36,1,0,0,28,0,0,,0,0,19,77,52,0,0,0,0,0,20,19,95.0,0,Matches
438,Zack Steffen\42130443,us USA,GK,Manchester City,26-315,1995,1.0,41,37,41,0,0,0,32,0,0,,0,0,18,58,23,0,0,0,0,0,20,20,100.0,0,Matches
439,Dale Stephens\653ee42d,eng ENG,MF,Burnley,32-244,1989,1.4,75,4,14,56,10,0,75,0,0,,0,0,34,120,35,0,2,0,2,1,43,37,86.0,1,Matches
440,Jack Stephens\6adbc307,eng ENG,DF,Southampton,28-015,1994,5.4,330,44,172,174,15,2,316,0,1,0.0,0,0,178,1250,779,21,7,0,0,0,198,191,96.5,1,Matches
441,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,27-065,1994,14.8,803,3,40,270,552,137,797,28,67,41.8,30,1,699,3365,1994,127,21,32,27,49,862,667,77.4,148,Matches
442,Finley Stevens\7e003182,wls WAL,DF,Brentford,18-307,2003,0.2,10,0,2,5,3,1,10,0,0,,0,0,4,22,0,0,0,0,0,0,6,5,83.3,1,Matches
443,John Stones\5eecec3d,eng ENG,DF,Manchester City,27-259,1994,6.6,533,46,163,372,45,5,513,2,3,66.7,2,0,380,2606,1569,71,15,0,2,0,426,416,97.7,2,Matches
444,Pascal Struijk\f4d296e4,nl NED,DFMF,Leeds United,22-184,1999,12.3,845,98,462,365,67,7,816,3,4,75.0,3,0,498,2731,1494,23,2,0,2,9,540,517,95.7,6,Matches
