,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
494,Ashley Westwood\495945ef,eng ENG,MF,Burnley,31-316,1990,17.8,995,40,184,582,268,16,889,7,13,53.8,7,0,546,2139,993,26,14,1,16,8,657,595,90.6,18,Matches
495,Ben White\35e413f1,eng ENG,DF,Arsenal,24-126,1997,20.0,1223,156,600,631,83,10,1182,6,14,42.9,7,2,797,4441,2503,49,15,2,6,9,816,806,98.8,1,Matches
496,Brandon Williams\5e74d6c8,eng ENG,DF,Norwich City,21-161,2000,15.6,967,74,340,457,250,22,831,11,26,42.3,13,0,570,3108,1746,60,24,6,20,20,572,535,93.5,25,Matches
497,Neco Williams\dd323728,wls WAL,DF,Liverpool,20-304,2001,0.1,8,0,2,2,4,1,7,2,2,100.0,2,0,8,34,22,2,0,1,0,0,7,7,100.0,2,Matches
498,Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,22-175,1999,13.7,510,17,142,238,177,33,501,17,42,40.5,21,3,372,2380,1345,52,18,8,11,23,362,296,81.8,29,Matches
499,Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,29-349,1992,13.2,317,13,37,138,164,55,300,14,23,60.9,16,0,184,648,355,19,7,11,52,26,556,219,39.4,46,Matches
500,Harry Winks\2f7acede,eng ENG,MF,Tottenham,26-009,1996,6.8,493,17,113,304,107,3,468,4,6,66.7,4,0,347,1750,775,30,11,1,3,8,381,369,96.9,9,Matches
501,Yoane Wissa\2500cef9,cd COD,FWMF,Brentford,25-161,1996,5.7,164,2,23,72,79,17,162,6,6,100.0,6,2,102,527,266,19,6,1,10,7,229,110,48.0,32,Matches
502,Chris Wood\4e9a0555,nz NZL,FW,Burnley,30-066,1991,15.2,450,10,26,201,235,51,442,5,9,55.6,5,0,194,632,257,17,6,2,51,15,782,355,45.4,90,Matches
503,Chris Wood\4e9a0555,nz NZL,FW,Newcastle Utd,30-066,1991,3.0,113,0,8,61,47,14,112,3,6,50.0,3,0,54,151,67,3,3,0,14,4,121,93,76.9,17,Matches
504,Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24-344,1997,4.0,128,123,128,0,0,0,79,0,0,,0,0,54,350,215,0,0,0,0,0,49,49,100.0,0,Matches
505,Granit Xhaka\e61b8aee,ch SUI,MF,Arsenal,29-137,1992,10.2,626,30,135,389,130,15,610,5,8,62.5,5,0,392,1855,949,46,7,2,8,6,464,437,94.2,22,Matches
506,Andriy Yarmolenko\849c826a,ua UKR,FWMF,West Ham,32-111,1989,1.1,67,1,8,20,42,10,67,1,4,25.0,3,0,47,296,180,8,3,4,1,3,70,53,75.7,11,Matches
507,Ashley Young\be927d03,eng ENG,FWDF,Aston Villa,36-217,1985,8.3,374,19,94,179,125,14,333,5,8,62.5,6,1,222,1069,685,28,8,4,9,5,294,243,82.7,28,Matches
508,Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,29-093,1992,16.5,859,6,82,410,453,78,843,35,76,46.1,37,6,731,3746,2228,130,44,29,63,80,933,660,70.7,127,Matches
509,Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,25-058,1996,5.6,527,10,90,296,180,3,484,2,4,50.0,2,0,371,1874,1029,56,25,0,4,2,404,391,96.8,6,Matches
510,Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,28-329,1993,8.7,534,8,48,223,291,44,514,19,30,63.3,19,4,425,1994,975,56,18,13,15,19,469,387,82.5,75,Matches
511,Kurt Zouma\ce4246f5,fr FRA,DF,West Ham,27-107,1994,12.8,620,122,343,287,25,11,604,0,1,0.0,1,1,338,1841,930,16,4,0,3,0,377,368,97.6,3,Matches
512,Martin Ødegaard\79300479,no NOR,MF,Arsenal,23-056,1998,15.3,919,9,131,475,375,36,853,8,16,50.0,8,0,630,3116,1592,92,31,4,22,27,777,676,87.0,63,Matches
